date,close,volume
2018-04-25,57.94,15084
2018-04-26,58.3,29109
2018-04-27,58.45,22807
2018-04-30,58.43,12771
2018-05-01,58.39,35799
2018-05-02,57.82,9859
2018-05-03,57.27,14948
2018-05-04,57.64,21279
2018-05-07,57.76,14431
2018-05-08,57.48,21490
2018-05-09,57.87,12398
2018-05-10,58.8,41352
2018-05-11,58.32,33481
2018-05-14,58.56,38601
2018-05-15,59.08,10879
2018-05-16,59.54,18665
2018-05-17,59.27,10346
2018-05-18,59.28,9894
2018-05-21,59.56,16800
2018-05-22,59.45,14721
2018-05-23,58.98,49384
2018-05-24,58.83,16133
2018-05-25,58.28,16645
2018-05-29,57.14,18166
2018-05-30,57.63,23263
2018-05-31,57.66,21116
2018-06-01,58.01,43472
2018-06-04,58.67,13886
2018-06-05,59.41,46785
2018-06-06,60.07,20627
2018-06-07,59.05,56860
2018-06-08,59.64,24160
2018-06-11,59.3,15510
2018-06-12,59.07,46863
2018-06-13,58.47,39486
2018-06-14,58.21,15358
2018-06-15,57.48,26153
2018-06-18,57.18,27787
2018-06-19,56.48,38370
2018-06-20,56.8,22256
2018-06-21,56.12,36394
2018-06-22,55.89,11759
2018-06-25,54.04,51208
2018-06-26,54.25,29184
2018-06-27,53.32,109892
2018-06-28,53.15,102852
2018-06-29,53.24,22559
2018-07-02,52.52,92777
2018-07-03,53.09,19797
2018-07-05,52.88,39837
2018-07-06,53.56,10852
2018-07-09,54.28,29021
2018-07-10,54.13,59044
2018-07-11,53.32,24759
2018-07-12,54.42,22565
2018-07-13,54.5,21840
2018-07-16,54.1,14823
2018-07-17,54.4,27215
2018-07-18,54.65,28967
2018-07-19,54.28,22626
2018-07-20,54.23,19334
2018-07-23,53.97,16721
2018-07-24,54.41,12037
2018-07-25,55.34,25257
2018-07-26,54.73,42179
2018-07-27,53.72,42465
2018-07-30,52.94,99535
2018-07-31,52.85,47255
2018-08-01,53.61,13728
2018-08-02,53.06,14209
2018-08-03,52.5,47168
2018-08-06,52.43,12436
2018-08-07,53.03,28541
2018-08-08,52.9,15372
2018-08-09,53.28,21583
2018-08-10,52.51,25242
2018-08-13,51.74,37630
2018-08-14,51.21,153485
2018-08-15,49.69,102203
2018-08-16,50.5,42774
2018-08-17,50.56,66231
2018-08-20,51.53,41984
2018-08-21,51.53,24684
2018-08-22,52.07,19655
2018-08-23,51.84,39390
2018-08-24,52.24,41184
2018-08-27,52.87,24623
2018-08-28,52.91,90298
2018-08-29,53.08,49364
2018-08-30,52.15,76369
2018-08-31,52.36,14348
2018-09-04,51.59,72602
2018-09-05,50.35,76289
2018-09-06,50.01,56391
2018-09-07,50.13,23959
2018-09-10,49.72,27576
2018-09-11,49.96,29651
2018-09-12,50.63,32657
2018-09-13,50.97,9979
2018-09-14,51.17,17898
2018-09-17,50.75,17579
2018-09-18,50.92,32204
2018-09-19,51.43,15318
2018-09-20,52.15,42431
2018-09-21,52.36,23528
2018-09-24,52.36,13520
2018-09-25,53.33,7997
2018-09-26,53.33,23147
2018-09-27,53.65,40948
2018-09-28,53.77,7965
2018-10-01,53.7,8827
2018-10-02,53.0,14432
2018-10-03,53.38,21875
2018-10-04,51.75,13440
2018-10-05,51.2,63830
2018-10-08,50.24,27000
2018-10-09,50.24,29585
2018-10-10,48.25,21470
2018-10-11,47.86,46228
2018-10-12,48.71,25445
2018-10-15,48.68,16422
2018-10-16,50.33,29476
2018-10-17,49.91,13923
2018-10-18,49.12,15034
2018-10-19,48.89,33429
2018-10-22,48.76,9641
2018-10-23,47.72,13240
2018-10-24,45.84,28022
2018-10-25,46.4,96874
2018-10-26,45.8,27890
2018-10-29,45.23,25642
2018-10-30,45.54,35194
2018-10-31,46.41,15826
2018-11-01,47.33,19563
2018-11-02,47.31,12735
2018-11-05,47.4,22466
2018-11-06,47.42,16691
2018-11-07,48.48,27709
2018-11-08,47.26,22175
2018-11-09,46.43,20992
2018-11-12,45.63,26125
2018-11-13,45.44,16809
2018-11-14,45.02,13334
2018-11-15,45.47,34099
2018-11-16,45.48,26679
2018-11-19,44.6,7766
2018-11-20,43.0,58312
2018-11-21,43.73,14337
2018-11-23,43.42,1751
2018-11-26,43.72,24324
2018-11-27,43.6,43895
2018-11-28,44.46,36181
2018-11-29,44.35,17643
2018-11-30,44.21,13651
2018-12-03,45.51,20773
2018-12-04,44.17,199173
2018-12-06,43.63,77354
2018-12-07,43.15,8607
2018-12-10,42.65,19863
2018-12-11,42.8,139215
2018-12-12,43.46,53164
2018-12-13,43.41,29379
2018-12-14,42.46,24720
2018-12-17,41.52,33160
2018-12-18,41.12,39832
2018-12-19,40.83,122276
2018-12-20,40.05,93991
2018-12-21,39.05,96465
2018-12-24,38.42,38946
2018-12-26,39.83,46047
2018-12-27,39.59,45342
2018-12-28,39.99,66824
2018-12-31,40.07,81106
2019-01-02,40.33,21080
2019-01-03,39.88,37076
2019-01-04,41.43,28427
2019-01-07,41.92,17650
2019-01-08,42.21,22329
2019-01-09,42.91,28249
2019-01-10,42.96,17779
2019-01-11,42.79,17440
2019-01-14,42.27,12374
2019-01-15,42.55,7857
2019-01-16,42.51,9932
2019-01-17,42.83,5559
2019-01-18,42.87,21656
2019-01-22,42.2,10616
2019-01-23,42.52,4523
2019-01-24,42.6,15214
2019-01-25,43.1,4707
2019-01-28,43.0,53654
2019-01-29,43.24,9751
2019-01-30,43.74,13746
2019-01-31,44.32,18649
2019-02-01,44.52,13226
2019-02-04,44.37,24392
2019-02-05,44.64,5678
2019-02-06,44.27,8807
2019-02-07,43.87,7817
2019-02-08,44.12,15327
2019-02-11,43.92,8145
2019-02-12,44.61,13471
2019-02-13,44.6,11113
2019-02-14,45.01,11198
2019-02-15,45.43,37892
2019-02-19,45.53,9736
2019-02-20,45.84,7936
2019-02-21,45.63,2429
2019-02-22,46.12,12368
2019-02-25,46.44,3648
2019-02-26,46.39,8083
2019-02-27,46.75,11577
2019-02-28,46.35,14935
2019-03-01,45.93,5156
2019-03-04,45.69,13238
2019-03-05,45.53,19500
2019-03-06,44.99,88399
2019-03-07,44.49,4620
2019-03-08,44.5,10278
2019-03-11,45.0,6469
2019-03-12,45.16,9914
2019-03-13,45.45,11756
2019-03-14,45.35,8045
2019-03-15,45.88,15191
2019-03-18,46.0,12402
2019-03-19,46.3,16074
2019-03-20,46.61,6068
2019-03-21,46.15,8567
2019-03-22,45.22,7824
2019-03-25,45.09,101417
2019-03-26,45.45,8974
2019-03-27,44.61,4226
2019-03-28,44.85,11110
2019-03-29,45.5,10375
2019-04-01,45.83,21483
2019-04-02,45.92,4828
2019-04-03,46.08,21744
2019-04-04,45.93,11779
2019-04-05,46.45,7863
2019-04-08,46.56,6084
2019-04-09,46.24,5995
2019-04-10,46.44,8178
2019-04-11,45.95,6544
2019-04-12,45.9,10687
2019-04-15,45.77,5367
2019-04-16,45.49,43026
2019-04-17,45.41,10758
2019-04-18,45.49,3865
2019-04-22,45.34,12842
2019-04-23,45.78,17398
2019-04-24,45.32,7953
2019-04-25,45.65,12481
2019-04-26,45.98,12698
2019-04-29,46.17,7855
2019-04-30,46.14,6445
2019-05-01,45.62,9073
2019-05-02,45.49,9641
2019-05-03,46.44,14685
2019-05-06,45.95,53305
2019-05-07,45.34,9343
2019-05-08,45.47,8863
2019-05-09,45.51,49387
2019-05-10,45.47,6889
2019-05-13,44.46,14478
2019-05-14,45.07,13687
2019-05-15,45.38,12083
2019-05-16,45.72,5253
2019-05-17,45.05,32252
2019-05-20,44.88,6901
2019-05-21,45.54,5511
2019-05-22,45.67,5717
2019-05-23,45.36,13114
2019-05-24,45.81,2061
2019-05-28,45.8,4330
2019-05-29,45.57,6141
2019-05-30,46.0,6756
2019-05-31,46.06,6104
2019-06-03,46.52,9060
2019-06-04,47.08,8215
2019-06-05,47.03,5408
2019-06-06,47.15,9024
2019-06-07,47.96,32262
2019-06-10,47.94,3314
2019-06-11,48.24,6339
2019-06-12,48.34,4572
2019-06-13,48.42,4688
2019-06-14,48.09,2548
2019-06-17,48.05,1788
2019-06-18,48.73,1151
2019-06-19,49.04,8975
2019-06-20,49.79,3438
2019-06-21,49.49,6155
2019-06-24,49.65,4052
2019-06-25,48.94,7412
2019-06-26,48.9,6312
2019-06-27,49.26,6159
2019-06-28,49.75,8171
2019-07-01,49.88,17957
2019-07-02,49.92,6981
2019-07-03,50.33,5312
2019-07-05,50.29,5749
2019-07-08,50.33,13232
2019-07-09,50.38,9254
2019-07-10,50.63,10493
2019-07-11,50.61,9716
2019-07-12,50.67,10822
2019-07-15,51.35,7642
2019-07-16,51.17,67086
2019-07-17,51.23,5552
2019-07-18,52.0,7896
2019-07-19,51.51,7640
2019-07-22,51.86,31083
2019-07-23,51.62,33706
2019-07-24,51.66,13039
2019-07-25,51.33,6936
2019-07-26,51.44,3133
2019-07-29,51.48,15839
2019-07-30,51.24,9414
2019-07-31,50.64,14504
2019-08-01,50.95,19432
2019-08-02,50.26,9896
2019-08-05,48.92,6673
2019-08-06,49.42,13055
2019-08-07,49.78,4090
2019-08-08,50.7,6718
2019-08-09,50.52,8235
2019-08-12,49.53,2512
2019-08-13,49.75,7364
2019-08-14,48.53,10033
2019-08-15,48.38,10836
2019-08-16,48.84,16376
2019-08-19,48.81,5055
2019-08-20,49.15,5219
2019-08-21,49.62,7118
2019-08-22,49.35,5407
2019-08-23,48.67,5828
2019-08-26,48.79,12559
2019-08-27,48.88,2004
2019-08-28,48.97,4964
2019-08-29,49.27,4255
2019-08-30,49.5,5765
2019-09-03,49.07,3367
2019-09-04,49.68,23971
2019-09-05,49.96,8535
2019-09-06,49.86,22675
2019-09-09,49.17,3242
2019-09-10,48.65,3796
2019-09-11,49.06,3664
2019-09-12,49.42,4406
2019-09-13,48.95,1445
2019-09-16,48.54,4530
2019-09-17,49.01,7355
2019-09-18,48.97,5478
2019-09-19,48.95,4717
2019-09-20,48.88,2346
2019-09-23,48.61,6473
2019-09-24,48.38,10605
2019-09-25,48.23,13824
2019-09-26,48.41,3644
2019-09-27,47.49,2208
2019-09-30,47.67,12460
2019-10-01,47.25,3860
2019-10-02,46.71,4581
2019-10-03,47.36,26680
2019-10-04,47.87,4315
2019-10-07,47.64,18194
2019-10-08,47.3,3443
2019-10-09,47.61,9526
2019-10-10,47.84,4283
2019-10-11,48.23,2453
2019-10-14,48.29,7325
2019-10-15,48.43,5657
2019-10-16,48.37,7684
2019-10-17,48.66,877
2019-10-18,48.43,5552
2019-10-21,48.3,6157
2019-10-22,48.33,6301
2019-10-23,48.45,4644
2019-10-24,49.44,12637
2019-10-25,49.63,29575
2019-10-28,49.7,10227
2019-10-29,49.92,6286
2019-10-30,50.56,8746
2019-10-31,50.43,3791
2019-11-01,50.6,28778
2019-11-04,50.77,8624
2019-11-05,50.27,10117
2019-11-06,50.25,9869
2019-11-07,50.04,10372
2019-11-08,49.9,16870
2019-11-11,49.8,3757
2019-11-12,49.69,5324
2019-11-13,49.95,3503
2019-11-14,50.11,4307
2019-11-15,50.3,4189
2019-11-18,50.36,5689
2019-11-19,50.1,3410
2019-11-20,50.02,3599
2019-11-21,49.94,1646
2019-11-22,49.93,5410
2019-11-25,50.42,3502
2019-11-26,50.65,16354
2019-11-27,50.67,13539
2019-11-29,50.69,3498
2019-12-02,50.58,5684
2019-12-03,50.6,12138
2019-12-04,51.12,11579
2019-12-05,51.38,5554
2019-12-06,51.55,9970
2019-12-09,51.7,2204
2019-12-10,51.72,2224
2019-12-11,52.34,4841
2019-12-12,52.48,7632
2019-12-13,52.53,6477
2019-12-16,53.12,4760
2019-12-17,52.84,5334
2019-12-18,53.16,4177
2019-12-19,53.15,21374
2019-12-20,53.59,6898
2019-12-23,53.72,9149
2019-12-24,54.0,8520
2019-12-26,54.3,3776
2019-12-27,54.51,9656
2019-12-30,54.1,3951
2019-12-31,53.89,10393
2020-01-02,54.86,9347
2020-01-03,54.57,10575
2020-01-06,54.35,74118
2020-01-07,54.43,10867
2020-01-08,54.48,184712
2020-01-09,55.0,34261
2020-01-10,55.15,6730
2020-01-13,55.11,12660
2020-01-14,55.22,6390
2020-01-15,55.38,1713
2020-01-16,55.69,7088
2020-01-17,55.96,6014
2020-01-21,55.94,31792
2020-01-22,56.15,17450
2020-01-23,55.56,26903
2020-01-24,55.43,9936
2020-01-27,54.37,9273
2020-01-28,54.62,6277
2020-01-29,54.86,5487
2020-01-30,54.22,54898
2020-01-31,53.83,5662
2020-02-03,54.49,13553
2020-02-04,55.8,15018
2020-02-05,55.63,44993
2020-02-06,55.71,9800
2020-02-07,55.12,3551
2020-02-10,55.6,10568
2020-02-11,55.88,8820
2020-02-12,56.3,15087
2020-02-13,56.41,3817
2020-02-14,56.47,6557
2020-02-18,56.51,4682
2020-02-19,57.5,14385
2020-02-20,56.84,3967
2020-02-21,56.7,4324
2020-02-24,54.53,8123
2020-02-25,52.92,18824
2020-02-26,52.45,7685
2020-02-27,50.64,12229
2020-02-28,49.38,23334
2020-03-02,51.08,11739
2020-03-03,50.75,24457
2020-03-04,52.11,23000
2020-03-05,50.91,6880
2020-03-06,49.61,18535
2020-03-09,46.2,16194
2020-03-10,47.49,89018
2020-03-11,45.09,81387
2020-03-12,38.17,323770
2020-03-13,40.9,14341
2020-03-16,37.9,32518
2020-03-17,38.68,51307
2020-03-18,34.41,17548
2020-03-19,35.67,16252
2020-03-20,35.29,14867
2020-03-23,35.16,40829
2020-03-24,38.31,34294
2020-03-25,40.68,42096
2020-03-26,42.09,19595
2020-03-27,40.42,6914
2020-03-30,40.71,3026
2020-03-31,40.34,4473
2020-04-01,39.03,5722
2020-04-02,39.5,9858
2020-04-03,39.03,8192
2020-04-06,41.26,12299
2020-04-07,41.7,7004
2020-04-08,42.56,4832
2020-04-09,43.41,14411
2020-04-13,43.65,2293
2020-04-14,44.57,6563
2020-04-15,43.52,5737
2020-04-16,44.04,4552
2020-04-17,44.58,4264
2020-04-20,44.62,30389
2020-04-21,43.41,4115
2020-04-22,44.94,2246
2020-04-23,44.85,2805
2020-04-24,45.01,7097
2020-04-27,45.78,3965
2020-04-28,45.69,9037
2020-04-29,46.81,6176
2020-04-30,45.98,2205
2020-05-01,45.21,894
2020-05-04,45.35,3279
2020-05-05,45.83,6510
2020-05-06,45.99,1163
2020-05-07,46.63,5493
2020-05-08,47.29,1000
2020-05-11,47.21,1970
2020-05-12,46.81,1333
2020-05-13,45.91,25277
2020-05-14,46.14,4207
2020-05-15,46.53,9208
2020-05-18,47.47,3592
2020-05-19,47.8,6063
2020-05-20,48.27,4386
2020-05-21,47.56,2701
2020-05-22,47.03,4876
2020-05-26,48.27,2651
2020-05-27,48.12,3019
2020-05-28,48.38,2446
2020-05-29,49.09,13418
2020-06-01,49.84,11026
2020-06-02,50.1,2482
2020-06-03,50.4,7735
2020-06-04,49.99,2176
2020-06-05,50.35,6343
2020-06-08,50.3,8409
2020-06-09,50.72,15632
2020-06-10,51.34,14258
2020-06-11,49.28,8613
2020-06-12,49.59,4449
2020-06-15,50.46,2588
2020-06-16,50.56,4417
2020-06-17,51.38,1295
2020-06-18,51.01,4006
2020-06-19,52.05,4748
2020-06-22,52.98,5687
2020-06-23,53.77,3880
2020-06-24,52.28,6269
2020-06-25,52.94,4972
2020-06-26,52.28,7149
2020-06-29,52.63,1306
2020-06-30,52.99,2139
2020-07-01,53.38,3904
2020-07-02,54.09,925
2020-07-06,54.66,3021
2020-07-07,54.88,4340
2020-07-08,55.52,2551
2020-07-09,56.01,3730
2020-07-10,55.44,4057
2020-07-13,54.96,15702
2020-07-14,55.29,10778
2020-07-15,56.25,4101
2020-07-16,56.04,3176
2020-07-17,56.74,3534
2020-07-20,57.81,4206
2020-07-21,57.85,10514
2020-07-22,57.67,21126
2020-07-23,56.5,2471
2020-07-24,56.38,11545
2020-07-27,58.2,2400
2020-07-28,57.95,4852
2020-07-29,58.07,2902
2020-07-30,57.01,2930
2020-07-31,56.78,2822
2020-08-03,57.62,6650
2020-08-04,58.04,1408
2020-08-05,58.76,2657
2020-08-06,58.7,2441
2020-08-07,57.59,2362
2020-08-10,56.97,4140
2020-08-11,56.45,2375
2020-08-12,57.42,1537
2020-08-13,57.56,7018
2020-08-14,57.23,4285
