date,close,volume
2020-06-26,15.45,37289540
2020-06-29,15.57,7374005
2020-06-30,15.77,5047192
2020-07-01,15.76,3415231
2020-07-02,15.81,7213077
2020-07-06,15.52,3460806
2020-07-07,15.18,4228006
2020-07-08,15.16,3691465
2020-07-09,14.75,5107052
2020-07-10,14.6,6979252
2020-07-13,14.0,4380110
2020-07-14,14.59,4127624
2020-07-15,14.62,2558353
2020-07-16,14.98,2178859
2020-07-17,15.35,1210589
2020-07-20,15.59,1653008
2020-07-21,15.67,4344534
2020-07-22,16.0,1809101
2020-07-23,16.03,1841590
2020-07-24,16.11,2298928
2020-07-27,15.24,9327449
2020-07-28,15.1,2746222
2020-07-29,15.37,3183650
2020-07-30,14.95,2963068
2020-07-31,14.86,1784564
2020-08-03,14.83,1994088
2020-08-04,15.18,1867852
2020-08-05,15.47,2234392
2020-08-06,15.27,1008248
2020-08-07,15.35,969033
2020-08-10,15.37,967218
2020-08-11,14.92,1843976
2020-08-12,14.8,1519194
2020-08-13,14.9,1316521
2020-08-14,14.85,1516254
