date,close,volume
2018-04-25,35.49,712011
2018-04-26,34.94,1780733
2018-04-27,35.04,589064
2018-04-30,34.44,560855
2018-05-01,34.47,726260
2018-05-02,34.43,764090
2018-05-03,34.05,675217
2018-05-04,34.1,1681056
2018-05-07,34.53,1179279
2018-05-08,35.4,1685685
2018-05-09,34.29,1559357
2018-05-10,33.9,1854023
2018-05-11,33.25,1523024
2018-05-14,32.96,1411821
2018-05-15,33.4,1109335
2018-05-16,33.73,795602
2018-05-17,33.39,1040025
2018-05-18,33.07,682601
2018-05-21,33.35,1006514
2018-05-22,33.33,869822
2018-05-23,32.76,946352
2018-05-24,32.73,662423
2018-05-25,32.46,1015936
2018-05-29,32.67,733734
2018-05-30,33.45,1217867
2018-05-31,33.0,716699
2018-06-01,33.15,650024
2018-06-04,33.53,742211
2018-06-05,33.91,956078
2018-06-06,34.12,1010335
2018-06-07,34.22,1299470
2018-06-08,34.73,1040641
2018-06-11,34.44,444528
2018-06-12,34.41,454149
2018-06-13,33.9,682445
2018-06-14,33.63,986697
2018-06-15,33.38,1608621
2018-06-18,33.6,563587
2018-06-19,33.62,732044
2018-06-20,33.99,618372
2018-06-21,33.6,1209285
2018-06-22,33.49,852462
2018-06-25,32.93,1016740
2018-06-26,33.17,722109
2018-06-27,33.13,798519
2018-06-28,32.8,752778
2018-06-29,33.03,590804
2018-07-02,32.73,765670
2018-07-03,32.4,376163
2018-07-05,32.69,991804
2018-07-06,32.99,467666
2018-07-09,33.19,570365
2018-07-10,33.15,496636
2018-07-11,32.36,597306
2018-07-12,32.34,645708
2018-07-13,32.57,520862
2018-07-16,32.09,758584
2018-07-17,32.41,476219
2018-07-18,32.91,720817
2018-07-19,33.17,571725
2018-07-20,32.61,711747
2018-07-23,32.6,579003
2018-07-24,32.52,557153
2018-07-25,32.77,476566
2018-07-26,32.77,362798
2018-07-27,32.53,468419
2018-07-30,32.86,471737
2018-07-31,33.56,550818
2018-08-01,33.38,437229
2018-08-02,33.57,489185
2018-08-03,33.64,428465
2018-08-06,34.31,783141
2018-08-07,33.15,1905145
2018-08-08,33.93,945623
2018-08-09,33.73,733714
2018-08-10,33.63,1330732
2018-08-13,32.66,917190
2018-08-14,32.93,859567
2018-08-15,32.12,1218889
2018-08-16,32.68,794638
2018-08-17,32.91,672819
2018-08-20,33.13,980450
2018-08-21,33.52,515257
2018-08-22,33.63,436699
2018-08-23,33.49,668277
2018-08-24,33.52,887007
2018-08-27,33.57,824415
2018-08-28,33.65,631763
2018-08-29,33.93,549313
2018-08-30,33.55,618725
2018-08-31,33.64,535692
2018-09-04,33.0,723185
2018-09-05,33.26,849519
2018-09-06,33.02,604499
2018-09-07,32.79,531640
2018-09-10,32.75,959384
2018-09-11,32.24,969454
2018-09-12,32.23,1085052
2018-09-13,32.31,1061946
2018-09-14,32.44,1239419
2018-09-17,32.59,565350
2018-09-18,32.65,590472
2018-09-19,32.74,405247
2018-09-20,33.01,645780
2018-09-21,33.03,1081579
2018-09-24,32.84,560970
2018-09-25,32.71,792740
2018-09-26,32.51,729983
2018-09-27,32.62,525561
2018-09-28,32.66,643841
2018-10-01,32.78,519857
2018-10-02,32.84,590974
2018-10-03,32.77,898264
2018-10-04,32.73,581681
2018-10-05,32.46,926962
2018-10-08,32.44,573120
2018-10-09,32.36,561061
2018-10-10,31.93,1153230
2018-10-11,30.79,1283577
2018-10-12,30.75,1235100
2018-10-15,30.91,598989
2018-10-16,31.66,750200
2018-10-17,31.55,807224
2018-10-18,31.06,649469
2018-10-19,31.14,628194
2018-10-22,31.05,786969
2018-10-23,30.99,903109
2018-10-24,29.97,1167423
2018-10-25,30.4,709167
2018-10-26,30.13,944235
2018-10-29,29.77,966497
2018-10-30,29.47,1637039
2018-10-31,29.14,1158315
2018-11-01,30.39,736430
2018-11-02,30.86,1083493
2018-11-05,32.0,1232347
2018-11-06,32.69,1126082
2018-11-07,33.58,1276361
2018-11-08,33.48,850052
2018-11-09,32.72,993109
2018-11-12,30.98,2715693
2018-11-13,31.44,2020896
2018-11-14,32.49,2154305
2018-11-15,34.16,1814999
2018-11-16,32.94,2495386
2018-11-19,32.23,1475415
2018-11-20,30.79,1877487
2018-11-21,31.53,1028594
2018-11-23,31.71,658175
2018-11-26,32.86,1038105
2018-11-27,32.13,955389
2018-11-28,31.58,1727373
2018-11-29,31.41,1272480
2018-11-30,32.16,1186342
2018-12-03,31.5,951377
2018-12-04,30.11,1112026
2018-12-06,29.44,1262239
2018-12-07,28.58,1308106
2018-12-10,28.13,897768
2018-12-11,28.14,998742
2018-12-12,28.65,705805
2018-12-13,28.29,821492
2018-12-14,27.91,1336888
2018-12-17,27.5,1423522
2018-12-18,27.17,982305
2018-12-19,26.62,1203970
2018-12-20,25.97,1731923
2018-12-21,25.34,2929139
2018-12-24,24.92,728683
2018-12-26,26.37,772973
2018-12-27,26.32,1021242
2018-12-28,26.25,837244
2018-12-31,26.5,1028425
2019-01-02,26.88,1041290
2019-01-03,26.37,1027709
2019-01-04,27.74,862918
2019-01-07,28.27,1208138
2019-01-08,28.61,815731
2019-01-09,28.81,813627
2019-01-10,29.27,436532
2019-01-11,29.19,578504
2019-01-14,29.16,633189
2019-01-15,29.06,552699
2019-01-16,29.15,685353
2019-01-17,29.2,921341
2019-01-18,30.16,797061
2019-01-22,29.65,576229
2019-01-23,29.57,451692
2019-01-24,30.01,530831
2019-01-25,30.55,551968
2019-01-28,30.2,917140
2019-01-29,30.12,657626
2019-01-30,30.33,646321
2019-01-31,30.61,566318
2019-02-01,30.4,817910
2019-02-04,31.03,997519
2019-02-05,30.17,1889413
2019-02-06,30.08,1527707
2019-02-07,28.9,1583405
2019-02-08,28.8,1109877
2019-02-11,29.07,878718
2019-02-12,29.88,1057280
2019-02-13,30.13,823449
2019-02-14,30.05,730434
2019-02-15,30.44,1741749
2019-02-19,30.52,1018906
2019-02-20,30.98,1556164
2019-02-21,30.91,479155
2019-02-22,31.15,670130
2019-02-25,31.22,562060
2019-02-26,30.87,770340
2019-02-27,30.79,470281
2019-02-28,30.96,858128
2019-03-01,31.53,1225863
2019-03-04,31.29,649774
2019-03-05,30.99,407618
2019-03-06,30.51,395105
2019-03-07,30.17,1158745
2019-03-08,30.13,386619
2019-03-11,30.38,625597
2019-03-12,30.3,901723
2019-03-13,30.39,1019692
2019-03-14,30.32,951805
2019-03-15,30.32,1012266
2019-03-18,30.5,662248
2019-03-19,30.26,422853
2019-03-20,30.02,699741
2019-03-21,30.08,851858
2019-03-22,29.36,699714
2019-03-25,29.47,395685
2019-03-26,29.52,514184
2019-03-27,29.15,2150767
2019-03-28,29.51,537518
2019-03-29,29.67,1178519
2019-04-01,30.64,579931
2019-04-02,30.51,633390
2019-04-03,30.55,725885
2019-04-04,30.98,702791
2019-04-05,31.25,689336
2019-04-08,31.44,832068
2019-04-09,30.84,405785
2019-04-10,31.15,621133
2019-04-11,31.52,775989
2019-04-12,31.99,752579
2019-04-15,32.14,732880
2019-04-16,32.37,506745
2019-04-17,32.5,980615
2019-04-18,32.79,504187
2019-04-22,32.81,427433
2019-04-23,33.57,816873
2019-04-24,33.8,875267
2019-04-25,32.96,698150
2019-04-26,33.15,758492
2019-04-29,33.22,559193
2019-04-30,33.9,1412292
2019-05-01,33.47,1181753
2019-05-02,33.11,1145168
2019-05-03,33.62,1225857
2019-05-06,33.68,978864
2019-05-07,33.11,1332892
2019-05-08,33.74,1837361
2019-05-09,33.86,1480469
2019-05-10,33.74,774198
2019-05-13,32.94,709694
2019-05-14,33.21,555227
2019-05-15,33.18,558666
2019-05-16,33.29,386062
2019-05-17,32.84,682879
2019-05-20,32.75,750259
2019-05-21,32.99,545523
2019-05-22,32.28,712060
2019-05-23,31.56,702923
2019-05-24,31.56,470860
2019-05-28,31.24,928796
2019-05-29,31.22,860061
2019-05-30,31.43,903388
2019-05-31,31.9,1888711
2019-06-03,32.33,1378281
2019-06-04,33.17,1237630
2019-06-05,33.29,1180342
2019-06-06,33.18,1549911
2019-06-07,33.47,1074104
2019-06-10,33.45,940995
2019-06-11,33.43,1244197
2019-06-12,33.2,898668
2019-06-13,33.42,824999
2019-06-14,33.4,1004006
2019-06-17,35.17,3167300
2019-06-18,35.82,1997741
2019-06-19,36.54,1133424
2019-06-20,36.73,2751731
2019-06-21,36.6,1868032
2019-06-24,36.54,978065
2019-06-25,36.59,1342258
2019-06-26,36.87,1294960
2019-06-27,37.42,740734
2019-06-28,37.85,1454318
2019-07-01,37.78,817165
2019-07-02,37.39,922678
2019-07-03,37.46,297490
2019-07-05,37.29,553347
2019-07-08,36.95,526473
2019-07-09,37.0,492171
2019-07-10,36.8,797498
2019-07-11,36.68,858848
2019-07-12,37.37,504673
2019-07-15,37.36,371488
2019-07-16,37.36,1016785
2019-07-17,36.94,399273
2019-07-18,36.5,685841
2019-07-19,36.51,1069954
