date,close,volume
2018-04-25,29.75,3714
2018-04-26,30.0,6687
2018-04-27,29.85,11215
2018-04-30,30.0,11040
2018-05-01,30.5,11004
2018-05-02,30.6,10278
2018-05-03,30.55,12323
2018-05-04,30.95,6935
2018-05-07,31.0,4499
2018-05-08,31.65,11066
2018-05-09,31.65,6083
2018-05-10,31.8,7592
2018-05-11,31.9,4502
2018-05-14,31.25,6292
2018-05-15,31.4,5597
2018-05-16,31.55,7822
2018-05-17,31.9,5379
2018-05-18,31.9,7956
2018-05-21,31.65,15993
2018-05-22,31.15,5527
2018-05-23,31.6,2416
2018-05-24,31.6,2043
2018-05-25,31.3,2157
2018-05-29,31.9,3934
2018-05-30,31.55,10752
2018-05-31,31.5,6506
2018-06-01,31.6,8064
2018-06-04,31.7,5774
2018-06-05,31.6,5086
2018-06-06,31.75,17393
2018-06-07,32.2,6682
2018-06-08,31.7,6935
2018-06-11,31.75,3353
2018-06-12,31.25,5617
2018-06-13,31.05,6516
2018-06-14,31.15,4198
2018-06-15,31.65,17203
2018-06-18,31.65,4520
2018-06-19,31.5,5266
2018-06-20,32.2,6751
2018-06-21,32.55,13645
2018-06-22,35.65,86430
2018-06-25,34.6,22966
2018-06-26,34.8,26005
2018-06-27,34.7,10753
2018-06-28,34.15,9487
2018-06-29,34.05,13346
2018-07-02,35.0,29319
2018-07-03,34.9,3822
2018-07-05,35.15,8145
2018-07-06,35.5,6410
2018-07-09,35.3,10766
2018-07-10,35.0,5559
2018-07-11,34.8,12334
2018-07-12,35.2,6055
2018-07-13,34.8,6296
2018-07-16,34.4,9051
2018-07-17,34.7,10446
2018-07-18,34.8,2542
2018-07-19,34.75,8374
2018-07-20,34.8,3481
2018-07-23,34.9,9336
2018-07-24,34.8,7692
2018-07-25,34.6,13436
2018-07-26,35.0,4696
2018-07-27,34.6,5494
2018-07-30,34.4,4497
2018-07-31,34.3,4782
2018-08-01,34.3,8303
2018-08-02,34.7,6830
2018-08-03,34.0,4842
2018-08-06,33.75,7596
2018-08-07,33.55,4936
2018-08-08,33.7,2190
2018-08-09,34.15,8451
2018-08-10,34.0,4769
2018-08-13,34.6,5548
2018-08-14,34.6,5428
2018-08-15,33.7,8266
2018-08-16,33.9,7410
2018-08-17,33.85,5802
2018-08-20,34.55,9923
2018-08-21,34.55,7723
2018-08-22,34.7,5990
2018-08-23,35.0,1756
2018-08-24,35.25,5597
2018-08-27,35.35,7150
2018-08-28,35.5,3633
2018-08-29,35.7,4465
2018-08-30,35.5,2049
2018-08-31,35.8,4267
2018-09-04,35.7,4094
2018-09-05,35.65,2437
2018-09-06,35.6,3501
2018-09-07,35.8,3435
2018-09-10,37.85,8210
2018-09-11,38.7,11756
2018-09-12,40.2,17562
2018-09-13,40.15,9230
2018-09-14,39.3,11024
2018-09-17,39.25,11353
2018-09-18,38.55,6053
2018-09-19,38.55,7774
2018-09-20,39.85,12814
2018-09-21,38.35,41095
2018-09-24,37.75,10367
2018-09-25,37.95,6428
2018-09-26,37.85,4485
2018-09-27,37.95,4562
2018-09-28,37.2,7560
2018-10-01,36.7,10754
2018-10-02,36.8,4508
2018-10-03,37.6,9208
