date,close,volume
2018-04-25,217.32,2946092
2018-04-26,221.91,2235942
2018-04-27,221.9,1503148
2018-04-30,221.6,1766330
2018-05-01,224.08,1792948
2018-05-02,221.1,2202895
2018-05-03,226.05,2507925
2018-05-04,228.51,1663737
2018-05-07,230.99,1808338
2018-05-08,234.56,2244572
2018-05-09,239.74,3091588
2018-05-10,241.15,1941395
2018-05-11,241.88,2261704
2018-05-14,238.37,2670821
2018-05-15,236.6,2130349
2018-05-16,237.39,1843652
2018-05-17,236.85,1690642
2018-05-18,238.09,1888196
2018-05-21,238.1,1757941
2018-05-22,238.79,2950223
2018-05-23,243.91,2757629
2018-05-24,245.15,2779634
2018-05-25,243.56,2152871
2018-05-29,242.19,2093449
2018-05-30,247.4,2319344
2018-05-31,249.28,3838370
2018-06-01,251.31,2773194
2018-06-04,253.34,3058747
2018-06-05,252.7,2677427
2018-06-06,253.95,3963638
2018-06-07,247.51,4169213
2018-06-08,251.21,2880597
2018-06-11,251.0,2868208
2018-06-12,252.59,3513342
2018-06-13,256.13,3590741
2018-06-14,258.1,5618308
2018-06-15,251.82,9052820
2018-06-18,255.69,3764273
2018-06-19,251.74,3532529
2018-06-20,251.24,2577487
2018-06-21,248.83,2639732
2018-06-22,243.63,4124488
2018-06-25,239.68,4575365
2018-06-26,242.25,2998299
2018-06-27,237.68,3499484
2018-06-28,239.81,2217390
2018-06-29,243.81,3774674
2018-07-02,243.26,4127360
2018-07-03,242.01,1307705
2018-07-05,244.18,1863413
2018-07-06,248.19,1889695
2018-07-09,249.77,2170678
2018-07-10,248.63,2012389
2018-07-11,248.12,1730608
2018-07-12,254.87,2761631
2018-07-13,258.59,3934327
2018-07-16,254.68,2165057
2018-07-17,258.31,2551989
2018-07-18,259.78,2637027
2018-07-19,257.68,1980234
2018-07-20,257.54,2224270
2018-07-23,259.47,1935668
2018-07-24,257.49,2433299
2018-07-25,263.17,2345975
2018-07-26,261.93,2266146
2018-07-27,254.81,3030864
2018-07-30,242.32,5496791
2018-07-31,244.68,2939488
2018-08-01,248.01,3185354
2018-08-02,252.22,2395360
2018-08-03,253.28,2100275
2018-08-06,254.11,1535405
2018-08-07,253.39,1885363
2018-08-08,253.83,1589803
2018-08-09,253.8,2092042
2018-08-10,253.7,1788961
2018-08-13,253.54,1535494
2018-08-14,256.05,2100345
2018-08-15,250.52,2744650
2018-08-16,248.89,2420379
2018-08-17,245.7,2744156
2018-08-20,249.76,2901290
2018-08-21,251.5,2168922
2018-08-22,255.54,1895350
2018-08-23,257.0,2984332
2018-08-24,261.51,3862275
2018-08-27,262.4,2433040
2018-08-28,263.04,1867069
2018-08-29,268.36,3155151
2018-08-30,266.43,2409250
2018-08-31,263.51,2944461
2018-09-04,266.68,2158226
2018-09-05,256.14,4203322
2018-09-06,259.75,2810834
2018-09-07,260.87,2894348
2018-09-10,265.37,2633558
2018-09-11,267.0,2866078
2018-09-12,267.79,3365421
2018-09-13,268.52,4773968
2018-09-14,274.69,6182502
2018-09-17,268.25,3080942
2018-09-18,270.79,2684423
2018-09-19,264.88,2801378
2018-09-20,266.34,2560184
2018-09-21,260.88,6186497
2018-09-24,264.09,2619133
2018-09-25,267.84,2298022
2018-09-26,268.47,2027658
2018-09-27,269.91,1735155
2018-09-28,269.95,2784504
2018-10-01,275.49,3553432
2018-10-02,272.0,3254406
2018-10-03,270.51,2726375
2018-10-04,263.71,3780326
2018-10-05,263.22,3098832
2018-10-08,254.69,5109168
2018-10-09,254.16,2597721
2018-10-10,237.91,5309318
2018-10-11,238.59,7042917
2018-10-12,248.87,4779938
2018-10-15,238.01,5106421
2018-10-16,260.67,8679636
2018-10-17,258.91,4405056
2018-10-18,250.35,5378932
2018-10-19,245.03,4070625
2018-10-22,251.06,3486990
2018-10-23,251.76,5006280
2018-10-24,238.44,4859524
2018-10-25,252.92,5283634
2018-10-26,245.8,4505846
2018-10-29,239.75,4725035
2018-10-30,238.41,5626772
2018-10-31,245.76,4422974
2018-11-01,245.28,3192176
2018-11-02,239.64,4335346
2018-11-05,239.89,3224119
2018-11-06,240.56,2446675
2018-11-07,253.43,3790606
2018-11-08,249.96,2389273
2018-11-09,244.84,2765862
2018-11-12,236.67,3498270
2018-11-13,238.74,4017536
2018-11-14,235.22,3261302
2018-11-15,239.95,3383487
2018-11-16,238.89,2897385
2018-11-19,219.69,7641894
2018-11-20,219.73,6180467
2018-11-21,225.98,4846563
2018-11-23,225.56,1691015
2018-11-26,231.96,3603692
2018-11-27,232.25,2882445
2018-11-28,249.21,6447110
2018-11-29,249.09,3723510
2018-11-30,250.89,5156668
2018-12-03,255.26,4285915
2018-12-04,245.82,4041714
2018-12-06,250.63,3950611
2018-12-07,238.0,3971074
2018-12-10,244.09,3194293
2018-12-11,245.34,3179388
2018-12-12,245.55,4067868
2018-12-13,248.08,5395115
2018-12-14,230.0,12189411
2018-12-17,221.38,7059515
2018-12-18,226.18,5264971
2018-12-19,224.65,6110844
2018-12-20,218.65,6099382
2018-12-21,208.8,8828085
2018-12-24,205.16,2940454
2018-12-26,222.95,5897853
2018-12-27,225.14,3931134
2018-12-28,223.13,3160241
2018-12-31,226.24,2866443
2019-01-02,224.57,2784109
2019-01-03,215.7,3663514
2019-01-04,226.19,4043376
2019-01-07,229.26,3638526
2019-01-08,232.68,3685900
2019-01-09,235.43,3594435
2019-01-10,237.77,2704960
2019-01-11,237.55,3179485
2019-01-14,234.56,2607012
2019-01-15,242.36,3656486
2019-01-16,241.95,2885155
2019-01-17,244.4,2836201
2019-01-18,247.51,3711300
2019-01-22,243.85,4155486
2019-01-23,245.14,2031718
2019-01-24,242.56,3642950
2019-01-25,244.95,3821429
2019-01-28,241.85,2110409
2019-01-29,238.27,1937089
2019-01-30,242.67,2483107
2019-01-31,247.82,5007179
2019-02-01,247.38,3033305
2019-02-04,254.74,3705123
2019-02-05,254.82,3041982
2019-02-06,254.35,2539068
