date,close,volume
2018-04-25,18.94,4747963
2018-04-26,19.09,4576256
2018-04-27,18.99,2926062
2018-04-30,18.92,2936730
2018-05-01,18.86,2170067
2018-05-02,18.74,3551222
2018-05-03,18.83,4190371
2018-05-04,19.05,3464323
2018-05-07,19.14,3218726
2018-05-08,18.8,3474638
2018-05-09,18.8,3002217
2018-05-10,19.01,2802701
2018-05-11,19.0,2151173
2018-05-14,18.97,2913765
2018-05-15,18.87,3036756
2018-05-16,18.88,3180202
2018-05-17,18.84,2076815
2018-05-18,18.89,3035417
2018-05-21,19.1,3988051
2018-05-22,19.11,4052954
2018-05-23,19.18,4368380
2018-05-24,18.9,32343990
2018-05-25,19.09,8348158
2018-05-29,19.17,8870250
2018-05-30,19.26,7462557
2018-05-31,18.82,9440738
2018-06-01,18.88,5945058
2018-06-04,18.89,4486087
2018-06-05,18.88,3478151
2018-06-06,18.83,6485131
2018-06-07,18.9,3374292
2018-06-08,18.98,4255201
2018-06-11,18.96,5457755
2018-06-12,18.91,7039348
2018-06-13,18.78,5925270
2018-06-14,19.0,4083165
2018-06-15,18.9,8693406
2018-06-18,18.94,4210075
2018-06-19,18.99,5386653
2018-06-20,18.94,5535216
2018-06-21,18.9,6677818
2018-06-22,18.9,5556651
2018-06-25,18.9,3844096
2018-06-26,18.81,3808180
2018-06-27,18.62,4728526
2018-06-28,18.76,3870597
2018-06-29,18.59,4806319
2018-07-02,18.83,3433859
2018-07-03,18.95,2730972
2018-07-05,19.04,3448511
2018-07-06,19.07,4017243
2018-07-09,19.02,5267837
2018-07-10,19.06,4925016
2018-07-11,19.13,2946786
2018-07-12,19.03,3771857
2018-07-13,19.06,2230051
2018-07-16,19.06,3945623
2018-07-17,19.14,4712285
2018-07-18,19.04,6005592
2018-07-19,19.13,3002137
2018-07-20,19.22,5008055
2018-07-23,19.11,4960488
2018-07-24,19.16,4177157
2018-07-25,19.25,2969937
2018-07-26,19.37,5687268
2018-07-27,19.48,4533463
2018-07-30,19.61,6157936
2018-07-31,19.47,6096465
2018-08-01,18.93,47076327
2018-08-02,19.16,10315148
2018-08-03,19.08,10141119
2018-08-06,19.09,3615242
2018-08-07,18.8,6620078
