date,close,volume
2018-04-25,7.38,84085
2018-04-26,7.36,94915
2018-04-27,7.65,84397
2018-04-30,7.76,73827
2018-05-01,7.89,78338
2018-05-02,7.81,58425
2018-05-03,7.85,76815
2018-05-04,7.96,78243
2018-05-07,7.72,80248
2018-05-08,7.83,78795
2018-05-09,8.06,68557
2018-05-10,7.75,75238
2018-05-11,7.71,79354
2018-05-14,7.62,94112
2018-05-15,7.41,94762
2018-05-16,7.39,50929
2018-05-17,7.22,74077
2018-05-18,7.2,72640
2018-05-21,7.28,74250
2018-05-22,6.9,68547
2018-05-23,6.65,66120
2018-05-24,6.68,65018
2018-05-25,6.61,57100
2018-05-29,6.19,43006
2018-05-30,5.95,62679
2018-05-31,5.6,60831
2018-06-01,5.74,63265
2018-06-04,5.93,59745
2018-06-05,5.91,80730
2018-06-06,6.63,59639
2018-06-07,6.55,64741
2018-06-08,6.54,75720
2018-06-11,6.94,85556
2018-06-12,6.4,54600
2018-06-13,6.09,37188
2018-06-14,6.3,40288
2018-06-15,6.02,33704
2018-06-18,5.96,25433
2018-06-19,5.86,51082
2018-06-20,6.08,21028
2018-06-21,6.05,28281
2018-06-22,5.9,25734
2018-06-25,5.75,34136
2018-06-26,5.7,142114
2018-06-27,5.84,38102
2018-06-28,5.53,24582
2018-06-29,5.6,58187
2018-07-02,5.39,22654
2018-07-03,5.45,17267
2018-07-05,5.39,21313
2018-07-06,5.3,20167
2018-07-09,5.22,18036
2018-07-10,5.21,36209
2018-07-11,4.88,27923
2018-07-12,4.73,26710
2018-07-13,4.61,27366
2018-07-16,4.53,19433
2018-07-17,4.34,20799
2018-07-18,4.19,60881
2018-07-19,4.2,12564
2018-07-20,4.33,18242
2018-07-23,4.37,10657
2018-07-24,4.41,15529
2018-07-25,4.35,17503
2018-07-26,4.42,14372
2018-07-27,4.36,12645
2018-07-30,4.55,2574
2018-07-31,4.71,2029
2018-08-01,3.87,33914
2018-08-02,4.53,15345
2018-08-03,4.42,48220
2018-08-06,4.62,1100
2018-08-07,4.46,1306
2018-08-08,4.25,578
2018-08-09,4.11,4500
2018-08-10,4.15,41206
2018-08-13,4.37,3871
2018-08-14,4.42,1002
2018-08-15,4.45,507
2018-08-16,4.57,3107
2018-08-17,4.84,82614
2018-08-20,4.62,13582
2018-08-21,5.23,29908
2018-08-22,5.11,5831
2018-08-23,5.31,2105
2018-08-24,5.21,5287
2018-08-27,5.23,5097
2018-08-28,5.2,2661
2018-08-29,5.25,1404
2018-08-30,5.28,1633
2018-08-31,5.21,967
2018-09-04,5.27,915
2018-09-05,5.21,895
2018-09-06,5.17,23026
2018-09-07,5.1,9090
2018-09-10,5.17,19704
2018-09-11,5.15,13640
2018-09-12,5.08,7318
2018-09-13,4.84,40662
2018-09-14,4.94,300
2018-09-17,5.19,9403
2018-09-18,5.2,11337
2018-09-19,5.2,5962
2018-09-20,5.06,30023
2018-09-21,5.23,53889
2018-09-24,5.29,4107
2018-09-25,5.0,7065
2018-09-26,4.8,8086
2018-09-27,4.48,10825
2018-09-28,4.64,8322
2018-10-01,4.65,11041
2018-10-02,4.64,7771
2018-10-03,4.55,13671
2018-10-04,4.38,8766
2018-10-05,4.26,17300
2018-10-08,4.31,4972
2018-10-09,4.17,15670
2018-10-10,4.13,2418
2018-10-11,4.3,19722
2018-10-12,4.29,14731
2018-10-15,4.15,4884
2018-10-16,4.1,11144
2018-10-17,4.3,13730
2018-10-18,4.13,14505
2018-10-19,4.16,26889
2018-10-22,4.2,7510
2018-10-23,4.09,10498
2018-10-24,4.09,10661
