date,close,volume
2018-04-25,7.2,50020
2018-04-26,7.35,105152
2018-04-27,8.0,641737
2018-04-30,7.85,97580
2018-05-01,7.85,59801
2018-05-02,8.0,90443
2018-05-03,7.95,52313
2018-05-04,7.9,46686
2018-05-07,7.8,39876
2018-05-08,8.05,57465
2018-05-09,8.1,70207
2018-05-10,7.75,68735
2018-05-11,8.3,101461
2018-05-14,8.65,182693
2018-05-15,8.45,70132
2018-05-16,8.9,118509
2018-05-17,9.18,219956
2018-05-18,8.8,90617
2018-05-21,8.48,58646
2018-05-22,8.65,37329
2018-05-23,8.7,133255
2018-05-24,8.73,100175
2018-05-25,8.65,120061
2018-05-29,8.25,65282
2018-05-30,8.3,56221
2018-05-31,8.4,61393
2018-06-01,8.1,95456
2018-06-04,8.3,72824
2018-06-05,8.4,49349
2018-06-06,8.4,47220
2018-06-07,8.35,77898
2018-06-08,8.45,65150
2018-06-11,8.4,67823
2018-06-12,8.6,144641
2018-06-13,8.5,83589
2018-06-14,8.65,129135
2018-06-15,8.85,120119
2018-06-18,8.65,124145
2018-06-19,8.6,101252
2018-06-20,8.43,153963
2018-06-21,8.5,137838
2018-06-22,8.55,1668937
2018-06-25,8.2,73215
2018-06-26,8.48,97948
2018-06-27,8.05,81926
2018-06-28,8.15,61206
2018-06-29,7.95,77999
2018-07-02,8.05,36733
2018-07-03,8.05,32313
2018-07-05,8.2,77180
2018-07-06,8.2,45445
2018-07-09,8.25,66899
2018-07-10,8.2,116364
2018-07-11,8.28,115879
2018-07-12,8.4,55036
2018-07-13,8.55,100344
2018-07-16,7.95,106728
2018-07-17,8.05,64419
2018-07-18,8.05,53058
2018-07-19,8.05,41416
2018-07-20,7.9,46104
2018-07-23,7.9,74275
2018-07-24,7.55,206190
2018-07-25,7.35,127328
2018-07-26,7.45,104035
2018-07-27,7.3,173598
2018-07-30,6.8,130200
2018-07-31,6.95,77180
2018-08-01,7.15,76774
2018-08-02,7.2,50122
2018-08-03,6.95,58937
2018-08-06,6.95,48280
2018-08-07,7.05,66022
2018-08-08,7.15,65618
2018-08-09,7.45,71418
2018-08-10,7.75,85382
2018-08-13,7.7,56279
2018-08-14,7.55,152893
2018-08-15,7.2,154149
2018-08-16,7.25,50173
2018-08-17,7.15,53935
2018-08-20,7.1,35102
2018-08-21,7.45,79162
2018-08-22,7.8,63580
2018-08-23,7.65,50704
2018-08-24,7.6,50189
2018-08-27,7.55,88604
2018-08-28,7.65,34258
2018-08-29,7.75,95345
2018-08-30,8.15,78558
2018-08-31,8.45,72949
2018-09-04,8.15,80360
2018-09-05,7.8,72654
2018-09-06,7.85,101504
2018-09-07,7.9,46573
2018-09-10,8.2,66954
2018-09-11,8.25,62889
2018-09-12,8.0,26710
2018-09-13,7.8,87223
2018-09-14,7.85,37606
2018-09-17,7.65,38471
2018-09-18,7.85,74381
2018-09-19,8.05,157436
2018-09-20,8.5,259759
2018-09-21,9.1,440874
2018-09-24,9.65,585248
2018-09-25,9.9,291747
2018-09-26,13.35,21268610
2018-09-27,14.35,4522862
2018-09-28,13.8,4310490
2018-10-01,13.05,1540246
2018-10-02,13.29,690583
