date,close,volume
2018-04-25,168.99,394245
2018-04-26,170.08,410185
2018-04-27,170.0,571844
2018-04-30,164.86,993884
2018-05-01,164.13,541699
2018-05-02,161.09,958691
2018-05-03,160.07,525379
2018-05-04,161.72,329045
2018-05-07,162.45,306319
2018-05-08,163.28,414472
2018-05-09,163.53,252017
2018-05-10,164.7,224405
2018-05-11,164.76,177136
2018-05-14,165.86,340330
2018-05-15,166.56,345715
2018-05-16,167.33,224635
2018-05-17,169.25,398033
2018-05-18,167.71,230641
2018-05-21,166.82,306973
2018-05-22,167.43,323862
2018-05-23,164.96,274681
2018-05-24,163.96,200951
2018-05-25,163.33,537767
2018-05-29,157.23,580295
2018-05-30,160.86,538162
2018-05-31,159.26,367708
2018-06-01,161.23,271674
2018-06-04,162.28,316290
2018-06-05,163.32,415255
2018-06-06,166.9,526515
2018-06-07,165.17,409331
2018-06-08,165.05,488667
2018-06-11,163.76,233696
2018-06-12,162.18,330742
2018-06-13,156.0,920269
2018-06-14,155.51,563417
2018-06-15,155.81,740869
2018-06-18,153.0,667127
2018-06-19,154.0,863271
2018-06-20,152.73,520613
2018-06-21,153.43,549700
2018-06-22,154.62,610638
2018-06-25,153.57,871789
2018-06-26,151.72,720470
2018-06-27,149.8,496461
2018-06-28,151.43,596720
2018-06-29,148.67,540979
2018-07-02,148.9,441480
2018-07-03,147.23,184578
2018-07-05,148.02,328816
2018-07-06,148.06,635333
2018-07-09,150.9,413565
2018-07-10,152.43,426074
2018-07-11,150.32,342930
2018-07-12,149.16,345285
2018-07-13,148.48,366921
2018-07-16,148.62,547186
2018-07-17,148.49,251072
2018-07-18,151.25,392505
2018-07-19,149.31,309620
2018-07-20,148.84,342571
2018-07-23,150.11,436596
2018-07-24,151.68,560586
2018-07-25,150.91,327789
2018-07-26,151.71,338580
2018-07-27,151.05,464900
2018-07-30,158.72,999404
2018-07-31,160.01,855399
2018-08-01,155.5,927348
2018-08-02,155.65,1019527
2018-08-03,152.06,1436481
2018-08-06,153.5,644838
2018-08-07,155.52,652095
2018-08-08,151.71,628539
2018-08-09,151.19,378471
2018-08-10,148.16,407253
2018-08-13,146.4,428378
2018-08-14,146.63,478306
2018-08-15,145.43,946379
2018-08-16,146.29,387246
2018-08-17,146.59,372715
2018-08-20,147.99,385575
2018-08-21,148.87,364133
2018-08-22,148.61,253275
2018-08-23,146.49,323122
2018-08-24,147.55,329632
2018-08-27,148.18,291780
2018-08-28,146.95,794472
2018-08-29,148.06,413721
2018-08-30,146.0,434896
2018-08-31,146.09,443874
2018-09-04,144.85,474820
2018-09-05,144.63,361528
2018-09-06,143.84,511435
2018-09-07,142.71,500963
2018-09-10,143.06,291443
2018-09-11,142.96,365935
2018-09-12,142.15,322776
2018-09-13,140.7,230699
2018-09-14,142.96,312601
2018-09-17,142.05,310965
2018-09-18,142.08,330331
2018-09-19,145.64,285968
2018-09-20,146.01,241428
2018-09-21,147.63,675714
2018-09-24,144.0,338183
2018-09-25,140.51,317098
2018-09-26,139.09,489916
2018-09-27,138.2,400255
2018-09-28,136.72,503771
2018-10-01,137.17,535784
2018-10-02,136.89,610795
2018-10-03,138.0,631883
2018-10-04,137.2,433046
