date,close,volume
2018-04-25,39.87,24595
2018-04-26,39.66,16749
2018-04-27,38.88,21123
2018-04-30,39.87,60733
2018-05-01,39.31,57693
2018-05-02,41.18,42284
2018-05-03,42.33,83282
2018-05-04,46.1,80855
2018-05-07,45.96,110828
2018-05-08,47.06,91834
2018-05-09,46.5,78140
2018-05-10,46.46,40438
2018-05-11,46.79,42876
2018-05-14,46.54,56263
2018-05-15,46.75,49302
2018-05-16,47.28,37835
2018-05-17,47.73,56908
2018-05-18,47.54,52574
2018-05-21,47.37,58174
2018-05-22,46.81,55631
2018-05-23,47.06,73405
2018-05-24,46.64,71064
2018-05-25,47.63,70254
2018-05-29,48.47,79721
2018-05-30,48.73,57149
2018-05-31,48.36,78267
2018-06-01,49.38,122076
2018-06-04,49.02,47651
2018-06-05,48.93,32108
2018-06-06,48.64,55972
2018-06-07,48.44,32155
2018-06-08,48.34,23860
2018-06-11,48.42,39455
2018-06-12,47.71,37918
2018-06-13,46.78,43780
2018-06-14,47.3,49205
2018-06-15,47.4,41869
2018-06-18,48.57,47928
2018-06-19,48.38,52400
2018-06-20,48.03,30891
2018-06-21,47.24,28062
2018-06-22,47.29,109315
2018-06-25,47.8,79499
2018-06-26,48.02,40672
2018-06-27,47.46,32844
2018-06-28,47.71,51322
2018-06-29,47.88,46463
2018-07-02,48.34,54084
2018-07-03,48.5,62753
2018-07-05,50.26,116158
2018-07-06,50.63,45933
2018-07-09,51.33,62652
2018-07-10,50.66,77185
2018-07-11,49.32,59514
2018-07-12,48.53,82515
2018-07-13,48.58,26413
2018-07-16,47.61,30850
2018-07-17,47.11,24181
2018-07-18,47.27,27038
2018-07-19,47.67,20351
2018-07-20,47.7,55615
2018-07-23,48.03,24766
2018-07-24,47.35,21180
2018-07-25,46.67,70717
2018-07-26,47.01,60062
2018-07-27,45.61,83020
2018-07-30,45.34,47566
2018-07-31,45.88,38804
2018-08-01,45.1,82560
2018-08-02,47.6,132498
2018-08-03,46.22,56211
2018-08-06,47.36,64610
2018-08-07,47.07,38299
2018-08-08,49.62,172901
2018-08-09,50.04,87164
2018-08-10,50.22,34957
2018-08-13,49.82,43497
2018-08-14,49.58,18269
2018-08-15,47.53,62467
2018-08-16,47.48,64516
2018-08-17,47.19,57040
2018-08-20,48.32,49868
2018-08-21,48.69,63348
2018-08-22,48.75,25013
2018-08-23,48.68,27655
2018-08-24,48.89,103626
2018-08-27,49.15,30370
2018-08-28,49.84,25428
2018-08-29,49.78,51969
2018-08-30,49.49,20489
2018-08-31,48.84,28686
2018-09-04,47.58,47031
2018-09-05,47.67,63897
2018-09-06,48.34,73544
2018-09-07,48.48,39173
2018-09-10,48.55,36306
2018-09-11,48.12,14386
2018-09-12,47.55,24568
2018-09-13,48.64,26637
2018-09-14,49.32,38105
2018-09-17,49.27,29682
2018-09-18,50.1,24131
2018-09-19,48.95,22991
2018-09-20,49.87,16058
2018-09-21,49.42,67672
2018-09-24,48.82,25768
2018-09-25,52.41,82898
2018-09-26,52.62,82839
2018-09-27,52.66,47949
