date,close,volume
2018-04-25,4.73,274116
2018-04-26,4.76,484014
2018-04-27,4.79,247424
2018-04-30,4.73,724160
2018-05-01,4.77,431521
2018-05-02,4.71,473164
2018-05-03,4.76,493660
2018-05-04,4.83,507895
2018-05-07,4.87,390805
2018-05-08,4.76,479587
2018-05-09,4.76,411692
2018-05-10,4.75,618778
2018-05-11,4.79,239399
2018-05-14,4.8,473918
2018-05-15,4.82,445259
2018-05-16,4.8,328632
2018-05-17,4.82,323857
2018-05-18,4.85,319690
2018-05-21,4.89,404343
2018-05-22,4.92,570956
2018-05-23,5.0,499368
2018-05-24,4.99,583739
2018-05-25,5.02,512408
2018-05-29,5.15,849312
2018-05-30,5.14,479991
2018-05-31,5.07,793551
2018-06-01,5.06,693410
2018-06-04,5.05,468308
2018-06-05,5.05,390582
2018-06-06,5.02,700037
2018-06-07,5.05,245882
2018-06-08,5.04,218847
2018-06-11,5.07,230572
2018-06-12,5.06,375657
2018-06-13,5.04,536307
2018-06-14,5.08,380180
2018-06-15,5.05,635865
2018-06-18,5.12,526369
2018-06-19,5.15,500958
2018-06-20,5.18,559290
2018-06-21,5.17,473861
2018-06-22,5.2,873761
2018-06-25,5.17,610283
2018-06-26,5.15,563802
2018-06-27,5.06,735019
2018-06-28,5.0,620749
2018-06-29,4.97,413243
2018-07-02,5.01,372090
2018-07-03,5.07,492325
2018-07-05,5.08,365267
2018-07-06,5.08,257285
2018-07-09,5.06,256457
2018-07-10,5.02,479905
2018-07-11,5.04,407820
2018-07-12,5.03,364932
2018-07-13,5.02,183343
2018-07-16,5.01,180089
2018-07-17,4.99,316052
2018-07-18,4.98,300142
2018-07-19,5.03,415284
2018-07-20,5.01,286875
2018-07-23,4.98,220133
2018-07-24,4.95,375164
2018-07-25,4.96,375897
2018-07-26,4.96,411423
2018-07-27,4.97,486581
2018-07-30,5.02,555594
2018-07-31,5.04,613868
2018-08-01,4.98,341875
2018-08-02,4.98,300482
2018-08-03,4.83,1050802
2018-08-06,4.86,307887
2018-08-07,4.85,394440
2018-08-08,4.83,476677
2018-08-09,4.85,248482
2018-08-10,4.89,267834
2018-08-13,4.91,229803
2018-08-14,4.92,260864
2018-08-15,4.86,407724
2018-08-16,4.83,501119
2018-08-17,4.84,520743
2018-08-20,4.89,302669
2018-08-21,4.89,441554
2018-08-22,4.89,276548
2018-08-23,4.87,247526
2018-08-24,4.84,494699
2018-08-27,4.83,341275
2018-08-28,4.87,245489
2018-08-29,4.89,386820
2018-08-30,4.93,227464
2018-08-31,4.88,314425
2018-09-04,4.89,352004
2018-09-05,4.94,446130
2018-09-06,5.0,351226
2018-09-07,4.94,498763
2018-09-10,4.92,747987
2018-09-11,4.89,206728
2018-09-12,4.84,772177
2018-09-13,4.8,367521
2018-09-14,4.76,351518
2018-09-17,4.81,561344
2018-09-18,4.77,401454
2018-09-19,4.73,768498
2018-09-20,4.74,379533
2018-09-21,4.81,1856697
2018-09-24,4.73,899777
2018-09-25,4.72,693106
2018-09-26,4.68,690951
2018-09-27,4.64,1206014
2018-09-28,4.63,568981
2018-10-01,4.58,1260702
2018-10-02,4.58,403823
2018-10-03,4.53,796033
2018-10-04,4.48,710498
2018-10-05,4.44,351237
2018-10-08,4.47,352936
2018-10-09,4.49,371714
2018-10-10,4.44,542778
2018-10-11,4.35,732746
2018-10-12,4.3,844675
2018-10-15,4.37,450198
2018-10-16,4.45,513858
2018-10-17,4.44,310160
