date,close,volume
2018-04-25,47.6,83404
2018-04-26,47.45,82669
2018-04-27,47.75,80100
2018-04-30,47.95,142058
2018-05-01,49.25,235071
2018-05-02,52.7,226200
2018-05-03,52.45,101965
2018-05-04,54.05,150559
2018-05-07,54.2,171378
2018-05-08,55.5,301985
2018-05-09,57.1,271005
2018-05-10,56.85,283841
2018-05-11,56.85,94965
2018-05-14,55.95,107985
2018-05-15,57.05,112197
2018-05-16,58.3,170117
2018-05-17,57.6,51500
2018-05-18,57.8,49852
2018-05-21,54.25,219741
2018-05-22,54.1,160840
2018-05-23,54.8,61830
2018-05-24,55.15,103059
2018-05-25,56.0,91602
2018-05-29,57.45,103195
2018-05-30,58.15,144946
2018-05-31,59.2,127800
2018-06-01,60.05,156851
2018-06-04,61.0,121720
2018-06-05,62.75,162445
2018-06-06,62.8,112599
2018-06-07,59.75,145222
2018-06-08,59.85,132354
2018-06-11,61.15,108923
2018-06-12,62.5,115047
2018-06-13,63.35,189629
2018-06-14,65.35,249505
2018-06-15,65.25,202327
2018-06-18,66.5,195833
2018-06-19,66.9,297980
2018-06-20,66.5,200274
2018-06-21,64.25,162067
2018-06-22,63.15,739333
2018-06-25,62.25,217795
2018-06-26,63.05,151654
2018-06-27,61.05,184221
2018-06-28,61.05,295932
2018-06-29,61.15,205263
2018-07-02,62.25,123041
2018-07-03,61.75,75167
2018-07-05,62.25,104407
2018-07-06,62.4,81841
2018-07-09,63.1,117230
2018-07-10,61.6,67199
2018-07-11,61.55,74177
2018-07-12,62.75,84671
2018-07-13,63.0,81219
2018-07-16,62.95,61468
2018-07-17,65.45,153162
2018-07-18,64.5,73340
2018-07-19,66.35,121143
2018-07-20,65.75,100154
2018-07-23,66.7,67718
2018-07-24,65.5,93572
2018-07-25,66.8,61460
2018-07-26,67.75,103043
2018-07-27,64.85,118832
2018-07-30,61.85,122673
2018-07-31,72.2,327568
2018-08-01,75.95,384598
2018-08-02,76.85,252308
2018-08-03,74.6,174224
2018-08-06,75.4,127923
2018-08-07,74.95,188894
2018-08-08,74.75,152027
2018-08-09,76.2,201629
2018-08-10,76.3,122655
2018-08-13,77.2,75972
2018-08-14,77.8,141575
2018-08-15,77.6,116771
2018-08-16,77.8,125326
2018-08-17,77.15,126384
2018-08-20,76.45,239025
2018-08-21,77.5,97150
2018-08-22,78.05,142932
2018-08-23,78.95,78907
2018-08-24,80.9,151677
2018-08-27,82.2,135290
2018-08-28,81.75,135560
2018-08-29,81.9,136717
2018-08-30,84.35,125743
2018-08-31,85.4,131155
2018-09-04,88.25,161329
2018-09-05,85.9,187963
2018-09-06,85.55,110420
2018-09-07,85.9,119512
2018-09-10,88.9,129421
2018-09-11,89.1,262191
2018-09-12,88.35,145918
2018-09-13,90.85,122358
2018-09-14,88.85,164427
2018-09-17,85.9,169588
2018-09-18,86.7,181316
2018-09-19,83.8,212050
2018-09-20,82.75,216010
2018-09-21,80.55,357086
2018-09-24,81.25,180602
2018-09-25,82.35,150417
2018-09-26,80.0,175733
2018-09-27,79.5,177067
2018-09-28,78.4,224516
2018-10-01,76.02,201091
2018-10-02,74.03,341742
2018-10-03,74.97,126237
2018-10-04,72.45,201672
2018-10-05,71.42,230951
2018-10-08,67.93,271756
2018-10-09,67.0,179612
2018-10-10,63.38,242457
2018-10-11,62.64,302778
2018-10-12,64.93,269369
2018-10-15,63.24,231538
2018-10-16,65.6,125419
2018-10-17,65.5,169431
