date,close,volume
2018-04-25,3.25,203588
2018-04-26,3.16,168177
2018-04-27,3.33,132019
2018-04-30,3.24,74131
2018-05-01,3.17,127924
2018-05-02,3.18,429262
2018-05-03,3.22,361506
2018-05-04,3.27,88416
2018-05-07,3.28,103328
2018-05-08,3.32,100826
2018-05-09,3.27,126962
2018-05-10,3.23,135273
2018-05-11,3.27,186793
2018-05-14,3.35,131585
2018-05-15,3.29,219563
2018-05-16,3.33,172641
2018-05-17,3.34,103872
2018-05-18,3.44,492124
2018-05-21,3.42,203157
2018-05-22,3.4,153469
2018-05-23,3.45,113333
2018-05-24,3.63,1024007
2018-05-25,3.6,311847
2018-05-29,3.54,185135
2018-05-30,3.65,987984
2018-05-31,3.55,859243
2018-06-01,3.59,632302
2018-06-04,3.61,469974
2018-06-05,3.62,322053
2018-06-06,3.71,543236
2018-06-07,3.77,536758
2018-06-08,4.07,1312428
2018-06-11,4.33,1032578
2018-06-12,4.05,832535
2018-06-13,4.0,517960
2018-06-14,3.89,890629
2018-06-15,4.16,800518
2018-06-18,4.5,1315084
2018-06-19,4.39,788320
2018-06-20,4.2,547480
2018-06-21,4.13,407255
2018-06-22,4.06,231383
2018-06-25,3.85,402782
2018-06-26,4.0,266575
2018-06-27,3.76,333972
2018-06-28,3.78,385036
2018-06-29,3.94,2019369
2018-07-02,3.79,579992
2018-07-03,3.91,140610
2018-07-05,3.84,211648
2018-07-06,3.64,358999
2018-07-09,3.5,619186
2018-07-10,3.43,475728
2018-07-11,3.2,452077
2018-07-12,3.35,448308
2018-07-13,3.21,515709
2018-07-16,3.13,462218
2018-07-17,3.36,349753
2018-07-18,3.29,203649
2018-07-19,3.3,108821
2018-07-20,3.13,150413
2018-07-23,2.99,364199
2018-07-24,2.87,291943
2018-07-25,2.9,251159
2018-07-26,2.79,331080
2018-07-27,2.75,319287
2018-07-30,2.89,210487
2018-07-31,3.05,308266
2018-08-01,2.92,110474
2018-08-02,2.86,272601
2018-08-03,2.74,133926
2018-08-06,2.8,105566
2018-08-07,2.75,240853
2018-08-08,2.79,382867
2018-08-09,3.05,236478
2018-08-10,3.02,168649
2018-08-13,3.01,94216
2018-08-14,3.14,103812
2018-08-15,2.93,94812
2018-08-16,2.9,44861
2018-08-17,3.0,153560
2018-08-20,2.86,198928
2018-08-21,2.89,162499
2018-08-22,2.88,160586
2018-08-23,2.89,307920
2018-08-24,2.89,141279
2018-08-27,2.87,151254
2018-08-28,2.78,88882
2018-08-29,2.77,104261
2018-08-30,2.86,180968
2018-08-31,2.93,109187
2018-09-04,3.0,174043
2018-09-05,2.97,264715
2018-09-06,3.04,105922
2018-09-07,3.05,172867
2018-09-10,3.01,260783
2018-09-11,2.97,112911
2018-09-12,2.87,64400
2018-09-13,2.77,178404
2018-09-14,2.73,167620
2018-09-17,2.67,187807
2018-09-18,2.57,268603
2018-09-19,2.71,99690
2018-09-20,2.59,126417
2018-09-21,2.6,121400
2018-09-24,2.65,43713
2018-09-25,2.67,92641
2018-09-26,2.66,87620
2018-09-27,2.72,141487
2018-09-28,2.6,87442
2018-10-01,2.41,308193
2018-10-02,2.42,203588
2018-10-03,2.61,118400
2018-10-04,2.46,149680
2018-10-05,2.42,130687
2018-10-08,2.09,375979
2018-10-09,1.9,2961655
2018-10-10,2.14,474524
2018-10-11,2.09,223419
2018-10-12,2.18,188272
2018-10-15,2.37,219602
2018-10-16,2.49,268995
2018-10-17,2.32,144124
2018-10-18,2.28,59126
2018-10-19,2.2,178831
2018-10-22,2.14,154627
2018-10-23,2.12,266233
2018-10-24,2.07,160363
2018-10-25,2.03,96984
2018-10-26,2.04,154256
2018-10-29,2.0,155174
2018-10-30,2.0,132629
2018-10-31,2.17,221252
2018-11-01,2.56,345933
2018-11-02,2.43,153687
2018-11-05,2.42,111571
2018-11-06,2.38,63141
2018-11-07,2.38,409407
2018-11-08,2.4,176925
2018-11-09,2.3,158300
2018-11-12,2.08,191183
2018-11-13,2.0,180351
2018-11-14,1.96,361949
2018-11-15,2.06,95600
2018-11-16,2.3,231499
2018-11-19,2.19,149280
2018-11-20,2.16,108432
2018-11-21,2.17,63292
2018-11-23,2.2,47074
2018-11-26,2.18,214827
2018-11-27,2.17,48252
2018-11-28,2.28,69767
2018-11-29,2.21,82663
2018-11-30,2.29,97487
2018-12-03,2.27,155025
2018-12-04,2.18,212378
2018-12-06,2.08,374703
2018-12-07,2.1,133555
2018-12-10,2.09,131492
2018-12-11,2.2,97793
2018-12-12,2.4,438991
2018-12-13,2.33,204379
2018-12-14,2.26,223535
2018-12-17,2.16,306640
2018-12-18,2.06,233864
2018-12-19,2.06,272763
2018-12-20,1.97,322797
2018-12-21,1.98,241344
2018-12-24,1.84,118394
2018-12-26,1.96,160899
2018-12-27,1.89,192357
2018-12-28,1.91,97049
2018-12-31,1.91,245145
2019-01-02,2.2,455818
2019-01-03,2.08,152240
2019-01-04,2.21,347101
2019-01-07,2.34,235152
2019-01-08,2.4,127558
2019-01-09,2.25,242344
2019-01-10,2.18,97089
2019-01-11,2.13,76016
2019-01-14,2.1,87636
2019-01-15,2.24,88257
2019-01-16,2.29,246897
2019-01-17,2.25,130130
2019-01-18,2.21,101348
2019-01-22,2.14,103345
2019-01-23,2.08,155902
2019-01-24,2.02,141175
2019-01-25,2.07,454183
2019-01-28,2.05,330408
2019-01-29,2.0,229703
2019-01-30,2.05,155619
2019-01-31,1.97,307859
2019-02-01,2.03,172378
2019-02-04,1.98,195886
2019-02-05,1.99,226296
2019-02-06,1.97,83019
2019-02-07,1.94,212330
2019-02-08,1.91,204560
2019-02-11,1.89,131615
2019-02-12,1.97,157657
2019-02-13,1.93,57997
2019-02-14,1.89,236829
2019-02-15,1.9,220543
2019-02-19,1.92,252079
2019-02-20,1.9,135632
2019-02-21,1.93,416951
2019-02-22,1.99,706003
2019-02-25,1.89,809015
2019-02-26,1.88,366733
2019-02-27,1.79,415159
2019-02-28,1.76,270366
2019-03-01,1.79,704108
2019-03-04,1.7,675835
2019-03-05,1.71,477273
2019-03-06,1.61,352101
2019-03-07,1.69,481628
2019-03-08,1.64,239135
2019-03-11,1.65,126869
2019-03-12,1.74,194806
2019-03-13,1.81,539005
2019-03-14,1.9,275987
2019-03-15,1.96,249867
2019-03-18,2.11,689681
2019-03-19,2.18,353105
2019-03-20,2.26,666568
2019-03-21,2.43,831234
2019-03-22,2.32,494867
2019-03-25,2.27,485292
2019-03-26,2.23,393260
2019-03-27,2.02,316300
2019-03-28,1.98,300240
2019-03-29,2.01,249500
2019-04-01,1.98,145916
2019-04-02,1.98,88449
2019-04-03,1.95,166043
2019-04-04,1.96,41218
2019-04-05,1.94,178586
2019-04-08,1.94,52725
2019-04-09,1.9,82081
2019-04-10,1.9,121745
2019-04-11,1.85,153214
2019-04-12,1.89,128110
2019-04-15,1.89,143941
2019-04-16,1.85,180485
2019-04-17,1.85,111706
2019-04-18,1.83,103226
2019-04-22,1.91,172228
2019-04-23,1.91,259954
2019-04-24,1.88,58678
2019-04-25,2.0,588846
2019-04-26,2.03,524708
2019-04-29,2.02,139416
2019-04-30,1.93,124673
2019-05-01,1.95,86173
2019-05-02,2.07,118255
2019-05-03,2.28,496441
2019-05-06,2.28,178461
2019-05-07,2.23,125848
2019-05-08,2.24,94924
2019-05-09,2.18,183962
2019-05-10,2.18,71313
2019-05-13,2.03,171919
2019-05-14,2.02,217553
2019-05-15,2.02,104240
2019-05-16,2.03,125977
2019-05-17,2.09,137691
2019-05-20,2.05,159842
2019-05-21,2.0,108304
2019-05-22,1.98,158113
2019-05-23,1.98,204258
2019-05-24,2.03,135911
2019-05-28,2.01,246637
2019-05-29,2.25,304484
2019-05-30,2.0,2861943
2019-05-31,2.0,489631
2019-06-03,1.95,656356
