date,close,volume
2018-04-25,3.48,23845
2018-04-26,3.5,19878
2018-04-27,3.5,45021
2018-04-30,3.49,103985
2018-05-01,3.52,29872
2018-05-02,3.61,51526
2018-05-03,3.55,32601
2018-05-04,3.6,37450
2018-05-07,3.81,339030
2018-05-08,3.76,310534
2018-05-09,3.76,37627
2018-05-10,3.75,23340
2018-05-11,3.72,54337
2018-05-14,3.65,81592
2018-05-15,3.94,213918
2018-05-16,4.02,197644
2018-05-17,4.08,275042
2018-05-18,4.2,94156
2018-05-21,4.18,59745
2018-05-22,3.76,91047
2018-05-23,3.76,95582
2018-05-24,3.76,40259
2018-05-25,3.78,25940
2018-05-29,3.91,31333
2018-05-30,3.92,55087
2018-05-31,3.92,16556
2018-06-01,4.19,129710
2018-06-04,4.04,34672
2018-06-05,4.19,57185
2018-06-06,3.99,54392
2018-06-07,3.83,65207
2018-06-08,3.81,56158
2018-06-11,3.96,75953
2018-06-12,3.78,33135
2018-06-13,3.71,69432
2018-06-14,3.81,64261
2018-06-15,3.8,40464
2018-06-18,3.77,17004
2018-06-19,3.7,21666
2018-06-20,3.93,87593
2018-06-21,4.02,115991
2018-06-22,4.11,53615
2018-06-25,3.99,22304
2018-06-26,4.36,470203
2018-06-27,4.4,128190
2018-06-28,4.26,82547
2018-06-29,4.35,57796
2018-07-02,4.58,148922
2018-07-03,4.8,168615
2018-07-05,4.89,141690
2018-07-06,4.99,326465
2018-07-09,5.25,787417
2018-07-10,5.0,536957
2018-07-11,5.18,207177
2018-07-12,5.17,62613
2018-07-13,5.15,86435
2018-07-16,5.15,76131
2018-07-17,5.1,127687
2018-07-18,5.11,95599
2018-07-19,5.19,112821
2018-07-20,5.23,51575
2018-07-23,5.33,177384
2018-07-24,5.16,86795
2018-07-25,5.19,45640
2018-07-26,5.34,92737
2018-07-27,4.88,218734
2018-07-30,4.9,68564
2018-07-31,4.83,49606
2018-08-01,4.97,128460
2018-08-02,4.98,143378
2018-08-03,4.94,199881
2018-08-06,4.98,111315
2018-08-07,4.93,223646
2018-08-08,4.71,204536
2018-08-09,4.82,90246
2018-08-10,4.83,155823
2018-08-13,4.75,145987
2018-08-14,4.69,179252
2018-08-15,4.65,191102
2018-08-16,4.63,243378
2018-08-17,4.86,107768
2018-08-20,4.82,145015
2018-08-21,4.87,132978
2018-08-22,4.91,18159
2018-08-23,4.98,124283
2018-08-24,4.94,111640
2018-08-27,4.93,47761
2018-08-28,4.93,52938
2018-08-29,4.96,21931
2018-08-30,5.3,235285
2018-08-31,5.34,79776
2018-09-04,6.19,1168915
2018-09-05,6.14,317727
2018-09-06,5.96,453751
2018-09-07,6.26,136689
2018-09-10,6.9,468234
2018-09-11,6.7,375908
2018-09-12,6.68,150295
2018-09-13,6.48,200921
2018-09-14,7.24,598191
2018-09-17,7.27,292876
2018-09-18,7.45,351097
2018-09-19,7.26,327623
2018-09-20,7.21,85913
2018-09-21,7.31,470216
2018-09-24,7.34,115374
2018-09-25,7.24,118086
2018-09-26,7.06,71174
2018-09-27,7.2,150076
2018-09-28,7.1,149572
2018-10-01,6.97,274014
2018-10-02,6.83,158909
2018-10-03,6.81,155871
2018-10-04,6.7,121040
2018-10-05,6.43,119405
2018-10-08,6.06,267695
2018-10-09,5.97,89160
2018-10-10,5.76,168418
2018-10-11,5.58,165554
2018-10-12,5.81,72338
2018-10-15,5.59,255833
2018-10-16,5.79,295982
2018-10-17,5.56,58573
2018-10-18,5.4,71304
2018-10-19,5.21,138579
2018-10-22,5.05,44230
2018-10-23,5.23,108374
2018-10-24,5.06,56504
2018-10-25,5.11,54497
2018-10-26,5.01,55332
2018-10-29,4.92,75627
2018-10-30,4.99,63162
2018-10-31,5.27,91365
2018-11-01,5.55,220040
2018-11-02,5.66,315688
