date,close,volume
2018-04-25,33.25,148397
2018-04-26,31.9,226721
2018-04-27,32.55,160188
2018-04-30,32.1,136866
2018-05-01,32.1,160539
2018-05-02,32.75,142121
2018-05-03,33.55,205904
2018-05-04,33.8,144005
2018-05-07,34.45,160629
2018-05-08,35.4,263386
2018-05-09,36.55,239380
2018-05-10,36.95,402356
2018-05-11,47.3,2344230
2018-05-14,47.6,677451
2018-05-15,46.95,558536
2018-05-16,48.05,561135
2018-05-17,48.35,578147
2018-05-18,47.75,270892
2018-05-21,49.35,220488
2018-05-22,48.05,279162
2018-05-23,47.2,545465
2018-05-24,48.1,342724
2018-05-25,47.1,368740
2018-05-29,47.35,446491
2018-05-30,47.1,572986
2018-05-31,47.45,348435
2018-06-01,48.0,210937
2018-06-04,46.4,359491
2018-06-05,47.0,413216
2018-06-06,47.5,413168
2018-06-07,48.4,321409
2018-06-08,48.9,230827
2018-06-11,49.65,251289
2018-06-12,49.6,224415
2018-06-13,48.15,599765
2018-06-14,47.6,189213
2018-06-15,48.1,314369
2018-06-18,47.4,162000
2018-06-19,46.55,298536
2018-06-20,47.5,305064
2018-06-21,47.95,390300
2018-06-22,47.8,554699
2018-06-25,45.8,287542
2018-06-26,46.1,295528
2018-06-27,45.05,254437
2018-06-28,46.3,267069
2018-06-29,45.7,274812
2018-07-02,46.05,399026
2018-07-03,45.15,183759
2018-07-05,45.2,216649
2018-07-06,45.75,206830
2018-07-09,46.8,330157
2018-07-10,46.15,270298
2018-07-11,44.25,385622
2018-07-12,44.15,182743
2018-07-13,44.5,144171
2018-07-16,43.3,235619
2018-07-17,44.8,265035
2018-07-18,45.6,215542
2018-07-19,46.7,306151
2018-07-20,46.7,272793
2018-07-23,47.55,219858
2018-07-24,44.15,524182
2018-07-25,45.4,344176
2018-07-26,44.5,330207
2018-07-27,44.4,222523
2018-07-30,44.8,366328
2018-07-31,46.55,487096
2018-08-01,45.75,820015
2018-08-02,48.35,372982
2018-08-03,46.4,215259
2018-08-06,47.45,198989
2018-08-07,47.8,315049
2018-08-08,47.8,191819
2018-08-09,47.85,244583
2018-08-10,47.0,208674
2018-08-13,45.9,308494
2018-08-14,46.3,190409
2018-08-15,45.0,258036
2018-08-16,45.75,211480
2018-08-17,45.9,192384
2018-08-20,47.1,189069
2018-08-21,47.75,236369
2018-08-22,47.5,144481
2018-08-23,47.05,152619
2018-08-24,47.25,188185
2018-08-27,48.0,299967
2018-08-28,47.65,139696
2018-08-29,48.45,137571
2018-08-30,48.25,118312
2018-08-31,48.1,153159
2018-09-04,48.6,225367
2018-09-05,47.6,238953
2018-09-06,48.8,204628
2018-09-07,48.6,142199
2018-09-10,50.8,278160
2018-09-11,50.9,240741
2018-09-12,50.6,187157
2018-09-13,49.5,203998
2018-09-14,49.25,225319
2018-09-17,46.15,385662
2018-09-18,47.0,264354
2018-09-19,46.7,219616
2018-09-20,47.1,348896
2018-09-21,46.55,551054
2018-09-24,47.35,320447
2018-09-25,48.4,343150
2018-09-26,49.4,281361
2018-09-27,49.1,247976
2018-09-28,48.55,328398
2018-10-01,49.37,336022
2018-10-02,46.67,287167
2018-10-03,48.19,191388
2018-10-04,47.68,280904
2018-10-05,42.18,733587
2018-10-08,42.7,284477
