date,close,volume
2018-04-25,38.86,304124
2018-04-26,39.54,170801
2018-04-27,39.38,126197
2018-04-30,39.09,198768
2018-05-01,39.57,120835
2018-05-02,39.55,162906
2018-05-03,39.29,216362
2018-05-04,39.91,117183
2018-05-07,40.95,246449
2018-05-08,41.29,220745
2018-05-09,42.34,277961
2018-05-10,42.67,283139
2018-05-11,42.88,214916
2018-05-14,42.95,262637
2018-05-15,42.73,264834
2018-05-16,43.07,205416
2018-05-17,43.13,276574
2018-05-18,42.62,225874
2018-05-21,42.74,298230
2018-05-22,42.87,242060
2018-05-23,43.34,407918
2018-05-24,43.25,275457
2018-05-25,43.19,183974
2018-05-29,43.07,197709
2018-05-30,43.67,387594
2018-05-31,43.48,249571
2018-06-01,43.77,304764
2018-06-04,44.51,473520
2018-06-05,45.09,274846
2018-06-06,45.87,492885
2018-06-07,45.43,444840
2018-06-08,45.7,247807
2018-06-11,45.78,374439
2018-06-12,46.17,434634
2018-06-13,46.4,436464
2018-06-14,47.27,510739
2018-06-15,47.28,321619
2018-06-18,47.85,438710
2018-06-19,47.42,749680
2018-06-20,48.37,590372
2018-06-21,47.22,697633
2018-06-22,46.61,430986
2018-06-25,45.29,677011
2018-06-26,45.77,519564
2018-06-27,44.45,560676
2018-06-28,44.97,255058
2018-06-29,44.98,317338
2018-07-02,45.6,279321
2018-07-03,45.15,139980
2018-07-05,45.77,235043
2018-07-06,46.7,302263
2018-07-09,47.17,566047
2018-07-10,46.96,371450
2018-07-11,46.92,213129
2018-07-12,47.75,321535
2018-07-13,47.74,327732
2018-07-16,46.94,293251
2018-07-17,47.45,247579
2018-07-18,47.31,231556
2018-07-19,47.53,350910
2018-07-20,47.27,196413
2018-07-23,47.11,211008
2018-07-24,45.88,501862
2018-07-25,46.86,345840
2018-07-26,46.5,257876
2018-07-27,44.72,504933
2018-07-30,43.6,507318
2018-07-31,44.55,212467
2018-08-01,44.73,276420
2018-08-02,45.87,500672
2018-08-03,45.47,250488
2018-08-06,45.94,320922
2018-08-07,46.6,774619
2018-08-08,46.65,333245
2018-08-09,46.82,200895
2018-08-10,46.93,249347
2018-08-13,46.61,212688
2018-08-14,46.88,253293
2018-08-15,45.92,354518
2018-08-16,46.4,220204
2018-08-17,45.83,291445
2018-08-20,46.38,167609
2018-08-21,47.37,358747
2018-08-22,47.41,231795
2018-08-23,47.34,242189
2018-08-24,48.06,336434
2018-08-27,48.88,367509
2018-08-28,48.99,233708
2018-08-29,49.63,435842
2018-08-30,49.6,235994
2018-08-31,49.7,322846
2018-09-04,49.17,317627
2018-09-05,47.99,474225
2018-09-06,47.04,443375
2018-09-07,46.73,410459
2018-09-10,46.86,227761
2018-09-11,47.43,200586
2018-09-12,47.58,230087
2018-09-13,47.94,271026
2018-09-14,48.24,258900
2018-09-17,47.28,327880
2018-09-18,48.14,297383
2018-09-19,48.11,214064
2018-09-20,48.33,224638
2018-09-21,47.16,305725
2018-09-24,47.33,204744
2018-09-25,47.77,196258
2018-09-26,47.81,190986
2018-09-27,48.21,216246
2018-09-28,47.34,278251
2018-10-01,47.41,252576
2018-10-02,46.19,762887
2018-10-03,46.28,295890
2018-10-04,44.83,399794
2018-10-05,43.98,459829
2018-10-08,43.16,534172
2018-10-09,43.36,640827
2018-10-10,41.1,775294
2018-10-11,40.7,1027176
2018-10-12,42.02,391741
2018-10-15,41.64,194367
2018-10-16,43.63,372376
2018-10-17,43.37,296517
2018-10-18,42.1,254587
2018-10-19,41.32,251395
2018-10-22,41.44,216002
2018-10-23,41.76,406874
2018-10-24,39.39,304639
2018-10-25,41.23,484468
2018-10-26,40.9,327703
2018-10-29,40.49,254540
2018-10-30,41.52,507419
2018-10-31,42.58,327559
2018-11-01,44.72,450671
2018-11-02,45.48,528487
2018-11-05,44.82,246893
2018-11-06,44.83,310490
2018-11-07,45.96,472604
2018-11-08,45.24,322157
2018-11-09,44.38,373752
2018-11-12,42.76,365181
2018-11-13,43.11,181374
2018-11-14,42.59,180806
2018-11-15,43.84,278498
2018-11-16,43.67,123722
2018-11-19,41.58,380708
2018-11-20,40.82,506584
2018-11-21,41.74,135744
2018-11-23,41.71,42448
2018-11-26,42.95,269977
2018-11-27,42.53,143868
2018-11-28,44.18,308433
2018-11-29,44.05,157446
2018-11-30,44.45,118368
2018-12-03,45.53,381053
2018-12-04,43.27,263483
2018-12-06,43.54,406673
2018-12-07,42.1,188815
2018-12-10,42.54,230410
2018-12-11,42.46,309631
2018-12-12,43.31,471440
2018-12-13,42.64,275764
2018-12-14,41.77,222036
2018-12-17,39.92,503568
2018-12-18,39.89,299644
2018-12-19,39.28,399031
2018-12-20,37.82,842189
2018-12-21,35.85,737560
2018-12-24,35.34,425802
2018-12-26,37.52,959686
2018-12-27,36.4,525202
2018-12-28,36.77,939262
2018-12-31,37.19,645321
2019-01-02,37.42,232232
2019-01-03,36.19,256053
2019-01-04,38.43,317387
2019-01-07,40.1,524468
2019-01-08,40.22,461698
2019-01-09,41.48,797845
2019-01-10,41.69,335063
2019-01-11,41.78,312888
2019-01-14,41.03,257366
2019-01-15,42.28,591524
2019-01-16,42.31,344646
2019-01-17,42.64,301494
2019-01-18,42.8,490685
2019-01-22,41.11,416999
2019-01-23,40.7,288776
2019-01-24,41.58,287212
2019-01-25,42.57,242291
2019-01-28,41.68,282655
2019-01-29,41.25,230993
2019-01-30,42.27,327430
2019-01-31,43.05,401125
2019-02-01,43.11,247846
2019-02-04,43.8,276414
2019-02-05,43.92,292596
2019-02-06,43.96,306586
2019-02-07,42.49,373716
2019-02-08,42.99,292795
2019-02-11,43.42,185805
2019-02-12,44.25,314369
2019-02-13,44.54,432777
2019-02-14,44.66,332226
2019-02-15,45.19,208604
2019-02-19,45.22,299775
2019-02-20,45.59,328823
2019-02-21,44.7,701884
2019-02-22,45.77,245450
2019-02-25,46.39,357827
2019-02-26,46.04,185685
2019-02-27,46.72,317211
2019-02-28,46.56,248169
2019-03-01,46.8,283648
2019-03-04,46.23,326797
2019-03-05,46.36,395509
2019-03-06,45.36,483030
2019-03-07,44.57,356824
2019-03-08,44.86,304941
2019-03-11,46.42,461642
2019-03-12,46.55,461893
2019-03-13,46.94,498167
2019-03-14,46.64,227609
2019-03-15,46.99,388431
2019-03-18,46.85,289900
2019-03-19,46.98,349322
2019-03-20,47.1,283262
2019-03-21,48.07,354010
2019-03-22,46.05,555877
2019-03-25,45.95,611810
2019-03-26,46.15,329177
2019-03-27,45.65,653447
2019-03-28,46.14,206237
2019-03-29,46.73,242429
2019-04-01,47.43,326685
2019-04-02,47.81,283095
2019-04-03,48.78,449846
2019-04-04,48.13,366127
2019-04-05,48.91,255593
2019-04-08,48.81,266445
2019-04-09,48.3,314709
2019-04-10,48.98,300535
2019-04-11,48.35,339007
2019-04-12,48.46,329888
2019-04-15,47.95,443808
2019-04-16,48.28,352773
2019-04-17,47.05,433811
2019-04-18,47.09,330809
2019-04-22,47.25,246726
2019-04-23,48.43,337501
2019-04-24,48.01,338958
2019-04-25,47.58,422287
2019-04-26,47.69,227514
2019-04-29,47.79,221466
2019-04-30,47.22,380749
2019-05-01,46.78,504202
2019-05-02,47.01,417395
2019-05-03,48.39,311603
2019-05-06,48.82,388548
2019-05-07,47.3,458139
2019-05-08,46.43,330401
2019-05-09,46.03,413397
2019-05-10,46.24,275951
2019-05-13,43.69,694508
2019-05-14,44.53,288453
2019-05-15,45.07,312077
2019-05-16,45.28,432622
2019-05-17,43.96,294854
2019-05-20,42.93,486070
2019-05-21,43.9,311855
2019-05-22,43.23,509459
2019-05-23,42.04,511789
2019-05-24,42.14,295706
2019-05-28,41.89,273112
2019-05-29,41.52,505186
2019-05-30,41.81,200440
2019-05-31,40.73,340803
2019-06-03,40.14,482794
2019-06-04,41.8,320447
2019-06-05,42.11,551698
2019-06-06,42.13,725569
2019-06-07,43.21,236781
2019-06-10,43.62,278924
2019-06-11,43.3,281522
2019-06-12,43.15,189000
2019-06-13,43.68,197613
2019-06-14,43.07,257863
2019-06-17,44.41,208467
2019-06-18,45.11,467760
2019-06-19,45.27,191183
2019-06-20,45.33,208740
2019-06-21,45.44,282498
2019-06-24,44.79,227404
2019-06-25,44.46,227676
2019-06-26,44.69,235512
2019-06-27,45.82,277526
2019-06-28,47.98,480824
2019-07-01,47.92,412141
2019-07-02,47.44,228298
2019-07-03,48.06,149172
2019-07-05,47.8,147131
2019-07-08,47.35,296312
2019-07-09,48.25,235951
2019-07-10,48.58,173799
2019-07-11,48.61,153733
2019-07-12,48.46,196679
2019-07-15,48.67,129312
2019-07-16,48.37,114925
2019-07-17,48.6,131689
2019-07-18,48.83,132446
2019-07-19,48.29,188285
2019-07-22,48.74,201962
2019-07-23,48.9,134493
2019-07-24,49.92,263892
2019-07-25,48.26,286344
2019-07-26,49.35,154488
2019-07-29,49.13,215807
2019-07-30,49.61,239935
2019-07-31,48.46,256356
2019-08-01,47.72,322208
2019-08-02,46.12,354311
2019-08-05,44.16,862354
2019-08-06,44.56,471290
2019-08-07,45.13,436904
2019-08-08,45.89,394519
2019-08-09,45.27,182565
2019-08-12,44.31,297510
2019-08-13,45.23,294341
2019-08-14,43.64,366338
2019-08-15,43.56,344897
2019-08-16,44.69,270848
2019-08-19,45.55,281150
2019-08-20,45.26,177613
2019-08-21,45.66,249176
2019-08-22,44.99,127481
2019-08-23,43.51,243587
2019-08-26,43.79,426405
2019-08-27,43.12,227850
2019-08-28,43.38,344339
2019-08-29,44.18,203261
2019-08-30,44.32,202104
2019-09-03,43.27,308809
2019-09-04,43.34,187507
2019-09-05,44.04,207900
2019-09-06,43.94,115453
2019-09-09,43.81,201097
2019-09-10,44.35,231170
2019-09-11,45.54,393659
2019-09-12,45.5,269390
2019-09-13,45.25,254024
2019-09-16,45.4,176589
2019-09-17,45.5,194101
2019-09-18,45.04,176240
2019-09-19,44.85,171328
2019-09-20,44.74,237342
2019-09-23,44.54,141422
2019-09-24,43.04,367963
2019-09-25,43.14,268926
2019-09-26,43.07,154721
2019-09-27,42.64,308954
2019-09-30,42.89,284828
2019-10-01,41.9,280787
2019-10-02,41.27,699397
2019-10-03,41.53,337721
2019-10-04,41.97,231722
2019-10-07,42.03,171117
2019-10-08,40.62,287373
2019-10-09,41.19,133149
2019-10-10,41.28,245975
2019-10-11,41.93,242611
2019-10-14,42.26,164192
2019-10-15,43.15,175720
2019-10-16,42.8,188431
