date,close,volume
2018-04-25,30.19,570539
2018-04-26,29.81,758751
2018-04-27,29.71,283133
2018-04-30,29.8,409201
2018-05-01,29.69,479393
2018-05-02,29.38,457523
2018-05-03,29.69,999032
2018-05-04,29.67,764865
2018-05-07,30.04,880070
2018-05-08,30.36,1529416
2018-05-09,30.46,432636
2018-05-10,30.94,1306303
2018-05-11,30.62,938188
2018-05-14,30.96,1614491
2018-05-15,30.52,1049564
2018-05-16,30.78,1130844
2018-05-17,30.3,1419820
2018-05-18,30.53,771607
2018-05-21,30.91,1009411
2018-05-22,30.72,479066
2018-05-23,30.14,1012205
2018-05-24,30.01,993134
2018-05-25,29.84,498276
2018-05-29,29.34,1582501
2018-05-30,29.29,1021759
2018-05-31,29.6,1716091
2018-06-01,29.56,961978
2018-06-04,29.76,798606
2018-06-05,30.04,686785
2018-06-06,30.21,928404
2018-06-07,29.87,774134
2018-06-08,29.59,614358
2018-06-11,29.65,412086
2018-06-12,29.84,362570
2018-06-13,29.5,1105005
2018-06-14,29.41,709558
2018-06-15,29.06,944292
2018-06-18,28.72,1024172
2018-06-19,27.72,1706076
2018-06-20,27.88,1011236
2018-06-21,27.34,2288732
2018-06-22,27.63,1331914
2018-06-25,26.99,2290454
2018-06-26,26.69,1512431
2018-06-27,25.89,2256634
2018-06-28,26.03,1229734
2018-06-29,26.53,4405913
2018-07-02,25.45,2651514
2018-07-03,25.4,877222
2018-07-05,25.16,1478689
2018-07-06,25.39,1457292
2018-07-09,26.32,2685827
2018-07-10,26.28,1789467
2018-07-11,25.37,1845677
2018-07-12,26.32,2365292
2018-07-13,26.19,1267524
2018-07-16,26.06,622706
2018-07-17,25.99,737144
2018-07-18,25.77,1090255
2018-07-19,25.29,1917793
2018-07-20,26.14,2344490
2018-07-23,26.1,892744
2018-07-24,26.91,2832665
2018-07-25,27.01,970330
2018-07-26,26.31,1677697
2018-07-27,26.16,895547
2018-07-30,26.11,2212799
2018-07-31,26.5,2754432
2018-08-01,25.44,2599141
2018-08-02,24.9,1874897
2018-08-03,24.66,968773
2018-08-06,24.18,1625509
2018-08-07,25.2,2660650
2018-08-08,24.6,1359141
2018-08-09,25.37,3859997
2018-08-10,25.0,1406823
2018-08-13,24.83,686919
2018-08-14,24.89,519503
2018-08-15,23.8,3555079
2018-08-16,24.28,2415621
2018-08-17,24.46,2876624
2018-08-20,24.29,1426305
2018-08-21,24.93,3133898
2018-08-22,24.59,1402715
2018-08-23,24.32,1174607
2018-08-24,24.97,1601990
2018-08-27,25.5,1507699
2018-08-28,25.33,2119063
2018-08-29,25.28,643448
2018-08-30,24.54,2097496
2018-08-31,24.74,904935
2018-09-04,24.83,484576
2018-09-05,24.36,1052042
2018-09-06,24.33,447037
2018-09-07,24.05,845104
2018-09-10,23.83,902791
2018-09-11,23.56,1596601
2018-09-12,24.08,3178709
2018-09-13,24.23,1620261
2018-09-14,23.74,2898393
2018-09-17,23.67,1665356
2018-09-18,24.33,2660834
2018-09-19,24.73,3817537
2018-09-20,24.81,2416040
2018-09-21,25.3,2439457
2018-09-24,24.99,1859220
2018-09-25,25.04,830369
2018-09-26,25.39,2571808
2018-09-27,25.16,1586059
2018-09-28,25.35,1792938
2018-10-01,25.4,1301887
2018-10-02,24.88,1588823
2018-10-03,24.77,1428864
2018-10-04,24.17,2828998
2018-10-05,24.54,3749300
2018-10-08,24.06,1700746
2018-10-09,23.98,1692953
2018-10-10,23.46,2334466
2018-10-11,23.13,5966183
2018-10-12,23.43,2250462
2018-10-15,23.01,1970124
2018-10-16,23.14,1627956
2018-10-17,22.69,2391730
2018-10-18,22.02,4106823
2018-10-19,22.86,3531513
2018-10-22,23.92,4474176
2018-10-23,23.43,2404262
2018-10-24,22.98,1968716
2018-10-25,23.6,3647696
2018-10-26,23.28,3213218
2018-10-29,22.25,5753070
2018-10-30,22.71,2650009
2018-10-31,23.23,4729950
2018-11-01,24.14,11663277
2018-11-02,24.12,7178715
2018-11-05,23.92,3716615
2018-11-06,23.77,1826185
2018-11-07,24.01,1855413
2018-11-08,23.35,2360079
2018-11-09,22.87,3529423
2018-11-12,23.06,2010217
2018-11-13,23.72,3048545
2018-11-14,23.37,1855701
2018-11-15,24.0,3339355
2018-11-16,24.17,2787828
2018-11-19,23.92,1412596
2018-11-20,23.25,3018438
2018-11-21,23.69,2607727
2018-11-23,22.98,2326497
2018-11-26,23.1,1674494
2018-11-27,22.98,1336467
2018-11-28,23.51,3240689
2018-11-29,23.06,2258521
2018-11-30,23.42,2863646
2018-12-03,24.25,4025993
2018-12-04,23.89,2797013
2018-12-06,23.58,3112972
2018-12-07,22.99,1978273
2018-12-10,22.83,2662101
2018-12-11,23.07,1934435
2018-12-12,23.15,1491769
2018-12-13,23.44,2647125
2018-12-14,23.02,1869522
2018-12-17,22.7,1546560
2018-12-18,22.8,1593361
2018-12-19,22.25,4349432
2018-12-20,22.23,1678552
2018-12-21,21.68,3029011
2018-12-24,21.81,1242319
2018-12-26,22.07,2842970
2018-12-27,21.83,1668937
2018-12-28,22.01,2091754
2018-12-31,21.93,833069
2019-01-02,21.76,1200155
2019-01-03,21.51,1082447
2019-01-04,22.5,3778527
2019-01-07,22.41,865710
2019-01-08,22.44,1434139
2019-01-09,22.87,1550493
2019-01-10,22.88,787855
2019-01-11,23.03,891355
2019-01-14,22.75,901742
2019-01-15,23.22,1653765
2019-01-16,23.38,3292791
2019-01-17,23.38,2510753
2019-01-18,23.53,3935393
2019-01-22,23.07,2180925
2019-01-23,23.27,2517550
2019-01-24,23.48,856793
2019-01-25,23.88,3469251
2019-01-28,23.66,1190011
2019-01-29,23.7,1117337
2019-01-30,23.96,1761955
