date,close,volume
2018-04-25,4.1,16324
2018-04-26,4.1,12737
2018-04-27,4.08,13592
2018-04-30,4.1,41314
2018-05-01,4.15,17183
2018-05-02,4.15,22899
2018-05-03,4.2,17560
2018-05-04,4.22,31999
2018-05-07,4.15,42694
2018-05-08,4.15,49527
2018-05-09,4.15,15587
2018-05-10,4.25,12934
2018-05-11,4.25,4734
2018-05-14,4.2,16201
2018-05-15,4.18,22592
2018-05-16,4.15,8704
2018-05-17,4.2,19243
2018-05-18,4.28,53788
2018-05-21,4.3,29391
2018-05-22,4.25,20860
2018-05-23,4.25,58437
2018-05-24,4.3,2044
2018-05-25,4.3,14675
2018-05-29,4.3,12956
2018-05-30,4.25,11680
2018-05-31,4.25,17771
2018-06-01,4.3,14379
2018-06-04,4.25,13406
2018-06-05,4.25,10929
2018-06-06,4.25,27038
2018-06-07,4.3,14538
2018-06-08,4.25,2734
2018-06-11,4.25,3250
2018-06-12,4.25,21958
2018-06-13,4.25,25215
2018-06-14,4.3,9664
2018-06-15,4.22,30953
2018-06-18,4.2,51240
2018-06-19,4.15,8837
2018-06-20,4.2,70037
2018-06-21,4.15,14119
2018-06-22,4.15,25223
2018-06-25,4.15,23664
2018-06-26,4.1,10595
2018-06-27,4.14,18540
2018-06-28,4.1,37683
2018-06-29,4.1,15491
2018-07-02,4.1,52065
2018-07-03,4.1,24233
2018-07-05,4.15,5816
2018-07-06,4.1,28783
2018-07-09,4.15,13274
2018-07-10,4.2,4584
2018-07-11,4.2,16692
2018-07-12,4.15,25421
2018-07-13,4.15,9054
2018-07-16,4.15,16783
2018-07-17,4.2,89375
2018-07-18,4.25,8320
2018-07-19,4.25,35267
2018-07-20,4.3,1306
2018-07-23,4.3,6478
2018-07-24,4.2,40856
2018-07-25,4.26,14328
2018-07-26,4.3,51544
2018-07-27,4.35,82827
2018-07-30,4.4,26195
2018-07-31,4.35,49020
2018-08-01,4.4,21668
2018-08-02,4.45,38736
2018-08-03,4.45,21560
2018-08-06,4.45,18407
2018-08-07,4.47,46249
2018-08-08,4.5,49529
2018-08-09,4.5,28623
2018-08-10,4.45,18510
2018-08-13,4.5,33442
2018-08-14,4.5,37633
2018-08-15,4.55,59992
2018-08-16,4.5,23112
2018-08-17,4.45,44753
2018-08-20,4.5,32202
2018-08-21,4.5,15898
2018-08-22,4.45,45182
2018-08-23,4.48,13365
2018-08-24,4.45,24672
2018-08-27,4.5,81139
2018-08-28,4.45,20953
2018-08-29,4.45,23837
2018-08-30,4.5,17793
2018-08-31,4.55,23626
2018-09-04,4.45,28509
2018-09-05,4.45,21007
2018-09-06,4.5,15080
2018-09-07,4.5,11312
2018-09-10,4.45,9490
2018-09-11,4.45,31609
2018-09-12,4.5,21573
2018-09-13,4.5,18762
2018-09-14,4.4,39673
2018-09-17,4.4,29180
2018-09-18,4.4,12953
2018-09-19,4.35,26061
2018-09-20,4.38,13198
2018-09-21,4.35,40867
2018-09-24,4.35,35979
2018-09-25,4.3,2567
2018-09-26,4.3,10029
2018-09-27,4.3,14643
2018-09-28,4.3,6294
2018-10-01,4.26,21150
2018-10-02,4.27,7014
2018-10-03,4.28,13301
2018-10-04,4.29,6040
2018-10-05,4.27,3377
2018-10-08,4.27,11701
2018-10-09,4.26,6141
2018-10-10,4.25,10570
2018-10-11,4.25,66833
2018-10-12,4.28,13214
2018-10-15,4.31,20007
2018-10-16,4.41,53276
2018-10-17,4.43,19125
2018-10-18,4.34,18653
2018-10-19,4.34,6796
2018-10-22,4.28,24893
2018-10-23,4.35,30219
2018-10-24,4.29,32035
2018-10-25,4.25,36643
2018-10-26,4.3,5319
2018-10-29,4.31,11476
2018-10-30,4.26,78847
2018-10-31,4.24,34210
2018-11-01,4.26,14401
2018-11-02,4.26,13922
2018-11-05,4.24,19418
2018-11-06,4.32,2636
2018-11-07,4.27,8879
2018-11-08,4.33,18523
2018-11-09,4.33,10652
2018-11-12,4.3,7533
2018-11-13,4.24,27703
2018-11-14,4.22,19941
2018-11-15,4.27,8575
2018-11-16,4.23,7737
2018-11-19,4.3,2798
2018-11-20,4.3,12302
2018-11-21,4.22,4319
2018-11-23,4.21,2505
2018-11-26,4.24,6347
2018-11-27,4.25,9989
2018-11-28,4.25,5501
2018-11-29,4.29,9877
2018-11-30,4.29,29482
2018-12-03,4.21,18204
2018-12-04,4.11,31331
2018-12-06,4.09,46995
2018-12-07,4.09,6283
2018-12-10,4.1,42548
2018-12-11,4.1,11885
2018-12-12,4.1,18843
2018-12-13,4.13,30268
2018-12-14,4.1,14361
2018-12-17,4.02,18850
2018-12-18,4.01,4939
2018-12-19,4.06,9536
2018-12-20,4.0,20007
2018-12-21,4.04,9475
2018-12-24,4.03,1901
2018-12-26,3.98,41014
2018-12-27,4.09,41499
2018-12-28,4.13,6309
2018-12-31,4.03,12804
2019-01-02,4.02,25222
2019-01-03,4.03,516
2019-01-04,4.1,11370
2019-01-07,4.06,1525
2019-01-08,4.07,15078
2019-01-09,4.1,3821
2019-01-10,4.07,6754
2019-01-11,4.1,315
2019-01-14,4.07,8521
2019-01-15,4.09,1991
2019-01-16,4.11,58201
2019-01-17,4.11,10316
2019-01-18,4.13,7161
2019-01-22,4.11,9534
2019-01-23,4.11,80364
2019-01-24,4.13,1800
2019-01-25,4.09,35487
2019-01-28,4.1,2870
2019-01-29,4.15,27085
2019-01-30,4.14,19164
2019-01-31,4.14,7658
