date,close,volume
2019-09-26,49.9,6592
2019-09-27,49.87,16409
2019-09-30,49.78,3521
2019-10-01,49.44,3100
2019-10-02,48.59,5502
2019-10-03,48.7,116857
2019-10-04,49.1,20445
2019-10-07,49.1,79711
2019-10-08,48.67,24554
2019-10-09,48.87,54152
2019-10-10,49.3,32736
2019-10-11,50.08,3260
2019-10-14,50.19,35057
2019-10-15,50.6,2928
2019-10-16,50.74,64279
2019-10-17,50.79,14695
2019-10-18,50.77,251
2019-10-21,51.1,11217
2019-10-22,51.01,14750
2019-10-23,51.22,53617
2019-10-24,51.3,1455783
2019-10-25,51.36,1477
2019-10-28,51.6,14971
2019-10-29,51.54,21277
2019-10-30,51.62,3442
2019-10-31,51.55,6992
2019-11-01,51.93,19893
2019-11-04,52.43,6716
2019-11-05,52.29,3004
2019-11-06,52.23,2613
2019-11-07,52.41,7430
2019-11-08,52.39,46082
2019-11-11,52.38,18041
2019-11-12,52.39,20707
2019-11-13,52.17,4533
2019-11-14,52.08,799
2019-11-15,52.42,9377
2019-11-18,52.47,5829
2019-11-19,52.38,15195
2019-11-20,52.02,4187
2019-11-21,51.93,1739
2019-11-22,52.04,2403
2019-11-25,52.48,3255
2019-11-26,52.51,2154
2019-11-27,52.67,2712
2019-11-29,52.37,280
2019-12-02,52.19,66461
2019-12-03,51.93,17914
2019-12-04,52.38,6213
2019-12-05,52.49,15358
2019-12-06,52.86,10707
2019-12-09,52.61,1533
2019-12-10,52.65,6748
2019-12-11,52.92,94428
2019-12-12,53.28,21898
2019-12-13,53.56,2546
2019-12-16,54.04,6363
2019-12-17,53.89,17054
2019-12-18,53.71,11608
2019-12-19,53.96,18867
2019-12-20,53.7,27190
2019-12-23,53.68,27805
2019-12-24,53.68,8710
2019-12-26,53.84,31344
2019-12-27,53.93,22144
2019-12-30,53.68,59934
2019-12-31,53.77,6266
2020-01-02,54.29,19913
2020-01-03,53.82,7853
2020-01-06,53.91,10280
2020-01-07,53.88,4808
2020-01-08,53.87,2525
2020-01-09,54.08,609
2020-01-10,53.84,937
2020-01-13,54.04,10899
2020-01-14,54.15,1724
2020-01-15,54.06,2567
2020-01-16,54.28,36311
2020-01-17,54.43,2229
2020-01-21,54.08,1447
2020-01-22,54.13,8710
2020-01-23,53.96,4560
2020-01-24,53.76,7865
2020-01-27,52.77,25575
2020-01-28,53.1,5745
2020-01-29,53.11,2742
2020-01-30,53.06,14014
2020-01-31,52.38,9814
2020-02-03,52.31,4951
2020-02-04,53.09,3307
2020-02-05,53.74,6644
2020-02-06,53.84,3698
2020-02-07,53.24,7886
2020-02-10,53.24,10527
2020-02-11,53.57,5488
2020-02-12,53.91,2600
2020-02-13,53.53,1531
2020-02-14,53.5,49607
2020-02-18,53.09,8633
2020-02-19,53.35,12044
2020-02-20,53.06,1316
2020-02-21,52.83,11408
2020-02-24,50.8,9402
2020-02-25,49.93,18709
2020-02-26,49.96,20144
2020-02-27,48.3,53727
2020-02-28,47.9,124979
2020-03-02,48.74,29749
2020-03-03,48.39,36337
2020-03-04,49.69,60871
2020-03-05,48.21,120064
2020-03-06,47.36,49022
2020-03-09,43.64,105429
2020-03-10,44.97,89287
2020-03-11,42.71,162334
2020-03-12,38.3,199992
2020-03-13,39.9,197981
2020-03-16,36.06,316965
2020-03-17,36.64,685187
2020-03-18,34.3,457606
2020-03-19,35.83,309937
2020-03-20,34.81,203762
2020-03-23,34.44,187199
2020-03-24,37.57,300002
2020-03-25,38.9,322612
2020-03-26,40.97,205532
2020-03-27,39.3,157247
2020-03-30,39.96,219887
2020-03-31,39.73,238094
2020-04-01,38.19,179688
2020-04-02,38.79,72147
2020-04-03,37.91,72815
2020-04-06,39.98,71792
2020-04-07,40.33,105305
2020-04-08,40.75,111777
2020-04-09,41.84,73627
2020-04-13,40.86,134761
2020-04-14,42.08,59460
2020-04-15,40.73,117470
2020-04-16,40.67,57770
2020-04-17,41.79,33712
2020-04-20,41.08,43382
2020-04-21,40.42,27500
2020-04-22,41.01,294791
2020-04-23,41.1,28266
2020-04-24,41.48,46558
2020-04-27,42.19,47259
2020-04-28,42.54,72681
2020-04-29,43.71,3933
2020-04-30,42.99,45573
2020-05-01,42.01,45864
2020-05-04,41.95,30728
2020-05-05,42.04,50962
2020-05-06,41.78,20362
2020-05-07,42.29,50577
2020-05-08,43.02,52911
2020-05-11,43.07,20610
2020-05-12,42.44,36345
2020-05-13,42.01,83802
2020-05-14,41.56,39085
2020-05-15,41.74,35813
2020-05-18,43.41,32786
2020-05-19,42.87,23708
2020-05-20,43.72,19184
2020-05-21,43.36,27028
2020-05-22,43.34,53158
2020-05-26,44.63,5889
2020-05-27,45.14,63738
2020-05-28,45.42,102794
2020-05-29,45.38,77201
2020-06-01,46.16,54270
2020-06-02,46.84,28793
2020-06-03,47.87,29527
2020-06-04,47.92,111887
2020-06-05,48.72,14018
2020-06-08,49.42,51191
2020-06-09,48.73,29447
2020-06-10,48.47,22776
2020-06-11,45.71,33491
2020-06-12,46.61,11093
2020-06-15,46.77,25240
2020-06-16,47.28,46432
2020-06-17,47.38,26119
2020-06-18,47.18,21890
2020-06-19,46.97,30498
2020-06-22,47.39,20533
2020-06-23,47.24,63953
2020-06-24,46.14,23092
2020-06-25,46.68,38020
2020-06-26,45.99,30611
2020-06-29,46.31,36024
2020-06-30,46.45,21076
2020-07-01,46.59,14465
2020-07-02,46.95,19454
2020-07-06,47.7,52181
2020-07-07,47.14,15563
2020-07-08,47.49,9430
2020-07-09,46.85,5312
2020-07-10,47.4,2532
2020-07-13,47.15,11013
2020-07-14,47.79,9349
2020-07-15,48.44,13297
2020-07-16,48.18,17950
2020-07-17,48.37,3263
2020-07-20,48.6,10140
2020-07-21,48.86,77482
2020-07-22,49.0,3107
2020-07-23,48.65,54153
2020-07-24,48.41,7716
2020-07-27,49.01,10534
2020-07-28,48.82,3559
2020-07-29,49.23,32882
2020-07-30,48.54,6792
2020-07-31,47.64,16230
2020-08-03,48.39,3020
2020-08-04,48.77,16767
2020-08-05,49.08,12102
2020-08-06,49.15,10065
2020-08-07,49.03,11432
2020-08-10,49.14,8843
2020-08-11,49.43,24793
2020-08-12,50.39,9798
2020-08-13,50.22,8737
2020-08-14,49.9,10476
