date,close,volume
2018-04-25,40.35,1375568
2018-04-26,39.21,1150150
2018-04-27,39.27,1251771
2018-04-30,39.23,1228940
2018-05-01,39.33,887733
2018-05-02,39.21,642485
2018-05-03,38.82,908641
2018-05-04,39.35,730633
2018-05-07,39.27,666772
2018-05-08,40.06,907378
2018-05-09,40.0,1371819
2018-05-10,40.7,717060
2018-05-11,40.75,575397
2018-05-14,40.45,495745
2018-05-15,40.43,672884
2018-05-16,38.93,1707283
2018-05-17,39.18,563829
2018-05-18,39.05,424383
2018-05-21,39.48,633069
2018-05-22,39.3,528381
2018-05-23,38.71,490464
2018-05-24,38.75,530488
2018-05-25,38.7,478686
2018-05-29,38.61,517803
2018-05-30,39.27,864283
2018-05-31,38.12,1666912
2018-06-01,38.63,1118310
2018-06-04,38.58,836812
2018-06-05,39.31,1082012
2018-06-06,39.31,864151
2018-06-07,39.41,747182
2018-06-08,39.58,968143
2018-06-11,39.65,722682
2018-06-12,39.63,1036730
2018-06-13,39.64,887519
2018-06-14,40.18,1461170
2018-06-15,42.72,2713014
2018-06-18,42.56,1805226
2018-06-19,42.46,1279887
2018-06-20,42.29,813284
2018-06-21,42.66,1027703
2018-06-22,43.09,1529902
2018-06-25,42.88,1338053
2018-06-26,43.52,1398853
2018-06-27,43.33,1170260
2018-06-28,42.73,934120
2018-06-29,42.89,839992
2018-07-02,42.85,998312
2018-07-03,43.04,470500
2018-07-05,43.71,1668269
2018-07-06,43.97,646690
2018-07-09,44.74,1170406
2018-07-10,44.7,1233662
2018-07-11,43.94,591773
2018-07-12,44.29,761246
2018-07-13,44.28,843757
2018-07-16,43.93,741153
2018-07-17,43.82,622105
2018-07-18,44.25,830799
2018-07-19,44.38,848158
2018-07-20,43.61,855373
2018-07-23,43.33,799538
2018-07-24,43.0,482047
2018-07-25,43.52,473539
2018-07-26,43.79,1285399
2018-07-27,43.52,383375
2018-07-30,43.13,604797
2018-07-31,43.85,992338
2018-08-01,43.68,477379
2018-08-02,44.04,868115
2018-08-03,43.86,655251
2018-08-06,43.91,500828
2018-08-07,44.27,974411
2018-08-08,44.6,639409
2018-08-09,46.41,2363781
2018-08-10,46.38,1127766
2018-08-13,45.77,859971
2018-08-14,46.74,1355598
2018-08-15,46.54,773036
2018-08-16,47.05,731254
2018-08-17,47.58,604185
2018-08-20,48.02,1391289
2018-08-21,49.14,973110
2018-08-22,48.66,722664
2018-08-23,48.58,496170
2018-08-24,48.42,487972
2018-08-27,48.74,910536
2018-08-28,48.62,860711
2018-08-29,48.94,1006760
2018-08-30,48.71,1350001
2018-08-31,48.4,1128424
2018-09-04,48.22,1217240
2018-09-05,47.99,1061702
2018-09-06,47.95,929047
2018-09-07,47.65,865745
2018-09-10,47.82,925091
2018-09-11,47.84,779375
2018-09-12,47.44,937764
2018-09-13,47.57,635365
2018-09-14,47.85,783771
2018-09-17,47.43,606057
2018-09-18,47.3,755435
2018-09-19,47.08,822854
2018-09-20,46.77,1395606
2018-09-21,47.11,2815168
2018-09-24,47.0,965777
2018-09-25,46.11,1091205
2018-09-26,45.47,1027887
2018-09-27,44.64,890531
2018-09-28,44.77,1451971
2018-10-01,43.35,1871278
2018-10-02,43.36,1509432
2018-10-03,43.62,854503
2018-10-04,43.27,1619133
2018-10-05,42.75,1259084
2018-10-08,41.87,1472324
2018-10-09,41.6,1401287
2018-10-10,39.9,1165766
2018-10-11,39.48,1130440
2018-10-12,40.47,1384667
2018-10-15,40.79,1091302
2018-10-16,41.77,1079236
2018-10-17,41.8,851054
2018-10-18,41.31,731525
2018-10-19,41.03,976214
2018-10-22,41.22,768525
2018-10-23,40.68,611815
2018-10-24,38.42,1102823
2018-10-25,38.62,1136080
2018-10-26,37.3,1445749
2018-10-29,38.23,1650759
2018-10-30,39.06,1159743
2018-10-31,40.07,1034051
2018-11-01,41.82,1130716
2018-11-02,42.92,1322867
2018-11-05,43.18,1152537
2018-11-06,43.58,851664
2018-11-07,44.0,1028532
2018-11-08,43.94,1031106
2018-11-09,43.66,813521
2018-11-12,42.76,952978
2018-11-13,43.36,1037755
2018-11-14,41.91,2167567
2018-11-15,42.85,1605596
2018-11-16,43.6,1422366
2018-11-19,42.91,1209462
2018-11-20,42.04,1442132
2018-11-21,42.76,1292886
2018-11-23,42.77,703566
2018-11-26,43.36,1019413
2018-11-27,42.37,1281659
