date,close,volume
2020-06-01,25.12,99972
2020-06-02,25.2,269
2020-06-03,25.34,498
2020-06-04,25.27,4406
2020-06-05,25.57,400
2020-06-08,25.69,587
2020-06-09,25.65,8645
2020-06-10,25.49,2466
2020-06-11,24.66,1129
2020-06-12,24.76,300
2020-06-15,24.93,153
2020-06-16,25.01,300
2020-06-17,25.08,22
2020-06-18,25.07,94
2020-06-19,25.03,0
2020-06-22,25.12,199
2020-06-23,25.26,0
2020-06-24,24.8,28
2020-06-25,25.06,14
2020-06-26,24.71,2
2020-06-29,24.93,4
2020-06-30,25.2,0
2020-07-01,25.26,137
2020-07-02,25.4,7
2020-07-06,25.56,6602
2020-07-07,25.42,1
2020-07-08,25.5,0
2020-07-09,25.43,22
2020-07-10,25.56,0
2020-07-13,25.44,0
2020-07-14,25.56,0
2020-07-15,25.65,0
2020-07-16,25.64,0
2020-07-17,25.72,0
2020-07-20,25.85,0
2020-07-21,25.88,0
2020-07-22,25.93,0
2020-07-23,25.77,0
2020-07-24,25.69,2
2020-07-27,25.8,0
2020-07-28,25.75,200
2020-07-29,25.87,0
2020-07-30,25.76,0
2020-07-31,25.87,1
2020-08-03,25.99,1
2020-08-04,26.03,1
2020-08-05,26.11,326
2020-08-06,26.18,0
2020-08-07,26.18,0
2020-08-10,26.2,0
2020-08-11,26.14,33
2020-08-12,26.26,0
2020-08-13,26.24,0
2020-08-14,26.27,0
