date,close,volume
2018-04-25,29.29,631763
2018-04-26,29.7,435103
2018-04-27,30.9,1062541
2018-04-30,31.0,510106
2018-05-01,30.79,280698
2018-05-02,30.16,1326659
2018-05-03,28.66,615857
2018-05-04,28.65,672287
2018-05-07,27.6,365810
2018-05-08,27.54,493110
2018-05-09,25.71,1404763
2018-05-10,26.86,1204616
2018-05-11,25.36,663931
2018-05-14,24.25,554185
2018-05-15,22.82,2302842
2018-05-16,22.35,711045
2018-05-17,20.89,1421887
2018-05-18,21.25,2642028
2018-05-21,22.29,1323385
2018-05-22,23.5,1597100
2018-05-23,22.89,875090
2018-05-24,22.41,1161594
2018-05-25,23.08,1281830
2018-05-29,21.68,715023
2018-05-30,21.49,1086773
2018-05-31,21.38,405193
2018-06-01,21.11,674301
2018-06-04,21.61,588154
2018-06-05,20.06,824621
2018-06-06,19.19,2175595
2018-06-07,17.8,2499403
2018-06-08,18.81,1954332
2018-06-11,19.5,1000428
2018-06-12,19.36,623468
2018-06-13,19.29,570697
2018-06-14,18.85,808518
2018-06-15,18.46,654836
2018-06-18,18.03,513398
2018-06-19,18.52,1183027
2018-06-20,18.45,386144
2018-06-21,17.81,974336
2018-06-22,17.8,595894
2018-06-25,17.54,488552
2018-06-26,17.31,368887
2018-06-27,16.51,2167452
2018-06-28,16.7,7371203
2018-06-29,16.36,1686035
2018-07-02,15.79,1021134
2018-07-03,16.0,900364
2018-07-05,15.65,802794
2018-07-06,16.13,831652
2018-07-09,16.4,931522
2018-07-10,16.29,1711020
2018-07-11,16.15,781922
2018-07-12,16.84,1041220
2018-07-13,17.08,709511
2018-07-16,17.63,1248621
2018-07-17,18.46,1497188
2018-07-18,18.61,1356239
2018-07-19,18.47,770691
2018-07-20,19.12,1985025
2018-07-23,19.47,782972
2018-07-24,19.81,1071368
2018-07-25,20.74,1399158
2018-07-26,20.29,963455
2018-07-27,20.28,991590
2018-07-30,19.57,772606
2018-07-31,19.15,592204
2018-08-01,18.88,597438
2018-08-02,18.94,562541
2018-08-03,19.89,718756
2018-08-06,19.52,631729
2018-08-07,19.32,432956
2018-08-08,18.48,469034
2018-08-09,18.9,1337709
2018-08-10,17.75,1599317
2018-08-13,18.1,772687
2018-08-14,18.72,397272
2018-08-15,18.62,427311
2018-08-16,19.11,691814
2018-08-17,18.73,862039
2018-08-20,18.55,663181
2018-08-21,17.72,922315
2018-08-22,16.5,2794364
2018-08-23,16.12,1917782
2018-08-24,16.09,649564
2018-08-27,16.58,1627415
2018-08-28,16.4,489413
2018-08-29,16.57,852555
2018-08-30,16.03,1260727
2018-08-31,16.82,1364700
2018-09-04,16.09,667805
2018-09-05,16.13,784607
2018-09-06,16.56,1009442
2018-09-07,17.27,608458
2018-09-10,16.84,677178
2018-09-11,15.87,1084930
2018-09-12,15.95,644548
2018-09-13,15.85,671312
2018-09-14,16.29,1614680
2018-09-17,17.07,478785
2018-09-18,17.06,1447748
2018-09-19,17.29,1062211
2018-09-20,17.98,1020045
2018-09-21,18.5,818409
2018-09-24,17.43,562134
2018-09-25,17.36,835239
2018-09-26,17.67,518005
2018-09-27,18.26,893782
2018-09-28,17.79,458318
2018-10-01,16.96,504701
2018-10-02,18.03,980137
2018-10-03,18.8,1726731
2018-10-04,18.93,657166
2018-10-05,19.22,948258
2018-10-08,21.95,5012709
2018-10-09,22.72,1817417
2018-10-10,21.06,1150421
2018-10-11,20.55,1093746
2018-10-12,20.79,787294
2018-10-15,21.4,791735
2018-10-16,21.86,1582511
2018-10-17,22.66,1411581
2018-10-18,22.64,1488633
2018-10-19,22.34,830493
2018-10-22,23.19,1707256
2018-10-23,23.19,1387825
2018-10-24,22.01,1348491
2018-10-25,22.5,1864445
2018-10-26,23.8,2013352
2018-10-29,23.05,2344021
2018-10-30,24.92,1667694
2018-10-31,24.38,2391230
2018-11-01,25.23,2447727
2018-11-02,25.32,813781
2018-11-05,25.63,2191271
2018-11-06,25.29,1312697
2018-11-07,25.0,1019096
2018-11-08,24.46,1061286
2018-11-09,25.5,1073552
2018-11-12,25.8,567495
2018-11-13,25.89,879826
2018-11-14,26.17,1838732
2018-11-15,27.01,518793
2018-11-16,27.7,675325
2018-11-19,27.35,480615
2018-11-20,26.75,486384
2018-11-21,27.47,361872
2018-11-23,27.52,444478
2018-11-26,25.17,1084885
2018-11-27,25.88,1061087
2018-11-28,26.74,477318
2018-11-29,26.45,816265
2018-11-30,26.99,624788
2018-12-03,25.61,579242
2018-12-04,24.79,783976
2018-12-06,25.3,875956
2018-12-07,23.97,490782
2018-12-10,23.47,783661
2018-12-11,25.26,941657
2018-12-12,25.97,700442
2018-12-13,26.01,470190
2018-12-14,25.7,413697
2018-12-17,24.45,408544
2018-12-18,25.22,460920
2018-12-19,24.81,668055
2018-12-20,26.03,925965
2018-12-21,26.26,697868
2018-12-24,26.33,113180
2018-12-26,26.92,339686
2018-12-27,26.95,314659
2018-12-28,27.29,364494
2018-12-31,27.69,223608
2019-01-02,28.71,525347
2019-01-03,28.77,627046
2019-01-04,28.99,393475
2019-01-07,28.04,535066
2019-01-08,27.79,986223
2019-01-09,28.2,563854
2019-01-10,28.76,967752
2019-01-11,29.96,1630657
2019-01-14,30.23,974645
2019-01-15,29.68,735586
2019-01-16,29.22,334176
2019-01-17,29.48,542951
2019-01-18,29.13,445210
2019-01-22,27.75,309023
2019-01-23,28.54,312323
2019-01-24,28.5,308271
2019-01-25,28.7,357305
2019-01-28,28.16,404866
2019-01-29,27.84,401348
2019-01-30,28.99,424950
2019-01-31,30.25,1377384
