date,close,volume
2018-04-25,13.21,4750
2018-04-26,13.16,13800
2018-04-27,13.2,1130
2018-04-30,13.18,15620
2018-05-01,13.05,4400
2018-05-02,13.06,14100
2018-05-03,13.12,4150
2018-05-04,13.11,33000
2018-05-07,13.12,9120
2018-05-08,13.15,43680
2018-05-09,13.11,12270
2018-05-10,13.19,26130
2018-05-11,13.17,25070
2018-05-14,13.18,2520
2018-05-15,12.89,88240
2018-05-16,12.93,294310
2018-05-17,12.87,24080
2018-05-18,12.9,9190
2018-05-21,12.9,4540
2018-05-22,12.91,196980
2018-05-23,12.9,6670
2018-05-24,13.03,44450
2018-05-25,12.99,19440
2018-05-29,13.01,47630
2018-05-30,13.0,1000
2018-05-31,12.98,27887570
2018-06-01,12.92,414010
2018-06-04,12.91,71880
2018-06-05,12.95,65560
2018-06-06,12.95,86690
2018-06-07,12.95,160560
2018-06-08,12.97,102670
2018-06-11,12.99,58770
2018-06-12,12.94,82570
2018-06-13,12.98,69250
2018-06-14,13.01,55490
2018-06-15,12.78,372620
2018-06-18,12.78,70360
2018-06-19,12.75,80500
2018-06-20,12.68,58150
2018-06-21,12.66,84230
2018-06-22,12.68,87320
2018-06-25,12.64,75560
2018-06-26,12.57,110330
2018-06-27,12.5,76640
2018-06-28,12.47,373170
2018-06-29,12.52,102070
2018-07-02,12.41,103720
2018-07-03,12.51,62880
2018-07-05,12.54,112350
2018-07-06,12.53,100870
2018-07-09,12.57,42710
2018-07-10,12.54,46460
2018-07-11,12.42,65600
2018-07-12,12.45,35410
2018-07-13,12.4,188480
2018-07-16,12.38,40570
2018-07-17,12.26,208630
2018-07-18,12.25,380440
2018-07-19,12.21,286350
2018-07-20,12.29,295830
2018-07-23,12.22,131970
2018-07-24,12.23,462080
2018-07-25,12.3,124670
2018-07-26,12.21,119650
2018-07-27,12.21,165890
2018-07-30,12.2,111840
2018-07-31,12.23,318200
2018-08-01,12.14,142320
2018-08-02,12.07,144390
2018-08-03,12.11,126210
2018-08-06,12.06,120000
2018-08-07,12.07,86080
2018-08-08,12.11,125560
2018-08-09,12.1,77990
2018-08-10,12.09,306070
2018-08-13,11.91,100960
2018-08-14,11.92,256640
2018-08-15,11.72,115820
2018-08-16,11.72,189270
2018-08-17,11.82,302650
2018-08-20,11.87,149480
2018-08-21,11.91,129870
2018-08-22,11.94,256170
2018-08-23,11.84,107960
2018-08-24,12.03,182650
2018-08-27,12.08,69150
2018-08-28,11.98,124710
2018-08-29,12.04,137900
2018-08-30,11.98,194720
2018-08-31,11.97,303110
2018-09-04,11.9,96810
2018-09-05,11.95,85770
2018-09-06,11.97,115230
2018-09-07,11.94,327500
2018-09-10,11.93,144710
2018-09-11,11.94,668050
2018-09-12,12.03,368280
2018-09-13,11.99,251650
2018-09-14,11.91,319430
2018-09-17,11.98,231210
2018-09-18,11.96,168890
2018-09-19,12.01,143460
2018-09-20,12.05,162110
2018-09-21,11.96,200550
2018-09-24,11.97,256100
2018-09-25,11.98,186640
2018-09-26,11.92,442200
2018-09-27,11.82,210440
2018-09-28,11.9,118930
2018-10-01,11.87,116340
2018-10-02,12.01,217840
2018-10-03,11.96,199170
2018-10-04,11.97,156270
2018-10-05,12.01,79410
2018-10-08,11.86,157230
2018-10-09,11.88,80540
2018-10-10,11.9,171790
2018-10-11,12.2,231400
2018-10-12,12.16,308110
2018-10-15,12.23,396720
2018-10-16,12.22,159080
2018-10-17,12.21,112370
2018-10-18,12.23,284440
2018-10-19,12.24,71880
2018-10-22,12.2,74060
2018-10-23,12.28,101120
2018-10-24,12.3,76740
2018-10-25,12.27,75750
2018-10-26,12.31,211320
2018-10-29,12.27,83880
2018-10-30,12.21,43800
2018-10-31,12.12,107750
2018-11-01,12.31,143200
2018-11-02,12.3,63930
2018-11-05,12.28,42220
2018-11-06,12.23,41830
2018-11-07,12.23,53530
2018-11-08,12.21,92280
2018-11-09,12.07,84850
2018-11-12,11.98,83570
2018-11-13,11.97,682560
2018-11-14,12.09,284800
2018-11-15,12.1,99660
2018-11-16,12.19,152600
2018-11-19,12.21,671970
2018-11-20,12.19,114390
2018-11-21,12.22,75730
2018-11-23,12.21,89270
2018-11-26,12.2,132320
2018-11-27,12.11,51690
2018-11-28,12.18,224250
2018-11-29,12.24,182320
2018-11-30,12.19,100760
2018-12-03,12.27,115840
2018-12-04,12.35,100940
2018-12-06,12.35,184650
2018-12-07,12.46,124390
2018-12-10,12.41,169320
2018-12-11,12.4,208160
2018-12-12,12.43,91430
2018-12-13,12.4,116940
2018-12-14,12.35,140720
2018-12-17,12.43,342080
2018-12-18,12.46,107750
2018-12-19,12.39,84100
2018-12-20,12.58,283680
2018-12-21,12.52,96020
2018-12-24,12.66,102630
2018-12-26,12.63,119970
2018-12-27,12.72,99530
2018-12-28,12.77,119740
2018-12-31,12.79,134650
2019-01-02,12.79,612880
2019-01-03,12.92,478670
2019-01-04,12.82,236040
2019-01-07,12.86,2009940
2019-01-08,12.82,8840340
2019-01-09,12.9,669300
2019-01-10,12.83,177820
2019-01-11,12.85,475540
2019-01-14,12.88,503400
2019-01-15,12.86,104660
2019-01-16,12.9,212190
2019-01-17,12.88,220320
2019-01-18,12.77,271700
2019-01-22,12.81,168430
2019-01-23,12.8,72210
2019-01-24,12.78,90240
2019-01-25,12.96,76260
2019-01-28,13.0,173920
2019-01-29,13.08,82310
2019-01-30,13.15,99680
2019-01-31,13.16,834770
2019-02-01,13.14,811460
2019-02-04,13.09,230410
2019-02-05,13.11,58640
2019-02-06,13.03,194830
2019-02-07,13.07,61140
2019-02-08,13.11,98420
2019-02-11,13.05,147860
2019-02-12,13.07,78070
2019-02-13,13.02,80820
2019-02-14,13.09,81390
2019-02-15,13.17,97270
2019-02-19,13.38,161930
2019-02-20,13.35,51580
2019-02-21,13.2,56460
2019-02-22,13.25,79250
2019-02-25,13.24,125220
2019-02-26,13.25,90450
2019-02-27,13.17,163580
2019-02-28,13.09,118040
2019-03-01,12.87,462540
2019-03-04,12.84,83190
2019-03-05,12.84,128770
2019-03-06,12.84,54020
2019-03-07,12.82,97720
2019-03-08,12.97,70580
2019-03-11,12.9,11646
2019-03-12,12.97,38527
2019-03-13,13.08,29779
2019-03-14,12.92,51141
2019-03-15,12.98,460057
2019-03-18,13.0,181910
2019-03-19,13.03,234853
2019-03-20,13.1,521373
2019-03-21,13.06,56651
2019-03-22,13.08,75186
2019-03-25,13.19,79363
2019-03-26,13.15,55218
2019-03-27,13.05,64325
2019-03-28,12.88,120208
2019-03-29,12.89,103411
2019-04-01,12.83,95252
2019-04-02,12.87,79850
2019-04-03,12.85,92385
2019-04-04,12.9,46235
2019-04-05,12.88,59885
2019-04-08,12.96,50703
2019-04-09,13.01,46264
2019-04-10,13.05,58592
2019-04-11,12.87,73204
2019-04-12,12.87,28020
2019-04-15,12.83,69732
2019-04-16,12.73,136670
2019-04-17,12.71,46278
2019-04-18,12.71,943648
2019-04-22,12.7,71004
2019-04-23,12.69,54679
2019-04-24,12.73,101990
2019-04-25,12.74,71061
2019-04-26,12.82,87451
2019-04-29,12.75,68955
2019-04-30,12.8,60500
2019-05-01,12.72,90788
2019-05-02,12.67,91141
2019-05-03,12.75,153843
2019-05-06,12.76,83376
2019-05-07,12.81,6807198
2019-05-08,12.78,91537
2019-05-09,12.81,114615
2019-05-10,12.82,253432
2019-05-13,12.95,106897
2019-05-14,12.94,96125
2019-05-15,12.92,86294
2019-05-16,12.84,41314
2019-05-17,12.75,43971
2019-05-20,12.74,69015
2019-05-21,12.71,85219
2019-05-22,12.7,43985
2019-05-23,12.81,102697
2019-05-24,12.81,29518
2019-05-28,12.76,93625
2019-05-29,12.76,51014
2019-05-30,12.85,77583
2019-05-31,13.02,78900
2019-06-03,13.21,78315
2019-06-04,13.23,126180
2019-06-05,13.24,108883
2019-06-06,13.3,70734
2019-06-07,13.36,53061
2019-06-10,13.25,58510
2019-06-11,13.23,66730
2019-06-12,13.28,96831
2019-06-13,13.37,58201
2019-06-14,13.36,160055
2019-06-17,13.37,143539
2019-06-18,13.41,72416
2019-06-19,13.5,131769
2019-06-20,13.84,103796
2019-06-21,13.95,78444
2019-06-24,14.15,126098
2019-06-25,14.18,127202
2019-06-26,14.05,78006
2019-06-27,14.03,78649
2019-06-28,14.07,79942
2019-07-01,13.8,89532
2019-07-02,14.08,102185
2019-07-03,14.14,66831
2019-07-05,13.97,88276
2019-07-08,13.88,58889
2019-07-09,13.93,59410
2019-07-10,14.13,54742
2019-07-11,14.03,61820
2019-07-12,14.11,70013
2019-07-15,14.1,60870
2019-07-16,13.98,107592
2019-07-17,14.21,64569
2019-07-18,14.41,66142
2019-07-19,14.2,69363
2019-07-22,14.2,532268
2019-07-23,14.13,171570
2019-07-24,14.19,355929
2019-07-25,14.16,149976
2019-07-26,14.12,169750
2019-07-29,14.22,107880
2019-07-30,14.27,104458
2019-07-31,14.08,154062
2019-08-01,14.42,70491
2019-08-02,14.37,236389
2019-08-05,14.6,262224
2019-08-06,14.68,444201
2019-08-07,14.89,474480
2019-08-08,14.99,194973
2019-08-09,14.94,199072
2019-08-12,15.06,132414
2019-08-13,14.98,161859
2019-08-14,15.07,260903
2019-08-15,15.19,180358
2019-08-16,15.07,132732
2019-08-19,14.92,129387
2019-08-20,15.03,72562
2019-08-21,14.98,115013
2019-08-22,14.94,106650
2019-08-23,15.23,174792
2019-08-26,15.23,251293
2019-08-27,15.39,368501
2019-08-28,15.33,392886
2019-08-29,15.24,219168
2019-08-30,15.18,197679
2019-09-03,15.4,183974
2019-09-04,15.49,121732
2019-09-05,15.14,220155
2019-09-06,14.99,181647
2019-09-09,14.94,128558
2019-09-10,14.83,174891
2019-09-11,14.91,109986
2019-09-12,14.95,137542
2019-09-13,14.8,184513
2019-09-16,14.93,88040
2019-09-17,14.96,51680
2019-09-18,14.85,112707
2019-09-19,14.93,87783
2019-09-20,15.1,143061
2019-09-23,15.17,441582
2019-09-24,15.29,567254
2019-09-25,14.98,126155
2019-09-26,14.98,149699
2019-09-27,14.9,58300
2019-09-30,14.71,110988
2019-10-01,14.75,120911
2019-10-02,14.94,83076
2019-10-03,14.99,82572
2019-10-04,14.99,4617874
2019-10-07,14.86,332247
2019-10-08,14.98,533769
2019-10-09,15.0,790417
2019-10-10,14.88,83348
2019-10-11,14.81,173100
2019-10-14,14.85,82153
2019-10-15,14.75,104149
2019-10-16,14.85,134148
2019-10-17,14.86,78687
2019-10-18,14.84,91458
2019-10-21,14.77,48338
2019-10-22,14.83,87524
2019-10-23,14.84,735268
2019-10-24,14.97,101313
2019-10-25,14.98,64261
2019-10-28,14.88,84148
2019-10-29,14.83,91310
2019-10-30,14.91,37830
2019-10-31,15.05,54637
2019-11-01,15.06,33513
2019-11-04,15.02,49453
2019-11-05,14.77,152258
2019-11-06,14.84,57062
2019-11-07,14.61,131191
2019-11-08,14.53,197701
2019-11-11,14.48,75084
2019-11-12,14.52,62645
2019-11-13,14.59,62577
2019-11-14,14.64,50544
2019-11-15,14.62,82343
2019-11-18,14.65,77115
2019-11-19,14.67,80935
2019-11-20,14.68,78655
2019-11-21,14.58,198406
2019-11-22,14.57,106746
2019-11-25,14.48,94407
2019-11-26,14.56,168115
2019-11-27,14.48,70194
2019-11-29,14.58,45630
2019-12-02,14.58,48921
2019-12-03,14.72,78004
2019-12-04,14.68,52179
2019-12-05,14.7,74015
2019-12-06,14.55,121405
2019-12-09,14.55,77955
2019-12-10,14.6,78251
2019-12-11,14.7,53272
2019-12-12,14.63,88640
2019-12-13,14.71,79551
2019-12-16,14.7,115304
2019-12-17,14.69,66843
2019-12-18,14.69,249058
2019-12-19,14.73,51284
2019-12-20,14.71,120800
2019-12-23,14.79,60020
2019-12-24,14.94,123971
2019-12-26,15.05,112133
2019-12-27,15.04,88524
2019-12-30,15.09,109749
2019-12-31,15.11,81058
2020-01-02,15.23,91674
2020-01-03,15.43,171897
2020-01-06,15.59,207738
2020-01-07,15.66,186510
2020-01-08,15.54,674806
2020-01-09,15.44,142346
2020-01-10,15.55,160247
2020-01-13,15.43,642029
2020-01-14,15.41,226504
2020-01-15,15.5,317750
2020-01-16,15.49,137284
2020-01-17,15.51,151181
2020-01-21,15.51,251368
2020-01-22,15.53,86546
2020-01-23,15.56,181601
2020-01-24,15.67,625879
2020-01-27,15.77,278611
2020-01-28,15.63,232196
2020-01-29,15.71,113621
2020-01-30,15.7,129063
2020-01-31,15.81,106781
2020-02-03,15.71,163755
2020-02-04,15.48,156600
2020-02-05,15.53,202620
2020-02-06,15.6,104021
2020-02-07,15.64,160790
2020-02-10,15.66,197705
2020-02-11,15.62,125905
2020-02-12,15.6,121134
2020-02-13,15.69,109464
2020-02-14,15.78,154068
2020-02-18,15.96,216169
2020-02-19,16.05,383642
2020-02-20,16.13,260636
2020-02-21,16.36,503687
2020-02-24,16.51,758609
2020-02-25,16.23,517344
2020-02-26,16.3,676736
2020-02-27,16.3,708733
2020-02-28,15.72,727633
2020-03-02,15.76,484186
2020-03-03,16.31,658243
2020-03-04,16.3,469911
2020-03-05,16.66,397396
2020-03-06,16.67,539654
2020-03-09,16.71,560699
2020-03-10,16.32,408136
2020-03-11,16.3,371477
2020-03-12,15.61,647032
2020-03-13,15.16,1713854
2020-03-16,14.85,1292607
2020-03-17,15.22,278460
2020-03-18,14.89,543520
2020-03-19,14.63,543026
2020-03-20,14.83,799059
2020-03-23,15.45,562701
2020-03-24,16.22,825716
2020-03-25,16.01,614461
2020-03-26,16.25,462084
2020-03-27,16.14,453751
2020-03-30,16.15,415228
2020-03-31,15.7,8118131
2020-04-01,15.85,357721
2020-04-02,16.1,272531
2020-04-03,16.19,529573
2020-04-06,16.58,369901
2020-04-07,16.48,589728
2020-04-08,16.38,258367
2020-04-09,16.77,245318
2020-04-13,17.11,445041
2020-04-14,17.19,330623
2020-04-15,17.19,303870
2020-04-16,17.13,226143
2020-04-17,16.79,516309
2020-04-20,16.87,403750
2020-04-21,16.79,255269
2020-04-22,17.12,553181
2020-04-23,17.28,257644
2020-04-24,17.23,231596
2020-04-27,17.1,238519
2020-04-28,17.02,388163
2020-04-29,17.11,211771
2020-04-30,16.78,394970
2020-05-01,16.95,286147
2020-05-04,16.98,357755
2020-05-05,17.0,224951
2020-05-06,16.84,286779
2020-05-07,17.06,242858
2020-05-08,16.99,200549
2020-05-11,16.9,285058
2020-05-12,16.95,179594
2020-05-13,17.1,255794
2020-05-14,17.26,352328
2020-05-15,17.36,305606
2020-05-18,17.23,455146
2020-05-19,17.36,262459
2020-05-20,17.42,940090
2020-05-21,17.18,340374
2020-05-22,17.28,1599457
2020-05-26,17.04,355785
2020-05-27,17.04,318791
2020-05-28,17.11,158663
2020-05-29,17.25,310003
2020-06-01,17.32,321659
2020-06-02,17.19,431123
2020-06-03,16.91,648918
2020-06-04,17.1,279357
2020-06-05,16.73,341227
2020-06-08,16.92,222466
2020-06-09,17.08,181350
2020-06-10,17.31,401244
2020-06-11,17.21,288588
2020-06-12,17.22,159380
2020-06-15,17.18,238208
2020-06-16,17.19,249452
2020-06-17,17.2,186442
2020-06-18,17.16,308467
2020-06-19,17.37,316405
2020-06-22,17.46,254077
2020-06-23,17.63,1008203
2020-06-24,17.59,292478
2020-06-25,17.54,236274
2020-06-26,17.64,469689
2020-06-29,17.64,229680
2020-06-30,17.74,282904
2020-07-01,17.65,326095
2020-07-02,17.69,194598
2020-07-06,17.77,291884
2020-07-07,17.9,534020
2020-07-08,18.0,548684
2020-07-09,17.96,600371
2020-07-10,17.91,241482
2020-07-13,17.92,575634
2020-07-14,18.02,309921
2020-07-15,18.04,277642
2020-07-16,17.87,424993
2020-07-17,18.02,306630
2020-07-20,18.1,370506
2020-07-21,18.31,360532
2020-07-22,18.57,1048426
2020-07-23,18.81,769845
2020-07-24,18.92,869857
2020-07-27,19.3,861323
2020-07-28,19.46,1254136
2020-07-29,19.61,1985782
2020-07-30,19.49,1401564
2020-07-31,19.65,1366379
2020-08-03,19.66,772401
2020-08-04,20.07,739470
2020-08-05,20.27,680091
2020-08-06,20.51,780444
2020-08-07,20.2,556925
2020-08-10,20.14,483494
2020-08-11,19.05,1912663
2020-08-12,18.98,515341
2020-08-13,19.41,514440
2020-08-14,19.31,378560
