date,close,volume
2018-04-25,1.75,79548
2018-04-26,1.79,49404
2018-04-27,1.74,13713
2018-04-30,1.73,2803
2018-05-01,1.73,2675
2018-05-02,1.78,2238
2018-05-03,1.65,8141
2018-05-04,1.71,1560
2018-05-07,1.67,23538
2018-05-08,1.86,250975
2018-05-09,1.93,11375
2018-05-10,1.85,6874
2018-05-11,1.79,6972
2018-05-14,1.74,6784
2018-05-15,1.84,27319
2018-05-16,1.75,3845
2018-05-17,1.66,13784
2018-05-18,1.7,11646
2018-05-21,1.62,10862
2018-05-22,1.67,9925
2018-05-23,1.67,615
2018-05-24,1.61,7031
2018-05-25,1.64,932
2018-05-29,1.62,15234
2018-05-30,1.57,2845
2018-05-31,1.6,6336
2018-06-01,1.64,19678
2018-06-04,1.57,9038
2018-06-05,1.58,2791
2018-06-06,1.55,2454
2018-06-07,1.53,7752
2018-06-08,1.51,9954
2018-06-11,1.88,163425
2018-06-12,1.64,135584
2018-06-13,1.65,5040
2018-06-14,1.65,23059
2018-06-15,1.61,15983
2018-06-18,1.68,5424
2018-06-19,1.63,4382
2018-06-20,1.64,28163
2018-06-21,1.59,9191
2018-06-22,1.6,4989
2018-06-25,1.6,76
2018-06-26,1.56,1919
2018-06-27,1.62,209910
2018-06-28,1.61,10304
2018-06-29,1.65,6713
2018-07-02,1.97,3870696
2018-07-03,2.02,234667
2018-07-05,2.02,57835
2018-07-06,1.95,44223
2018-07-09,1.84,21438
2018-07-10,1.84,111273
2018-07-11,1.96,41980
2018-07-12,1.95,35825
2018-07-13,1.91,9035
2018-07-16,1.75,51276
2018-07-17,1.85,43352
2018-07-18,1.79,4470
2018-07-19,1.79,12404
2018-07-20,1.8,5900
2018-07-23,1.81,22494
2018-07-24,1.72,18709
2018-07-25,1.74,11488
2018-07-26,1.7,18467
2018-07-27,1.7,14121
2018-07-30,1.78,7431
2018-07-31,1.72,17623
2018-08-01,1.76,615
2018-08-02,1.76,15910
2018-08-03,1.7,4162
2018-08-06,1.69,12767
2018-08-07,1.75,58831
2018-08-08,1.64,70798
2018-08-09,1.6,7829
2018-08-10,1.6,9872
2018-08-13,1.5,18602
2018-08-14,1.52,13752
2018-08-15,1.5,26480
2018-08-16,1.54,45822
2018-08-17,1.6,12930
2018-08-20,1.55,35411
2018-08-21,1.64,4081
2018-08-22,1.7,403
2018-08-23,1.7,146
2018-08-24,1.67,33940
2018-08-27,1.68,4070
2018-08-28,1.68,4378
2018-08-29,1.7,9694
2018-08-30,1.65,5554
2018-08-31,1.63,2198
2018-09-04,1.64,7983
2018-09-05,1.65,34900
2018-09-06,1.58,15961
2018-09-07,1.64,2063
2018-09-10,1.69,1065
2018-09-11,1.64,8728
2018-09-12,1.64,4410
2018-09-13,1.61,10388
2018-09-14,1.68,86588
2018-09-17,1.65,14637
2018-09-18,1.7,12340
2018-09-19,1.63,18983
2018-09-20,1.65,5489
2018-09-21,1.69,3429
2018-09-24,1.65,4666
