date,close,volume
2018-04-25,7.5,11320350
2018-04-26,7.55,11827789
2018-04-27,7.64,9529219
2018-04-30,7.42,8195080
2018-05-01,7.34,4883017
2018-05-02,7.16,9154871
2018-05-03,7.03,15132395
2018-05-04,7.07,8430777
2018-05-07,6.97,8953122
2018-05-08,6.86,11465058
2018-05-09,6.89,8071933
2018-05-10,7.13,10513583
2018-05-11,6.9,10170331
2018-05-14,6.77,14944827
2018-05-15,6.65,17107494
2018-05-16,6.73,10751507
2018-05-17,6.4,17287710
2018-05-18,6.36,33545001
2018-05-21,6.35,13983118
2018-05-22,6.61,20607436
2018-05-23,6.5,16679400
2018-05-24,6.45,12724325
2018-05-25,6.29,14367770
2018-05-29,5.93,17951650
2018-05-30,5.9,22649650
2018-05-31,5.95,7986174
2018-06-01,6.01,20134521
2018-06-04,6.12,10821043
2018-06-05,5.74,25949409
2018-06-06,5.59,22291884
2018-06-07,5.33,43326444
2018-06-08,5.58,32114611
2018-06-11,5.48,11134051
2018-06-12,5.46,14334372
2018-06-13,5.34,16738626
2018-06-14,5.07,26634304
2018-06-15,5.18,24807108
2018-06-18,5.05,14800462
2018-06-19,5.24,26808249
2018-06-20,5.36,30607430
2018-06-21,5.16,15723675
2018-06-22,5.23,18807477
2018-06-25,5.21,14554799
2018-06-26,5.14,15158052
2018-06-27,4.96,18415315
2018-06-28,5.14,13148274
2018-06-29,5.2,13879941
2018-07-02,5.14,10240279
2018-07-03,5.36,11750022
2018-07-05,5.38,15605638
2018-07-06,5.46,16252921
2018-07-09,5.47,14067547
2018-07-10,5.52,17850949
2018-07-11,5.37,16906091
2018-07-12,5.48,12907430
2018-07-13,5.67,16936703
2018-07-16,5.67,10225024
2018-07-17,5.85,16980624
2018-07-18,5.74,10472504
2018-07-19,5.76,12846608
2018-07-20,6.09,37996196
2018-07-23,6.05,16238367
2018-07-24,6.18,12674720
2018-07-25,6.37,22134834
2018-07-26,6.11,19732247
2018-07-27,6.25,13222085
2018-07-30,6.27,9156089
2018-07-31,6.12,10853322
2018-08-01,6.2,9833616
2018-08-02,6.19,9693169
2018-08-03,6.54,17734630
2018-08-06,6.42,10994793
2018-08-07,6.27,17201617
2018-08-08,6.15,17876718
2018-08-09,6.02,10663033
2018-08-10,5.64,28369774
2018-08-13,5.67,18622068
2018-08-14,5.82,16554466
2018-08-15,5.7,19892494
2018-08-16,5.68,17991814
2018-08-17,5.52,13475052
2018-08-20,5.49,9970607
2018-08-21,5.26,25407807
2018-08-22,5.36,17023874
2018-08-23,5.15,20031929
2018-08-24,5.23,12690637
2018-08-27,5.37,15011452
