date,close,volume
2019-06-27,27.55,4986106
2019-06-28,26.97,865466
2019-07-01,27.37,325609
2019-07-02,27.04,595465
2019-07-03,28.61,2097780
2019-07-05,28.99,399918
2019-07-08,28.2,210618
2019-07-09,27.36,94322
2019-07-10,27.6,238872
2019-07-11,29.77,230729
2019-07-12,28.62,235872
2019-07-15,27.84,156056
2019-07-16,25.94,174112
2019-07-17,26.12,109416
2019-07-18,26.0,213303
2019-07-19,27.51,298653
2019-07-22,30.34,296856
2019-07-23,28.83,192942
2019-07-24,28.12,105074
2019-07-25,26.79,116715
2019-07-26,28.37,216703
2019-07-29,28.69,101526
2019-07-30,27.78,97883
2019-07-31,29.35,77811
2019-08-01,29.69,296691
2019-08-02,28.29,148321
2019-08-05,26.9,100611
2019-08-06,27.88,60629
2019-08-07,29.47,62760
2019-08-08,29.82,85580
2019-08-09,26.88,441211
2019-08-12,26.19,216792
2019-08-13,26.76,95540
2019-08-14,25.89,128748
2019-08-15,26.76,172927
2019-08-16,27.46,218102
2019-08-19,28.05,222721
2019-08-20,28.66,159728
2019-08-21,29.82,132992
2019-08-22,29.8,100199
2019-08-23,29.31,63845
2019-08-26,30.49,112278
2019-08-27,31.26,171908
2019-08-28,29.61,144691
2019-08-29,30.71,139796
2019-08-30,30.48,136986
2019-09-03,32.38,360780
2019-09-04,31.48,200708
2019-09-05,31.32,201353
2019-09-06,30.93,227037
2019-09-09,28.35,221915
2019-09-10,26.55,221923
2019-09-11,26.95,185196
2019-09-12,26.1,176445
2019-09-13,25.91,194077
2019-09-16,25.38,173524
2019-09-17,24.86,166006
2019-09-18,24.75,167131
2019-09-19,24.53,224993
2019-09-20,26.27,3701133
2019-09-23,27.61,401160
2019-09-24,25.46,391772
2019-09-25,23.39,306012
2019-09-26,21.24,337014
2019-09-27,20.13,412570
2019-09-30,21.47,315563
2019-10-01,20.9,192770
2019-10-02,19.57,276565
2019-10-03,20.17,406597
2019-10-04,19.43,327804
2019-10-07,19.63,217005
2019-10-08,19.11,119451
2019-10-09,18.35,170812
2019-10-10,18.75,355492
2019-10-11,18.53,262896
2019-10-14,18.12,179258
2019-10-15,18.62,180564
2019-10-16,17.96,159728
2019-10-17,18.51,148431
2019-10-18,18.21,211357
2019-10-21,18.63,169924
2019-10-22,18.4,192230
2019-10-23,18.48,259229
2019-10-24,18.51,170563
2019-10-25,18.72,326227
2019-10-28,19.44,276966
2019-10-29,20.0,295210
2019-10-30,20.26,312394
2019-10-31,22.61,342412
2019-11-01,24.15,306515
2019-11-04,23.08,172726
2019-11-05,23.21,142833
2019-11-06,22.16,107470
2019-11-07,24.42,237792
2019-11-08,27.06,290251
2019-11-11,26.75,196745
2019-11-12,27.96,229616
2019-11-13,26.28,179336
2019-11-14,27.57,185274
2019-11-15,28.26,225761
2019-11-18,29.07,460220
2019-11-19,30.29,297694
2019-11-20,33.29,446124
2019-11-21,33.54,310895
2019-11-22,34.0,362712
2019-11-25,31.04,365404
2019-11-26,28.29,262173
2019-11-27,29.84,198333
2019-11-29,29.0,67684
2019-12-02,31.14,237368
2019-12-03,30.56,617630
2019-12-04,33.92,298250
2019-12-05,32.2,228335
2019-12-06,33.02,203694
2019-12-09,36.26,419837
2019-12-10,36.93,256938
2019-12-11,36.73,161477
2019-12-12,37.45,163278
2019-12-13,36.5,201663
2019-12-16,35.16,405465
2019-12-17,34.94,391623
2019-12-18,38.46,368368
2019-12-19,36.75,362516
2019-12-20,41.54,2790642
2019-12-23,46.63,666682
2019-12-24,45.5,510318
2019-12-26,43.0,295848
2019-12-27,36.84,870299
2019-12-30,35.44,453603
2019-12-31,35.05,387722
2020-01-02,33.22,436688
2020-01-03,32.22,845988
2020-01-06,34.85,390523
2020-01-07,34.61,330167
2020-01-08,34.18,305107
2020-01-09,33.56,343845
2020-01-10,31.02,438332
2020-01-13,33.61,472524
2020-01-14,34.58,585383
2020-01-15,34.51,355413
2020-01-16,35.0,594462
2020-01-17,34.4,236298
2020-01-21,32.23,594839
2020-01-22,34.16,332290
2020-01-23,34.39,260859
2020-01-24,34.13,500225
2020-01-27,34.8,328055
2020-01-28,34.26,267559
2020-01-29,34.24,256800
2020-01-30,34.93,298137
2020-01-31,34.49,300337
2020-02-03,34.81,342361
2020-02-04,34.5,464477
2020-02-05,35.0,345043
2020-02-06,35.4,463502
2020-02-07,34.99,403246
2020-02-10,36.23,310032
2020-02-11,34.84,452375
2020-02-12,34.65,258887
2020-02-13,34.05,226025
2020-02-14,34.65,258660
2020-02-18,34.07,248919
2020-02-19,35.17,327794
2020-02-20,34.99,355874
2020-02-21,36.14,290034
2020-02-24,33.25,536199
2020-02-25,31.94,381935
2020-02-26,32.7,302853
2020-02-27,30.44,604447
2020-02-28,31.88,709750
2020-03-02,32.21,837086
2020-03-03,32.59,479682
2020-03-04,31.06,2125098
2020-03-05,29.99,7529408
2020-03-06,28.92,1043294
2020-03-09,26.98,1760995
2020-03-10,28.48,879228
2020-03-11,23.88,1149474
2020-03-12,20.28,998038
2020-03-13,23.06,1419853
2020-03-16,17.65,1231604
2020-03-17,16.82,869804
2020-03-18,16.11,1412860
2020-03-19,20.5,1160625
2020-03-20,26.62,9216532
2020-03-23,24.19,1432709
2020-03-24,25.48,905530
