date,close,volume
2018-04-25,42.64,1616046
2018-04-26,42.83,1389657
2018-04-27,42.15,2215108
2018-04-30,42.34,857813
2018-05-01,41.64,1074635
2018-05-02,42.07,1225052
2018-05-03,42.71,2705279
2018-05-04,43.25,1733527
2018-05-07,43.13,1037802
2018-05-08,43.1,1365190
2018-05-09,44.45,1875546
2018-05-10,45.3,1274081
2018-05-11,45.96,2062267
2018-05-14,46.59,1291560
2018-05-15,46.26,1827008
2018-05-16,47.05,1374016
2018-05-17,46.96,941332
2018-05-18,46.58,988991
2018-05-21,47.24,1584056
2018-05-22,47.04,2575470
2018-05-23,46.96,2228074
2018-05-24,46.17,2678998
2018-05-25,44.95,1681095
2018-05-29,44.07,1009415
2018-05-30,45.32,1346153
2018-05-31,45.78,1734039
2018-06-01,46.23,1349804
2018-06-04,45.97,1010570
2018-06-05,46.49,842648
2018-06-06,47.86,1680342
2018-06-07,47.23,1770765
2018-06-08,47.31,830242
2018-06-11,47.34,662928
2018-06-12,46.57,1247823
2018-06-13,46.49,976081
2018-06-14,46.25,1060438
2018-06-15,44.54,1181006
2018-06-18,44.7,1213355
2018-06-19,43.39,1092515
2018-06-20,43.38,793071
2018-06-21,43.26,1161466
2018-06-22,44.29,1043336
2018-06-25,42.7,1675675
2018-06-26,44.08,4634792
2018-06-27,44.14,3298968
2018-06-28,44.81,3386417
2018-06-29,44.95,1757442
2018-07-02,43.49,1943939
2018-07-03,43.88,1076155
2018-07-05,43.93,1012458
2018-07-06,44.55,1305892
2018-07-09,45.6,1940802
2018-07-10,45.82,1670027
2018-07-11,43.52,2690126
2018-07-12,44.21,1910653
2018-07-13,43.89,1599023
2018-07-16,43.08,1532907
2018-07-17,43.05,2247501
2018-07-18,44.22,1555211
2018-07-19,42.91,1706388
2018-07-20,42.73,1768761
2018-07-23,42.61,944209
2018-07-24,44.78,1360557
2018-07-25,44.99,1014919
2018-07-26,44.15,1006344
2018-07-27,45.05,1252120
2018-07-30,45.43,1010156
2018-07-31,46.26,1407559
2018-08-01,44.98,1406956
2018-08-02,43.81,1450358
2018-08-03,44.42,1165473
2018-08-06,43.78,839976
2018-08-07,44.66,2049462
2018-08-08,44.5,1390461
2018-08-09,44.21,710148
2018-08-10,43.43,1427664
2018-08-13,43.01,1329315
2018-08-14,43.6,1396128
2018-08-15,41.27,1961739
2018-08-16,41.41,991231
2018-08-17,41.96,972458
2018-08-20,42.29,679971
2018-08-21,41.55,1504072
2018-08-22,42.45,1256282
2018-08-23,41.6,1530501
2018-08-24,42.81,943101
2018-08-27,43.55,1365135
2018-08-28,43.94,990177
2018-08-29,44.42,906709
2018-08-30,43.38,1338982
2018-08-31,42.82,1021752
2018-09-04,42.15,1365851
2018-09-05,41.96,1711486
2018-09-06,40.24,1149857
2018-09-07,39.57,1333971
2018-09-10,39.25,959939
2018-09-11,39.29,1632777
2018-09-12,39.9,1539674
2018-09-13,40.1,1245850
2018-09-14,40.27,905666
2018-09-17,40.14,948276
2018-09-18,41.16,893681
2018-09-19,42.21,886501
2018-09-20,43.16,1002732
2018-09-21,44.04,1392003
2018-09-24,43.94,724976
2018-09-25,44.76,1136616
2018-09-26,43.93,1561561
2018-09-27,43.74,1535216
2018-09-28,43.98,2479233
