date,close,volume
2020-06-03,25.85,100
2020-06-04,25.95,1
2020-06-05,26.5,0
2020-06-08,28.17,1
2020-06-09,27.62,501
2020-06-10,26.39,1
2020-06-11,24.06,1200
2020-06-12,25.45,200
2020-06-15,25.54,20
2020-06-16,26.19,1700
2020-06-17,25.32,955
2020-06-18,24.92,255
2020-06-19,24.74,0
2020-06-22,24.44,0
2020-06-23,24.32,11
2020-06-24,23.66,1600
2020-06-25,23.77,1200
2020-06-26,23.41,4101
2020-06-29,23.64,599
2020-06-30,24.18,1700
2020-07-01,24.09,1600
2020-07-02,24.01,804
2020-07-06,24.02,116
2020-07-07,23.23,1
2020-07-08,23.36,115
2020-07-09,22.49,0
2020-07-10,22.92,1
2020-07-13,22.31,7
2020-07-14,22.72,0
2020-07-15,23.44,500
2020-07-16,23.37,1
2020-07-17,23.39,7
2020-07-20,23.14,26
2020-07-21,23.49,100
2020-07-22,23.92,0
2020-07-23,23.77,417
2020-07-24,23.27,0
2020-07-27,23.03,3
2020-07-28,23.12,110
2020-07-29,23.42,2
2020-07-30,23.44,1
2020-07-31,23.5,1
2020-08-03,23.82,0
2020-08-04,24.16,801
2020-08-05,24.7,0
2020-08-06,24.66,1
2020-08-07,25.3,13
2020-08-10,26.06,4
2020-08-11,25.66,100
2020-08-12,25.78,1
2020-08-13,25.59,0
2020-08-14,25.49,0
