date,close,volume
2018-04-25,15.93,17625
2018-04-26,15.97,42804
2018-04-27,16.06,38385
2018-04-30,16.09,27580
2018-05-01,16.03,41923
2018-05-02,16.05,59615
2018-05-03,16.09,30799
2018-05-04,16.19,46296
2018-05-07,16.34,85424
2018-05-08,16.39,29986
2018-05-09,16.4,41321
2018-05-10,16.5,45787
2018-05-11,16.53,29584
2018-05-14,16.57,71170
2018-05-15,16.51,23984
2018-05-16,16.56,71774
2018-05-17,16.56,22924
2018-05-18,16.67,22320
2018-05-21,16.69,43093
2018-05-22,16.72,42192
2018-05-23,16.74,44663
2018-05-24,16.72,25522
2018-05-25,16.75,11360
2018-05-29,16.7,38663
2018-05-30,16.76,22360
2018-05-31,16.75,21147
2018-06-01,16.79,29613
2018-06-04,16.85,23045
2018-06-05,16.78,55920
2018-06-06,16.88,449401
2018-06-07,16.92,34011
2018-06-08,16.95,30019
2018-06-11,16.89,47123
2018-06-12,16.78,44759
2018-06-13,16.81,33719
2018-06-14,16.92,35105
2018-06-15,16.88,26570
2018-06-18,16.88,32198
2018-06-19,16.88,20517
2018-06-20,16.89,204604
2018-06-21,16.82,67066
2018-06-22,16.73,29727
2018-06-25,16.67,155255
2018-06-26,16.74,30372
2018-06-27,16.68,67289
2018-06-28,16.63,39105
2018-06-29,16.64,19589
2018-07-02,16.41,31241
2018-07-03,16.52,10430
2018-07-05,16.54,38617
2018-07-06,16.58,21686
2018-07-09,16.62,60515
2018-07-10,16.64,41114
2018-07-11,16.64,16178
2018-07-12,16.6,24622
2018-07-13,16.61,62349
2018-07-16,16.65,41265
2018-07-17,16.82,40344
2018-07-18,17.06,425063
2018-07-19,17.0,98270
2018-07-20,16.93,56934
2018-07-23,16.91,36951
2018-07-24,16.96,46710
2018-07-25,17.03,349284
2018-07-26,16.98,78534
2018-07-27,17.0,44871
2018-07-30,17.02,72059
2018-07-31,17.04,48243
2018-08-01,17.14,37011
2018-08-02,17.12,205057
2018-08-03,17.23,51848
2018-08-06,17.24,105679
2018-08-07,17.31,55325
2018-08-08,17.29,52801
2018-08-09,17.29,40910
2018-08-10,17.12,40440
2018-08-13,17.11,50696
2018-08-14,17.15,57412
2018-08-15,17.11,64201
2018-08-16,17.2,36624
2018-08-17,17.15,26795
2018-08-20,17.17,38620
2018-08-21,17.27,140909
2018-08-22,17.23,47274
2018-08-23,17.23,77846
2018-08-24,17.23,57870
2018-08-27,17.3,22945
2018-08-28,17.2,29813
2018-08-29,17.35,250417
2018-08-30,17.4,53295
2018-08-31,17.34,27583
2018-09-04,17.33,41464
2018-09-05,17.28,128780
2018-09-06,17.31,489983
2018-09-07,17.15,27373
2018-09-10,17.17,68927
2018-09-11,17.17,54459
2018-09-12,17.15,66304
2018-09-13,17.24,50508
2018-09-14,17.19,44238
2018-09-17,17.2,43456
2018-09-18,17.22,118039
2018-09-19,17.15,26858
2018-09-20,17.24,26254
2018-09-21,17.26,36818
2018-09-24,17.2,32384
2018-09-25,17.16,52629
2018-09-26,17.17,23516
2018-09-27,17.14,46396
2018-09-28,17.08,70518
2018-10-01,16.71,45617
2018-10-02,16.64,91320
2018-10-03,16.69,69858
2018-10-04,16.47,158327
2018-10-05,16.44,65650
2018-10-08,16.25,84607
2018-10-09,16.4,30990
2018-10-10,16.19,98474
2018-10-11,16.01,90568
2018-10-12,16.01,266600
2018-10-15,16.07,92777
2018-10-16,16.16,46898
2018-10-17,16.14,44376
2018-10-18,16.0,59901
2018-10-19,15.98,28657
2018-10-22,15.86,34332
2018-10-23,15.74,91168
2018-10-24,15.56,39102
2018-10-25,15.59,91230
2018-10-26,15.52,82214
2018-10-29,15.58,377801
2018-10-30,15.68,110265
2018-10-31,15.99,32685
2018-11-01,16.18,36397
2018-11-02,16.05,106679
2018-11-05,16.26,79511
2018-11-06,16.44,25333
2018-11-07,16.47,57047
2018-11-08,16.44,58918
2018-11-09,16.47,34784
2018-11-12,16.18,47383
2018-11-13,16.23,41995
2018-11-14,16.15,40629
2018-11-15,16.13,77840
2018-11-16,16.12,29501
2018-11-19,16.16,30875
2018-11-20,15.82,427878
2018-11-21,15.93,466267
2018-11-23,15.97,369201
2018-11-26,15.97,39065
2018-11-27,16.01,33627
2018-11-28,16.14,42604
2018-11-29,16.15,26160
2018-11-30,16.06,20075
2018-12-03,16.24,120248
2018-12-04,16.0,42225
2018-12-06,15.85,92859
2018-12-07,15.77,170105
2018-12-10,15.62,107738
2018-12-11,15.63,99896
2018-12-12,15.63,34841
2018-12-13,15.56,44271
2018-12-14,15.36,79169
2018-12-17,14.67,196560
2018-12-18,14.76,215281
2018-12-19,14.71,307387
2018-12-20,14.16,354329
2018-12-21,14.25,107924
2018-12-24,14.25,191349
2018-12-26,14.65,200393
2018-12-27,14.28,196269
2018-12-28,14.41,285060
2018-12-31,14.04,237214
2019-01-02,14.46,326862
2019-01-03,14.42,175301
2019-01-04,14.82,156944
2019-01-07,15.17,271570
2019-01-08,15.36,96913
2019-01-09,15.3,105744
2019-01-10,15.36,54878
2019-01-11,15.42,104557
2019-01-14,15.4,95054
2019-01-15,15.44,38313
2019-01-16,15.55,125859
2019-01-17,15.52,58862
2019-01-18,15.59,56978
2019-01-22,15.48,71567
2019-01-23,15.5,81978
2019-01-24,15.61,173434
2019-01-25,15.76,66074
2019-01-28,15.73,49883
2019-01-29,15.7,55769
2019-01-30,15.88,71053
2019-01-31,15.95,42084
2019-02-01,15.94,99499
2019-02-04,16.08,50594
2019-02-05,16.18,99330
2019-02-06,16.14,36313
2019-02-07,15.94,81766
2019-02-08,15.91,63540
2019-02-11,15.97,28706
2019-02-12,16.07,58431
2019-02-13,16.13,62386
2019-02-14,16.15,47906
2019-02-15,16.18,36517
2019-02-19,16.28,39033
2019-02-20,16.42,68183
2019-02-21,16.49,48290
2019-02-22,16.73,59152
2019-02-25,16.69,153416
2019-02-26,16.62,104049
2019-02-27,16.52,275378
2019-02-28,16.45,39214
2019-03-01,16.34,23369
2019-03-04,16.39,74581
2019-03-05,16.27,86926
2019-03-06,16.22,88264
2019-03-07,16.2,74559
2019-03-08,16.22,82853
2019-03-11,16.37,58509
2019-03-12,16.29,216366
2019-03-13,16.34,68770
2019-03-14,16.4,48111
2019-03-15,16.39,117776
2019-03-18,16.49,101093
2019-03-19,16.37,124797
2019-03-20,16.34,44323
2019-03-21,16.37,50730
2019-03-22,16.24,77831
2019-03-25,16.21,87721
2019-03-26,16.31,45100
2019-03-27,16.34,56633
2019-03-28,16.42,55813
2019-03-29,16.36,54140
2019-04-01,16.13,80770
2019-04-02,16.15,39190
2019-04-03,16.14,76565
2019-04-04,16.17,46370
2019-04-05,16.24,79561
2019-04-08,16.24,49914
2019-04-09,16.12,48006
2019-04-10,16.18,31661
2019-04-11,16.21,46635
2019-04-12,16.24,38386
2019-04-15,16.17,78371
2019-04-16,16.3,80406
