date,close,volume
2018-04-25,46.84,2018
2018-04-26,46.73,11925
2018-04-27,46.91,6877
2018-04-30,46.83,3417
2018-05-01,47.03,1997
2018-05-02,47.73,1805
2018-05-03,47.56,1561
2018-05-04,47.75,3233
2018-05-07,47.67,2475
2018-05-08,47.46,2964
2018-05-09,47.63,7543
2018-05-10,48.39,3993
2018-05-11,48.45,11047
2018-05-14,49.52,71313
2018-05-15,49.0,55503
2018-05-16,49.31,29601
2018-05-17,49.47,32293
2018-05-18,49.35,9957
2018-05-21,50.29,26635
2018-05-22,50.0,22445
2018-05-23,49.55,18769
2018-05-24,49.71,8737
2018-05-25,49.86,8537
2018-05-29,49.35,30724
2018-05-30,49.6,9555
2018-05-31,49.84,110713
2018-06-01,49.42,20130
2018-06-04,49.12,7184
2018-06-05,48.28,5244
2018-06-06,48.8,4267
2018-06-07,48.67,7174
2018-06-08,48.22,14753
2018-06-11,48.88,7633
2018-06-12,49.0,12936
2018-06-13,48.19,6441
2018-06-14,48.52,4449
2018-06-15,47.68,7075
2018-06-18,47.9,13733
2018-06-19,47.26,11132
2018-06-20,47.72,5960
2018-06-21,47.55,7501
2018-06-22,47.52,11815
2018-06-25,46.29,7756
2018-06-26,46.11,14896
2018-06-27,45.54,11841
2018-06-28,45.39,15766
2018-06-29,45.85,114388
2018-07-02,44.36,28951
2018-07-03,44.0,15167
2018-07-05,44.0,22328
2018-07-06,44.64,26733
2018-07-09,45.44,44469
2018-07-10,45.71,4177
2018-07-11,45.19,6786
2018-07-12,45.93,8452
2018-07-13,46.09,7479
2018-07-16,46.31,5066
2018-07-17,46.14,3715
2018-07-18,46.08,3347
2018-07-19,45.87,5190
2018-07-20,46.14,10351
2018-07-23,45.9,2761
2018-07-24,46.15,2276
2018-07-25,47.0,7554
2018-07-26,46.11,7460
2018-07-27,45.96,4147
2018-07-30,45.87,2394
2018-07-31,46.09,4357
2018-08-01,45.0,12326
2018-08-02,44.25,20293
2018-08-03,43.83,12115
2018-08-06,43.59,31862
2018-08-07,43.87,17084
2018-08-08,43.75,33520
2018-08-09,43.89,3525
2018-08-10,43.35,5440
2018-08-13,42.68,9880
2018-08-14,42.47,6549
2018-08-15,41.26,17798
2018-08-16,41.46,13158
2018-08-17,41.86,13218
2018-08-20,42.2,4658
2018-08-21,42.57,2004
2018-08-22,42.77,3049
2018-08-23,42.34,4066
2018-08-24,42.7,2561
2018-08-27,43.37,8150
2018-08-28,43.2,2833
2018-08-29,43.42,23009
2018-08-30,42.85,4280
2018-08-31,42.76,4494
2018-09-04,42.03,3374
2018-09-05,41.59,3014
2018-09-06,40.4,13691
2018-09-07,39.78,10706
2018-09-10,39.74,4244
2018-09-11,39.36,13140
2018-09-12,39.24,10950
2018-09-13,39.92,3602
2018-09-14,40.04,6295
2018-09-17,39.97,3443
2018-09-18,40.34,5501
2018-09-19,40.75,5286
2018-09-20,40.91,3964
2018-09-21,41.01,5118
2018-09-24,40.44,7892
2018-09-25,40.47,1795
2018-09-26,40.38,3550
2018-09-27,39.93,17973
2018-09-28,39.7,7066
2018-10-01,39.63,3911
2018-10-02,39.01,7854
2018-10-03,39.48,13270
2018-10-04,38.9,4237
2018-10-05,38.36,3859
2018-10-08,37.6,11726
