date,close,volume
2019-06-03,25.38,84873
2019-06-04,25.74,18085
2019-06-05,25.89,8600
2019-06-06,26.04,9862
2019-06-07,26.2,8985
2019-06-10,26.29,14932
2019-06-11,26.27,5036
2019-06-12,26.24,701
2019-06-13,26.28,1365
2019-06-14,26.32,1226
2019-06-17,26.31,1500
2019-06-18,26.44,13350
2019-06-19,26.51,1639
2019-06-20,26.68,422
2019-06-21,26.68,3291
2019-06-24,26.65,9
2019-06-25,26.48,377
2019-06-26,26.48,180
2019-06-27,26.55,2024
2019-06-28,26.64,2130
2019-07-01,26.8,2141
2019-07-02,26.85,731
2019-07-03,26.99,100
2019-07-05,26.94,904
2019-07-08,26.89,1200
2019-07-09,26.82,0
2019-07-10,26.98,708
2019-07-11,27.0,143
2019-07-12,27.09,200
2019-07-15,27.09,0
2019-07-16,27.05,0
2019-07-17,26.97,2710
2019-07-18,27.0,100
2019-07-19,26.93,10
2019-07-22,26.96,524
2019-07-23,27.07,4189
2019-07-24,27.14,98
2019-07-25,27.07,0
2019-07-26,27.2,0
2019-07-29,27.19,370
2019-07-30,27.12,900
2019-07-31,26.95,2337
2019-08-01,26.78,910
2019-08-02,26.66,236
2019-08-05,26.15,140
2019-08-06,26.37,893
2019-08-07,26.39,6900
2019-08-08,26.69,0
2019-08-09,26.61,0
2019-08-12,26.38,1
2019-08-13,26.65,0
2019-08-14,26.14,1700
2019-08-15,26.19,3500
2019-08-16,26.45,0
2019-08-19,26.68,113
2019-08-20,26.53,8665
2019-08-21,26.63,0
2019-08-22,26.66,667
2019-08-23,26.1,0
2019-08-26,26.34,281
2019-08-27,26.3,0
2019-08-28,26.38,345
2019-08-29,26.63,5200
2019-08-30,26.64,167
2019-09-03,26.5,0
2019-09-04,26.73,297
2019-09-05,26.95,8
2019-09-06,26.98,0
2019-09-09,26.98,0
2019-09-10,26.96,0
2019-09-11,27.1,0
2019-09-12,27.17,0
2019-09-13,27.16,4300
2019-09-16,27.09,2000
2019-09-17,27.13,0
2019-09-18,27.13,0
2019-09-19,27.14,0
2019-09-20,27.09,0
2019-09-23,27.09,100
2019-09-24,26.93,0
2019-09-25,27.06,0
2019-09-26,27.02,0
2019-09-27,26.9,0
2019-09-30,27.02,0
2019-10-01,26.81,8
2019-10-02,26.49,4242
2019-10-03,26.61,0
2019-10-04,26.89,0
2019-10-07,26.84,0
2019-10-08,26.54,0
2019-10-09,26.71,0
2019-10-10,26.82,1300
2019-10-11,27.02,400
2019-10-14,27.04,852
2019-10-15,27.2,0
2019-10-16,27.16,288
2019-10-17,27.21,0
2019-10-18,27.15,300
2019-10-21,27.22,0
2019-10-22,27.2,0
2019-10-23,27.21,0
2019-10-24,27.24,0
2019-10-25,27.34,4000
2019-10-28,27.43,0
2019-10-29,27.44,100
2019-10-30,27.46,0
2019-10-31,27.38,101
2019-11-01,27.57,0
2019-11-04,27.65,14340
2019-11-05,27.64,801
2019-11-06,27.61,0
2019-11-07,27.66,0
2019-11-08,27.68,160
2019-11-11,27.67,154
2019-11-12,27.71,0
2019-11-13,27.7,0
2019-11-14,27.73,0
2019-11-15,27.83,0
2019-11-18,27.86,50
2019-11-19,27.86,3780
2019-11-20,27.75,1910
2019-11-21,27.76,0
2019-11-22,27.79,7
2019-11-25,27.91,0
2019-11-26,27.95,4659
2019-11-27,28.01,1800
2019-11-29,27.97,0
2019-12-02,27.85,2
2019-12-03,27.71,2
2019-12-04,27.82,470
2019-12-05,27.84,381
2019-12-06,27.97,1688
2019-12-09,27.94,189
2019-12-10,27.89,0
2019-12-11,27.93,2
2019-12-12,28.07,10643
2019-12-13,28.1,240
2019-12-16,28.21,0
2019-12-17,28.21,577
2019-12-18,28.21,6
2019-12-19,28.23,0
2019-12-20,28.3,0
2019-12-23,28.32,0
2019-12-24,28.29,100
2019-12-26,28.33,0
2019-12-27,28.32,2707
2019-12-30,28.27,0
2019-12-31,28.31,41
2020-01-02,28.41,0
2020-01-03,28.36,5029
2020-01-06,28.38,0
2020-01-07,28.38,100
2020-01-08,28.45,250
2020-01-09,28.48,435
2020-01-10,28.46,4114
2020-01-13,28.52,188
2020-01-14,28.54,1088
2020-01-15,28.53,328
2020-01-16,28.6,0
2020-01-17,28.64,2400
2020-01-21,28.64,0
2020-01-22,28.66,0
2020-01-23,28.64,0
2020-01-24,28.53,1161
2020-01-27,28.36,82
2020-01-28,28.49,1590
2020-01-29,28.49,0
2020-01-30,28.51,0
2020-01-31,28.31,1
2020-02-03,28.42,0
2020-02-04,28.59,101
2020-02-05,28.67,435
2020-02-06,28.71,25
2020-02-07,28.65,0
2020-02-10,28.68,0
2020-02-11,28.75,0
