date,close,volume
2018-04-25,15.07,27501
2018-04-26,15.13,25820
2018-04-27,15.11,18079
2018-04-30,15.16,55968
2018-05-01,15.15,37521
2018-05-02,15.18,50315
2018-05-03,15.13,37510
2018-05-04,15.13,11793
2018-05-07,15.19,30314
2018-05-08,15.19,36120
2018-05-09,15.15,21791
2018-05-10,15.17,33591
2018-05-11,15.19,32966
2018-05-14,15.17,24857
2018-05-15,15.12,46211
2018-05-16,15.1,46763
2018-05-17,15.08,24251
2018-05-18,15.13,9279
2018-05-21,15.12,16844
2018-05-22,15.17,59069
2018-05-23,15.12,27768
2018-05-24,15.11,34351
2018-05-25,15.17,33854
2018-05-29,15.19,28057
2018-05-30,15.13,27604
2018-05-31,15.19,62996
2018-06-01,15.15,13656
2018-06-04,15.18,27657
2018-06-05,15.12,39431
2018-06-06,15.12,41802
2018-06-07,15.12,18668
2018-06-08,15.18,21900
2018-06-11,15.11,68092
2018-06-12,15.13,13279
2018-06-13,15.13,21546
2018-06-14,15.1,30391
2018-06-15,15.11,28731
2018-06-18,15.1,15659
2018-06-19,15.12,9128
2018-06-20,15.09,30025
2018-06-21,15.12,57719
2018-06-22,15.11,12440
2018-06-25,15.09,26634
2018-06-26,15.08,35784
2018-06-27,15.09,23751
2018-06-28,15.1,39040
2018-06-29,15.08,39243
2018-07-02,15.16,50531
2018-07-03,15.13,42191
2018-07-05,15.12,21867
2018-07-06,15.09,91854
2018-07-09,15.1,77954
2018-07-10,15.08,60796
2018-07-11,15.05,40855
2018-07-12,15.05,37776
2018-07-13,15.06,45159
2018-07-16,15.07,66521
2018-07-17,15.06,22743
2018-07-18,15.07,33845
2018-07-19,15.05,34337
2018-07-20,15.08,11531
2018-07-23,15.03,91237
2018-07-24,15.07,41784
2018-07-25,15.03,12632
2018-07-26,15.01,19719
2018-07-27,15.05,25582
2018-07-30,15.03,47886
2018-07-31,15.05,44741
2018-08-01,15.01,31165
2018-08-02,15.05,93954
2018-08-03,15.06,17392
2018-08-06,15.04,18675
2018-08-07,15.05,36412
2018-08-08,15.02,39026
2018-08-09,15.04,8650
2018-08-10,15.02,26225
2018-08-13,15.03,14662
2018-08-14,15.04,22669
2018-08-15,15.03,50987
2018-08-16,15.0,36318
2018-08-17,15.01,69720
2018-08-20,14.99,54645
2018-08-21,14.99,44438
2018-08-22,14.99,27924
2018-08-23,15.03,84281
2018-08-24,14.96,40392
2018-08-27,14.98,38637
2018-08-28,14.99,53435
2018-08-29,14.97,65036
2018-08-30,14.98,34101
2018-08-31,14.99,11793
2018-09-04,14.99,29112
2018-09-05,14.99,19612
2018-09-06,14.98,13272
2018-09-07,14.98,18027
2018-09-10,15.0,17888
2018-09-11,14.97,35961
2018-09-12,14.97,21749
2018-09-13,14.97,29043
2018-09-14,14.8,206585
2018-09-17,14.79,119393
2018-09-18,14.85,51100
2018-09-19,14.81,55368
2018-09-20,14.8,56478
2018-09-21,14.74,94889
2018-09-24,14.8,66430
2018-09-25,14.72,51451
2018-09-26,14.73,72739
2018-09-27,14.73,69814
2018-09-28,14.82,75317
2018-10-01,14.78,41796
2018-10-02,14.82,30957
2018-10-03,14.78,50010
2018-10-04,14.84,97543
2018-10-05,14.79,30414
2018-10-08,14.77,16448
2018-10-09,14.85,38194
2018-10-10,14.83,27529
2018-10-11,14.81,51589
2018-10-12,14.75,40932
2018-10-15,14.8,17104
2018-10-16,14.83,20455
2018-10-17,14.83,22537
2018-10-18,14.85,9995
2018-10-19,14.88,38470
2018-10-22,14.77,47518
2018-10-23,14.8,38774
2018-10-24,14.8,35110
2018-10-25,14.77,94432
2018-10-26,14.84,12266
2018-10-29,14.84,25235
2018-10-30,14.77,34573
2018-10-31,14.77,36286
2018-11-01,14.82,37570
2018-11-02,14.77,29353
2018-11-05,14.76,75182
2018-11-06,14.84,21733
2018-11-07,14.76,37440
2018-11-08,14.78,26925
2018-11-09,14.79,9948
2018-11-12,14.77,15782
2018-11-13,14.8,32289
2018-11-14,14.78,49465
2018-11-15,14.77,47003
2018-11-16,14.84,69730
2018-11-19,14.74,101665
2018-11-20,14.78,54733
2018-11-21,14.75,84763
2018-11-23,14.78,18314
2018-11-26,14.76,101837
2018-11-27,14.77,37748
2018-11-28,14.87,226231
2018-11-29,14.86,73893
2018-11-30,14.88,79888
2018-12-03,14.85,107998
2018-12-04,14.81,65092
2018-12-06,14.78,88817
2018-12-07,14.82,56847
2018-12-10,14.78,67802
2018-12-11,14.79,57063
2018-12-12,14.75,86071
2018-12-13,14.73,170518
2018-12-14,14.8,122119
2018-12-17,14.8,178598
2018-12-18,14.76,134022
2018-12-19,14.74,82508
2018-12-20,14.78,72291
2018-12-21,14.79,71255
2018-12-24,14.75,56805
2018-12-26,14.78,43856
2018-12-27,14.72,114557
2018-12-28,14.73,87492
2018-12-31,14.76,119639
2019-01-02,14.85,122121
2019-01-03,14.87,87752
2019-01-04,14.87,51571
2019-01-07,14.84,116150
2019-01-08,14.88,8050
2019-01-09,14.91,63506
2019-01-10,14.9,22729
2019-01-11,14.93,70904
2019-01-14,14.88,45860
2019-01-15,14.83,44986
2019-01-16,14.85,85910
2019-01-17,14.86,28636
2019-01-18,14.86,34275
2019-01-22,14.89,27255
2019-01-23,14.86,40672
2019-01-24,14.91,27392
2019-01-25,14.91,33027
2019-01-28,14.92,88742
2019-01-29,14.92,96859
2019-01-30,14.92,84685
2019-01-31,14.93,77913
2019-02-01,14.96,19754
2019-02-04,14.92,42070
2019-02-05,14.96,109770
2019-02-06,14.94,20536
2019-02-07,14.94,55948
2019-02-08,14.93,50550
2019-02-11,14.94,22192
2019-02-12,14.97,26006
2019-02-13,14.92,95699
2019-02-14,14.91,56653
2019-02-15,14.87,114000
2019-02-19,14.97,59385
2019-02-20,14.96,79917
2019-02-21,14.94,37299
2019-02-22,14.97,42062
2019-02-25,14.97,39523
2019-02-26,14.95,24921
2019-02-27,14.99,38213
2019-02-28,15.02,53707
2019-03-01,15.01,35385
2019-03-04,15.05,21980
2019-03-05,15.03,21924
2019-03-06,15.03,13181
