date,close,volume
2018-04-25,75.63,409032
2018-04-26,76.03,914812
2018-04-27,76.67,370814
2018-04-30,75.93,400262
2018-05-01,75.98,295185
2018-05-02,75.97,264943
2018-05-03,75.74,363158
2018-05-04,76.26,214438
2018-05-07,76.43,182878
2018-05-08,76.87,339670
2018-05-09,77.83,311071
2018-05-10,78.66,296715
2018-05-11,78.76,214385
2018-05-14,78.95,250283
2018-05-15,78.6,361654
2018-05-16,79.19,172366
2018-05-17,79.33,215421
2018-05-18,78.42,174944
2018-05-21,78.75,100889
2018-05-22,79.49,473306
2018-05-23,79.27,367840
2018-05-24,78.7,289480
2018-05-25,78.21,226283
2018-05-29,76.55,484227
2018-05-30,77.48,361080
2018-05-31,77.4,720962
2018-06-01,77.35,296014
2018-06-04,77.94,305456
2018-06-05,77.69,308610
2018-06-06,78.23,281529
2018-06-07,78.54,254857
2018-06-08,78.94,210232
2018-06-11,78.27,267000
2018-06-12,78.08,261633
2018-06-13,78.34,237309
2018-06-14,77.73,337165
2018-06-15,77.33,424006
2018-06-18,77.5,205391
2018-06-19,77.02,301782
2018-06-20,77.13,228093
2018-06-21,77.3,245846
2018-06-22,77.76,230043
2018-06-25,76.7,253179
2018-06-26,76.58,301498
2018-06-27,76.11,290520
2018-06-28,76.65,263885
2018-06-29,77.26,305461
2018-07-02,76.79,108197
2018-07-03,77.34,225518
2018-07-05,77.45,294420
2018-07-06,77.95,340977
2018-07-09,78.34,439318
2018-07-10,78.44,325014
2018-07-11,77.61,328723
2018-07-12,78.37,281425
2018-07-13,78.36,225991
2018-07-16,78.84,257082
2018-07-17,78.56,237891
2018-07-18,78.97,274490
2018-07-19,78.14,266182
2018-07-20,78.97,251411
2018-07-23,79.12,215125
2018-07-24,79.03,336776
2018-07-25,79.73,354415
2018-07-26,79.47,261134
2018-07-27,79.63,221140
2018-07-30,79.79,305641
2018-07-31,79.28,506168
2018-08-01,79.24,341214
2018-08-02,79.25,324849
2018-08-03,79.48,310263
2018-08-06,79.43,249808
2018-08-07,78.73,510277
2018-08-08,79.47,377603
2018-08-09,79.87,338800
2018-08-10,78.83,557821
2018-08-13,78.99,434526
2018-08-14,79.82,426028
2018-08-15,79.09,481577
2018-08-16,79.67,295791
2018-08-17,81.06,580035
2018-08-20,81.26,331685
2018-08-21,81.05,549703
2018-08-22,82.08,408370
2018-08-23,81.21,699162
2018-08-24,81.45,371595
2018-08-27,81.97,449549
2018-08-28,82.15,529630
2018-08-29,83.13,886450
2018-08-30,82.95,711240
2018-08-31,81.96,699098
2018-09-04,81.41,716300
2018-09-05,81.82,645767
2018-09-06,82.07,608525
2018-09-07,81.66,562417
2018-09-10,81.42,512551
2018-09-11,81.7,470530
2018-09-12,81.65,593202
2018-09-13,81.28,923025
2018-09-14,81.63,417644
2018-09-17,81.95,323847
2018-09-18,82.75,291616
2018-09-19,83.09,518968
2018-09-20,83.41,472596
2018-09-21,83.81,548112
2018-09-24,83.66,370239
2018-09-25,83.44,512384
2018-09-26,82.86,437793
2018-09-27,82.76,288464
2018-09-28,82.53,473673
2018-10-01,83.41,372161
2018-10-02,82.83,521542
2018-10-03,83.04,538942
2018-10-04,82.42,506779
2018-10-05,81.58,572579
2018-10-08,81.33,312430
2018-10-09,81.55,616897
2018-10-10,80.25,1068682
2018-10-11,79.2,1671540
2018-10-12,78.92,1209234
2018-10-15,79.25,1054307
2018-10-16,80.19,840726
2018-10-17,79.99,710236
2018-10-18,79.27,667150
2018-10-19,79.04,912515
2018-10-22,78.55,801535
2018-10-23,78.36,956252
2018-10-24,76.33,1071114
2018-10-25,76.27,946562
2018-10-26,75.53,1023660
2018-10-29,74.42,907389
2018-10-30,75.52,1039920
2018-10-31,74.74,886683
2018-11-01,75.28,694883
2018-11-02,75.13,736099
2018-11-05,75.52,480338
2018-11-06,75.74,748677
2018-11-07,75.73,560183
2018-11-08,75.57,458238
2018-11-09,74.83,520968
