date,close,volume
2018-04-25,11.2,129863
2018-04-26,11.31,130053
2018-04-27,11.36,203701
2018-04-30,11.32,199479
2018-05-01,11.32,131855
2018-05-02,11.27,154794
2018-05-03,11.22,230688
2018-05-04,11.3,197720
2018-05-07,11.2,544701
2018-05-08,11.19,264729
2018-05-09,11.24,483353
2018-05-10,11.37,210724
2018-05-11,11.31,203391
2018-05-14,11.26,183993
2018-05-15,11.2,171194
2018-05-16,11.21,121681
2018-05-17,11.21,313041
2018-05-18,11.14,172954
2018-05-21,11.22,223156
2018-05-22,11.23,268473
2018-05-23,11.16,206794
2018-05-24,11.22,221440
2018-05-25,11.19,210751
2018-05-29,11.01,351852
2018-05-30,11.15,240669
2018-05-31,11.15,211702
2018-06-01,11.21,169172
2018-06-04,11.18,264951
2018-06-05,11.19,162326
2018-06-06,11.25,207747
2018-06-07,11.27,190509
2018-06-08,11.23,121528
2018-06-11,11.29,217168
2018-06-12,11.32,219657
2018-06-13,11.25,286770
2018-06-14,11.18,204328
2018-06-15,11.17,162651
2018-06-18,11.11,193257
2018-06-19,11.03,232667
2018-06-20,11.13,288297
2018-06-21,11.07,289925
2018-06-22,11.18,227350
2018-06-25,11.06,272914
2018-06-26,11.08,158352
2018-06-27,11.03,248065
2018-06-28,11.08,294100
2018-06-29,11.12,184415
2018-07-02,11.11,124202
2018-07-03,11.05,112993
2018-07-05,11.11,162999
2018-07-06,11.16,143596
2018-07-09,11.19,165009
2018-07-10,11.2,159195
2018-07-11,11.11,154520
2018-07-12,11.13,334951
2018-07-13,11.05,196892
2018-07-16,11.05,171851
2018-07-17,11.09,159650
2018-07-18,11.11,181682
2018-07-19,11.1,186537
2018-07-20,11.12,199044
2018-07-23,11.16,197752
2018-07-24,11.12,308410
2018-07-25,11.23,184396
2018-07-26,11.16,213168
2018-07-27,11.14,256720
2018-07-30,11.13,208391
2018-07-31,11.16,213411
2018-08-01,11.17,156987
2018-08-02,11.15,187858
2018-08-03,11.14,396250
2018-08-06,11.16,179817
2018-08-07,11.19,246041
2018-08-08,11.2,308162
2018-08-09,11.21,380796
2018-08-10,11.19,501812
2018-08-13,11.18,267735
2018-08-14,11.15,209442
2018-08-15,11.08,445217
2018-08-16,11.18,255178
2018-08-17,11.22,253565
2018-08-20,11.26,159365
2018-08-21,11.3,180440
2018-08-22,11.25,315526
2018-08-23,11.29,498161
2018-08-24,11.24,165333
2018-08-27,11.29,208782
2018-08-28,11.28,117005
2018-08-29,11.27,219138
2018-08-30,11.22,332716
2018-08-31,11.16,235276
2018-09-04,11.08,275578
2018-09-05,11.04,178841
2018-09-06,11.05,347621
2018-09-07,11.09,195957
2018-09-10,11.07,152892
2018-09-11,11.07,160067
2018-09-12,11.08,167279
2018-09-13,11.07,146392
2018-09-14,11.01,216166
2018-09-17,10.98,221492
2018-09-18,11.01,153195
2018-09-19,10.97,186791
2018-09-20,11.08,145249
2018-09-21,11.12,125549
2018-09-24,11.05,158371
2018-09-25,11.0,149514
2018-09-26,10.96,211505
2018-09-27,11.05,174989
2018-09-28,10.99,299224
2018-10-01,11.03,172042
2018-10-02,10.94,190844
2018-10-03,10.96,233374
2018-10-04,10.7,428928
2018-10-05,10.6,311732
2018-10-08,10.6,240685
2018-10-09,10.54,257058
2018-10-10,10.23,540949
2018-10-11,10.12,656775
2018-10-12,10.2,388366
2018-10-15,10.14,200853
2018-10-16,10.34,339248
2018-10-17,10.24,450272
2018-10-18,10.26,540187
2018-10-19,10.3,153790
2018-10-22,10.2,223483
2018-10-23,10.17,261470
2018-10-24,9.98,366194
2018-10-25,10.19,691080
2018-10-26,10.02,311792
2018-10-29,9.95,323374
2018-10-30,10.05,319116
2018-10-31,10.18,331545
2018-11-01,10.31,300064
2018-11-02,10.32,297532
2018-11-05,10.27,252062
2018-11-06,10.28,211879
2018-11-07,10.48,226442
2018-11-08,10.47,144407
2018-11-09,10.36,243730
2018-11-12,10.33,195737
2018-11-13,10.29,405334
2018-11-14,10.12,249831
2018-11-15,10.17,263920
2018-11-16,10.15,321007
2018-11-19,10.12,299720
2018-11-20,10.01,558027
2018-11-21,10.07,371687
2018-11-23,10.09,146918
2018-11-26,10.11,338658
2018-11-27,10.15,399098
2018-11-28,10.27,493259
2018-11-29,10.27,281841
2018-11-30,10.32,278729
2018-12-03,10.34,443397
2018-12-04,10.13,733455
2018-12-06,10.03,552000
2018-12-07,9.98,350488
2018-12-10,9.9,406486
2018-12-11,9.91,540407
2018-12-12,10.02,495902
2018-12-13,9.98,391951
2018-12-14,9.79,498802
2018-12-17,9.55,747482
2018-12-18,9.55,571610
2018-12-19,9.5,708695
2018-12-20,9.33,1096574
2018-12-21,9.19,847256
2018-12-24,9.13,592222
2018-12-26,9.34,683025
2018-12-27,9.27,942836
2018-12-28,9.36,867595
2018-12-31,9.37,888394
2019-01-02,9.56,273574
2019-01-03,9.48,246205
2019-01-04,9.69,364493
2019-01-07,9.79,321657
2019-01-08,9.83,241792
2019-01-09,9.91,316552
2019-01-10,9.93,415531
2019-01-11,9.96,281834
2019-01-14,9.85,224460
2019-01-15,9.94,262970
2019-01-16,9.96,240377
2019-01-17,10.01,240542
2019-01-18,10.22,698133
2019-01-22,10.09,248634
2019-01-23,10.06,239230
2019-01-24,10.05,260236
2019-01-25,10.06,277392
2019-01-28,10.11,300002
2019-01-29,10.14,221269
2019-01-30,10.25,219876
2019-01-31,10.36,267574
2019-02-01,10.32,213731
2019-02-04,10.28,779171
2019-02-05,10.29,184683
2019-02-06,10.28,225414
2019-02-07,10.2,292165
2019-02-08,10.2,162490
2019-02-11,10.29,228857
2019-02-12,10.42,396715
2019-02-13,10.44,209865
2019-02-14,10.35,134915
2019-02-15,10.45,183596
2019-02-19,10.44,241921
2019-02-20,10.43,184221
2019-02-21,10.46,193894
2019-02-22,10.43,228025
2019-02-25,10.47,141998
2019-02-26,10.47,98195
2019-02-27,10.47,145657
2019-02-28,10.45,166150
2019-03-01,10.49,110731
2019-03-04,10.45,187575
2019-03-05,10.44,160598
2019-03-06,10.4,117340
2019-03-07,10.33,107385
2019-03-08,10.31,141049
2019-03-11,10.44,156209
2019-03-12,10.48,280946
2019-03-13,10.53,149084
2019-03-14,10.52,183507
2019-03-15,10.54,272561
2019-03-18,10.6,169398
2019-03-19,10.64,263397
2019-03-20,10.62,154979
2019-03-21,10.71,135647
2019-03-22,10.55,244040
2019-03-25,10.48,136271
2019-03-26,10.49,170510
2019-03-27,10.49,202191
2019-03-28,10.57,156924
2019-03-29,10.7,180821
2019-04-01,10.73,199011
2019-04-02,10.67,131324
2019-04-03,10.71,154786
2019-04-04,10.7,179381
2019-04-05,10.68,108116
2019-04-08,10.73,160606
2019-04-09,10.71,116080
2019-04-10,10.83,261932
2019-04-11,10.83,263136
2019-04-12,10.8,129752
2019-04-15,10.8,294791
2019-04-16,10.78,114754
2019-04-17,10.77,109140
2019-04-18,10.72,256227
2019-04-22,10.66,188143
2019-04-23,10.71,174235
2019-04-24,10.73,115852
2019-04-25,10.63,151116
2019-04-26,10.63,456146
2019-04-29,10.69,219359
2019-04-30,10.71,233793
2019-05-01,10.72,163791
2019-05-02,10.71,136666
2019-05-03,10.76,158279
2019-05-06,10.72,130279
2019-05-07,10.6,179636
2019-05-08,10.59,103794
2019-05-09,10.52,248437
2019-05-10,10.59,122634
2019-05-13,10.38,165384
2019-05-14,10.4,138526
2019-05-15,10.41,267952
2019-05-16,10.49,190773
2019-05-17,10.49,137491
2019-05-20,10.45,80822
2019-05-21,10.47,105551
2019-05-22,10.49,296022
2019-05-23,10.4,177512
2019-05-24,10.45,182353
2019-05-28,10.34,197620
2019-05-29,10.25,250366
2019-05-30,10.29,277811
2019-05-31,10.22,150519
2019-06-03,10.19,180228
2019-06-04,10.32,181960
2019-06-05,10.39,111854
2019-06-06,10.43,151669
2019-06-07,10.51,111281
2019-06-10,10.52,146419
2019-06-11,10.55,117376
2019-06-12,10.56,117950
2019-06-13,10.46,130983
2019-06-14,10.42,116877
2019-06-17,10.42,135464
2019-06-18,10.46,160819
2019-06-19,10.5,107984
2019-06-20,10.55,110068
2019-06-21,10.56,159375
2019-06-24,10.59,140510
2019-06-25,10.52,198504
2019-06-26,10.56,218796
2019-06-27,10.63,272715
2019-06-28,10.73,205225
2019-07-01,10.69,206463
2019-07-02,10.63,180070
2019-07-03,10.7,121571
2019-07-05,10.73,98932
2019-07-08,10.62,173170
2019-07-09,10.6,145005
2019-07-10,10.7,191822
2019-07-11,10.65,128104
2019-07-12,10.58,117221
2019-07-15,10.6,165360
2019-07-16,10.59,170767
2019-07-17,10.57,134097
2019-07-18,10.6,132557
2019-07-19,10.65,150209
2019-07-22,10.61,118432
2019-07-23,10.62,170247
2019-07-24,10.67,154071
2019-07-25,10.59,158682
2019-07-26,10.62,137774
2019-07-29,10.67,149105
2019-07-30,10.63,303219
2019-07-31,10.59,224406
2019-08-01,10.53,136567
2019-08-02,10.43,253297
2019-08-05,10.25,706397
2019-08-06,10.33,222455
2019-08-07,10.24,198310
2019-08-08,10.35,170726
2019-08-09,10.32,133165
2019-08-12,10.23,189855
2019-08-13,10.31,144307
2019-08-14,10.12,351367
2019-08-15,10.08,210217
2019-08-16,10.16,191069
2019-08-19,10.25,154822
2019-08-20,10.21,214100
2019-08-21,10.27,181752
2019-08-22,10.27,230263
2019-08-23,10.15,226609
2019-08-26,10.16,151394
2019-08-27,10.13,227951
2019-08-28,10.16,268612
2019-08-29,10.21,233111
2019-08-30,10.28,235199
2019-09-03,10.25,106428
2019-09-04,10.29,123106
2019-09-05,10.31,211363
2019-09-06,10.34,450651
2019-09-09,10.35,203900
2019-09-10,10.36,99757
2019-09-11,10.39,221126
2019-09-12,10.44,307404
2019-09-13,10.38,277704
2019-09-16,10.33,143166
2019-09-17,10.31,258960
2019-09-18,10.35,244850
2019-09-19,10.37,182526
2019-09-20,10.39,187658
2019-09-23,10.38,131477
2019-09-24,10.34,193831
2019-09-25,10.3,202365
2019-09-26,10.35,161160
2019-09-27,10.37,194610
2019-09-30,10.43,314821
2019-10-01,10.36,160975
2019-10-02,10.23,179385
2019-10-03,10.26,99527
2019-10-04,10.31,120928
2019-10-07,10.27,127806
2019-10-08,10.23,168053
2019-10-09,10.24,222441
2019-10-10,10.27,137665
2019-10-11,10.3,110001
2019-10-14,10.28,235431
2019-10-15,10.32,151977
2019-10-16,10.28,135341
2019-10-17,10.37,246171
2019-10-18,10.34,133415
2019-10-21,10.42,234074
2019-10-22,10.46,163497
2019-10-23,10.38,284900
2019-10-24,10.39,213558
2019-10-25,10.43,206661
2019-10-28,10.47,180477
2019-10-29,10.46,186242
2019-10-30,10.55,233799
2019-10-31,10.57,232292
2019-11-01,10.6,158746
2019-11-04,10.6,186440
2019-11-05,10.56,143958
2019-11-06,10.63,182602
2019-11-07,10.63,253026
2019-11-08,10.68,138160
2019-11-11,10.68,200840
2019-11-12,10.66,221912
2019-11-13,10.69,241757
2019-11-14,10.6,248728
2019-11-15,10.62,228553
2019-11-18,10.63,252017
2019-11-19,10.64,131914
2019-11-20,10.64,206026
2019-11-21,10.63,181296
2019-11-22,10.64,144743
2019-11-25,10.7,213426
2019-11-26,10.7,194110
2019-11-27,10.73,119262
2019-11-29,10.74,193088
2019-12-02,10.67,190991
2019-12-03,10.62,267986
2019-12-04,10.69,194608
2019-12-05,10.74,225945
2019-12-06,10.8,273768
2019-12-09,10.75,157221
2019-12-10,10.78,200817
2019-12-11,10.81,199466
2019-12-12,10.86,166171
2019-12-13,10.8,156328
2019-12-16,10.88,266847
2019-12-17,10.9,200357
2019-12-18,10.87,238451
2019-12-19,10.92,260462
2019-12-20,10.97,170842
2019-12-23,10.96,218411
2019-12-24,11.08,168075
2019-12-26,11.02,193667
2019-12-27,11.01,151113
2019-12-30,10.98,189237
2019-12-31,10.99,272943
2020-01-02,11.04,193364
2020-01-03,10.91,209220
2020-01-06,10.96,251185
2020-01-07,11.05,140211
2020-01-08,11.09,147756
2020-01-09,11.13,224235
2020-01-10,11.11,131713
2020-01-13,11.1,193778
2020-01-14,11.14,206859
2020-01-15,11.14,145373
2020-01-16,11.18,187299
2020-01-17,11.17,156911
2020-01-21,11.17,173290
2020-01-22,11.25,163927
2020-01-23,11.18,163593
2020-01-24,11.1,207158
2020-01-27,11.02,307962
2020-01-28,11.07,198500
2020-01-29,11.14,115941
2020-01-30,11.05,188890
2020-01-31,10.9,233620
2020-02-03,10.89,273731
2020-02-04,10.98,186074
2020-02-05,11.04,207942
2020-02-06,11.04,295988
2020-02-07,11.04,155157
2020-02-10,11.09,236319
2020-02-11,11.16,173400
2020-02-12,11.15,120881
2020-02-13,11.06,158904
2020-02-14,11.07,94600
2020-02-18,11.02,209066
2020-02-19,10.97,170719
2020-02-20,10.98,102287
2020-02-21,10.99,104957
2020-02-24,10.77,403093
2020-02-25,10.46,276655
2020-02-26,10.43,319895
2020-02-27,10.02,431395
2020-02-28,9.62,606131
2020-03-02,9.96,377211
2020-03-03,10.02,384725
2020-03-04,10.21,249809
2020-03-05,10.07,145039
2020-03-06,10.05,280845
2020-03-09,9.36,325994
2020-03-10,9.56,250771
2020-03-11,8.87,385839
2020-03-12,7.75,709549
2020-03-13,8.21,553688
2020-03-16,7.6,676418
2020-03-17,7.89,611059
2020-03-18,7.18,1135863
2020-03-19,7.47,395051
2020-03-20,7.54,576801
2020-03-23,7.04,591083
2020-03-24,7.65,445405
2020-03-25,8.04,414162
2020-03-26,8.48,465056
2020-03-27,8.34,295861
2020-03-30,8.39,251705
2020-03-31,8.29,396503
2020-04-01,8.05,253697
2020-04-02,8.19,194674
2020-04-03,7.92,295303
2020-04-06,8.59,476327
2020-04-07,8.67,277222
2020-04-08,8.86,219898
2020-04-09,9.1,503823
2020-04-13,8.96,292869
2020-04-14,9.06,159472
2020-04-15,8.92,195055
2020-04-16,8.89,140039
2020-04-17,9.16,319986
2020-04-20,8.87,204766
2020-04-21,8.76,169974
2020-04-22,8.84,212562
2020-04-23,8.76,188640
2020-04-24,8.87,150936
2020-04-27,8.91,226333
2020-04-28,9.08,195863
2020-04-29,9.29,288781
