date,close,volume
2018-04-25,8.61,173818
2018-04-26,8.77,114991
2018-04-27,9.01,130697
2018-04-30,8.99,103199
2018-05-01,8.92,168558
2018-05-02,8.95,93315
2018-05-03,8.98,83047
2018-05-04,9.18,139749
2018-05-07,9.14,143531
2018-05-08,9.22,311918
2018-05-09,9.32,260107
2018-05-10,8.86,276505
2018-05-11,9.06,232259
2018-05-14,9.06,178372
2018-05-15,8.87,271685
2018-05-16,8.83,163191
2018-05-17,8.78,164609
2018-05-18,8.84,110317
2018-05-21,8.96,177003
2018-05-22,8.95,117934
2018-05-23,9.17,128580
2018-05-24,8.87,136163
2018-05-25,8.86,119887
2018-05-29,8.75,101847
2018-05-30,8.82,142816
2018-05-31,8.88,113710
2018-06-01,8.96,152795
2018-06-04,8.97,146910
2018-06-05,8.96,105855
2018-06-06,8.9,109774
2018-06-07,8.96,67730
2018-06-08,9.04,137839
2018-06-11,9.07,107501
2018-06-12,9.14,171835
2018-06-13,9.0,152067
2018-06-14,9.08,83327
2018-06-15,9.11,198505
2018-06-18,9.12,148197
2018-06-19,9.04,116832
2018-06-20,9.1,115255
2018-06-21,9.13,231520
2018-06-22,8.96,382102
2018-06-25,8.92,123359
2018-06-26,8.84,80983
2018-06-27,8.81,93847
2018-06-28,8.88,104080
2018-06-29,8.92,252061
2018-07-02,8.93,110546
2018-07-03,8.99,44805
2018-07-05,9.14,246902
2018-07-06,9.11,83210
2018-07-09,9.01,108727
2018-07-10,8.97,110576
2018-07-11,8.95,88865
2018-07-12,9.05,175576
2018-07-13,9.08,89790
2018-07-16,9.11,85085
2018-07-17,9.03,151250
2018-07-18,9.02,88589
2018-07-19,9.11,163490
2018-07-20,9.04,111568
2018-07-23,9.16,103557
2018-07-24,9.13,92193
2018-07-25,9.15,54628
2018-07-26,9.15,148394
2018-07-27,9.02,143538
2018-07-30,9.02,102050
2018-07-31,9.17,122004
2018-08-01,9.13,106479
2018-08-02,9.1,99551
2018-08-03,9.14,64569
2018-08-06,9.09,73710
2018-08-07,9.39,353321
2018-08-08,9.49,156307
2018-08-09,9.43,170407
2018-08-10,9.47,79749
2018-08-13,9.64,190829
2018-08-14,9.7,110219
2018-08-15,9.61,76345
2018-08-16,9.71,64836
2018-08-17,9.78,129692
2018-08-20,9.78,79654
2018-08-21,9.82,167579
2018-08-22,9.79,118729
2018-08-23,9.8,175472
2018-08-24,9.92,77260
2018-08-27,9.81,102434
2018-08-28,9.84,90293
2018-08-29,9.84,96060
2018-08-30,9.83,110059
2018-08-31,9.89,111938
2018-09-04,9.8,93786
2018-09-05,9.86,120850
2018-09-06,9.82,72015
2018-09-07,9.85,79273
2018-09-10,9.96,63289
2018-09-11,9.94,81120
2018-09-12,9.97,47959
2018-09-13,9.91,99520
2018-09-14,9.9,72728
2018-09-17,9.97,92479
2018-09-18,9.92,55491
2018-09-19,9.86,87460
2018-09-20,9.83,124663
2018-09-21,10.06,283922
2018-09-24,9.88,89410
2018-09-25,9.9,137225
2018-09-26,9.64,108761
2018-09-27,9.68,138787
2018-09-28,9.8,111359
2018-10-01,9.7,116770
2018-10-02,9.68,129861
2018-10-03,9.63,205908
2018-10-04,9.37,119563
2018-10-05,9.36,95621
2018-10-08,9.46,200130
2018-10-09,9.52,95666
2018-10-10,9.31,143404
2018-10-11,9.01,90689
2018-10-12,8.77,236100
2018-10-15,8.62,144943
2018-10-16,8.99,160865
2018-10-17,8.89,114232
2018-10-18,8.91,67438
2018-10-19,8.91,92400
2018-10-22,8.92,64875
2018-10-23,9.09,70966
2018-10-24,9.08,91242
2018-10-25,9.07,90880
2018-10-26,9.07,118688
2018-10-29,9.37,64639
2018-10-30,9.54,240896
2018-10-31,9.47,146081
2018-11-01,9.34,141912
2018-11-02,9.08,119462
2018-11-05,9.02,141459
2018-11-06,9.13,93890
2018-11-07,9.15,128433
2018-11-08,9.36,51265
2018-11-09,9.14,157240
2018-11-12,9.39,92434
2018-11-13,9.32,114085
2018-11-14,9.15,104721
2018-11-15,9.01,101140
2018-11-16,8.93,77437
2018-11-19,8.34,143794
2018-11-20,8.6,191595
