date,close,volume
2018-04-25,16.5,212016
2018-04-26,17.05,499552
2018-04-27,16.85,178133
2018-04-30,16.6,211464
2018-05-01,16.8,447220
2018-05-02,16.85,186101
2018-05-03,16.7,232797
2018-05-04,16.8,179576
2018-05-07,16.85,344767
2018-05-08,17.18,210161
2018-05-09,17.4,225746
2018-05-10,17.25,155391
2018-05-11,17.15,145585
2018-05-14,17.0,214706
2018-05-15,17.1,251741
2018-05-16,17.25,490871
2018-05-17,17.65,382648
2018-05-18,17.4,402365
2018-05-21,17.55,282652
2018-05-22,17.75,213294
2018-05-23,17.9,286157
2018-05-24,18.0,516710
2018-05-25,18.0,296587
2018-05-29,17.85,485169
2018-05-30,18.2,438348
2018-05-31,18.2,390961
2018-06-01,18.5,234516
2018-06-04,18.75,288441
2018-06-05,18.75,253370
2018-06-06,18.9,252164
2018-06-07,18.9,222044
2018-06-08,19.05,211819
2018-06-11,19.0,405523
2018-06-12,18.9,319552
2018-06-13,18.95,416825
2018-06-14,18.95,381242
2018-06-15,18.8,1081806
2018-06-18,18.85,299543
2018-06-19,19.05,616842
2018-06-20,19.2,373648
2018-06-21,19.15,436535
2018-06-22,19.25,1154529
2018-06-25,19.1,500994
2018-06-26,19.05,430022
2018-06-27,18.8,435560
2018-06-28,18.85,384712
2018-06-29,18.6,328912
2018-07-02,18.85,268095
2018-07-03,18.8,134360
2018-07-05,18.85,338615
2018-07-06,19.0,310726
2018-07-09,19.05,502828
2018-07-10,18.7,337121
2018-07-11,18.5,307419
2018-07-12,18.35,239027
2018-07-13,18.3,249493
2018-07-16,18.5,256556
2018-07-17,18.4,177130
2018-07-18,18.55,146611
2018-07-19,18.55,209854
2018-07-20,18.75,184469
2018-07-23,18.85,188228
2018-07-24,18.85,207893
2018-07-25,18.65,233512
2018-07-26,18.7,338172
2018-07-27,18.5,425494
2018-07-30,18.25,327025
2018-07-31,18.2,546974
2018-08-01,18.4,246501
2018-08-02,18.4,284827
2018-08-03,18.1,193004
2018-08-06,18.05,281521
2018-08-07,17.9,274785
2018-08-08,18.0,266546
2018-08-09,17.95,167734
2018-08-10,17.9,274106
2018-08-13,17.7,321051
2018-08-14,18.0,460999
