date,close,volume
2018-04-25,12.46,207962
2018-04-26,12.48,128349
2018-04-27,12.51,122437
2018-04-30,12.54,160670
2018-05-01,12.52,106403
2018-05-02,12.49,123598
2018-05-03,12.5,72468
2018-05-04,12.46,166237
2018-05-07,12.54,170463
2018-05-08,12.51,162781
2018-05-09,12.49,117468
2018-05-10,12.45,94641
2018-05-11,12.45,199388
2018-05-14,12.37,208737
2018-05-15,12.26,378572
2018-05-16,12.33,192216
2018-05-17,12.34,211451
2018-05-18,12.35,222891
2018-05-21,12.39,161229
2018-05-22,12.3,173291
2018-05-23,12.39,130822
2018-05-24,12.35,128973
2018-05-25,12.37,91961
2018-05-29,12.37,141338
2018-05-30,12.35,126427
2018-05-31,12.38,183876
2018-06-01,12.39,88532
2018-06-04,12.4,123013
2018-06-05,12.34,131402
2018-06-06,12.34,151660
2018-06-07,12.33,119657
2018-06-08,12.35,136708
2018-06-11,12.34,113888
2018-06-12,12.28,154179
2018-06-13,12.28,160183
2018-06-14,12.22,176889
2018-06-15,12.23,110386
2018-06-18,12.21,227418
2018-06-19,12.18,284654
2018-06-20,12.17,238093
2018-06-21,12.16,188338
2018-06-22,12.13,236647
2018-06-25,12.11,216155
2018-06-26,12.08,415383
2018-06-27,12.08,510579
2018-06-28,12.06,420148
2018-06-29,12.08,308825
2018-07-02,12.11,126744
2018-07-03,12.11,148826
2018-07-05,12.1,603875
2018-07-06,12.16,179325
2018-07-09,12.18,193627
2018-07-10,12.18,237064
2018-07-11,12.15,201697
2018-07-12,12.15,207255
2018-07-13,12.12,148132
2018-07-16,12.11,225988
2018-07-17,12.09,302888
2018-07-18,12.06,311402
2018-07-19,12.1,246032
2018-07-20,12.09,241918
2018-07-23,12.11,441045
2018-07-24,12.11,353143
2018-07-25,12.11,217111
2018-07-26,12.1,274080
2018-07-27,12.13,394409
2018-07-30,12.13,330492
2018-07-31,12.16,278342
2018-08-01,12.14,161910
2018-08-02,12.15,143765
2018-08-03,12.16,173355
2018-08-06,12.18,199700
2018-08-07,12.24,302624
2018-08-08,12.2,191081
2018-08-09,12.22,178127
2018-08-10,12.22,333016
2018-08-13,12.25,182250
2018-08-14,12.19,172757
2018-08-15,12.3,355773
2018-08-16,12.33,313165
2018-08-17,12.32,183428
2018-08-20,12.36,271140
2018-08-21,12.39,190969
2018-08-22,12.43,192111
2018-08-23,12.4,227509
2018-08-24,12.4,216670
2018-08-27,12.41,215375
2018-08-28,12.42,169006
2018-08-29,12.42,143024
2018-08-30,12.4,249076
2018-08-31,12.39,249962
2018-09-04,12.39,148474
2018-09-05,12.36,247173
2018-09-06,12.38,151260
2018-09-07,12.36,148919
2018-09-10,12.35,169062
2018-09-11,12.38,141435
2018-09-12,12.43,134660
2018-09-13,12.44,194420
2018-09-14,12.39,152000
2018-09-17,12.36,105163
2018-09-18,12.42,235633
2018-09-19,12.33,291673
2018-09-20,12.38,165297
2018-09-21,12.39,108520
2018-09-24,12.37,113522
2018-09-25,12.28,188068
2018-09-26,12.25,184401
2018-09-27,12.25,132389
2018-09-28,12.24,175751
2018-10-01,12.37,201570
2018-10-02,12.44,294459
2018-10-03,12.22,184023
2018-10-04,12.15,155046
2018-10-05,12.14,227948
2018-10-08,11.99,184709
2018-10-09,12.03,167865
2018-10-10,11.86,432901
2018-10-11,11.75,465827
2018-10-12,11.8,248549
2018-10-15,11.8,216992
2018-10-16,11.98,222603
2018-10-17,11.93,132150
2018-10-18,11.9,263739
2018-10-19,11.89,164985
2018-10-22,11.86,203951
2018-10-23,11.79,222439
2018-10-24,11.8,135394
2018-10-25,11.79,235557
2018-10-26,11.74,187452
2018-10-29,11.66,386144
2018-10-30,11.7,180368
2018-10-31,11.72,333380
2018-11-01,11.79,199388
2018-11-02,11.8,248408
2018-11-05,11.8,312351
2018-11-06,11.81,270307
2018-11-07,11.84,204493
2018-11-08,11.87,206623
2018-11-09,11.87,145041
