date,close,volume
2018-04-25,31.81,285849
2018-04-26,31.28,483950
2018-04-27,30.52,790379
2018-04-30,30.92,759355
2018-05-01,31.84,410373
2018-05-02,31.83,231612
2018-05-03,31.96,414406
2018-05-04,32.14,1166065
2018-05-07,32.81,524118
2018-05-08,32.62,1679013
2018-05-09,32.96,444224
2018-05-10,33.33,877230
2018-05-11,32.7,341419
2018-05-14,31.99,428864
2018-05-15,31.97,515221
2018-05-16,32.17,709267
2018-05-17,32.19,623723
2018-05-18,31.89,824082
2018-05-21,31.87,1090472
2018-05-22,31.08,1321754
2018-05-23,31.88,1028347
2018-05-24,31.29,519294
2018-05-25,31.66,1076958
2018-05-29,32.13,755497
2018-05-30,33.45,1704087
2018-05-31,33.16,952510
2018-06-01,33.54,740137
2018-06-04,33.67,664275
2018-06-05,33.39,840643
2018-06-06,33.41,550931
2018-06-07,34.27,4328144
2018-06-08,34.95,1206119
2018-06-11,34.54,617481
2018-06-12,35.58,644124
2018-06-13,35.79,1283333
2018-06-14,35.34,1320383
2018-06-15,34.75,1212465
2018-06-18,35.75,1226705
2018-06-19,35.79,1094788
2018-06-20,35.74,658490
2018-06-21,35.01,535109
2018-06-22,34.61,6677876
2018-06-25,34.93,722807
2018-06-26,34.86,407253
2018-06-27,33.87,436801
2018-06-28,34.35,398371
2018-06-29,34.74,429818
2018-07-02,35.76,494005
2018-07-03,35.52,247784
2018-07-05,35.99,322295
2018-07-06,36.0,399663
2018-07-09,36.51,559530
2018-07-10,35.48,355010
2018-07-11,35.83,338553
2018-07-12,37.2,540916
2018-07-13,36.89,613821
2018-07-16,37.31,371730
2018-07-17,37.66,376868
2018-07-18,36.46,808524
2018-07-19,36.87,258291
2018-07-20,37.77,432251
2018-07-23,38.93,476346
2018-07-24,38.7,464842
2018-07-25,39.83,296611
2018-07-26,40.92,1008871
2018-07-27,41.14,930898
2018-07-30,41.09,1085743
2018-07-31,43.35,1097380
2018-08-01,43.87,783723
2018-08-02,44.65,630964
2018-08-03,44.58,612573
2018-08-06,44.68,1262946
2018-08-07,45.59,1007200
2018-08-08,53.77,4663452
2018-08-09,54.64,987987
2018-08-10,51.87,1467235
2018-08-13,51.13,1068197
2018-08-14,50.67,1087781
2018-08-15,50.25,951659
2018-08-16,49.96,811955
2018-08-17,50.0,658400
2018-08-20,50.15,802417
2018-08-21,49.66,753489
2018-08-22,49.66,666819
2018-08-23,49.3,531992
2018-08-24,49.94,821117
2018-08-27,49.94,710790
2018-08-28,49.72,606854
2018-08-29,49.2,703858
2018-08-30,49.63,934726
2018-08-31,49.32,871564
2018-09-04,49.1,805749
2018-09-05,47.83,727945
2018-09-06,48.3,933151
2018-09-07,47.68,612868
2018-09-10,49.74,1396445
2018-09-11,50.3,1678647
2018-09-12,51.53,1106262
2018-09-13,52.48,1082929
2018-09-14,52.69,1028675
2018-09-17,51.87,998343
2018-09-18,52.54,733407
2018-09-19,51.57,679180
2018-09-20,52.0,739643
2018-09-21,51.62,2076949
2018-09-24,53.94,1761845
2018-09-25,54.31,1594743
2018-09-26,55.47,1567442
2018-09-27,55.91,890211
2018-09-28,55.69,812117
2018-10-01,54.7,1248180
2018-10-02,51.53,3114085
2018-10-03,52.13,995431
2018-10-04,51.34,1067623
2018-10-05,49.42,1334034
2018-10-08,47.35,1222054
2018-10-09,45.79,1624351
2018-10-10,43.0,1533630
2018-10-11,41.99,1231560
2018-10-12,42.86,1142926
2018-10-15,41.3,628603
2018-10-16,43.11,766086
2018-10-17,43.48,1521606
2018-10-18,41.85,804754
2018-10-19,40.92,613259
2018-10-22,41.4,557435
2018-10-23,41.5,592115
2018-10-24,41.02,889541
2018-10-25,42.35,638329
2018-10-26,41.96,696926
2018-10-29,40.89,557008
2018-10-30,42.65,696973
2018-10-31,44.42,652681
2018-11-01,45.49,610566
2018-11-02,44.92,472363
2018-11-05,42.83,1034845
2018-11-06,42.25,661301
2018-11-07,40.13,1879054
2018-11-08,41.82,3364440
