date,close,volume
2019-07-26,9.9,302950
2019-07-29,9.93,2301
2019-07-30,9.93,50
2019-07-31,9.93,800
2019-08-01,9.93,2201
2019-08-02,9.93,900
2019-08-05,9.93,2800
2019-08-06,9.93,2500
2019-08-07,9.93,26300
2019-08-08,9.93,0
2019-08-09,9.93,0
2019-08-12,9.93,13700
2019-08-13,9.93,0
2019-08-14,9.93,0
2019-08-15,9.93,0
2019-08-16,9.93,0
2019-08-19,9.93,0
2019-08-20,9.95,205300
2019-08-21,9.95,204709
2019-08-22,9.95,0
2019-08-23,9.95,0
2019-08-26,9.95,0
2019-08-27,9.95,1707
2019-08-28,9.94,3450
2019-08-29,9.95,2000
2019-08-30,9.95,150
2019-09-03,9.95,1200
2019-09-04,9.95,11000
2019-09-05,9.95,0
2019-09-06,9.95,98
2019-09-09,9.95,0
2019-09-10,9.9,101872
2019-09-11,9.9,0
2019-09-12,9.9,323
2019-09-13,9.95,61094
2019-09-16,10.0,6757
2019-09-17,9.99,2388
2019-09-18,9.99,10
2019-09-19,10.0,825984
2019-09-20,10.06,126750
2019-09-23,10.01,2926
2019-09-24,10.01,1181
2019-09-25,10.05,2735
2019-09-26,10.07,3800
2019-09-27,10.07,0
2019-09-30,10.02,300
2019-10-01,10.06,27778
2019-10-02,10.09,3678
2019-10-03,10.09,99
2019-10-04,10.12,1447539
2019-10-07,10.17,195207
2019-10-08,10.17,160000
2019-10-09,10.29,275000
2019-10-10,10.22,5907
2019-10-11,10.22,0
2019-10-14,10.22,0
2019-10-15,10.23,240391
2019-10-16,10.23,13340
2019-10-17,10.23,650120
2019-10-18,10.23,311400
2019-10-21,10.21,330772
2019-10-22,10.22,5000
2019-10-23,10.18,21529
2019-10-24,10.16,528648
2019-10-25,10.22,978485
2019-10-28,10.2,264865
2019-10-29,10.22,64704
2019-10-30,10.2,100571
2019-10-31,10.21,92563
2019-11-01,10.29,32087
2019-11-04,10.25,253517
2019-11-05,10.3,49300
2019-11-06,10.28,1180738
2019-11-07,10.28,1927
2019-11-08,10.25,30416
2019-11-11,10.25,4517
2019-11-12,10.28,132
2019-11-13,10.28,514
2019-11-14,10.22,150
2019-11-15,10.27,344
2019-11-18,10.25,303
2019-11-19,10.26,6158
2019-11-20,10.27,7238
2019-11-21,10.27,138
2019-11-22,10.27,536
2019-11-25,10.27,100475
2019-11-26,10.26,202960
2019-11-27,10.28,791
2019-11-29,10.25,19444
2019-12-02,10.25,60
2019-12-03,10.2,856
2019-12-04,10.2,16
2019-12-05,10.2,24
2019-12-06,10.22,232
2019-12-09,10.2,1042
2019-12-10,10.2,5640
2019-12-11,10.2,44
2019-12-12,10.21,275036
2019-12-13,10.21,0
2019-12-16,10.21,50872
2019-12-17,10.21,36506
2019-12-18,10.25,1824
2019-12-19,10.25,7941
2019-12-20,10.25,30679
2019-12-23,10.25,2192
2019-12-24,10.3,1900
2019-12-26,10.27,13802
2019-12-27,10.27,29
2019-12-30,10.3,171992
2019-12-31,10.33,4024
2020-01-02,10.35,110
2020-01-03,10.3,1110
2020-01-06,10.33,20110
2020-01-07,10.35,246195
2020-01-08,10.4,114356
2020-01-09,10.5,684684
2020-01-10,10.5,109630
2020-01-13,10.55,254684
2020-01-14,10.62,72228
2020-01-15,10.65,27678
2020-01-16,10.66,2546
2020-01-17,10.6,57640
2020-01-21,10.67,264886
2020-01-22,10.63,114908
2020-01-23,10.62,21676
2020-01-24,10.63,46353
2020-01-27,10.55,126118
2020-01-28,10.55,142185
2020-01-29,10.56,3591
2020-01-30,10.75,635334
2020-01-31,10.85,46817
2020-02-03,10.83,3225
2020-02-04,10.85,57734
2020-02-05,10.89,109869
2020-02-06,10.75,109005
2020-02-07,11.0,5703
2020-02-10,10.91,970
2020-02-11,10.89,73166
2020-02-12,10.9,49616
2020-02-13,10.86,99009
2020-02-14,10.85,830899
2020-02-18,10.84,7876
2020-02-19,10.85,8860
2020-02-20,10.9,22604
2020-02-21,10.83,406979
2020-02-24,10.8,244645
2020-02-25,10.8,15085
2020-02-26,10.75,105120
2020-02-27,10.8,31760
2020-02-28,10.66,3903
2020-03-02,10.7,11901
2020-03-03,10.7,22658
2020-03-04,10.65,25984
2020-03-05,10.68,51885
2020-03-06,10.55,86482
2020-03-09,10.56,26095
2020-03-10,10.45,29033
2020-03-11,10.41,5625
2020-03-12,10.32,615
2020-03-13,9.95,997113
2020-03-16,9.55,107778
2020-03-17,9.7,173779
2020-03-18,9.4,1691660
2020-03-19,9.34,3069598
2020-03-20,9.67,68095
2020-03-23,9.63,120210
2020-03-24,9.78,7218
2020-03-25,9.73,220451
2020-03-26,9.91,1642
2020-03-27,9.95,3731566
2020-03-30,9.97,24082
2020-03-31,9.95,38268
2020-04-01,9.95,13145
2020-04-02,9.95,118940
2020-04-03,9.95,411855
2020-04-06,9.96,101711
2020-04-07,9.94,4575
2020-04-08,9.94,3350
2020-04-09,9.92,22182
2020-04-13,9.95,74065
2020-04-14,10.06,548058
2020-04-15,10.08,1602
2020-04-16,10.14,3280
2020-04-17,10.23,16349
2020-04-20,10.15,36004
2020-04-21,10.1,264882
2020-04-22,10.18,55898
2020-04-23,10.28,9146
2020-04-24,10.34,98625
2020-04-27,10.19,1084
2020-04-28,10.15,2076
2020-04-29,10.15,50107
2020-04-30,10.07,146409
2020-05-01,10.16,8517
2020-05-04,10.1,313452
2020-05-05,10.12,13889
2020-05-06,10.15,925
2020-05-07,10.2,2846141
2020-05-08,10.2,374453
2020-05-11,10.24,4173
2020-05-12,10.27,13413
2020-05-13,10.25,16418
2020-05-14,10.41,592039
2020-05-15,10.48,2900
2020-05-18,10.47,220866
2020-05-19,10.29,21786
2020-05-20,10.41,15267
2020-05-21,10.39,190
2020-05-22,10.48,150611
2020-05-26,10.45,257341
2020-05-27,10.35,658672
2020-05-28,10.38,23044
2020-05-29,10.45,92241
2020-06-01,10.54,76687
2020-06-02,10.59,78053
2020-06-03,10.48,740
2020-06-04,10.68,26262
2020-06-05,10.9,139571
2020-06-08,11.15,159200
2020-06-09,11.09,214986
2020-06-10,10.99,91000
2020-06-11,10.87,9119
2020-06-12,10.79,189020
2020-06-15,10.74,9585
2020-06-16,10.9,103270
2020-06-17,10.92,188374
2020-06-18,11.0,223871
2020-06-19,11.04,78447
2020-06-22,11.07,148366
2020-06-23,11.0,78081
2020-06-24,10.89,23621
2020-06-25,10.85,35689
2020-06-26,10.86,14434
2020-06-29,11.0,85632
2020-06-30,11.3,1238855
2020-07-01,11.3,418592
2020-07-02,11.3,346346
2020-07-06,11.1,435656
2020-07-07,11.05,82946
2020-07-08,11.11,450572
2020-07-09,11.15,171113
2020-07-10,11.42,106543
2020-07-13,11.01,494385
2020-07-14,10.98,76298
2020-07-15,11.12,246431
2020-07-16,11.11,583497
2020-07-17,11.03,121213
2020-07-20,11.5,3629386
2020-07-21,11.55,1078480
2020-07-22,11.42,1124466
2020-07-23,11.28,460427
2020-07-24,11.11,572684
2020-07-27,11.12,283553
2020-07-28,11.05,464607
2020-07-29,10.95,362083
2020-07-30,10.82,624186
2020-07-31,10.64,404497
2020-08-03,10.41,288992
2020-08-04,10.56,699925
2020-08-05,10.5,272023
2020-08-06,10.56,432191
2020-08-07,10.74,209079
2020-08-10,10.49,140592
2020-08-11,10.56,117443
2020-08-12,10.55,62538
2020-08-13,10.53,88417
2020-08-14,10.54,78361
