date,close,volume
2018-04-25,14.88,5538
2018-04-26,14.88,2813
2018-04-27,14.76,960
2018-04-30,14.76,2380
2018-05-01,15.12,3750
2018-05-02,15.12,4446
2018-05-03,15.36,5307
2018-05-04,15.0,3801
2018-05-07,14.88,5752
2018-05-08,15.12,1647
2018-05-09,14.93,3501
2018-05-10,15.0,3851
2018-05-11,15.11,8025
2018-05-14,15.0,7666
2018-05-15,15.0,3826
2018-05-16,15.0,5923
2018-05-17,15.0,7833
2018-05-18,15.0,2548
2018-05-21,15.0,3060
2018-05-22,14.88,4331
2018-05-23,14.88,5246
2018-05-24,15.0,2801
2018-05-25,14.76,2495
2018-05-29,15.0,6515
2018-05-30,15.0,3084
2018-05-31,14.88,1167
2018-06-01,14.76,10491
2018-06-04,14.88,4655
2018-06-05,14.88,1972
2018-06-06,14.76,7603
2018-06-07,14.7,5228
2018-06-08,14.52,5421
2018-06-11,14.64,2579
2018-06-12,14.87,2688
2018-06-13,14.65,1366
2018-06-14,14.51,6454
2018-06-15,14.04,12830
2018-06-18,14.4,10114
2018-06-19,13.92,4209
2018-06-20,14.16,2017
2018-06-21,13.95,6633
2018-06-22,14.04,3955
2018-06-25,13.68,20786
2018-06-26,13.92,1231
2018-06-27,13.68,7907
2018-06-28,13.92,2397
2018-06-29,13.8,7055
2018-07-02,13.8,3639
2018-07-03,13.8,2139
2018-07-05,13.8,5664
2018-07-06,14.04,1685
2018-07-09,14.22,4039
2018-07-10,14.04,1574
2018-07-11,13.92,5511
2018-07-12,13.8,3618
2018-07-13,14.04,2412
2018-07-16,14.04,1458
2018-07-17,14.15,7753
2018-07-18,14.4,9448
2018-07-19,14.34,357
2018-07-20,13.8,7611
2018-07-23,13.8,2611
2018-07-24,13.59,4466
2018-07-25,13.56,9723
2018-07-26,13.6,1647
2018-07-27,13.68,2707
2018-07-30,13.36,2074
2018-07-31,13.35,2796
2018-08-01,13.43,5450
2018-08-02,13.32,4459
2018-08-03,13.44,1631
2018-08-06,13.32,1810
2018-08-07,13.32,7804
2018-08-08,13.56,3727
2018-08-09,13.5,1888
2018-08-10,13.2,2261
2018-08-13,13.53,5452
2018-08-14,13.61,5799
2018-08-15,13.42,4384
2018-08-16,13.32,9073
2018-08-17,13.23,5053
2018-08-20,13.2,7410
2018-08-21,12.96,3484
2018-08-22,13.08,988
2018-08-23,12.84,5248
2018-08-24,12.72,8868
2018-08-27,12.48,11808
2018-08-28,12.72,5750
2018-08-29,12.72,6266
2018-08-30,12.72,1237
2018-08-31,12.6,2095
2018-09-04,12.24,7724
2018-09-05,11.85,10595
2018-09-06,11.82,8393
2018-09-07,11.64,4323
2018-09-10,11.36,8481
2018-09-11,10.86,7126
2018-09-12,10.79,9094
2018-09-13,10.8,8517
2018-09-14,10.8,4601
2018-09-17,10.68,7150
2018-09-18,11.28,11596
2018-09-19,11.16,2266
2018-09-20,11.1,3994
2018-09-21,11.04,4409
2018-09-24,10.68,5965
2018-09-25,10.51,8138
2018-09-26,10.7,2339
2018-09-27,10.91,6181
2018-09-28,10.44,2897
2018-10-01,10.19,4965
2018-10-02,10.44,2908
2018-10-03,10.44,5073
2018-10-04,10.68,2222
2018-10-05,10.32,4940
2018-10-08,9.94,1351
2018-10-09,9.11,24824
2018-10-10,8.98,5644
2018-10-11,6.0,79835
2018-10-12,7.33,110781
2018-10-15,7.54,23578
2018-10-16,7.29,30089
2018-10-17,7.34,122352
2018-10-18,8.16,80947
2018-10-19,9.12,80769
2018-10-22,8.69,35221
2018-10-23,8.28,22592
2018-10-24,7.94,9775
2018-10-25,7.68,4676
2018-10-26,7.27,32500
2018-10-29,7.56,10666
2018-10-30,7.23,7472
2018-10-31,7.45,5182
2018-11-01,7.68,2492
2018-11-02,7.59,10947
2018-11-05,7.68,4939
2018-11-06,7.87,6289
2018-11-07,7.68,2937
2018-11-08,7.15,25384
2018-11-09,6.38,25127
2018-11-12,6.37,3641
2018-11-13,6.53,2748
2018-11-14,6.39,3625
2018-11-15,6.96,11461
2018-11-16,6.84,20582
2018-11-19,7.02,11038
2018-11-20,6.84,7897
2018-11-21,7.0,4701
2018-11-23,7.19,2800
2018-11-26,7.53,29706
2018-11-27,7.44,10079
2018-11-28,7.68,9407
2018-11-29,7.82,17249
2018-11-30,8.25,34089
2018-12-03,8.68,21902
2018-12-04,8.2,6133
2018-12-06,8.26,8278
2018-12-07,8.2,5048
2018-12-10,8.04,2205
2018-12-11,7.56,4288
2018-12-12,7.68,2474
2018-12-13,7.1,4858
2018-12-14,6.89,3754
2018-12-17,6.74,4092
2018-12-18,7.07,4067
2018-12-19,6.48,4867
2018-12-20,6.15,8760
2018-12-21,6.27,5237
2018-12-24,6.13,2913
