date,close,volume
2018-04-25,31.42,12755
2018-04-26,31.73,4032
2018-04-27,31.81,6404
2018-04-30,31.72,6795
2018-05-01,31.82,5386
2018-05-02,32.16,1782
2018-05-03,31.83,4597
2018-05-04,31.78,5228
2018-05-07,31.47,3928
2018-05-08,31.14,6809
2018-05-09,31.09,1935
2018-05-10,30.56,6515
2018-05-11,30.81,2663
2018-05-14,30.48,2161
2018-05-15,30.91,984
2018-05-16,30.75,1478
2018-05-17,31.14,1311
2018-05-18,30.92,3222
2018-05-21,30.56,4340
2018-05-22,30.7,4963
2018-05-23,31.35,5997
2018-05-24,31.41,3219
2018-05-25,31.54,6163
2018-05-29,32.18,5084
2018-05-30,32.14,7122
2018-05-31,31.77,3012
2018-06-01,31.89,6413
2018-06-04,31.64,4529
2018-06-05,31.36,1364
2018-06-06,31.23,731
2018-06-07,31.53,4348
2018-06-08,31.84,3605
2018-06-11,31.76,8626
2018-06-12,31.6,2178
2018-06-13,31.74,100814
2018-06-14,31.94,3343
2018-06-15,32.32,13483
2018-06-18,32.69,5820
2018-06-19,33.85,32292
2018-06-20,33.57,16117
2018-06-21,34.29,36652
2018-06-22,33.84,9547
2018-06-25,34.73,22643
2018-06-26,35.09,12701
2018-06-27,36.21,71135
2018-06-28,35.97,24578
2018-06-29,35.27,10944
2018-07-02,36.71,21093
2018-07-03,36.55,23161
2018-07-05,37.14,38879
2018-07-06,36.81,21189
2018-07-09,35.48,24378
2018-07-10,35.39,11366
2018-07-11,36.71,14865
2018-07-12,35.3,15165
2018-07-13,35.48,4890
2018-07-16,35.61,5164
2018-07-17,35.73,5736
2018-07-18,36.05,11809
2018-07-19,36.55,8212
2018-07-20,35.5,17830
2018-07-23,35.55,9112
2018-07-24,34.45,36857
2018-07-25,34.45,26501
2018-07-26,35.16,13923
2018-07-27,35.4,6458
2018-07-30,35.46,8892
2018-07-31,34.93,6992
2018-08-01,36.37,9542
2018-08-02,37.1,16409
2018-08-03,37.39,15240
2018-08-06,38.17,17224
2018-08-07,36.54,13002
2018-08-08,37.38,14348
2018-08-09,36.22,10971
2018-08-10,36.76,7957
2018-08-13,36.94,7253
2018-08-14,37.0,8962
2018-08-15,38.57,14703
2018-08-16,37.97,28642
2018-08-17,37.58,26819
2018-08-20,37.7,18234
2018-08-21,36.79,26328
2018-08-22,37.29,24143
2018-08-23,37.71,11096
2018-08-24,36.67,16372
2018-08-27,35.85,14662
2018-08-28,36.11,10340
2018-08-29,36.19,6838
2018-08-30,37.2,18597
2018-08-31,37.06,7533
2018-09-04,36.8,8348
2018-09-05,37.49,9671
2018-09-06,37.6,5836
2018-09-07,37.97,23896
2018-09-10,38.35,11064
2018-09-11,38.77,20650
2018-09-12,37.9,26834
2018-09-13,37.66,13937
2018-09-14,38.39,24709
2018-09-17,38.59,26205
2018-09-18,37.51,31947
2018-09-19,36.91,14354
2018-09-20,36.82,9731
2018-09-21,35.99,15624
2018-09-24,36.44,18346
2018-09-25,36.3,6849
2018-09-26,35.87,13313
2018-09-27,36.1,7533
2018-09-28,35.8,33312
2018-10-01,35.74,7170
2018-10-02,36.47,16601
2018-10-03,36.63,9916
2018-10-04,37.5,16645
2018-10-05,36.99,61765
2018-10-08,37.62,61013
2018-10-09,37.76,9740
2018-10-10,38.69,27352
2018-10-11,39.16,41683
2018-10-12,38.72,14160
2018-10-15,39.3,20427
2018-10-16,39.22,19805
2018-10-17,39.89,14395
2018-10-18,41.12,59362
2018-10-19,39.52,56270
2018-10-22,37.62,28119
2018-10-23,38.52,52922
2018-10-24,39.14,65454
2018-10-25,38.2,29375
2018-10-26,38.67,15715
2018-10-29,40.32,48051
2018-10-30,39.41,22376
2018-10-31,38.57,58261
2018-11-01,37.16,59238
2018-11-02,37.06,25057
2018-11-05,37.25,15876
2018-11-06,37.65,3859
2018-11-07,37.26,5780
2018-11-08,38.33,5241
