date,close,volume
2018-04-25,14.4,72
2018-04-26,14.66,1302
2018-04-27,14.76,345
2018-04-30,14.89,505
2018-05-01,14.9,106
2018-05-02,14.9,4
2018-05-03,14.6,2502
2018-05-04,14.6,0
2018-05-07,14.6,2
2018-05-08,14.78,436
2018-05-09,14.78,11
2018-05-10,14.88,1202
2018-05-11,14.85,2651
2018-05-14,15.04,1387
2018-05-15,14.88,2192
2018-05-16,15.04,4522
2018-05-17,15.07,972
2018-05-18,15.07,7
2018-05-21,15.2,1733
2018-05-22,15.2,40
2018-05-23,15.63,6327
2018-05-24,15.63,23
2018-05-25,15.63,2
2018-05-29,15.4,836
2018-05-30,15.3,9325
2018-05-31,15.3,12
2018-06-01,15.3,30
2018-06-04,15.3,34
2018-06-05,15.51,321
2018-06-06,15.26,897
2018-06-07,15.22,1453
2018-06-08,15.22,9
2018-06-11,15.22,1
2018-06-12,15.22,1
2018-06-13,15.36,1680
2018-06-14,15.22,3664
2018-06-15,14.8,2751
2018-06-18,14.89,703
2018-06-19,14.84,1000
2018-06-20,14.84,3
2018-06-21,14.18,1284
2018-06-22,14.4,5836
2018-06-25,14.4,17
2018-06-26,14.4,60
2018-06-27,14.4,94
2018-06-28,14.4,0
2018-06-29,13.9,509
2018-07-02,13.64,4385
2018-07-03,13.36,1200
2018-07-05,13.42,403
2018-07-06,13.5,928
2018-07-09,13.5,6
2018-07-10,13.48,2275
2018-07-11,13.62,200
2018-07-12,13.62,0
2018-07-13,13.62,13
2018-07-16,13.54,269
2018-07-17,13.54,0
2018-07-18,13.54,113
2018-07-19,13.46,1251
2018-07-20,13.56,1003
2018-07-23,13.88,506
2018-07-24,13.88,0
2018-07-25,13.88,28
2018-07-26,14.39,303
2018-07-27,14.39,0
2018-07-30,14.38,587
2018-07-31,14.38,2
2018-08-01,14.34,317
2018-08-02,14.2,2792
2018-08-03,14.2,4
2018-08-06,14.2,53
2018-08-07,14.21,341
2018-08-08,14.09,3165
2018-08-09,14.29,1323
2018-08-10,14.03,523
2018-08-13,14.15,1363
2018-08-14,13.96,663
2018-08-15,13.22,604
2018-08-16,13.34,1340
2018-08-17,13.37,147
2018-08-20,13.37,30
2018-08-21,13.53,352
2018-08-22,13.8,1138
2018-08-23,13.8,4
2018-08-24,13.8,4
2018-08-27,13.8,108
2018-08-28,13.91,1107
2018-08-29,14.06,106
2018-08-30,13.93,311
2018-08-31,13.66,233
2018-09-04,13.66,0
2018-09-05,13.66,4
2018-09-06,13.32,610
2018-09-07,13.07,275
2018-09-10,13.07,10
2018-09-11,13.02,4840
2018-09-12,13.02,73
2018-09-13,13.02,6
2018-09-14,13.26,351
2018-09-17,13.3,683
2018-09-18,13.84,796
2018-09-19,14.11,340
2018-09-20,14.11,3
2018-09-21,14.11,33
2018-09-24,14.05,1628
2018-09-25,14.38,7526
2018-09-26,14.38,1
2018-09-27,14.45,111
2018-09-28,14.45,3
2018-10-01,14.33,1215
2018-10-02,14.33,3
2018-10-03,14.33,44
2018-10-04,14.33,88
2018-10-05,13.82,606
2018-10-08,13.81,372
2018-10-09,13.81,41
2018-10-10,13.81,0
2018-10-11,13.81,0
2018-10-12,13.35,413
2018-10-15,13.49,354
2018-10-16,13.29,200
2018-10-17,13.3,405
2018-10-18,13.26,427
2018-10-19,13.26,7
2018-10-22,13.45,414
2018-10-23,13.18,302
2018-10-24,12.9,892
2018-10-25,12.9,43
2018-10-26,12.9,109
2018-10-29,12.64,502
2018-10-30,12.33,260
2018-10-31,13.18,19411
2018-11-01,13.7,2883
2018-11-02,14.11,804
2018-11-05,14.11,54
2018-11-06,14.08,120
2018-11-07,14.08,176
2018-11-08,14.08,6
2018-11-09,14.08,0
2018-11-12,14.08,0
2018-11-13,14.08,2
2018-11-14,14.05,1368
2018-11-15,14.34,202
2018-11-16,14.34,0
2018-11-19,14.41,101
2018-11-20,14.41,2
2018-11-21,14.27,197
2018-11-23,14.27,2
2018-11-26,13.82,471
2018-11-27,13.82,47
2018-11-28,14.36,2153
2018-11-29,14.36,2
2018-11-30,14.36,45
2018-12-03,14.36,10
2018-12-04,14.29,701
2018-12-06,13.95,670
2018-12-07,14.09,1595
2018-12-10,13.72,2
2018-12-11,13.91,779
2018-12-12,14.04,10
2018-12-13,14.12,115
2018-12-14,14.06,1006
2018-12-17,14.03,31
2018-12-18,14.0,75
2018-12-19,13.75,2
2018-12-20,13.45,402
2018-12-21,13.23,352
2018-12-24,13.27,144
2018-12-26,13.38,311
2018-12-27,13.29,2
2018-12-28,13.13,39
2018-12-31,13.12,23
2019-01-02,13.01,1988
2019-01-03,12.84,1
2019-01-04,13.05,596
2019-01-07,13.04,693
2019-01-08,13.26,38
2019-01-09,13.32,121
2019-01-10,13.42,5
2019-01-11,13.41,206
2019-01-14,13.37,653
2019-01-15,13.45,0
2019-01-16,13.59,929
2019-01-17,13.68,7
2019-01-18,13.72,63
2019-01-22,13.52,329
2019-01-23,13.57,200
2019-01-24,13.68,2
2019-01-25,13.79,1256
2019-01-28,13.64,508
2019-01-29,13.85,1801
2019-01-30,13.82,15
2019-01-31,14.0,1202
2019-02-01,14.01,1222
2019-02-04,14.17,2
2019-02-05,14.46,1153
2019-02-06,14.27,0
2019-02-07,13.98,358
2019-02-08,14.08,29
2019-02-11,14.02,8
2019-02-12,13.93,74
2019-02-13,14.16,5
2019-02-14,14.18,157
2019-02-15,14.22,20
2019-02-19,14.39,168
2019-02-20,14.41,139
2019-02-21,14.46,10
2019-02-22,14.53,2558
2019-02-25,14.86,218
2019-02-26,14.8,2
2019-02-27,14.76,2602
2019-02-28,14.63,217
2019-03-01,14.62,117
2019-03-04,14.78,3906
2019-03-05,14.93,2882
2019-03-06,14.88,1380
2019-03-07,14.56,681
2019-03-08,14.15,74
2019-03-11,14.34,1643
2019-03-12,14.62,24
2019-03-13,14.36,2
2019-03-14,14.13,902
2019-03-15,14.3,389
2019-03-18,14.55,1
2019-03-19,14.42,1000
2019-03-20,14.54,2
2019-03-21,14.62,2
2019-03-22,14.3,1090
2019-03-25,14.06,2
2019-03-26,14.27,52
2019-03-27,14.2,894
2019-03-28,14.43,6
2019-03-29,14.62,2
2019-04-01,14.74,155
2019-04-02,14.64,263
2019-04-03,14.85,12
2019-04-04,14.95,73
2019-04-05,15.0,305
2019-04-08,15.02,859
2019-04-09,14.83,54
2019-04-10,14.81,2
2019-04-11,14.74,3
2019-04-12,14.88,13
2019-04-15,14.88,153
2019-04-16,14.88,2
2019-04-17,14.64,472
2019-04-18,14.76,204
2019-04-22,14.84,1833
2019-04-23,14.34,154
2019-04-24,14.39,218
2019-04-25,14.15,502
2019-04-26,14.12,17
2019-04-29,14.18,2
2019-04-30,14.07,4582
2019-05-01,14.19,2
2019-05-02,14.12,10
2019-05-03,14.22,48
2019-05-06,13.69,40
2019-05-07,13.61,567
2019-05-08,13.55,456
2019-05-09,13.24,2
2019-05-10,13.27,8
2019-05-13,13.13,11
2019-05-14,13.19,8
2019-05-15,13.22,2010
2019-05-16,13.51,2502
2019-05-17,13.15,184
2019-05-20,13.15,345
2019-05-21,13.19,515
2019-05-22,13.12,786
2019-05-23,12.95,578
2019-05-24,12.96,2
2019-05-28,12.95,1152
2019-05-29,12.81,777
2019-05-30,12.96,75
2019-05-31,13.1,105
2019-06-03,13.26,27
2019-06-04,12.93,102
2019-06-05,12.77,5205
2019-06-06,12.82,1102
2019-06-07,13.13,1087
2019-06-10,13.03,2
2019-06-11,13.33,7
2019-06-12,13.22,99
2019-06-13,13.19,3
2019-06-14,13.15,169
2019-06-17,13.1,29
2019-06-18,13.38,102
2019-06-19,13.44,1062
2019-06-20,13.7,7
2019-06-21,13.68,2
2019-06-24,13.58,176
2019-06-25,13.38,2
2019-06-26,13.57,6
2019-06-27,13.61,3
2019-06-28,13.54,2
2019-07-01,13.78,727
2019-07-02,13.55,314
2019-07-03,13.74,31
2019-07-05,13.51,333
2019-07-08,13.32,803
2019-07-09,13.27,4
2019-07-10,13.35,113
2019-07-11,13.24,455
2019-07-12,13.22,9
2019-07-15,13.26,176
2019-07-16,13.32,2
2019-07-17,13.27,2
2019-07-18,13.24,13
2019-07-19,13.36,4
2019-07-22,13.34,341
2019-07-23,13.32,27
2019-07-24,13.29,2
2019-07-25,13.18,82
2019-07-26,13.2,55
2019-07-29,13.22,21
2019-07-30,13.21,216
2019-07-31,13.19,62
2019-08-01,12.75,623
2019-08-02,12.24,165
2019-08-05,11.96,337
2019-08-06,12.17,1226
2019-08-07,12.1,981
2019-08-08,12.21,5
2019-08-09,11.98,3
2019-08-12,11.87,15
2019-08-13,12.07,805
2019-08-14,11.7,268
2019-08-15,11.86,1880
2019-08-16,11.96,22
2019-08-19,12.11,202
2019-08-20,12.09,2
2019-08-21,12.1,446
2019-08-22,12.09,337
2019-08-23,12.04,178
2019-08-26,11.97,52
2019-08-27,11.99,112
2019-08-28,12.11,2
2019-08-29,12.19,301
2019-08-30,12.31,2476
2019-09-03,12.16,33
2019-09-04,12.4,42
2019-09-05,12.67,6
2019-09-06,12.77,50
2019-09-09,12.79,368
2019-09-10,12.79,1715
2019-09-11,12.89,16
2019-09-12,13.09,3
2019-09-13,13.09,240
2019-09-16,12.91,23
2019-09-17,12.87,2
2019-09-18,13.07,3
2019-09-19,13.0,2
2019-09-20,12.91,402
2019-09-23,12.69,298
2019-09-24,12.6,4
2019-09-25,12.56,2
2019-09-26,12.46,2
2019-09-27,12.33,2
2019-09-30,12.29,536
2019-10-01,12.38,1079
2019-10-02,12.38,232
2019-10-03,12.52,103
2019-10-04,12.48,2
2019-10-07,12.44,1155
2019-10-08,12.41,2
2019-10-09,12.38,402
2019-10-10,12.42,752
2019-10-11,12.82,3
2019-10-14,12.74,82
2019-10-15,12.77,16
2019-10-16,12.89,3023
2019-10-17,12.77,5
2019-10-18,12.69,3
2019-10-21,12.74,24
2019-10-22,12.86,74
2019-10-23,12.69,2
2019-10-24,12.76,51
2019-10-25,12.83,14
2019-10-28,12.91,1665
2019-10-29,12.82,3
2019-10-30,12.75,470
2019-10-31,12.61,292
2019-11-01,12.84,2
2019-11-04,13.1,1465
2019-11-05,13.34,1112
2019-11-06,13.19,3
2019-11-07,13.52,2032
2019-11-08,13.18,100
2019-11-11,13.12,5
2019-11-12,13.06,202
2019-11-13,12.84,31
2019-11-14,12.8,288
2019-11-15,12.79,92
2019-11-18,12.96,347
2019-11-19,12.87,181
2019-11-20,12.75,302
2019-11-21,12.75,347
