date,close,volume
2018-04-25,6.92,48656
2018-04-26,7.07,64535
2018-04-27,7.07,55600
2018-04-30,7.12,74411
2018-05-01,7.07,40679
2018-05-02,7.17,131925
2018-05-03,7.02,165302
2018-05-04,7.12,107659
2018-05-07,7.07,80538
2018-05-08,7.12,189342
2018-05-09,7.17,63992
2018-05-10,7.07,168918
2018-05-11,7.07,50088
2018-05-14,7.07,56406
2018-05-15,7.17,44775
2018-05-16,7.22,81766
2018-05-17,7.32,60750
2018-05-18,7.32,43089
2018-05-21,7.37,31877
2018-05-22,7.42,71869
2018-05-23,7.39,68679
2018-05-24,7.52,84157
2018-05-25,7.42,46299
2018-05-29,7.42,25567
2018-05-30,7.42,33240
2018-05-31,7.32,26752
2018-06-01,7.37,46618
2018-06-04,7.32,69496
2018-06-05,7.37,65571
2018-06-06,7.27,87683
2018-06-07,7.32,131430
2018-06-08,7.22,81694
2018-06-11,7.42,59298
2018-06-12,7.37,43843
2018-06-13,7.32,42071
2018-06-14,7.42,89216
2018-06-15,7.42,90746
2018-06-18,7.52,17921
2018-06-19,7.42,62382
2018-06-20,7.42,23203
2018-06-21,7.37,94027
2018-06-22,7.92,317871
2018-06-25,8.01,110818
2018-06-26,8.21,126810
2018-06-27,8.06,70031
2018-06-28,8.06,54928
2018-06-29,8.21,57972
2018-07-02,8.26,32361
2018-07-03,8.21,14267
2018-07-05,8.26,60430
2018-07-06,8.31,55244
2018-07-09,8.31,34704
2018-07-10,8.31,29046
2018-07-11,8.31,23609
2018-07-12,8.31,29791
2018-07-13,8.31,43073
2018-07-16,8.11,20554
2018-07-17,8.06,41423
2018-07-18,7.96,50244
2018-07-19,7.92,28269
2018-07-20,8.01,56291
2018-07-23,8.36,48493
2018-07-24,8.46,100993
2018-07-25,8.76,63775
2018-07-26,8.56,80746
2018-07-27,8.41,61147
2018-07-30,8.51,34519
2018-07-31,8.96,111155
2018-08-01,8.76,42420
2018-08-02,8.96,70834
2018-08-03,9.16,132792
2018-08-06,9.16,432562
2018-08-07,9.36,262622
2018-08-08,9.41,86720
2018-08-09,9.46,84351
2018-08-10,9.56,83574
2018-08-13,9.71,77750
2018-08-14,10.06,273130
2018-08-15,10.3,137722
2018-08-16,10.4,254644
2018-08-17,10.8,302150
2018-08-20,10.45,206545
2018-08-21,10.4,175671
2018-08-22,10.5,71925
2018-08-23,10.55,47361
2018-08-24,10.35,116636
2018-08-27,10.16,212948
2018-08-28,10.25,75760
2018-08-29,10.06,115559
2018-08-30,10.2,110832
2018-08-31,10.3,83015
2018-09-04,10.16,150674
2018-09-05,10.11,152659
2018-09-06,10.45,91100
2018-09-07,10.5,110385
2018-09-10,10.65,92828
2018-09-11,10.83,147640
2018-09-12,10.95,198453
2018-09-13,11.03,144202
2018-09-14,11.1,120172
2018-09-17,11.05,68517
2018-09-18,10.7,113059
2018-09-19,10.35,141880
2018-09-20,10.4,91482
2018-09-21,10.73,188411
2018-09-24,10.35,85677
2018-09-25,10.65,60548
2018-09-26,10.85,126641
2018-09-27,10.85,94806
2018-09-28,11.0,138098
2018-10-01,11.29,278284
2018-10-02,11.18,201899
2018-10-03,11.26,242497
2018-10-04,10.88,143215
2018-10-05,10.7,78099
2018-10-08,10.75,111120
2018-10-09,10.7,55259
2018-10-10,10.42,53000
2018-10-11,10.16,61766
2018-10-12,10.32,95070
2018-10-15,10.31,91080
2018-10-16,10.36,72579
2018-10-17,10.25,229907
2018-10-18,10.23,212287
2018-10-19,10.0,51061
2018-10-22,10.12,106217
2018-10-23,10.07,69286
2018-10-24,9.8,269242
2018-10-25,10.0,150600
2018-10-26,9.61,101075
2018-10-29,9.2,88430
2018-10-30,9.45,46246
2018-10-31,9.76,113742
2018-11-01,10.29,91568
2018-11-02,10.17,49522
2018-11-05,10.16,80384
2018-11-06,11.12,243332
2018-11-07,11.42,156329
2018-11-08,11.65,113780
2018-11-09,11.44,249020
2018-11-12,11.4,162079
2018-11-13,11.54,118344
2018-11-14,11.35,102949
2018-11-15,11.32,59447
2018-11-16,11.62,132267
2018-11-19,11.17,98997
2018-11-20,10.85,115049
2018-11-21,10.99,60814
2018-11-23,10.92,21374
2018-11-26,10.84,57269
2018-11-27,10.42,65021
2018-11-28,11.12,118811
2018-11-29,11.48,389508
2018-11-30,11.27,162375
2018-12-03,10.89,107802
2018-12-04,10.6,80654
2018-12-06,10.79,129282
2018-12-07,10.77,63710
2018-12-10,10.47,125704
2018-12-11,10.46,53738
2018-12-12,10.32,55210
2018-12-13,10.13,66630
2018-12-14,10.0,85078
2018-12-17,9.6,136253
2018-12-18,9.63,82306
2018-12-19,9.54,84645
2018-12-20,9.27,124049
2018-12-21,8.99,272074
2018-12-24,9.27,97193
2018-12-26,9.56,102859
2018-12-27,9.7,123819
2018-12-28,9.94,114881
2018-12-31,10.08,218568
2019-01-02,10.22,113048
2019-01-03,9.99,69635
2019-01-04,10.11,84974
2019-01-07,10.17,124033
2019-01-08,10.25,109507
2019-01-09,10.33,59295
2019-01-10,10.24,49628
2019-01-11,10.03,77399
2019-01-14,9.9,74554
2019-01-15,10.09,62191
2019-01-16,10.05,34192
2019-01-17,10.17,55515
2019-01-18,10.13,68533
2019-01-22,10.83,488596
2019-01-23,11.17,135610
2019-01-24,10.88,258618
2019-01-25,11.13,138085
2019-01-28,10.85,103675
2019-01-29,10.66,127897
2019-01-30,11.14,807340
2019-01-31,11.14,350987
2019-02-01,11.0,142796
2019-02-04,10.95,103896
2019-02-05,11.0,122997
2019-02-06,10.85,318803
2019-02-07,10.88,61033
2019-02-08,10.81,81774
2019-02-11,10.85,91573
2019-02-12,11.13,186421
2019-02-13,11.09,189259
2019-02-14,11.19,97611
2019-02-15,11.28,240405
2019-02-19,11.52,166541
2019-02-20,11.66,94452
2019-02-21,11.69,70352
2019-02-22,11.75,70750
2019-02-25,11.81,126787
2019-02-26,11.74,136612
2019-02-27,11.98,78423
2019-02-28,12.13,78928
2019-03-01,12.42,107584
2019-03-04,12.13,250326
2019-03-05,11.92,203448
2019-03-06,11.76,125236
2019-03-07,11.59,79325
2019-03-08,11.71,76571
2019-03-11,11.69,72125
2019-03-12,11.85,62503
2019-03-13,11.85,69392
2019-03-14,11.8,50156
2019-03-15,11.76,161412
2019-03-18,12.05,84876
2019-03-19,12.04,89227
2019-03-20,12.04,86450
2019-03-21,12.18,104417
2019-03-22,11.62,86667
2019-03-25,11.75,85770
2019-03-26,12.11,182102
2019-03-27,12.91,611017
2019-03-28,12.74,212089
2019-03-29,12.75,178107
2019-04-01,12.73,194392
2019-04-02,12.92,97422
2019-04-03,12.7,115157
2019-04-04,12.6,86886
2019-04-05,12.63,144554
2019-04-08,12.55,46729
2019-04-09,12.45,149408
2019-04-10,12.8,74145
2019-04-11,12.97,122242
2019-04-12,13.21,178982
2019-04-15,13.26,124789
2019-04-16,13.57,134939
2019-04-17,13.12,92199
2019-04-18,12.76,180217
2019-04-22,12.73,124864
2019-04-23,12.95,305605
2019-04-24,13.03,93056
2019-04-25,13.16,127726
2019-04-26,13.51,85762
2019-04-29,13.54,169640
2019-04-30,13.36,86087
2019-05-01,13.67,487200
2019-05-02,13.74,107020
2019-05-03,13.77,95872
2019-05-06,13.55,160985
2019-05-07,14.52,516202
2019-05-08,14.23,304532
2019-05-09,13.73,121787
2019-05-10,13.73,138680
2019-05-13,13.37,217082
2019-05-14,13.6,163788
2019-05-15,13.71,169665
2019-05-16,13.77,79315
2019-05-17,13.56,99921
2019-05-20,13.34,96538
2019-05-21,13.46,106020
2019-05-22,13.44,79129
2019-05-23,13.23,76814
2019-05-24,13.21,79123
2019-05-28,13.15,115333
2019-05-29,12.98,171407
2019-05-30,13.01,88110
2019-05-31,12.69,242270
2019-06-03,12.64,91654
2019-06-04,12.83,69105
2019-06-05,13.15,154832
2019-06-06,12.92,58441
2019-06-07,13.07,53214
2019-06-10,13.11,73704
2019-06-11,13.18,97189
2019-06-12,13.3,83172
2019-06-13,13.53,76586
2019-06-14,13.5,74233
2019-06-17,13.44,73217
2019-06-18,13.59,206076
2019-06-19,13.65,55977
2019-06-20,13.78,110983
2019-06-21,14.04,126154
2019-06-24,13.86,420562
2019-06-25,13.87,322329
2019-06-26,13.84,171455
2019-06-27,14.25,191115
2019-06-28,14.38,785306
2019-07-01,14.27,139190
2019-07-02,14.31,101451
2019-07-03,14.47,73365
2019-07-05,14.46,51354
2019-07-08,14.4,154058
2019-07-09,14.26,737191
2019-07-10,13.94,198007
2019-07-11,13.72,166218
2019-07-12,14.36,232259
2019-07-15,14.39,135449
2019-07-16,14.44,116273
2019-07-17,14.64,205709
2019-07-18,14.34,72550
2019-07-19,14.45,135178
2019-07-22,14.16,116268
2019-07-23,14.31,70200
2019-07-24,14.44,171902
2019-07-25,13.97,99983
2019-07-26,14.11,81009
2019-07-29,14.29,136498
2019-07-30,14.4,176571
2019-07-31,14.31,126883
2019-08-01,13.94,166434
2019-08-02,13.95,108723
2019-08-05,13.31,313338
2019-08-06,11.45,1071907
2019-08-07,11.08,443507
2019-08-08,11.19,188752
2019-08-09,10.95,213435
2019-08-12,10.95,275917
2019-08-13,11.19,120748
2019-08-14,11.03,152791
2019-08-15,10.81,342499
2019-08-16,10.64,308177
2019-08-19,10.74,252757
2019-08-20,10.9,235162
2019-08-21,10.72,113763
2019-08-22,10.79,101724
2019-08-23,10.71,236527
2019-08-26,10.67,264673
2019-08-27,10.55,170871
2019-08-28,10.71,255678
2019-08-29,11.02,105216
2019-08-30,10.96,240595
2019-09-03,10.91,251052
2019-09-04,11.2,70881
2019-09-05,11.43,100612
2019-09-06,11.19,90991
2019-09-09,11.29,77840
2019-09-10,11.49,96279
2019-09-11,11.81,123570
2019-09-12,11.99,183249
2019-09-13,12.18,109389
2019-09-16,11.54,137173
2019-09-17,11.63,149551
2019-09-18,11.63,293426
2019-09-19,11.6,89907
2019-09-20,11.76,265717
2019-09-23,11.58,77918
2019-09-24,11.39,113943
2019-09-25,11.6,88825
2019-09-26,11.53,121580
2019-09-27,11.52,76309
2019-09-30,11.67,267511
2019-10-01,11.44,77349
2019-10-02,11.43,99696
2019-10-03,11.25,76359
2019-10-04,11.25,112333
2019-10-07,11.27,71983
2019-10-08,11.0,91614
2019-10-09,11.14,79671
2019-10-10,11.21,125780
2019-10-11,11.77,177501
2019-10-14,11.69,118223
2019-10-15,11.49,96278
2019-10-16,12.08,314951
2019-10-17,12.34,186920
2019-10-18,12.11,185461
2019-10-21,12.15,92533
2019-10-22,12.04,69191
2019-10-23,12.07,57021
2019-10-24,12.07,49028
2019-10-25,11.96,79987
2019-10-28,12.04,77991
2019-10-29,12.32,92785
2019-10-30,12.64,337596
2019-10-31,12.69,253220
2019-11-01,12.3,370545
2019-11-04,12.47,154637
2019-11-05,11.51,689553
2019-11-06,11.63,472776
2019-11-07,11.68,265545
2019-11-08,11.79,212504
2019-11-11,11.77,172030
2019-11-12,11.71,201253
2019-11-13,11.88,148695
2019-11-14,12.05,94525
2019-11-15,12.11,131003
2019-11-18,12.27,91451
2019-11-19,12.18,100552
2019-11-20,12.06,124877
2019-11-21,12.0,102683
2019-11-22,12.07,120543
2019-11-25,12.41,128908
2019-11-26,12.51,92600
2019-11-27,12.57,74601
2019-11-29,12.53,68112
2019-12-02,12.24,181889
2019-12-03,12.06,164163
2019-12-04,12.14,146809
2019-12-05,12.16,84910
2019-12-06,12.31,145689
2019-12-09,12.36,111365
2019-12-10,12.67,121644
2019-12-11,12.84,128929
2019-12-12,13.41,93852
2019-12-13,13.44,85893
2019-12-16,13.59,77602
2019-12-17,13.75,105151
2019-12-18,13.99,122951
2019-12-19,13.64,90091
2019-12-20,13.68,141115
2019-12-23,13.76,69646
2019-12-24,13.78,31997
2019-12-26,13.84,72951
2019-12-27,13.63,73177
2019-12-30,13.56,88570
2019-12-31,13.5,65408
2020-01-02,13.47,340191
2020-01-03,13.22,76422
2020-01-06,13.37,184414
2020-01-07,13.07,74527
2020-01-08,13.14,73008
2020-01-09,13.04,62367
2020-01-10,12.7,70238
2020-01-13,12.94,61260
2020-01-14,13.11,76905
2020-01-15,13.11,84107
2020-01-16,13.39,111627
2020-01-17,13.67,125336
2020-01-21,13.25,83857
2020-01-22,13.13,45896
2020-01-23,13.44,85261
2020-01-24,13.31,50823
2020-01-27,12.99,86336
2020-01-28,13.02,60399
2020-01-29,13.42,52506
2020-01-30,13.63,157756
2020-01-31,13.16,173855
2020-02-03,13.07,110659
2020-02-04,13.2,82156
2020-02-05,13.23,115849
2020-02-06,13.3,154421
2020-02-07,13.2,107859
2020-02-10,13.57,50926
2020-02-11,13.57,67689
2020-02-12,13.56,28624
2020-02-13,13.51,30611
2020-02-14,13.46,35884
2020-02-18,13.35,68730
2020-02-19,13.17,78468
2020-02-20,13.52,71752
2020-02-21,13.24,86493
2020-02-24,13.0,84795
2020-02-25,12.47,72781
2020-02-26,12.16,64901
2020-02-27,11.83,100457
2020-02-28,11.51,202350
2020-03-02,11.86,115261
2020-03-03,11.56,62842
2020-03-04,12.12,86004
2020-03-05,11.58,79656
2020-03-06,11.79,161753
2020-03-09,10.33,296718
2020-03-10,11.18,168504
2020-03-11,10.29,160897
2020-03-12,9.31,185966
2020-03-13,10.34,210426
2020-03-16,8.93,277160
2020-03-17,10.18,177864
2020-03-18,9.15,288394
2020-03-19,8.81,301732
2020-03-20,8.79,340908
2020-03-23,9.18,211454
2020-03-24,9.56,174474
2020-03-25,9.27,268713
2020-03-26,9.63,186766
2020-03-27,9.07,172304
2020-03-30,9.56,172435
2020-03-31,9.76,265281
2020-04-01,9.09,131211
2020-04-02,9.62,180559
2020-04-03,9.43,117768
2020-04-06,9.59,138811
2020-04-07,9.23,161992
2020-04-08,9.55,127069
2020-04-09,9.74,147508
2020-04-13,9.41,99123
2020-04-14,9.83,214853
2020-04-15,9.39,127722
2020-04-16,8.94,125019
2020-04-17,9.27,164766
2020-04-20,9.05,99826
2020-04-21,8.93,65905
2020-04-22,9.03,70248
2020-04-23,9.14,96413
2020-04-24,9.18,44722
2020-04-27,10.0,155412
2020-04-28,10.42,128622
2020-04-29,11.12,127946
2020-04-30,10.63,124431
2020-05-01,10.45,147688
2020-05-04,9.82,114611
2020-05-05,9.83,118340
2020-05-06,9.57,83890
2020-05-07,9.25,88247
2020-05-08,9.97,127730
2020-05-11,10.23,181448
2020-05-12,8.89,201014
2020-05-13,8.7,176838
2020-05-14,8.97,220289
2020-05-15,8.98,147683
2020-05-18,9.79,174092
2020-05-19,9.69,129140
2020-05-20,9.95,108333
2020-05-21,10.1,116835
2020-05-22,10.09,82231
2020-05-26,10.35,102786
2020-05-27,10.69,94901
2020-05-28,10.37,71260
2020-05-29,10.48,144872
2020-06-01,10.53,149132
2020-06-02,10.93,90256
2020-06-03,10.8,163506
2020-06-04,10.83,101822
2020-06-05,11.32,163761
2020-06-08,11.4,140611
2020-06-09,11.67,138961
2020-06-10,11.21,144760
2020-06-11,10.66,147084
2020-06-12,11.01,117683
2020-06-15,11.39,103893
2020-06-16,11.37,173485
2020-06-17,11.07,86811
2020-06-18,10.9,110166
2020-06-19,10.77,256727
2020-06-22,11.06,108322
2020-06-23,11.15,128500
2020-06-24,10.82,109072
2020-06-25,10.88,155335
2020-06-26,10.53,385936
2020-06-29,10.95,138177
2020-06-30,11.56,236052
2020-07-01,11.03,135590
2020-07-02,11.04,136666
2020-07-06,11.32,91510
2020-07-07,10.73,90716
2020-07-08,10.6,102582
2020-07-09,10.42,114032
2020-07-10,10.54,102363
2020-07-13,10.47,107171
2020-07-14,10.71,67633
2020-07-15,11.28,109678
2020-07-16,11.22,122525
2020-07-17,11.34,212196
2020-07-20,10.85,97747
2020-07-21,11.11,82650
2020-07-22,10.98,205595
2020-07-23,11.23,192199
2020-07-24,11.73,342554
2020-07-27,12.02,201888
2020-07-28,11.65,152784
2020-07-29,12.25,173330
2020-07-30,11.9,91295
2020-07-31,11.95,143774
2020-08-03,12.23,103418
2020-08-04,12.19,286496
2020-08-05,12.39,67061
2020-08-06,12.57,192953
2020-08-07,13.09,167837
2020-08-10,13.04,185975
2020-08-11,12.79,287724
2020-08-12,13.19,164295
2020-08-13,13.14,65168
2020-08-14,13.17,129294
