date,close,volume
2018-04-25,13.3,18465
2018-04-26,13.1,18083
2018-04-27,12.8,96522
2018-04-30,12.2,23337
2018-05-01,12.25,31387
2018-05-02,12.6,41164
2018-05-03,12.2,24978
2018-05-04,12.0,26593
2018-05-07,11.95,30635
2018-05-08,12.1,31372
2018-05-09,12.05,28322
2018-05-10,11.85,28028
2018-05-11,11.55,50102
2018-05-14,11.6,45390
2018-05-15,11.75,31967
2018-05-16,12.05,34129
2018-05-17,11.9,27366
2018-05-18,11.7,36303
2018-05-21,11.6,28441
2018-05-22,11.3,30195
2018-05-23,11.45,26884
2018-05-24,11.05,54134
2018-05-25,11.1,25643
2018-05-29,11.1,28122
2018-05-30,11.05,40113
2018-05-31,10.8,39912
2018-06-01,10.85,29071
2018-06-04,10.65,44031
2018-06-05,10.55,47689
2018-06-06,10.8,58584
2018-06-07,10.55,32979
2018-06-08,10.45,43441
2018-06-11,10.85,35658
2018-06-12,11.0,50494
2018-06-13,11.35,19563
2018-06-14,11.15,46046
2018-06-15,11.35,50761
2018-06-18,12.1,58024
2018-06-19,11.7,28936
2018-06-20,11.7,17450
2018-06-21,11.35,28395
2018-06-22,11.35,112257
2018-06-25,11.15,48779
2018-06-26,11.05,22849
2018-06-27,11.05,19286
2018-06-28,11.0,16039
2018-06-29,11.05,23150
2018-07-02,10.95,21372
2018-07-03,11.1,13191
2018-07-05,11.2,26062
2018-07-06,11.3,12200
2018-07-09,10.95,43825
2018-07-10,11.0,17761
2018-07-11,10.9,10876
2018-07-12,11.05,13442
2018-07-13,11.2,11045
2018-07-16,11.4,16760
2018-07-17,11.05,21463
2018-07-18,11.1,22925
2018-07-19,11.55,27694
2018-07-20,11.65,26134
2018-07-23,11.4,34125
2018-07-24,11.3,12723
2018-07-25,11.35,19074
2018-07-26,11.45,41400
2018-07-27,12.3,174545
2018-07-30,13.0,111309
2018-07-31,12.95,52477
2018-08-01,13.2,41477
2018-08-02,13.15,33486
2018-08-03,12.95,33732
2018-08-06,13.4,50185
2018-08-07,13.65,26997
2018-08-08,13.85,22044
2018-08-09,13.75,20025
2018-08-10,13.55,13553
2018-08-13,12.75,38175
2018-08-14,13.1,23957
2018-08-15,12.8,10739
2018-08-16,13.05,12816
2018-08-17,12.85,9013
2018-08-20,12.85,14439
2018-08-21,13.0,11148
2018-08-22,13.0,11607
2018-08-23,13.25,11464
2018-08-24,13.4,33037
2018-08-27,13.45,16862
2018-08-28,13.45,7025
2018-08-29,13.35,16345
2018-08-30,13.35,14425
2018-08-31,13.65,24687
2018-09-04,13.85,35037
2018-09-05,13.95,28637
2018-09-06,13.95,11957
2018-09-07,13.85,28240
2018-09-10,13.75,9364
2018-09-11,13.75,17965
2018-09-12,13.55,14858
2018-09-13,13.65,6506
2018-09-14,13.7,14878
2018-09-17,13.35,17362
2018-09-18,13.4,20284
2018-09-19,13.6,17266
2018-09-20,13.25,16490
2018-09-21,13.3,74080
2018-09-24,13.15,22664
2018-09-25,12.9,28639
2018-09-26,13.25,22919
2018-09-27,13.4,15590
2018-09-28,13.45,52076
2018-10-01,13.35,12988
2018-10-02,13.4,10268
2018-10-03,13.63,10592
2018-10-04,11.94,56925
2018-10-05,12.33,35553
2018-10-08,12.37,23891
2018-10-09,12.35,28730
2018-10-10,12.28,26361
2018-10-11,12.11,16893
2018-10-12,12.11,21866
2018-10-15,12.06,13133
2018-10-16,12.58,18154
2018-10-17,12.72,15538
2018-10-18,12.56,8066
2018-10-19,12.27,9454
2018-10-22,12.46,10663
2018-10-23,12.37,9430
2018-10-24,12.01,40690
2018-10-25,12.23,12305
2018-10-26,11.88,26337
2018-10-29,12.06,15607
2018-10-30,12.03,19399
2018-10-31,12.02,14103
2018-11-01,12.26,19864
2018-11-02,12.35,21906
2018-11-05,11.93,14038
2018-11-06,12.11,13419
2018-11-07,12.5,27834
2018-11-08,12.47,29691
2018-11-09,13.71,110773
2018-11-12,13.16,36948
2018-11-13,12.09,62605
2018-11-14,12.17,15496
2018-11-15,12.44,20797
2018-11-16,12.36,16890
2018-11-19,12.08,16312
2018-11-20,12.26,21562
2018-11-21,12.28,5519
2018-11-23,12.25,4158
2018-11-26,12.22,18581
2018-11-27,12.08,11083
2018-11-28,12.47,39842
2018-11-29,12.4,12184
2018-11-30,12.34,26866
2018-12-03,12.58,18339
2018-12-04,12.1,10846
2018-12-06,11.88,20697
2018-12-07,11.71,32152
2018-12-10,11.69,20331
2018-12-11,11.4,17275
2018-12-12,11.44,22767
2018-12-13,10.62,66063
2018-12-14,10.8,19343
2018-12-17,10.93,22039
2018-12-18,10.72,25977
2018-12-19,10.62,15465
2018-12-20,10.02,33951
2018-12-21,8.77,142605
2018-12-24,9.27,27409
2018-12-26,9.77,51492
2018-12-27,9.81,29652
2018-12-28,9.42,84771
2018-12-31,9.92,66313
2019-01-02,10.67,28011
2019-01-03,10.25,25314
2019-01-04,10.77,20862
2019-01-07,10.75,19432
2019-01-08,10.82,18477
2019-01-09,11.08,8959
2019-01-10,10.9,16273
2019-01-11,10.94,6704
2019-01-14,10.65,22424
2019-01-15,10.92,5054
2019-01-16,11.04,21094
2019-01-17,11.16,28402
2019-01-18,11.21,15285
