date,close,volume
2018-04-25,9.6,12019
2018-04-26,9.46,8521
2018-04-27,9.68,6732
2018-04-30,9.63,21959
2018-05-01,9.14,8612
2018-05-02,9.22,7101
2018-05-03,8.97,3961
2018-05-04,9.02,11455
2018-05-07,8.86,6523
2018-05-08,8.97,7914
2018-05-09,9.0,6189
2018-05-10,9.45,23195
2018-05-11,9.37,2448
2018-05-14,9.46,4131
2018-05-15,9.3,14680
2018-05-16,9.29,2835
2018-05-17,9.22,13098
2018-05-18,9.08,938
2018-05-21,9.02,2892
2018-05-22,9.28,4064
2018-05-23,9.18,15635
2018-05-24,9.19,2473
2018-05-25,9.31,807
2018-05-29,9.02,4087
2018-05-30,9.1,1065
2018-05-31,8.91,3590
2018-06-01,9.22,2968
2018-06-04,9.19,8356
2018-06-05,9.09,2540
2018-06-06,8.94,9096
2018-06-07,8.91,1413
2018-06-08,8.85,3154
2018-06-11,9.04,6203
2018-06-12,8.93,4570
2018-06-13,8.86,6959
2018-06-14,8.73,3576
2018-06-15,8.73,14439
2018-06-18,8.62,16380
2018-06-19,8.46,10333
2018-06-20,8.17,7446
2018-06-21,8.26,13840
2018-06-22,7.93,10286
2018-06-25,8.36,6485
2018-06-26,8.25,3172
2018-06-27,8.31,10356
2018-06-28,8.43,24049
2018-06-29,8.44,8311
2018-07-02,8.55,4429
2018-07-03,8.63,5258
2018-07-05,8.58,10989
2018-07-06,8.65,702
2018-07-09,8.67,24177
2018-07-10,8.75,2692
2018-07-11,8.52,5895
2018-07-12,8.75,17702
2018-07-13,8.4,14266
2018-07-16,8.72,11592
2018-07-17,8.64,3188
2018-07-18,8.68,18416
2018-07-19,8.59,6066
2018-07-20,8.52,6751
2018-07-23,8.45,25713
2018-07-24,8.58,44815
2018-07-25,8.97,14308
2018-07-26,9.12,15162
2018-07-27,9.04,1264
2018-07-30,9.25,9398
2018-07-31,9.29,18478
2018-08-01,9.21,4923
2018-08-02,9.3,9067
2018-08-03,9.22,16347
2018-08-06,9.1,12276
2018-08-07,8.69,5953
2018-08-08,8.66,2268
2018-08-09,8.0,34446
2018-08-10,8.45,15405
2018-08-13,7.77,9740
2018-08-14,7.68,12414
2018-08-15,7.23,34801
2018-08-16,7.28,7807
2018-08-17,7.15,14319
2018-08-20,7.24,29460
2018-08-21,7.29,19046
2018-08-22,7.21,9000
2018-08-23,6.61,21006
2018-08-24,6.73,40130
2018-08-27,6.73,25362
2018-08-28,6.65,7054
2018-08-29,6.3,34126
2018-08-30,6.05,16199
2018-08-31,6.16,39085
2018-09-04,6.09,8030
2018-09-05,6.13,10944
2018-09-06,6.21,4684
2018-09-07,6.11,15100
2018-09-10,6.05,12423
2018-09-11,6.0,13411
2018-09-12,6.17,8301
2018-09-13,6.17,81
2018-09-14,6.22,600
2018-09-17,6.51,4432
2018-09-18,6.95,16572
2018-09-19,6.8,4985
2018-09-20,6.81,6931
2018-09-21,6.85,3515
2018-09-24,6.72,11404
2018-09-25,6.72,4321
2018-09-26,6.75,4013
2018-09-27,6.7,5574
2018-09-28,6.82,2263
2018-10-01,6.73,13470
2018-10-02,6.78,25975
2018-10-03,6.65,3816
2018-10-04,6.43,12391
2018-10-05,6.6,7197
2018-10-08,6.32,2380
2018-10-09,6.36,9965
2018-10-10,6.66,6707
2018-10-11,6.22,9815
2018-10-12,6.24,9903
2018-10-15,6.25,6000
2018-10-16,6.37,27768
2018-10-17,6.1,4470
2018-10-18,6.1,6161
2018-10-19,6.27,5256
2018-10-22,5.94,6680
2018-10-23,6.41,11526
2018-10-24,6.21,5769
2018-10-25,5.86,3442
2018-10-26,5.8,9005
2018-10-29,5.79,4590
2018-10-30,5.6,7169
2018-10-31,5.52,3256
2018-11-01,5.67,11031
2018-11-02,5.64,3224
2018-11-05,5.45,25276
2018-11-06,5.6,4275
2018-11-07,6.03,13018
2018-11-08,6.1,3438
2018-11-09,6.25,5055
2018-11-12,6.16,2647
2018-11-13,6.01,8824
2018-11-14,5.88,9594
2018-11-15,5.93,3240
2018-11-16,6.25,5225
2018-11-19,6.34,9475
2018-11-20,6.14,13906
2018-11-21,6.01,3106
2018-11-23,6.18,1234
2018-11-26,6.16,11056
2018-11-27,5.9,2969
2018-11-28,5.71,7672
2018-11-29,5.65,6020
