date,close,volume
2018-04-25,112.88,107192
2018-04-26,115.52,91861
2018-04-27,115.1,100526
2018-04-30,112.07,164479
2018-05-01,112.68,176771
2018-05-02,112.79,134461
2018-05-03,116.02,159697
2018-05-04,118.5,136109
2018-05-07,118.15,101793
2018-05-08,118.77,98028
2018-05-09,122.74,174599
2018-05-10,122.99,163927
2018-05-11,123.58,232375
2018-05-14,124.47,162868
2018-05-15,124.89,186735
2018-05-16,127.48,217886
2018-05-17,127.48,116942
2018-05-18,128.11,167366
2018-05-21,128.84,118440
2018-05-22,126.17,193235
2018-05-23,127.09,122615
2018-05-24,128.12,109621
2018-05-25,127.7,112373
2018-05-29,127.58,120318
2018-05-30,129.78,325851
2018-05-31,109.09,827508
2018-06-01,108.84,729882
2018-06-04,107.0,578138
2018-06-05,102.39,465786
2018-06-06,102.67,361229
2018-06-07,99.66,251580
2018-06-08,99.98,199151
2018-06-11,98.52,281222
2018-06-12,98.19,184251
2018-06-13,98.97,384837
2018-06-14,99.49,248325
2018-06-15,100.01,455746
2018-06-18,98.52,331139
2018-06-19,97.93,271264
2018-06-20,101.03,421765
2018-06-21,101.71,343638
2018-06-22,101.34,3556880
2018-06-25,96.82,427499
2018-06-26,96.69,310082
2018-06-27,95.1,250932
2018-06-28,97.69,367789
2018-06-29,98.36,672935
2018-07-02,96.53,317406
2018-07-03,96.45,117300
2018-07-05,95.72,285794
2018-07-06,95.72,231511
2018-07-09,96.1,296446
2018-07-10,95.72,450863
2018-07-11,93.58,299415
2018-07-12,94.97,306587
2018-07-13,94.72,184527
2018-07-16,96.31,258169
2018-07-17,95.8,173508
2018-07-18,94.89,175075
2018-07-19,93.69,255016
2018-07-20,94.23,184602
2018-07-23,94.95,624762
2018-07-24,95.31,321888
2018-07-25,93.09,251049
2018-07-26,92.76,132841
2018-07-27,91.26,171262
2018-07-30,91.34,221927
2018-07-31,92.71,172400
2018-08-01,94.16,213338
2018-08-02,94.97,167979
2018-08-03,94.01,192100
2018-08-06,95.03,251535
2018-08-07,95.1,175160
2018-08-08,95.03,194824
2018-08-09,95.68,305382
2018-08-10,95.64,122774
2018-08-13,96.14,104310
2018-08-14,95.44,137110
2018-08-15,94.45,181114
2018-08-16,95.28,90180
2018-08-17,96.25,146891
2018-08-20,97.3,136988
2018-08-21,95.53,159419
2018-08-22,95.19,213685
2018-08-23,92.35,243647
2018-08-24,93.74,267664
2018-08-27,95.47,317012
2018-08-28,93.67,258613
2018-08-29,96.93,391042
2018-08-30,95.42,332185
2018-08-31,97.0,254494
2018-09-04,97.18,244805
2018-09-05,95.29,162993
2018-09-06,94.5,160840
2018-09-07,96.39,176860
2018-09-10,96.96,180313
2018-09-11,97.03,123651
2018-09-12,95.6,229970
2018-09-13,96.45,206120
2018-09-14,96.62,206473
2018-09-17,94.75,284230
2018-09-18,97.18,464638
2018-09-19,97.34,213650
2018-09-20,97.71,202953
2018-09-21,97.3,383502
2018-09-24,96.19,355660
2018-09-25,96.21,307470
2018-09-26,96.79,446007
2018-09-27,93.61,1169964
2018-09-28,92.06,879942
2018-10-01,92.25,424171
2018-10-02,91.98,291311
2018-10-03,91.39,319161
2018-10-04,91.56,442455
2018-10-05,90.83,324411
2018-10-08,89.19,231809
2018-10-09,88.42,241404
2018-10-10,86.52,514374
2018-10-11,84.82,381994
2018-10-12,84.72,375124
2018-10-15,85.33,259574
2018-10-16,87.89,159206
2018-10-17,87.27,213571
2018-10-18,85.57,241481
2018-10-19,83.33,277028
2018-10-22,82.31,262876
2018-10-23,82.29,316750
2018-10-24,79.6,190255
2018-10-25,80.13,224744
2018-10-26,79.74,183207
2018-10-29,78.46,218581
2018-10-30,79.16,188644
2018-10-31,79.15,458943
2018-11-01,80.72,270040
2018-11-02,81.24,176765
2018-11-05,80.61,384376
2018-11-06,81.7,125741
2018-11-07,84.81,238838
2018-11-08,83.29,240017
2018-11-09,84.28,180301
2018-11-12,83.17,194256
2018-11-13,82.83,195809
2018-11-14,82.2,434439
2018-11-15,84.73,203377
2018-11-16,85.98,261580
2018-11-19,85.56,259167
2018-11-20,84.63,299919
2018-11-21,84.5,100043
2018-11-23,84.8,76712
2018-11-26,86.73,182752
2018-11-27,88.4,307970
2018-11-28,90.43,293182
2018-11-29,86.05,555261
2018-11-30,85.88,339390
2018-12-03,86.61,381558
2018-12-04,84.05,282775
2018-12-06,80.96,207752
2018-12-07,80.31,320669
2018-12-10,80.39,178388
2018-12-11,79.81,452105
2018-12-12,81.01,185997
2018-12-13,80.47,217576
2018-12-14,79.33,259500
2018-12-17,76.46,298863
2018-12-18,76.18,240462
2018-12-19,74.71,240448
2018-12-20,73.05,211181
2018-12-21,71.73,769892
2018-12-24,69.79,102231
2018-12-26,72.52,159798
2018-12-27,72.53,220827
2018-12-28,72.6,187693
2018-12-31,74.45,166588
2019-01-02,73.33,165099
2019-01-03,71.32,159369
2019-01-04,73.45,185988
2019-01-07,74.37,226148
2019-01-08,76.24,537840
2019-01-09,77.93,237891
2019-01-10,78.64,126474
2019-01-11,79.55,313683
2019-01-14,77.62,238160
2019-01-15,79.01,173532
2019-01-16,78.52,250130
2019-01-17,77.85,246070
2019-01-18,79.13,208028
2019-01-22,77.45,203201
2019-01-23,77.36,165072
2019-01-24,77.77,103640
2019-01-25,78.18,75107
2019-01-28,78.27,116913
2019-01-29,79.0,151056
2019-01-30,80.09,163140
2019-01-31,81.42,179636
2019-02-01,81.38,230169
2019-02-04,82.18,150300
2019-02-05,82.65,206477
2019-02-06,81.14,117139
2019-02-07,80.22,93147
2019-02-08,80.08,104515
2019-02-11,80.1,132170
2019-02-12,81.74,105016
2019-02-13,82.75,87923
2019-02-14,82.52,150081
2019-02-15,84.65,227851
2019-02-19,84.91,171028
2019-02-20,86.27,204340
2019-02-21,85.42,117796
2019-02-22,87.57,148768
2019-02-25,88.63,312948
2019-02-26,86.98,248714
2019-02-27,84.28,381331
2019-02-28,73.52,1760342
2019-03-01,74.32,825033
2019-03-04,72.22,481810
2019-03-05,68.48,649693
2019-03-06,67.01,542905
2019-03-07,65.57,407849
2019-03-08,65.31,343731
2019-03-11,66.11,366518
2019-03-12,66.67,201041
2019-03-13,66.68,226073
2019-03-14,67.0,245989
2019-03-15,67.97,731686
2019-03-18,67.03,418959
2019-03-19,67.31,281349
2019-03-20,66.83,273886
2019-03-21,68.06,219548
2019-03-22,66.07,232748
2019-03-25,66.11,251805
2019-03-26,66.45,148694
2019-03-27,66.96,179807
2019-03-28,67.08,168580
2019-03-29,66.89,164718
2019-04-01,66.85,261665
2019-04-02,66.57,281411
2019-04-03,65.36,513106
2019-04-04,66.55,202471
2019-04-05,67.98,186405
2019-04-08,68.1,257175
2019-04-09,68.37,322434
2019-04-10,68.62,349725
2019-04-11,69.01,306903
2019-04-12,68.25,243749
2019-04-15,67.9,294686
2019-04-16,67.81,184664
2019-04-17,66.35,502953
2019-04-18,64.58,549339
2019-04-22,64.3,400915
2019-04-23,65.61,397284
2019-04-24,66.63,256247
2019-04-25,66.23,109599
2019-04-26,67.31,126584
2019-04-29,67.79,178646
2019-04-30,68.94,385560
2019-05-01,69.21,332671
2019-05-02,68.54,322160
2019-05-03,68.92,263823
2019-05-06,70.17,191210
2019-05-07,70.7,320627
2019-05-08,70.65,221381
2019-05-09,69.78,361229
2019-05-10,69.61,329823
2019-05-13,67.01,153814
2019-05-14,67.21,175384
2019-05-15,67.34,153905
2019-05-16,67.81,180179
2019-05-17,66.25,304086
2019-05-20,66.65,196910
2019-05-21,68.11,275710
2019-05-22,68.91,132700
2019-05-23,68.73,343186
2019-05-24,68.73,220288
2019-05-28,67.3,479574
2019-05-29,67.71,323366
2019-05-30,69.11,181700
2019-05-31,68.74,240604
2019-06-03,70.82,508937
2019-06-04,72.75,739509
2019-06-05,74.84,398594
2019-06-06,75.51,336005
2019-06-07,75.51,226026
2019-06-10,76.28,193756
2019-06-11,73.62,356950
2019-06-12,75.32,284691
2019-06-13,75.59,231916
2019-06-14,76.31,193579
2019-06-17,74.87,195962
2019-06-18,75.67,275150
2019-06-19,77.64,215383
2019-06-20,77.67,329418
2019-06-21,76.18,570299
2019-06-24,75.4,203253
2019-06-25,74.8,237310
2019-06-26,76.37,172519
2019-06-27,77.52,190467
2019-06-28,80.64,646466
2019-07-01,80.75,279938
2019-07-02,77.78,278800
2019-07-03,79.07,223458
2019-07-05,79.09,180558
2019-07-08,79.24,184881
2019-07-09,80.06,198757
2019-07-10,79.38,196840
2019-07-11,81.11,208774
2019-07-12,80.7,277254
2019-07-15,80.54,134985
2019-07-16,79.03,100073
2019-07-17,79.1,186979
2019-07-18,79.69,137120
2019-07-19,79.16,169981
2019-07-22,78.17,141591
2019-07-23,79.19,106221
2019-07-24,80.71,125799
2019-07-25,81.28,163505
2019-07-26,82.03,128413
2019-07-29,82.22,120755
2019-07-30,91.2,559907
2019-07-31,92.28,453126
2019-08-01,90.99,266436
2019-08-02,90.99,253518
2019-08-05,91.29,508449
2019-08-06,91.71,212018
2019-08-07,90.86,140031
2019-08-08,91.25,462556
2019-08-09,90.87,116293
2019-08-12,88.97,114110
2019-08-13,90.46,269277
2019-08-14,88.68,145068
2019-08-15,88.72,89109
2019-08-16,89.2,112237
2019-08-19,90.39,112107
2019-08-20,88.33,93898
2019-08-21,87.95,154736
2019-08-22,88.77,128789
2019-08-23,86.15,138792
2019-08-26,86.87,126270
2019-08-27,89.05,163272
2019-08-28,89.29,231001
2019-08-29,92.54,219715
2019-08-30,91.93,195160
2019-09-03,88.35,181982
2019-09-04,89.92,79896
2019-09-05,82.98,540467
2019-09-06,83.59,248641
2019-09-09,82.47,199235
2019-09-10,81.75,595186
2019-09-11,82.83,341908
2019-09-12,84.25,285259
2019-09-13,86.9,224931
2019-09-16,88.77,195279
2019-09-17,89.48,350824
2019-09-18,90.19,279531
2019-09-19,89.0,261306
2019-09-20,85.02,673019
2019-09-23,79.38,878624
2019-09-24,78.61,401066
2019-09-25,79.36,356407
2019-09-26,75.39,522019
2019-09-27,75.0,382165
2019-09-30,74.8,540026
2019-10-01,72.38,377871
2019-10-02,70.39,342591
2019-10-03,70.79,419028
2019-10-04,70.4,284708
2019-10-07,71.1,388262
2019-10-08,68.68,428552
2019-10-09,68.89,225810
2019-10-10,68.84,196227
2019-10-11,69.13,350980
2019-10-14,68.42,126091
2019-10-15,70.02,271254
2019-10-16,69.85,254708
2019-10-17,72.17,423339
2019-10-18,71.06,309800
2019-10-21,70.16,247611
2019-10-22,70.65,203304
2019-10-23,70.98,190999
2019-10-24,69.77,161290
2019-10-25,70.23,208240
2019-10-28,70.87,162581
2019-10-29,71.8,161782
2019-10-30,72.44,140264
2019-10-31,72.89,289334
2019-11-01,72.48,213383
2019-11-04,73.54,240799
2019-11-05,73.73,137617
2019-11-06,73.64,194218
2019-11-07,72.8,131868
2019-11-08,72.89,93748
2019-11-11,72.44,120528
2019-11-12,72.84,109316
2019-11-13,71.62,164104
2019-11-14,72.83,158491
2019-11-15,72.81,147515
2019-11-18,71.31,245486
2019-11-19,72.35,205138
2019-11-20,74.0,407431
2019-11-21,74.0,299778
2019-11-22,74.64,257374
2019-11-25,75.8,239891
2019-11-26,77.2,203234
2019-11-27,77.98,118238
2019-11-29,76.9,67300
2019-12-02,77.71,164436
2019-12-03,77.61,116667
2019-12-04,78.03,179139
2019-12-05,77.77,173489
2019-12-06,77.72,224222
2019-12-09,77.37,338269
2019-12-10,73.95,1361712
2019-12-11,73.5,908085
2019-12-12,75.23,463098
2019-12-13,74.1,345128
2019-12-16,70.7,525076
2019-12-17,70.25,395311
2019-12-18,71.02,509666
2019-12-19,72.01,282460
2019-12-20,70.9,685620
2019-12-23,71.6,355856
2019-12-24,71.6,120259
2019-12-26,71.48,163526
2019-12-27,71.51,231597
2019-12-30,70.01,318167
2019-12-31,70.9,231078
2020-01-02,68.7,290584
2020-01-03,67.09,435945
2020-01-06,67.62,488203
2020-01-07,66.92,319768
2020-01-08,66.12,304330
2020-01-09,65.23,379131
2020-01-10,64.37,395003
2020-01-13,63.16,390795
2020-01-14,61.79,527895
2020-01-15,60.88,533310
2020-01-16,61.68,486769
2020-01-17,62.46,521892
2020-01-21,65.97,514340
2020-01-22,67.96,424121
2020-01-23,67.32,372632
2020-01-24,67.49,369225
2020-01-27,68.68,380560
2020-01-28,68.56,281889
2020-01-29,67.66,193383
2020-01-30,66.73,201341
2020-01-31,65.06,183457
2020-02-03,64.13,312022
2020-02-04,63.18,379239
2020-02-05,63.04,598431
2020-02-06,61.8,254087
2020-02-07,61.63,217228
2020-02-10,61.79,199616
2020-02-11,63.89,354729
2020-02-12,64.51,331040
2020-02-13,65.7,202903
2020-02-14,67.59,343216
2020-02-18,68.01,287020
2020-02-19,69.32,352929
2020-02-20,70.08,333424
2020-02-21,69.5,310734
2020-02-24,67.72,272178
2020-02-25,66.27,378605
2020-02-26,66.01,263278
2020-02-27,65.37,352130
2020-02-28,63.1,479373
2020-03-02,62.57,568542
2020-03-03,60.88,760180
2020-03-04,63.26,559104
2020-03-05,52.38,1710471
2020-03-06,56.39,715978
2020-03-09,52.84,487464
2020-03-10,51.22,950149
2020-03-11,49.7,850115
2020-03-12,44.63,631784
