date,close,volume
2018-04-25,16.85,31710
2018-04-26,16.8,16348
2018-04-27,16.13,28943
2018-04-30,15.5,36533
2018-05-01,15.26,22375
2018-05-02,15.77,45588
2018-05-03,15.92,33351
2018-05-04,16.61,12324
2018-05-07,16.07,5776
2018-05-08,15.68,24988
2018-05-09,15.1,33582
2018-05-10,15.0,25411
2018-05-11,13.99,43114
2018-05-14,13.8,30016
2018-05-15,13.69,27082
2018-05-16,14.24,36854
2018-05-17,13.96,29371
2018-05-18,14.14,23316
2018-05-21,14.45,15610
2018-05-22,14.22,25367
2018-05-23,14.57,12032
2018-05-24,14.34,20309
2018-05-25,14.62,9168
2018-05-29,14.59,33897
2018-05-30,14.6,61758
2018-05-31,14.42,18033
2018-06-01,14.6,25416
2018-06-04,14.46,19513
2018-06-05,14.57,23309
2018-06-06,14.44,12279
2018-06-07,14.28,201426
2018-06-08,14.17,29124
2018-06-11,14.45,18918
2018-06-12,14.55,52755
2018-06-13,14.69,15988
2018-06-14,14.71,26685
2018-06-15,14.87,35293
2018-06-18,14.91,30990
2018-06-19,14.75,23386
2018-06-20,14.65,34637
2018-06-21,14.35,55912
2018-06-22,13.72,702273
2018-06-25,14.65,49810
2018-06-26,14.29,23397
2018-06-27,14.01,27716
2018-06-28,14.01,9049
2018-06-29,14.28,15029
2018-07-02,14.25,4427
2018-07-03,14.36,12209
2018-07-05,14.0,10026
2018-07-06,14.6,50283
2018-07-09,14.15,11113
2018-07-10,14.0,18750
2018-07-11,13.8,14495
2018-07-12,13.85,27484
2018-07-13,13.89,12999
2018-07-16,13.45,30985
2018-07-17,13.7,8122
2018-07-18,13.65,33258
2018-07-19,13.39,10318
2018-07-20,13.81,5639
2018-07-23,13.5,12711
2018-07-24,13.07,46933
2018-07-25,13.21,42697
2018-07-26,13.32,3217
2018-07-27,13.52,2936
2018-07-30,13.43,18489
2018-07-31,13.45,7924
2018-08-01,13.3,23272
2018-08-02,13.02,9063
2018-08-03,13.35,20107
2018-08-06,13.42,47441
2018-08-07,13.68,24819
2018-08-08,9.8,259457
2018-08-09,9.93,81164
2018-08-10,9.4,409841
2018-08-13,9.56,135455
2018-08-14,9.4,21983
2018-08-15,9.25,17357
2018-08-16,9.55,64700
2018-08-17,9.75,89905
2018-08-20,9.55,64972
2018-08-21,9.73,26108
2018-08-22,9.68,12704
2018-08-23,9.39,21993
2018-08-24,9.59,25063
2018-08-27,9.43,199965
2018-08-28,9.36,28588
2018-08-29,9.3,26971
2018-08-30,9.24,38689
2018-08-31,9.17,14648
2018-09-04,9.24,34343
2018-09-05,9.2,51930
2018-09-06,9.4,38402
2018-09-07,9.52,36544
2018-09-10,8.96,19939
2018-09-11,8.64,28169
2018-09-12,8.26,23790
2018-09-13,7.96,62834
2018-09-14,7.81,45401
2018-09-17,7.85,16124
2018-09-18,8.01,41326
2018-09-19,7.75,230825
2018-09-20,7.75,48737
2018-09-21,7.5,55658
2018-09-24,7.4,63207
2018-09-25,7.16,59259
2018-09-26,6.9,18443
2018-09-27,6.84,64523
2018-09-28,6.67,241176
2018-10-01,6.69,81391
2018-10-02,6.4,25374
2018-10-03,6.45,56021
2018-10-04,6.62,76402
2018-10-05,6.69,16364
2018-10-08,6.67,18603
2018-10-09,6.59,24452
2018-10-10,6.4,14099
2018-10-11,6.6,78560
2018-10-12,6.59,106887
2018-10-15,6.64,26603
2018-10-16,6.72,25794
2018-10-17,7.77,223248
2018-10-18,7.08,40091
2018-10-19,7.18,23850
2018-10-22,7.02,11422
2018-10-23,6.85,24459
2018-10-24,7.0,23068
2018-10-25,6.8,14820
2018-10-26,7.15,20330
2018-10-29,6.97,40098
2018-10-30,6.92,2741
2018-10-31,6.81,25008
2018-11-01,7.48,12336
2018-11-02,7.01,85693
2018-11-05,7.18,5606
2018-11-06,7.21,10709
2018-11-07,7.16,28191
2018-11-08,7.08,28832
2018-11-09,7.21,13545
2018-11-12,7.12,31281
2018-11-13,7.3,15177
2018-11-14,7.47,28425
2018-11-15,7.22,23777
2018-11-16,7.01,8500
2018-11-19,7.0,17462
2018-11-20,7.52,24959
2018-11-21,7.11,24299
2018-11-23,7.51,7219
2018-11-26,7.42,8502
2018-11-27,7.4,51766
2018-11-28,7.41,25049
2018-11-29,7.78,38924
2018-11-30,7.8,60177
2018-12-03,8.09,43736
2018-12-04,8.08,13953
2018-12-06,8.04,16277
2018-12-07,8.2,20508
2018-12-10,8.08,17553
2018-12-11,8.26,28708
2018-12-12,8.27,13995
2018-12-13,8.02,18436
2018-12-14,7.76,18086
2018-12-17,7.25,15609
2018-12-18,7.15,14588
2018-12-19,7.14,26947
2018-12-20,7.05,15435
2018-12-21,7.0,43739
2018-12-24,7.21,25310
2018-12-26,7.14,15705
2018-12-27,7.1,10960
2018-12-28,7.4,14635
2018-12-31,7.11,9392
2019-01-02,7.64,5348
2019-01-03,7.64,5155
2019-01-04,7.59,14013
2019-01-07,7.7,6875
2019-01-08,7.82,14004
2019-01-09,8.04,11074
2019-01-10,8.21,5774
2019-01-11,8.28,17794
2019-01-14,8.37,9266
2019-01-15,8.66,23845
2019-01-16,8.33,21966
2019-01-17,8.21,116810
2019-01-18,8.31,14241
2019-01-22,8.39,4067
2019-01-23,8.35,6439
2019-01-24,8.35,10812
2019-01-25,8.63,5111
2019-01-28,8.68,1977
2019-01-29,8.37,11442
2019-01-30,8.36,2060
2019-01-31,8.7,6389
2019-02-01,8.96,9522
2019-02-04,8.89,1420
