date,close,volume
2018-04-25,4.42,87194
2018-04-26,4.43,93596
2018-04-27,4.42,51441
2018-04-30,4.42,64821
2018-05-01,4.49,41131
2018-05-02,4.49,46594
2018-05-03,4.52,70387
2018-05-04,4.49,48580
2018-05-07,4.48,34505
2018-05-08,4.49,41185
2018-05-09,4.54,55433
2018-05-10,4.58,154034
2018-05-11,4.57,22554
2018-05-14,4.57,41023
2018-05-15,4.53,38904
2018-05-16,4.54,40095
2018-05-17,4.56,17518
2018-05-18,4.57,17372
2018-05-21,4.56,22169
2018-05-22,4.61,38901
2018-05-23,4.57,36739
2018-05-24,4.54,49483
2018-05-25,4.54,30496
2018-05-29,4.56,25887
2018-05-30,4.53,77604
2018-05-31,4.53,97494
2018-06-01,4.55,117773
2018-06-04,4.51,73778
2018-06-05,4.51,50196
2018-06-06,4.5,41850
2018-06-07,4.52,19128
2018-06-08,4.52,18333
2018-06-11,4.54,45256
2018-06-12,4.48,100225
2018-06-13,4.45,84099
2018-06-14,4.45,76650
2018-06-15,4.43,52747
2018-06-18,4.45,97896
2018-06-19,4.47,91724
2018-06-20,4.45,105383
2018-06-21,4.49,13884
2018-06-22,4.53,64707
2018-06-25,4.5,26211
2018-06-26,4.49,28943
2018-06-27,4.49,32491
2018-06-28,4.48,37848
2018-06-29,4.51,103236
2018-07-02,4.48,86278
2018-07-03,4.48,31921
2018-07-05,4.46,47070
2018-07-06,4.43,76221
2018-07-09,4.47,82836
2018-07-10,4.43,81407
2018-07-11,4.44,83331
2018-07-12,4.47,55439
2018-07-13,4.54,121605
2018-07-16,4.55,74868
2018-07-17,4.48,60097
2018-07-18,4.49,25269
2018-07-19,4.46,35634
2018-07-20,4.45,45110
2018-07-23,4.46,32120
2018-07-24,4.47,64264
2018-07-25,4.48,55404
2018-07-26,4.47,44598
2018-07-27,4.45,111209
2018-07-30,4.47,64052
2018-07-31,4.46,62656
2018-08-01,4.49,89138
2018-08-02,4.51,59058
2018-08-03,4.47,87848
2018-08-06,4.46,56265
2018-08-07,4.45,36734
2018-08-08,4.48,35309
2018-08-09,4.48,53904
2018-08-10,4.51,55822
2018-08-13,4.53,46366
2018-08-14,4.51,20796
2018-08-15,4.5,46834
2018-08-16,4.52,40128
2018-08-17,4.53,39087
2018-08-20,4.53,49100
2018-08-21,4.54,48014
2018-08-22,4.54,22338
2018-08-23,4.5,35154
2018-08-24,4.5,75408
2018-08-27,4.54,74115
2018-08-28,4.49,79747
2018-08-29,4.49,105695
2018-08-30,4.52,47557
2018-08-31,4.55,70272
2018-09-04,4.58,69785
2018-09-05,4.58,46553
2018-09-06,4.58,72923
2018-09-07,4.58,23669
2018-09-10,4.63,39619
2018-09-11,4.64,77324
2018-09-12,4.63,44139
2018-09-13,4.6,36256
2018-09-14,4.6,43192
2018-09-17,4.51,69428
2018-09-18,4.46,67016
2018-09-19,4.51,59956
2018-09-20,4.54,130526
2018-09-21,4.54,56814
2018-09-24,4.53,66657
2018-09-25,4.53,26609
2018-09-26,4.52,121998
2018-09-27,4.53,44493
2018-09-28,4.55,39436
2018-10-01,4.58,82068
2018-10-02,4.6,77882
2018-10-03,4.52,41388
2018-10-04,4.5,22285
2018-10-05,4.41,81697
2018-10-08,4.51,50959
2018-10-09,4.49,90495
2018-10-10,4.46,40662
2018-10-11,4.44,66530
2018-10-12,4.44,30289
2018-10-15,4.45,36583
2018-10-16,4.43,37058
2018-10-17,4.4,46115
2018-10-18,4.39,22841
2018-10-19,4.38,35144
2018-10-22,4.38,98244
2018-10-23,4.38,15592
2018-10-24,4.38,55457
2018-10-25,4.34,53164
2018-10-26,4.3,88851
2018-10-29,4.32,46220
2018-10-30,4.27,46671
2018-10-31,4.29,39705
2018-11-01,4.33,97525
2018-11-02,4.31,41716
2018-11-05,4.27,77389
2018-11-06,4.25,78134
2018-11-07,4.27,32646
2018-11-08,4.3,22918
2018-11-09,4.3,120844
2018-11-12,4.32,74563
2018-11-13,4.28,111963
2018-11-14,4.29,85913
2018-11-15,4.28,78265
2018-11-16,4.26,31808
2018-11-19,4.25,30240
2018-11-20,4.21,66430
2018-11-21,4.18,110443
2018-11-23,4.19,23252
2018-11-26,4.17,25286
2018-11-27,4.18,40197
2018-11-28,4.2,109108
2018-11-29,4.21,70192
2018-11-30,4.22,121103
2018-12-03,4.25,82701
2018-12-04,4.28,89024
2018-12-06,4.29,155235
2018-12-07,4.3,59776
2018-12-10,4.33,93045
2018-12-11,4.32,134777
2018-12-12,4.35,157791
2018-12-13,4.3,94470
