date,close,volume
2018-04-25,26.03,47161
2018-04-26,26.13,29006
2018-04-27,26.13,48330
2018-04-30,25.93,49095
2018-05-01,25.6,52179
2018-05-02,25.82,44592
2018-05-03,26.02,62549
2018-05-04,26.2,36249
2018-05-07,26.12,18969
2018-05-08,26.07,56037
2018-05-09,26.56,20748
2018-05-10,27.14,45397
2018-05-11,27.21,43102
2018-05-14,27.2,19979
2018-05-15,26.97,26118
2018-05-16,27.38,20354
2018-05-17,27.37,30856
2018-05-18,27.15,10556
2018-05-21,27.34,30769
2018-05-22,27.51,96445
2018-05-23,26.86,34568
2018-05-24,26.47,10899
2018-05-25,26.0,18052
2018-05-29,25.18,54133
2018-05-30,25.79,61640
2018-05-31,25.67,36177
2018-06-01,25.91,21206
2018-06-04,26.26,47320
2018-06-05,26.8,78435
2018-06-06,27.51,53637
2018-06-07,27.38,94710
2018-06-08,27.17,40406
2018-06-11,27.22,28887
2018-06-12,27.05,22565
2018-06-13,26.84,16428
2018-06-14,26.43,27297
2018-06-15,25.73,29938
2018-06-18,25.61,43063
2018-06-19,24.77,173339
2018-06-20,24.75,18995
2018-06-21,24.64,44504
2018-06-22,24.91,31405
2018-06-25,24.11,42170
2018-06-26,24.09,56031
2018-06-27,23.67,19785
2018-06-28,23.58,25404
2018-06-29,24.12,26185
2018-07-02,23.89,17850
2018-07-03,23.62,48673
2018-07-05,23.66,21717
2018-07-06,23.77,28194
2018-07-09,24.4,54786
2018-07-10,24.38,44945
2018-07-11,23.23,55547
2018-07-12,23.47,46264
2018-07-13,23.46,37439
2018-07-16,23.3,17587
2018-07-17,23.5,22679
2018-07-18,23.6,19383
2018-07-19,22.9,39720
2018-07-20,23.07,132896
2018-07-23,23.03,27847
2018-07-24,23.79,70444
2018-07-25,24.04,23484
2018-07-26,23.9,32078
2018-07-27,23.75,26645
2018-07-30,23.78,14585
2018-07-31,24.18,16320
2018-08-01,23.55,40089
2018-08-02,22.83,32430
2018-08-03,22.89,20470
2018-08-06,22.74,108493
2018-08-07,22.81,20015
2018-08-08,22.77,13131
2018-08-09,22.96,10060
2018-08-10,22.43,194120
2018-08-13,22.11,194717
2018-08-14,21.82,44835
2018-08-15,20.74,49063
2018-08-16,20.95,174635
2018-08-17,20.96,121457
2018-08-20,21.08,46821
2018-08-21,21.4,27328
2018-08-22,21.6,12296
2018-08-23,21.12,350883
2018-08-24,21.55,38147
2018-08-27,22.11,62925
2018-08-28,22.13,14520
2018-08-29,22.21,20740
2018-08-30,21.64,23459
2018-08-31,21.31,10373
2018-09-04,20.74,31005
2018-09-05,20.88,10883
2018-09-06,20.69,22513
2018-09-07,20.38,22600
2018-09-10,20.28,7438
2018-09-11,20.09,32156
2018-09-12,20.63,16330
2018-09-13,20.87,19738
2018-09-14,20.83,11999
2018-09-17,20.84,4606
2018-09-18,21.27,20247
2018-09-19,21.87,194902
2018-09-20,22.3,19046
2018-09-21,22.72,62845
