date,close,volume
2018-04-25,66.91,1670061
2018-04-26,68.48,1226597
2018-04-27,69.06,1527784
2018-04-30,68.42,1578099
2018-05-01,66.4,2740609
2018-05-02,65.47,2311616
2018-05-03,61.42,4158630
2018-05-04,61.56,2448081
2018-05-07,61.55,2413369
2018-05-08,61.39,2104073
2018-05-09,62.38,1832715
2018-05-10,62.9,1525343
2018-05-11,63.08,1648372
2018-05-14,63.19,1464755
2018-05-15,64.45,2003892
2018-05-16,65.79,2290973
2018-05-17,66.71,2036274
2018-05-18,66.16,1834770
2018-05-21,67.08,1707217
2018-05-22,66.16,1821010
2018-05-23,67.32,2004105
2018-05-24,68.37,2755413
2018-05-25,68.64,3248757
2018-05-29,68.22,3685724
2018-05-30,60.41,18263250
2018-05-31,57.39,9393434
2018-06-01,59.84,7312702
2018-06-04,60.56,4284361
2018-06-05,63.53,5546726
2018-06-06,63.45,3908117
2018-06-07,63.43,2861973
2018-06-08,64.65,2584375
2018-06-11,66.35,2358148
2018-06-12,68.13,4593383
2018-06-13,66.82,3219291
2018-06-14,65.85,2748819
2018-06-15,67.52,2575146
2018-06-18,68.6,2430331
2018-06-19,67.02,3130319
2018-06-20,67.99,1820695
2018-06-21,67.27,1760010
2018-06-22,66.63,2844263
2018-06-25,66.71,2788785
2018-06-26,68.0,2127816
2018-06-27,66.8,1916672
2018-06-28,66.96,1578779
2018-06-29,66.6,1994402
2018-07-02,66.49,2015863
2018-07-03,65.88,1102128
2018-07-05,65.97,1681453
2018-07-06,66.97,2041625
2018-07-09,67.39,2545152
2018-07-10,67.31,1810045
2018-07-11,66.5,4209415
2018-07-12,66.44,1818501
2018-07-13,66.55,1896780
2018-07-16,67.17,1433958
2018-07-17,67.67,2580253
2018-07-18,67.07,2205137
2018-07-19,67.95,1808848
2018-07-20,67.63,1284954
2018-07-23,67.63,951377
2018-07-24,67.28,2818758
2018-07-25,68.31,1370699
2018-07-26,68.34,1098514
2018-07-27,66.71,1153897
2018-07-30,66.17,1193635
2018-07-31,66.73,1727164
2018-08-01,65.76,2047615
2018-08-02,64.66,2596475
2018-08-03,64.24,2546155
2018-08-06,64.62,3135389
2018-08-07,65.6,3396259
2018-08-08,70.01,8147964
2018-08-09,72.34,4254556
2018-08-10,72.67,3192375
2018-08-13,71.41,2022294
2018-08-14,73.29,2863317
2018-08-15,71.32,1973163
2018-08-16,71.94,1384306
2018-08-17,72.98,2038508
2018-08-20,74.95,2204501
2018-08-21,75.41,1563894
2018-08-22,74.2,1403143
2018-08-23,74.24,972349
2018-08-24,74.81,1062099
2018-08-27,74.43,1329232
2018-08-28,73.84,1594461
2018-08-29,73.71,1423654
2018-08-30,72.12,1360833
2018-08-31,72.62,1755027
2018-09-04,72.06,2138994
2018-09-05,73.24,2470555
2018-09-06,72.81,1741577
2018-09-07,72.36,1394950
2018-09-10,73.36,1329541
2018-09-11,73.95,1559566
2018-09-12,73.05,1550884
2018-09-13,72.6,1503763
2018-09-14,73.05,1110437
2018-09-17,73.36,1614560
2018-09-18,73.16,1511932
2018-09-19,73.05,1097904
2018-09-20,72.72,1365955
2018-09-21,72.69,1996595
2018-09-24,66.71,6516064
2018-09-25,68.01,5205883
2018-09-26,68.02,2324626
2018-09-27,69.46,2683153
2018-09-28,68.56,2345363
2018-10-01,68.36,1782846
2018-10-02,66.1,2005031
2018-10-03,68.08,2455356
2018-10-04,66.6,2176060
2018-10-05,66.87,1754356
2018-10-08,68.02,1666597
2018-10-09,67.04,2062287
2018-10-10,62.27,2923653
2018-10-11,61.96,2859462
2018-10-12,63.61,1980167
2018-10-15,62.46,1859191
2018-10-16,64.05,1831604
2018-10-17,62.38,1875849
2018-10-18,60.22,2855625
2018-10-19,58.06,2745026
2018-10-22,58.23,2789306
2018-10-23,57.9,2776256
2018-10-24,56.3,2159517
2018-10-25,56.9,1858580
2018-10-26,55.65,2878576
2018-10-29,55.05,4299662
2018-10-30,54.65,3270721
2018-10-31,55.41,3949335
2018-11-01,57.38,3343192
2018-11-02,58.29,4051982
2018-11-05,58.3,2455355
2018-11-06,57.45,4170019
2018-11-07,49.05,14698579
2018-11-08,50.09,5149510
2018-11-09,47.78,5413865
2018-11-12,47.75,4040008
2018-11-13,48.22,3526664
2018-11-14,48.05,4542357
2018-11-15,47.23,3033686
2018-11-16,45.89,3625256
2018-11-19,44.6,3222466
2018-11-20,44.23,3017946
2018-11-21,45.3,3045814
2018-11-23,44.88,1452169
2018-11-26,45.35,2622034
2018-11-27,44.21,2898104
2018-11-28,44.96,2225505
2018-11-29,43.8,2247440
2018-11-30,43.75,4882054
2018-12-03,45.05,3054845
2018-12-04,42.43,5733452
2018-12-06,42.92,3023050
2018-12-07,40.48,3599485
2018-12-10,39.63,3770601
2018-12-11,38.45,5285326
2018-12-12,38.83,5087700
2018-12-13,37.49,3992523
2018-12-14,37.94,4476564
2018-12-17,38.1,5280899
2018-12-18,37.98,4046981
2018-12-19,37.92,4343215
2018-12-20,37.09,2931150
2018-12-21,36.41,4547089
2018-12-24,36.03,1276984
2018-12-26,37.76,3411611
2018-12-27,37.87,2812730
2018-12-28,37.18,2116315
2018-12-31,37.92,2129947
2019-01-02,39.36,1460127
2019-01-03,37.12,3017577
2019-01-04,38.96,4319644
2019-01-07,40.0,2353283
2019-01-08,40.92,1932884
2019-01-09,41.87,2373135
2019-01-10,40.28,1881554
2019-01-11,40.21,1914806
2019-01-14,40.22,1839789
2019-01-15,40.32,1329128
2019-01-16,40.41,2751419
2019-01-17,41.09,2679708
2019-01-18,42.42,2685435
2019-01-22,41.29,2668533
2019-01-23,40.86,2986101
2019-01-24,41.07,1517407
2019-01-25,42.41,1773233
2019-01-28,42.55,1739986
2019-01-29,42.83,2750270
2019-01-30,42.9,2178019
2019-01-31,42.48,2545998
2019-02-01,42.45,1838189
2019-02-04,42.36,3071049
2019-02-05,43.55,3393795
2019-02-06,48.47,8605392
2019-02-07,47.14,6987467
2019-02-08,46.03,3583567
2019-02-11,45.51,2582696
2019-02-12,45.49,2436092
2019-02-13,45.11,2334354
2019-02-14,44.89,2142076
2019-02-15,44.49,2242498
2019-02-19,44.03,3273705
2019-02-20,43.7,3269113
2019-02-21,43.6,1685553
2019-02-22,43.84,1843751
