date,close,volume
2018-04-25,51.34,1021172
2018-04-26,51.42,1081947
2018-04-27,51.63,785679
2018-04-30,51.08,1496783
2018-05-01,51.66,1144913
2018-05-02,51.8,1079640
2018-05-03,52.28,1178661
2018-05-04,52.82,1187547
2018-05-07,52.44,1546779
2018-05-08,53.2,1065154
2018-05-09,53.8,1359666
2018-05-10,54.26,1391712
2018-05-11,55.26,1794856
2018-05-14,55.61,1536198
2018-05-15,55.39,1761403
2018-05-16,56.12,987525
2018-05-17,56.29,1446668
2018-05-18,54.07,2263311
2018-05-21,53.97,2066230
2018-05-22,53.0,2716296
2018-05-23,52.96,2586935
2018-05-24,52.71,2724354
2018-05-25,54.25,2191547
2018-05-29,55.42,2786786
2018-05-30,56.16,2414688
2018-05-31,54.83,13684532
2018-06-01,55.57,1597428
2018-06-04,56.11,2478779
2018-06-05,57.29,2570824
2018-06-06,57.15,1651327
2018-06-07,57.07,1415230
2018-06-08,57.63,1163038
2018-06-11,57.57,1747328
2018-06-12,57.61,1147062
2018-06-13,57.7,1688221
2018-06-14,58.08,2254340
2018-06-15,58.22,3610591
2018-06-18,58.82,2302539
2018-06-19,59.43,2535986
2018-06-20,60.2,1634292
2018-06-21,59.57,1293167
2018-06-22,59.91,2535471
2018-06-25,58.3,1528391
2018-06-26,56.28,3904879
2018-06-27,55.17,2704659
2018-06-28,56.01,2661877
2018-06-29,56.56,53422601
2018-07-02,56.84,2522995
2018-07-03,57.34,1486964
2018-07-05,57.16,2537558
2018-07-06,58.01,1697506
2018-07-09,58.75,1611359
2018-07-10,58.71,1319412
2018-07-11,58.32,1989762
2018-07-12,58.88,1903447
2018-07-13,59.31,1094025
2018-07-16,58.43,2197817
2018-07-17,59.16,1569134
2018-07-18,59.32,1557184
2018-07-19,59.13,854161
2018-07-20,58.98,939919
2018-07-23,58.26,1723028
2018-07-24,57.37,2259307
2018-07-25,58.33,1333546
2018-07-26,58.12,1193806
2018-07-27,56.94,816550
2018-07-30,56.21,1045024
2018-07-31,57.39,1613487
2018-08-01,57.57,1008798
2018-08-02,57.8,1191367
2018-08-03,57.43,754276
2018-08-06,58.51,988120
2018-08-07,59.16,1005059
2018-08-08,59.37,730020
2018-08-09,60.0,659561
2018-08-10,60.23,751951
2018-08-13,59.3,1330848
2018-08-14,59.51,1146516
2018-08-15,60.06,1040717
2018-08-16,60.82,885053
2018-08-17,60.98,777704
2018-08-20,61.67,1076235
2018-08-21,62.47,1114022
2018-08-22,63.0,687102
2018-08-23,62.99,736248
2018-08-24,62.73,1147451
2018-08-27,63.79,995102
2018-08-28,64.07,1101041
2018-08-29,64.12,1705613
2018-08-30,64.39,1110937
2018-08-31,64.31,1261062
2018-09-04,64.9,1684265
2018-09-05,64.68,1518183
2018-09-06,65.1,1296718
2018-09-07,65.53,1098104
2018-09-10,65.91,1037477
2018-09-11,66.45,1742725
2018-09-12,66.24,1387460
2018-09-13,66.03,830706
2018-09-14,64.83,1651737
2018-09-17,63.73,1613030
2018-09-18,64.17,2340732
2018-09-19,55.58,14660402
2018-09-20,56.13,6410283
2018-09-21,52.58,7464490
2018-09-24,51.42,4644561
2018-09-25,51.52,4467917
2018-09-26,51.65,3006105
2018-09-27,51.12,2084499
2018-09-28,51.53,2445194
2018-10-01,52.63,4551765
2018-10-02,51.23,5333732
2018-10-03,52.76,5287774
2018-10-04,51.74,5145975
2018-10-05,51.89,4077151
2018-10-08,51.26,1860391
2018-10-09,51.46,2205016
2018-10-10,49.96,3433064
2018-10-11,49.05,2755247
2018-10-12,50.38,2159933
2018-10-15,50.22,1729837
2018-10-16,51.08,1720971
2018-10-17,50.99,1213763
2018-10-18,49.76,1405263
2018-10-19,49.28,1775969
2018-10-22,50.48,1698431
2018-10-23,49.85,1696108
2018-10-24,46.33,4482498
2018-10-25,48.41,2421314
2018-10-26,47.26,2317487
2018-10-29,47.04,1654931
2018-10-30,48.5,1195223
2018-10-31,48.91,1548506
2018-11-01,50.16,1356154
2018-11-02,50.29,1155862
2018-11-05,50.36,936991
2018-11-06,50.03,1267120
2018-11-07,50.8,1531816
2018-11-08,50.44,948666
2018-11-09,50.27,1377540
2018-11-12,49.27,1367508
2018-11-13,48.82,4433872
2018-11-14,49.82,2024827
2018-11-15,50.8,1602832
2018-11-16,51.01,1653000
2018-11-19,48.54,1782851
2018-11-20,47.3,2147817
2018-11-21,50.09,3099922
2018-11-23,48.73,960167
2018-11-26,50.19,1533167
2018-11-27,49.99,1611588
2018-11-28,51.74,1437693
2018-11-29,51.71,1300521
2018-11-30,51.18,2610868
2018-12-03,50.74,3089575
2018-12-04,49.28,1902336
2018-12-06,49.04,1766391
2018-12-07,47.28,1277467
2018-12-10,48.34,2499576
2018-12-11,48.56,2035033
2018-12-12,49.26,1219082
2018-12-13,49.38,1353112
2018-12-14,48.04,2241691
2018-12-17,47.19,2082737
2018-12-18,46.96,2664396
2018-12-19,47.04,2217554
2018-12-20,46.86,3426779
2018-12-21,45.9,3929555
2018-12-24,44.94,1084666
2018-12-26,47.43,1571663
2018-12-27,47.82,2644414
2018-12-28,47.52,1482122
2018-12-31,47.78,1828439
2019-01-02,47.68,1369886
2019-01-03,46.89,2120994
2019-01-04,48.56,1819901
2019-01-07,48.83,1485165
2019-01-08,49.63,1117490
2019-01-09,50.3,1254247
2019-01-10,50.6,729092
2019-01-11,50.66,872017
2019-01-14,49.92,771897
2019-01-15,49.36,2173611
2019-01-16,49.32,1671336
2019-01-17,49.74,1920479
2019-01-18,50.06,865698
2019-01-22,49.64,878816
2019-01-23,49.27,881041
2019-01-24,49.51,816405
2019-01-25,50.08,677469
2019-01-28,49.84,1118116
2019-01-29,49.58,728885
2019-01-30,50.14,834421
2019-01-31,50.63,1732585
2019-02-01,50.92,872484
2019-02-04,51.53,755939
2019-02-05,51.84,731654
2019-02-06,51.93,809564
2019-02-07,51.29,598787
2019-02-08,51.73,595592
2019-02-11,52.19,878734
2019-02-12,53.26,924691
2019-02-13,53.41,927895
2019-02-14,53.93,1082445
2019-02-15,54.03,1301476
2019-02-19,53.32,1218554
2019-02-20,53.48,1996126
2019-02-21,56.53,4453044
2019-02-22,58.29,3662472
2019-02-25,59.21,2566452
2019-02-26,58.91,2044017
2019-02-27,58.48,872911
2019-02-28,58.67,1799081
2019-03-01,58.4,1403159
2019-03-04,58.08,1392193
2019-03-05,58.11,974689
2019-03-06,57.74,1151016
2019-03-07,58.27,2062050
2019-03-08,58.24,1312895
2019-03-11,58.92,1295833
2019-03-12,59.16,863061
2019-03-13,59.67,1603593
2019-03-14,59.2,889480
2019-03-15,59.03,2935138
2019-03-18,59.09,1185995
2019-03-19,58.87,938420
2019-03-20,59.15,839058
2019-03-21,59.76,1382367
2019-03-22,59.25,1025908
2019-03-25,59.53,789848
2019-03-26,60.26,1058620
2019-03-27,59.7,842498
2019-03-28,59.87,1071055
2019-03-29,60.59,1234978
2019-04-01,62.18,1544555
2019-04-02,63.16,1638618
2019-04-03,63.73,1237052
2019-04-04,62.99,1091711
2019-04-05,63.95,1521006
2019-04-08,64.64,1685137
2019-04-09,64.24,1357912
2019-04-10,64.27,2669860
2019-04-11,64.89,613257
2019-04-12,65.37,580442
2019-04-15,65.21,680373
2019-04-16,65.18,2509523
2019-04-17,64.8,1181736
2019-04-18,65.06,1301934
2019-04-22,64.99,809861
2019-04-23,65.86,789959
2019-04-24,66.53,1159594
2019-04-25,65.76,870848
2019-04-26,66.86,972094
2019-04-29,67.08,980814
2019-04-30,67.32,2196761
2019-05-01,66.01,1079339
2019-05-02,66.74,981889
2019-05-03,67.11,801805
2019-05-06,67.02,832353
2019-05-07,66.0,978160
2019-05-08,66.22,1295017
2019-05-09,66.35,1202851
2019-05-10,66.87,892058
2019-05-13,65.23,957758
2019-05-14,65.8,776859
2019-05-15,66.31,774382
2019-05-16,67.07,959490
2019-05-17,65.6,1115263
2019-05-20,65.36,1617285
2019-05-21,65.94,1500630
2019-05-22,64.79,2316672
2019-05-23,69.94,3813503
2019-05-24,70.99,2027540
2019-05-28,71.7,2873020
2019-05-29,70.49,1349918
2019-05-30,71.55,1189755
2019-05-31,71.48,1493673
2019-06-03,71.3,1452058
2019-06-04,72.37,1288686
2019-06-05,73.07,1276547
2019-06-06,73.74,916785
2019-06-07,74.65,1270051
2019-06-10,74.84,888105
2019-06-11,73.69,1220755
2019-06-12,74.79,1103547
2019-06-13,74.77,1359643
2019-06-14,73.81,1394399
2019-06-17,73.22,1230488
2019-06-18,73.37,1494947
