date,close,volume
2018-04-25,128.48,128401
2018-04-26,127.99,74578
2018-04-27,126.5,78776
2018-04-30,123.8,116023
2018-05-01,124.0,89954
2018-05-02,122.29,189483
2018-05-03,120.05,130605
2018-05-04,119.68,160064
2018-05-07,121.67,133132
2018-05-08,123.19,111357
2018-05-09,123.62,96903
2018-05-10,124.11,146012
2018-05-11,123.99,95451
2018-05-14,125.38,120509
2018-05-15,125.92,99439
2018-05-16,128.09,179712
2018-05-17,128.86,105180
2018-05-18,132.59,104832
2018-05-21,132.12,94432
2018-05-22,132.57,60424
2018-05-23,130.75,56717
2018-05-24,128.74,87977
2018-05-25,126.98,81257
2018-05-29,124.09,126515
2018-05-30,126.0,107987
2018-05-31,124.2,71101
2018-06-01,125.63,96808
2018-06-04,128.1,110856
2018-06-05,131.19,85789
2018-06-06,135.14,130690
2018-06-07,135.75,174818
2018-06-08,136.05,112179
2018-06-11,136.58,151484
2018-06-12,139.21,220090
2018-06-13,137.54,138400
2018-06-14,139.01,124648
2018-06-15,139.02,154302
2018-06-18,140.75,161949
2018-06-19,141.09,85693
2018-06-20,140.52,96881
2018-06-21,138.82,140670
2018-06-22,135.92,264221
2018-06-25,136.09,153409
2018-06-26,138.65,119759
2018-06-27,136.43,139975
2018-06-28,130.75,158494
2018-06-29,130.67,138804
2018-07-02,130.91,112003
2018-07-03,127.92,42123
2018-07-05,133.03,127953
2018-07-06,132.54,107194
2018-07-09,135.55,167705
2018-07-10,135.94,105478
2018-07-11,134.96,176044
2018-07-12,133.48,132529
2018-07-13,134.19,156033
2018-07-16,133.17,129629
2018-07-17,134.91,134341
2018-07-18,137.67,174491
2018-07-19,136.04,295247
2018-07-20,133.94,134250
2018-07-23,133.85,71657
2018-07-24,134.5,131539
2018-07-25,133.99,131269
2018-07-26,134.96,203328
2018-07-27,134.07,111201
2018-07-30,133.62,171804
2018-07-31,134.8,190662
2018-08-01,142.09,342736
2018-08-02,144.83,223258
2018-08-03,142.7,132921
2018-08-06,143.47,146443
2018-08-07,139.53,377855
2018-08-08,138.93,122947
2018-08-09,136.54,112678
2018-08-10,136.3,112150
2018-08-13,134.87,97464
2018-08-14,136.98,108094
2018-08-15,135.8,84756
2018-08-16,137.79,138838
2018-08-17,138.11,198867
2018-08-20,140.66,101319
2018-08-21,142.17,93276
2018-08-22,140.57,81864
2018-08-23,139.55,55015
2018-08-24,138.78,73620
2018-08-27,142.96,50943
2018-08-28,142.83,52938
2018-08-29,142.84,86276
2018-08-30,139.74,141955
2018-08-31,138.43,91138
2018-09-04,137.3,118799
2018-09-05,136.91,87199
2018-09-06,135.72,69851
2018-09-07,134.13,72112
2018-09-10,133.03,88867
2018-09-11,132.13,59486
2018-09-12,132.3,89622
