date,close,volume
2019-11-26,19.98,626085
2019-11-27,19.98,608626
2019-11-29,20.0,367248
2019-12-02,19.9,46589
2019-12-03,19.95,54771
2019-12-04,19.92,55735
2019-12-05,19.96,28841
2019-12-06,19.6,88483
2019-12-09,19.86,18344
2019-12-10,19.83,42100
2019-12-11,19.9,26956
2019-12-12,19.99,22368
2019-12-13,19.97,16598
2019-12-16,20.01,33140
2019-12-17,20.0,23777
2019-12-18,20.01,11223
2019-12-19,20.02,40980
2019-12-20,20.15,24868
2019-12-23,20.09,25222
2019-12-24,19.74,69643
2019-12-26,19.61,43543
2019-12-27,19.7,63888
2019-12-30,19.81,61367
2019-12-31,19.61,102132
2020-01-02,19.7,30423
2020-01-03,19.67,20580
2020-01-06,19.75,26549
2020-01-07,19.89,49911
2020-01-08,19.84,29144
2020-01-09,20.1,48495
2020-01-10,19.99,32714
2020-01-13,19.98,25102
2020-01-14,19.98,17455
2020-01-15,19.9,17576
2020-01-16,19.95,26950
2020-01-17,19.75,19871
2020-01-21,19.71,22256
2020-01-22,19.5,68765
2020-01-23,19.35,53999
2020-01-24,19.4,29798
2020-01-27,19.4,22159
2020-01-28,19.43,32799
2020-01-29,19.4,29633
2020-01-30,19.5,12007
2020-01-31,19.54,22519
2020-02-03,19.49,32708
2020-02-04,19.6,41101
2020-02-05,19.7,9967
2020-02-06,19.41,37845
2020-02-07,19.36,29775
2020-02-10,19.28,32207
2020-02-11,19.5,43217
2020-02-12,19.48,39793
2020-02-13,19.33,27388
2020-02-14,19.39,17216
2020-02-18,19.45,10925
2020-02-19,19.34,25640
2020-02-20,19.34,52246
2020-02-21,18.97,64400
2020-02-24,18.4,164493
2020-02-25,17.97,118052
2020-02-26,18.4,127890
2020-02-27,18.2,105427
2020-02-28,18.24,324826
2020-03-02,17.84,93969
2020-03-03,17.6,53916
2020-03-04,18.09,58359
2020-03-05,18.1,102402
2020-03-06,17.98,11590
2020-03-09,16.11,97449
2020-03-10,16.26,62280
2020-03-11,15.05,131792
2020-03-12,14.04,340062
2020-03-13,13.84,133506
2020-03-16,11.24,87657
2020-03-17,12.07,203698
2020-03-18,9.64,185818
2020-03-19,11.16,120903
2020-03-20,10.91,106384
2020-03-23,11.1,173355
2020-03-24,11.82,100511
2020-03-25,12.55,124289
2020-03-26,13.51,249430
2020-03-27,14.1,93159
2020-03-30,14.38,142699
2020-03-31,14.44,167612
2020-04-01,13.5,43986
2020-04-02,13.18,75256
2020-04-03,12.86,97704
2020-04-06,13.95,52931
2020-04-07,13.89,93335
2020-04-08,14.14,126032
2020-04-09,15.54,418143
2020-04-13,14.71,170170
2020-04-14,14.89,103157
2020-04-15,14.75,52279
2020-04-16,14.16,78329
2020-04-17,14.46,87135
2020-04-20,14.5,75672
2020-04-21,14.44,116204
2020-04-22,14.89,125405
2020-04-23,14.28,97955
2020-04-24,14.22,58281
2020-04-27,14.21,125616
2020-04-28,14.25,141793
2020-04-29,14.92,115430
2020-04-30,15.23,172927
2020-05-01,15.05,90344
2020-05-04,15.0,40271
2020-05-05,14.96,87707
2020-05-06,14.78,41966
2020-05-07,14.94,48312
2020-05-08,14.98,28050
2020-05-11,15.16,54579
2020-05-12,14.88,36932
2020-05-13,14.22,39708
2020-05-14,13.96,58079
2020-05-15,13.77,34190
2020-05-18,14.26,116799
2020-05-19,14.68,82441
2020-05-20,14.76,63425
2020-05-21,14.65,59401
2020-05-22,14.8,18744
2020-05-26,15.0,73146
2020-05-27,15.09,79211
2020-05-28,15.56,42566
2020-05-29,15.65,27850
2020-06-01,15.69,30140
2020-06-02,15.61,38433
2020-06-03,16.18,91986
2020-06-04,16.28,69530
2020-06-05,17.17,58848
2020-06-08,17.7,47570
2020-06-09,17.55,72601
2020-06-10,17.26,49967
2020-06-11,16.15,44932
2020-06-12,16.48,29147
2020-06-15,16.6,33686
2020-06-16,17.03,59735
2020-06-17,16.82,29708
2020-06-18,16.3,52524
2020-06-19,16.22,79493
2020-06-22,16.16,77188
2020-06-23,16.12,60814
2020-06-24,15.6,36697
2020-06-25,15.61,51419
2020-06-26,15.09,108402
2020-06-29,15.37,32839
2020-06-30,15.48,78969
2020-07-01,15.3,35467
2020-07-02,15.22,175327
2020-07-06,15.39,74298
2020-07-07,15.28,58625
2020-07-08,15.46,37261
2020-07-09,15.36,47913
2020-07-10,15.09,75409
2020-07-13,15.2,55423
2020-07-14,14.98,66028
2020-07-15,15.5,64181
2020-07-16,15.8,47945
2020-07-17,15.53,27397
2020-07-20,15.6,47933
2020-07-21,15.7,60512
2020-07-22,15.62,35030
2020-07-23,15.6,44015
2020-07-24,15.74,19609
2020-07-27,15.56,70498
2020-07-28,15.19,92303
2020-07-29,15.39,136535
2020-07-30,15.34,97632
2020-07-31,15.29,65271
2020-08-03,15.21,25386
2020-08-04,15.22,41023
2020-08-05,15.93,65593
2020-08-06,15.72,43905
2020-08-07,15.97,16223
2020-08-10,15.92,36592
2020-08-11,16.14,41196
2020-08-12,16.5,45204
2020-08-13,16.33,20664
2020-08-14,16.18,29102
