date,close,volume
2018-04-25,43.49,1868
2018-04-26,43.68,4543
2018-04-27,43.6,8034
2018-04-30,43.07,2355
2018-05-01,43.17,1028
2018-05-02,43.24,2650
2018-05-03,43.08,1087
2018-05-04,43.58,2639
2018-05-07,43.74,2010
2018-05-08,43.74,2593
2018-05-09,43.91,2492
2018-05-10,44.12,10490
2018-05-11,44.12,4190
2018-05-14,43.95,390
2018-05-15,43.98,2609
2018-05-16,44.41,1311
2018-05-17,44.46,1026
2018-05-18,44.5,425
2018-05-21,44.8,7130
2018-05-22,44.73,4294
2018-05-23,44.67,3110
2018-05-24,44.87,1067
2018-05-25,44.94,488
2018-05-29,44.72,1102
2018-05-30,45.48,739
2018-05-31,44.95,2915
2018-06-01,45.01,8156
2018-06-04,45.43,997
2018-06-05,45.61,2351
2018-06-06,45.86,1265
2018-06-07,46.04,2042
2018-06-08,46.04,355
2018-06-11,45.99,453
2018-06-12,46.09,1940
2018-06-13,45.85,1474
2018-06-14,45.81,137
2018-06-15,46.25,2958
2018-06-18,46.59,3708
2018-06-19,46.84,3486
2018-06-20,47.04,2989
2018-06-21,46.63,3649
2018-06-22,46.89,1430
2018-06-25,46.54,506
2018-06-26,46.83,1125
2018-06-27,46.22,2188
2018-06-28,46.14,2131
2018-06-29,46.02,1474
2018-07-02,46.35,8405
2018-07-03,46.59,2782
2018-07-05,46.97,3960
2018-07-06,47.28,4311
2018-07-09,47.24,1638
2018-07-10,47.0,1812
2018-07-11,47.0,60
2018-07-12,46.78,507
2018-07-13,46.86,2624
2018-07-16,46.57,7224
2018-07-17,46.48,2546
2018-07-18,46.62,6796
2018-07-19,47.05,1793
2018-07-20,47.09,2888
2018-07-23,47.06,4163
2018-07-24,46.95,6547
2018-07-25,46.8,6312
2018-07-26,47.06,10921
2018-07-27,46.6,4099
2018-07-30,46.56,1272
2018-07-31,47.06,1371
2018-08-01,46.68,5205
2018-08-02,47.11,2459
2018-08-03,47.28,1228
2018-08-06,47.4,468
2018-08-07,47.43,570
2018-08-08,47.55,1315
2018-08-09,47.61,849
2018-08-10,47.5,8453
2018-08-13,47.35,3462
2018-08-14,47.92,341
2018-08-15,47.48,3724
2018-08-16,47.82,3649
2018-08-17,47.99,4841
2018-08-20,48.14,25968
2018-08-21,48.67,4583
2018-08-22,48.46,3520
2018-08-23,48.38,1745
2018-08-24,48.45,16041
2018-08-27,48.41,2951
2018-08-28,48.1,8271
2018-08-29,48.22,4006
2018-08-30,48.17,6215
2018-08-31,48.38,2385
2018-09-04,48.2,4009
2018-09-05,48.45,4380
2018-09-06,48.45,6278
2018-09-07,48.36,3763
2018-09-10,48.39,2763
2018-09-11,48.17,4176
2018-09-12,48.11,6391
2018-09-13,48.13,2935
2018-09-14,48.62,2475
2018-09-17,48.19,2335
2018-09-18,48.09,4917
2018-09-19,47.69,4918
2018-09-20,48.05,1687
2018-09-21,48.05,3401
2018-09-24,47.6,2736
2018-09-25,47.71,1782
2018-09-26,47.46,3961
2018-09-27,47.09,4542
2018-09-28,47.17,2270
2018-10-01,46.55,6168
2018-10-02,46.32,4840
2018-10-03,46.64,3267
2018-10-04,46.3,5364
2018-10-05,46.11,1214
2018-10-08,46.43,3066
2018-10-09,46.32,5834
2018-10-10,45.9,5843
2018-10-11,44.34,5533
2018-10-12,43.55,2059
2018-10-15,44.43,7075
2018-10-16,45.04,3446
2018-10-17,44.77,4976
2018-10-18,44.08,2429
2018-10-19,43.76,3953
2018-10-22,44.27,7132
2018-10-23,43.91,2703
2018-10-24,42.94,7208
2018-10-25,43.27,5130
2018-10-26,42.95,2565
2018-10-29,42.96,1468
2018-10-30,43.8,16152
2018-10-31,43.75,6053
2018-11-01,44.13,5873
2018-11-02,44.3,12032
2018-11-05,44.52,4444
2018-11-06,44.95,7593
2018-11-07,45.51,7153
2018-11-08,45.46,28005
2018-11-09,45.05,8911
2018-11-12,44.61,5028
2018-11-13,44.68,10050
2018-11-14,44.37,16388
2018-11-15,44.75,6053
2018-11-16,44.9,7946
2018-11-19,44.54,12130
2018-11-20,43.82,4719
2018-11-21,44.22,2970
2018-11-23,44.46,944
2018-11-26,44.4,23147
2018-11-27,44.08,5122
2018-11-28,44.74,7737
2018-11-29,44.75,3803
2018-11-30,44.89,5954
2018-12-03,44.97,7100
2018-12-04,43.14,2627
2018-12-06,43.06,8750
2018-12-07,42.69,6284
2018-12-10,42.6,6108
2018-12-11,42.65,3503
2018-12-12,42.95,60335
2018-12-13,42.46,1955
2018-12-14,41.72,13000
2018-12-17,41.29,16678
2018-12-18,41.18,31711
2018-12-19,41.29,7169
2018-12-20,39.99,12283
2018-12-21,39.43,38442
2018-12-24,38.78,5106
2018-12-26,39.5,13713
2018-12-27,39.35,9357
2018-12-28,40.22,7316
2018-12-31,40.15,36091
2019-01-02,40.35,20193
2019-01-03,39.97,115010
2019-01-04,41.19,10053
2019-01-07,41.38,19479
2019-01-08,41.99,8050
2019-01-09,42.2,9057
2019-01-10,42.41,5602
2019-01-11,42.42,8365
2019-01-14,42.2,8110
2019-01-15,42.2,6981
2019-01-16,42.65,5612
2019-01-17,43.14,9403
2019-01-18,43.46,56689
2019-01-22,42.95,17700
2019-01-23,42.87,107228
2019-01-24,42.95,5916
2019-01-25,43.18,10564
2019-01-28,43.05,17477
2019-01-29,42.93,10560
2019-01-30,42.9,11916
2019-01-31,43.51,8334
2019-02-01,43.12,5105
2019-02-04,43.59,4476
2019-02-05,43.86,9491
2019-02-06,43.75,3352
2019-02-07,43.65,5605
2019-02-08,43.7,23217
2019-02-11,43.96,3835
2019-02-12,44.47,34970
2019-02-13,44.46,4334
2019-02-14,44.55,3075
2019-02-15,44.95,6982
2019-02-19,45.29,7864
2019-02-20,45.47,3514
2019-02-21,45.21,2142
2019-02-22,45.53,8945
2019-02-25,45.47,4589
2019-02-26,45.09,3183
2019-02-27,45.18,1994
2019-02-28,45.19,1418
2019-03-01,45.33,4695
2019-03-04,45.19,6112
2019-03-05,45.12,1864
2019-03-06,44.35,29913
2019-03-07,43.86,4682
2019-03-08,43.87,9036
2019-03-11,44.42,12440
2019-03-12,44.34,5578
2019-03-13,44.46,2742
2019-03-14,44.08,4038
2019-03-15,44.09,17371
2019-03-18,44.4,67461
2019-03-19,44.0,5857
2019-03-20,43.36,14859
2019-03-21,43.93,4578
2019-03-22,42.68,2944
2019-03-25,42.83,263
2019-03-26,43.35,2781
2019-03-27,43.69,7105
2019-03-28,43.78,6420
2019-03-29,43.85,2355
2019-04-01,44.47,4234
2019-04-02,43.97,7120
2019-04-03,44.13,4506
2019-04-04,44.4,3991
2019-04-05,44.84,2047
2019-04-08,44.85,1667
2019-04-09,44.24,10604
2019-04-10,44.91,6634
2019-04-11,44.95,8302
2019-04-12,45.27,7714
2019-04-15,45.12,4216
2019-04-16,45.22,7575
2019-04-17,45.24,5483
2019-04-18,44.98,12888
2019-04-22,44.52,8320
2019-04-23,45.2,6539
2019-04-24,45.3,1619
2019-04-25,44.82,6935
2019-04-26,45.14,5067
2019-04-29,45.46,566
2019-04-30,45.34,5008
2019-05-01,44.9,7380
2019-05-02,44.83,12256
2019-05-03,45.7,7378
2019-05-06,45.63,6624
2019-05-07,44.9,5294
2019-05-08,44.64,7569
2019-05-09,44.61,5884
2019-05-10,44.73,4376
2019-05-13,43.6,4430
2019-05-14,43.96,13295
2019-05-15,43.98,4475
2019-05-16,44.08,5884
2019-05-17,43.82,44175
2019-05-20,43.59,1259
2019-05-21,44.06,2008
2019-05-22,43.54,9240
2019-05-23,42.98,14526
2019-05-24,43.13,2537
2019-05-28,42.64,6334
2019-05-29,42.31,4476
2019-05-30,42.22,1846
2019-05-31,41.72,12002
2019-06-03,41.95,14630
2019-06-04,42.83,3257
2019-06-05,42.86,2614
2019-06-06,42.83,10167
2019-06-07,43.21,5794
2019-06-10,43.12,4743
2019-06-11,43.38,10019
2019-06-12,43.34,6849
2019-06-13,43.33,6128
2019-06-14,43.24,4745
2019-06-17,43.12,2175
2019-06-18,43.51,5507
2019-06-19,43.56,6949
2019-06-20,43.69,3445
2019-06-21,43.4,5546
2019-06-24,43.0,7621
2019-06-25,43.02,18962
2019-06-26,43.09,6030
2019-06-27,43.78,3841
2019-06-28,44.3,5913
2019-07-01,44.06,4121
2019-07-02,43.95,4865
2019-07-03,44.33,1889
2019-07-05,44.4,2476
2019-07-08,44.15,9742
2019-07-09,43.91,2474
2019-07-10,44.04,4743
2019-07-11,43.88,6472
2019-07-12,44.52,14670
2019-07-15,44.15,4978
2019-07-16,44.45,2642
2019-07-17,43.95,4066
2019-07-18,44.09,350302
2019-07-19,44.01,12032
2019-07-22,43.63,5185
2019-07-23,43.81,3369
2019-07-24,44.51,4536
2019-07-25,44.17,39479
2019-07-26,44.67,1355
2019-07-29,44.56,596
2019-07-30,44.8,26076
2019-07-31,44.85,8961
2019-08-01,43.82,2095
2019-08-02,43.37,16841
2019-08-05,42.22,10729
2019-08-06,42.47,21286
