date,close,volume
2018-04-25,45.14,18729
2018-04-26,45.04,9847
2018-04-27,44.9,6411
2018-04-30,44.51,4259
2018-05-01,44.52,9667
2018-05-02,44.69,7297
2018-05-03,44.37,9812
2018-05-04,44.91,6080
2018-05-07,45.17,16077
2018-05-08,45.59,5780
2018-05-09,45.62,3577
2018-05-10,45.81,3106
2018-05-11,45.88,3048
2018-05-14,45.71,7918
2018-05-15,45.66,3932
2018-05-16,46.1,3169
2018-05-17,46.43,2654
2018-05-18,46.44,8190
2018-05-21,46.91,4047
2018-05-22,46.59,3894
2018-05-23,46.58,70691
2018-05-24,46.62,2739
2018-05-25,46.68,4844
2018-05-29,46.65,4392
2018-05-30,47.3,27994
2018-05-31,46.87,3411
2018-06-01,47.16,1938
2018-06-04,47.45,13929
2018-06-05,47.74,9008
2018-06-06,48.1,3529
2018-06-07,48.07,4540
2018-06-08,48.21,1905
2018-06-11,48.26,3992
2018-06-12,48.3,17652
2018-06-13,48.17,7460
2018-06-14,48.2,13735
2018-06-15,48.35,2813
2018-06-18,48.51,9912
2018-06-19,48.63,3527
2018-06-20,48.89,4858
2018-06-21,48.52,6653
2018-06-22,48.31,1924
2018-06-25,47.72,10113
2018-06-26,48.15,9506
2018-06-27,47.6,4961
2018-06-28,47.43,10526
2018-06-29,47.5,4015
2018-07-02,47.83,12291
2018-07-03,48.11,2392
2018-07-05,48.46,5274
2018-07-06,48.76,8922
2018-07-09,49.09,7675
2018-07-10,48.84,11742
2018-07-11,48.52,1751
2018-07-12,48.48,22623
2018-07-13,48.5,35985
2018-07-16,48.24,809
2018-07-17,48.39,1630
2018-07-18,48.47,3035
2018-07-19,48.86,7434
2018-07-20,48.9,8807
2018-07-23,48.91,4709
2018-07-24,48.42,5241
2018-07-25,48.32,2332
2018-07-26,48.74,4866
2018-07-27,48.09,5713
2018-07-30,47.86,13396
2018-07-31,48.34,4016
2018-08-01,48.26,4330
2018-08-02,48.64,11680
2018-08-03,48.55,2049
2018-08-06,48.93,2495
2018-08-07,49.1,7976
2018-08-08,49.15,10682
2018-08-09,49.19,10750
2018-08-10,49.08,7203
2018-08-13,48.86,6184
2018-08-14,49.41,6329
2018-08-15,48.9,33223
2018-08-16,49.28,6236
2018-08-17,49.57,4639
2018-08-20,49.65,8221
2018-08-21,50.27,13126
2018-08-22,50.24,10012
2018-08-23,50.15,4994
2018-08-24,50.23,10276
2018-08-27,50.28,11927
2018-08-28,50.16,13247
2018-08-29,50.25,8045
2018-08-30,50.15,5175
2018-08-31,50.27,3614
2018-09-04,50.05,6860
2018-09-05,50.1,9583
2018-09-06,49.93,32904
2018-09-07,49.83,7727
2018-09-10,49.82,4411
2018-09-11,49.74,5808
2018-09-12,49.52,11857
2018-09-13,49.43,7827
2018-09-14,49.79,17506
2018-09-17,49.32,5140
2018-09-18,49.48,5494
2018-09-19,49.1,4425
2018-09-20,49.47,6715
2018-09-21,49.29,4293
2018-09-24,48.84,4009
2018-09-25,48.87,16326
2018-09-26,48.33,6153
2018-09-27,48.28,21625
2018-09-28,48.41,13964
2018-10-01,47.75,11388
2018-10-02,47.38,7267
2018-10-03,47.82,21743
2018-10-04,47.42,12135
2018-10-05,46.93,6870
2018-10-08,47.11,4170
2018-10-09,46.92,5816
2018-10-10,46.03,7544
2018-10-11,44.91,21460
2018-10-12,44.61,3633
2018-10-15,44.93,7971
2018-10-16,45.95,24150
2018-10-17,45.55,114812
2018-10-18,44.76,8406
2018-10-19,44.35,19487
2018-10-22,44.41,4784
2018-10-23,44.01,7346
2018-10-24,42.51,29770
2018-10-25,43.5,7404
2018-10-26,43.11,18871
2018-10-29,43.01,6782
2018-10-30,43.92,4842
2018-10-31,43.93,4839
2018-11-01,44.69,16537
2018-11-02,44.71,15827
2018-11-05,44.72,8856
2018-11-06,44.77,3348
2018-11-07,44.83,6721
2018-11-08,44.91,9833
2018-11-09,44.75,5960
2018-11-12,44.66,15268
2018-11-13,44.62,5752
2018-11-14,44.54,10513
2018-11-15,44.63,13497
2018-11-16,44.69,11477
2018-11-19,44.57,5846
2018-11-20,44.35,47039
2018-11-21,44.48,6914
2018-11-23,44.48,2262
2018-11-26,44.51,16825
2018-11-27,44.48,5455
2018-11-28,44.73,6683
2018-11-29,44.69,8105
2018-11-30,44.74,5377
2018-12-03,44.79,13576
2018-12-04,42.72,8909
2018-12-06,42.4,13835
2018-12-07,41.76,11438
2018-12-10,41.63,18157
2018-12-11,41.58,15701
2018-12-12,42.14,14172
2018-12-13,41.47,13806
2018-12-14,40.81,8251
2018-12-17,40.27,17824
2018-12-18,40.2,57000
2018-12-19,39.24,75387
2018-12-20,38.79,144514
2018-12-21,38.15,116723
2018-12-24,37.54,15007
2018-12-26,38.81,26395
2018-12-27,38.94,93301
2018-12-28,39.21,32686
2018-12-31,39.41,50870
2019-01-02,39.74,86434
2019-01-03,39.57,22835
2019-01-04,39.86,29599
2019-01-07,39.98,8905
