date,close,volume
2018-04-25,107.94,1299602
2018-04-26,106.72,509011
2018-04-27,108.09,451970
2018-04-30,107.73,678507
2018-05-01,107.32,597860
2018-05-02,106.85,510654
2018-05-03,106.25,356638
2018-05-04,107.28,257888
2018-05-07,108.26,383418
2018-05-08,107.59,498238
2018-05-09,105.99,741898
2018-05-10,105.82,528173
2018-05-11,105.94,296177
2018-05-14,105.98,282185
2018-05-15,105.01,463146
2018-05-16,105.6,422241
2018-05-17,105.55,765250
2018-05-18,107.17,486378
2018-05-21,107.23,430154
2018-05-22,107.17,346403
2018-05-23,106.62,288140
2018-05-24,107.64,305629
2018-05-25,108.0,278952
2018-05-29,107.51,372640
2018-05-30,108.55,298129
2018-05-31,107.39,365237
2018-06-01,108.81,542954
2018-06-04,109.29,208404
2018-06-05,109.1,243402
2018-06-06,110.55,245761
2018-06-07,111.49,242182
2018-06-08,111.14,366938
2018-06-11,110.45,703555
2018-06-12,110.51,610647
2018-06-13,107.14,1141145
2018-06-14,107.4,421977
2018-06-15,108.58,573726
2018-06-18,108.33,331084
2018-06-19,107.36,469003
2018-06-20,107.52,229439
2018-06-21,106.96,278551
2018-06-22,108.22,600987
2018-06-25,108.6,474833
2018-06-26,108.02,370367
2018-06-27,107.37,293862
2018-06-28,108.63,270266
2018-06-29,108.31,482866
2018-07-02,108.88,388676
2018-07-03,109.58,282352
2018-07-05,110.05,330427
2018-07-06,112.3,367083
2018-07-09,112.93,357333
2018-07-10,113.96,323422
2018-07-11,113.74,262691
2018-07-12,113.32,228223
2018-07-13,114.32,363600
2018-07-16,113.22,242037
2018-07-17,112.58,466333
2018-07-18,113.24,452501
2018-07-19,114.36,317802
2018-07-20,114.98,388328
2018-07-23,112.52,610497
2018-07-24,112.74,482023
2018-07-25,121.89,1516190
2018-07-26,122.25,739615
2018-07-27,122.19,604279
2018-07-30,121.62,580439
2018-07-31,122.84,452250
2018-08-01,123.41,601275
2018-08-02,123.71,426857
2018-08-03,124.91,391182
2018-08-06,125.18,569715
2018-08-07,126.1,606299
2018-08-08,126.38,200112
2018-08-09,125.67,266217
2018-08-10,124.33,267279
2018-08-13,123.45,230454
2018-08-14,123.65,319458
2018-08-15,122.72,477869
2018-08-16,123.82,368931
2018-08-17,125.17,423336
2018-08-20,125.67,307684
2018-08-21,126.82,193572
2018-08-22,126.88,228568
2018-08-23,126.8,173086
2018-08-24,127.53,232650
2018-08-27,128.56,212189
2018-08-28,128.15,163689
2018-08-29,128.82,143785
2018-08-30,127.47,272667
2018-08-31,126.81,414866
2018-09-04,126.57,434366
2018-09-05,126.42,332695
2018-09-06,126.83,369747
2018-09-07,126.85,481524
2018-09-10,128.02,332969
2018-09-11,127.99,260707
2018-09-12,127.72,198615
2018-09-13,127.75,323702
2018-09-14,128.36,445476
2018-09-17,127.56,374470
2018-09-18,127.69,532240
2018-09-19,127.74,338248
2018-09-20,124.17,856855
2018-09-21,123.85,1054779
2018-09-24,122.48,316572
2018-09-25,121.45,683978
2018-09-26,122.61,640936
2018-09-27,121.84,341577
2018-09-28,121.8,355975
2018-10-01,121.06,233936
2018-10-02,120.82,286641
2018-10-03,120.98,386817
2018-10-04,117.95,421961
2018-10-05,117.2,540001
2018-10-08,115.93,407869
2018-10-09,108.39,832646
2018-10-10,108.5,977517
2018-10-11,106.3,741681
2018-10-12,106.11,376683
2018-10-15,107.02,530342
2018-10-16,110.26,428018
2018-10-17,108.41,552700
2018-10-18,104.4,605263
2018-10-19,101.75,420055
2018-10-22,103.05,559763
2018-10-23,102.48,795804
2018-10-24,93.87,2042485
2018-10-25,95.85,654729
2018-10-26,95.14,534344
2018-10-29,95.37,626172
2018-10-30,96.62,462736
2018-10-31,96.59,668896
2018-11-01,98.06,417100
2018-11-02,99.24,496128
2018-11-05,99.48,436861
2018-11-06,101.53,481648
2018-11-07,101.65,328008
2018-11-08,102.03,382382
2018-11-09,102.01,448979
2018-11-12,101.26,438152
2018-11-13,103.63,847808
2018-11-14,103.33,344644
2018-11-15,105.01,372342
2018-11-16,105.1,356356
2018-11-19,103.3,341961
2018-11-20,102.39,379221
2018-11-21,103.56,348208
2018-11-23,103.86,151773
2018-11-26,104.43,282012
2018-11-27,103.03,297941
2018-11-28,104.77,210712
2018-11-29,104.59,254652
2018-11-30,105.52,317992
2018-12-03,105.63,332312
2018-12-04,102.08,282003
2018-12-06,101.15,412059
2018-12-07,99.52,359688
2018-12-10,100.71,319760
2018-12-11,100.18,445174
2018-12-12,99.94,334670
2018-12-13,98.27,322692
2018-12-14,96.56,398994
2018-12-17,95.7,618596
2018-12-18,95.55,472179
2018-12-19,95.46,409835
2018-12-20,95.1,487631
2018-12-21,94.41,813783
2018-12-24,93.18,313518
2018-12-26,97.3,349183
2018-12-27,99.37,346397
2018-12-28,99.1,296110
2018-12-31,100.52,317604
2019-01-02,100.97,418267
2019-01-03,99.04,356406
2019-01-04,101.04,456824
2019-01-07,101.04,403314
2019-01-08,102.59,400842
2019-01-09,104.01,217413
2019-01-10,105.61,280072
2019-01-11,106.26,343760
2019-01-14,106.08,314321
2019-01-15,104.56,398849
2019-01-16,105.44,220227
2019-01-17,106.85,357344
2019-01-18,108.72,310487
2019-01-22,107.67,250824
2019-01-23,107.1,260831
2019-01-24,107.7,246575
2019-01-25,108.24,254681
2019-01-28,108.35,263158
2019-01-29,107.77,379587
2019-01-30,107.68,808951
2019-01-31,107.73,540226
2019-02-01,108.78,432114
2019-02-04,110.21,454154
2019-02-05,110.79,598227
2019-02-06,112.36,406852
2019-02-07,112.66,637909
2019-02-08,119.31,1485467
2019-02-11,118.93,549274
2019-02-12,119.65,339295
2019-02-13,120.58,364811
2019-02-14,120.82,375772
2019-02-15,121.42,279327
2019-02-19,121.8,312631
2019-02-20,121.87,355312
2019-02-21,122.16,259869
2019-02-22,123.15,349992
2019-02-25,123.32,359741
2019-02-26,123.52,297842
2019-02-27,123.5,221041
2019-02-28,123.08,217274
2019-03-01,124.11,240075
2019-03-04,123.66,218990
2019-03-05,123.65,322918
2019-03-06,122.99,318406
2019-03-07,121.85,424633
2019-03-08,121.47,237053
2019-03-11,121.68,456057
2019-03-12,121.23,357982
2019-03-13,122.36,510031
2019-03-14,123.52,502716
2019-03-15,123.9,1003507
2019-03-18,125.03,593724
2019-03-19,123.81,331369
2019-03-20,121.87,380820
2019-03-21,123.34,430764
2019-03-22,120.4,317622
2019-03-25,121.45,292085
2019-03-26,120.15,500631
2019-03-27,119.51,505164
2019-03-28,121.96,406322
2019-03-29,122.62,335843
2019-04-01,125.29,402500
2019-04-02,124.29,314933
2019-04-03,124.66,331425
2019-04-04,124.09,367126
2019-04-05,125.22,389489
2019-04-08,125.5,267805
2019-04-09,124.29,319058
2019-04-10,125.53,208782
2019-04-11,126.55,191413
2019-04-12,126.9,275075
2019-04-15,127.46,312800
2019-04-16,127.38,219896
2019-04-17,126.86,264651
2019-04-18,127.93,320373
2019-04-22,126.71,465237
2019-04-23,128.43,851934
2019-04-24,138.1,2021950
2019-04-25,137.49,567466
2019-04-26,139.95,408623
2019-04-29,139.72,367597
2019-04-30,141.42,593326
2019-05-01,140.15,251811
2019-05-02,139.81,394469
2019-05-03,140.47,361949
2019-05-06,139.01,475705
2019-05-07,137.65,223003
2019-05-08,136.03,248845
2019-05-09,135.52,336810
2019-05-10,136.35,230478
2019-05-13,134.59,392168
2019-05-14,135.1,227433
2019-05-15,136.36,560878
2019-05-16,137.43,382375
2019-05-17,136.91,180161
2019-05-20,136.27,191310
2019-05-21,137.73,249213
2019-05-22,135.41,287468
2019-05-23,134.06,234760
2019-05-24,135.26,221725
2019-05-28,135.13,240125
2019-05-29,135.58,252416
2019-05-30,136.96,242915
2019-05-31,133.31,430834
2019-06-03,133.26,506853
2019-06-04,135.27,532371
2019-06-05,136.27,277397
2019-06-06,136.43,278801
2019-06-07,137.84,239639
2019-06-10,138.82,208453
2019-06-11,137.92,163984
2019-06-12,137.99,233778
2019-06-13,137.79,214378
2019-06-14,137.13,211143
2019-06-17,135.53,312253
2019-06-18,136.68,321941
2019-06-19,138.28,460932
2019-06-20,141.12,546903
2019-06-21,139.23,417647
2019-06-24,141.15,461665
2019-06-25,138.43,321656
2019-06-26,137.1,262175
2019-06-27,138.97,355609
2019-06-28,140.41,1454851
2019-07-01,140.95,290505
2019-07-02,140.14,281353
2019-07-03,140.03,209870
2019-07-05,139.35,196419
2019-07-08,137.33,317842
2019-07-09,136.0,305461
2019-07-10,134.87,223897
2019-07-11,133.94,244650
2019-07-12,135.38,239441
2019-07-15,134.05,247917
2019-07-16,135.1,330042
2019-07-17,132.05,290169
2019-07-18,131.24,308479
2019-07-19,129.84,359518
2019-07-22,129.81,446006
2019-07-23,132.16,457978
2019-07-24,139.73,1003391
2019-07-25,140.86,622457
2019-07-26,142.01,342333
2019-07-29,143.5,536036
2019-07-30,143.85,367683
2019-07-31,144.21,696294
2019-08-01,139.96,462326
2019-08-02,140.04,434483
2019-08-05,137.09,449427
2019-08-06,139.06,318595
2019-08-07,138.69,471367
2019-08-08,140.89,500286
2019-08-09,140.91,221302
2019-08-12,139.61,203236
2019-08-13,143.21,433224
2019-08-14,139.58,422222
2019-08-15,136.81,481172
2019-08-16,140.99,862051
2019-08-19,141.38,170053
2019-08-20,141.08,270437
2019-08-21,141.12,283967
2019-08-22,140.87,217170
2019-08-23,137.16,442300
2019-08-26,136.6,315449
2019-08-27,137.3,380443
2019-08-28,139.11,253885
2019-08-29,141.61,342908
2019-08-30,144.96,302018
2019-09-03,141.82,261604
2019-09-04,143.63,320816
2019-09-05,144.76,387695
2019-09-06,143.67,316052
2019-09-09,144.3,368842
2019-09-10,141.12,466588
2019-09-11,147.76,473893
2019-09-12,147.4,419947
2019-09-13,149.29,460733
2019-09-16,143.34,574275
2019-09-17,145.29,418485
2019-09-18,145.13,349982
2019-09-19,145.4,355781
2019-09-20,145.23,730746
2019-09-23,144.05,197473
2019-09-24,144.81,359611
2019-09-25,145.25,309978
2019-09-26,145.16,174101
2019-09-27,143.01,244272
2019-09-30,145.54,358025
2019-10-01,142.04,294088
2019-10-02,139.27,316669
2019-10-03,139.84,250180
2019-10-04,141.42,191719
2019-10-07,139.28,279347
2019-10-08,138.07,254371
2019-10-09,139.96,143995
2019-10-10,139.99,371170
2019-10-11,140.84,224081
2019-10-14,140.96,187237
2019-10-15,142.32,200006
2019-10-16,140.9,196388
2019-10-17,142.45,194109
2019-10-18,143.02,285256
2019-10-21,145.3,338544
2019-10-22,145.06,301766
2019-10-23,154.39,1020687
2019-10-24,153.63,611395
2019-10-25,154.76,321477
2019-10-28,155.7,414884
2019-10-29,155.71,360577
2019-10-30,154.97,282538
2019-10-31,152.27,470441
2019-11-01,156.34,460907
2019-11-04,158.29,458054
2019-11-05,160.34,433431
2019-11-06,159.91,272431
2019-11-07,158.04,255576
2019-11-08,157.9,243408
2019-11-11,158.64,255514
2019-11-12,161.93,462798
