date,close,volume
2018-04-25,171.19,358070
2018-04-26,172.89,348511
2018-04-27,173.31,293972
2018-04-30,170.3,765272
2018-05-01,172.34,481979
2018-05-02,170.86,374963
2018-05-03,173.01,553743
2018-05-04,175.23,416951
2018-05-07,175.75,611447
2018-05-08,176.64,384369
2018-05-09,178.88,321527
2018-05-10,181.96,302580
2018-05-11,183.91,338134
2018-05-14,183.27,336985
2018-05-15,183.15,337398
2018-05-16,182.15,312298
2018-05-17,182.25,387063
2018-05-18,182.85,343179
2018-05-21,183.43,425683
2018-05-22,180.87,384188
2018-05-23,180.76,402420
2018-05-24,181.65,319682
2018-05-25,180.84,295306
2018-05-29,180.62,356025
2018-05-30,183.15,325924
2018-05-31,182.25,1160637
2018-06-01,184.56,459538
2018-06-04,186.81,389765
2018-06-05,189.83,426965
2018-06-06,190.93,427381
2018-06-07,189.07,419629
2018-06-08,191.48,289665
2018-06-11,190.52,328808
2018-06-12,192.3,298197
2018-06-13,192.3,355380
2018-06-14,191.56,487001
2018-06-15,190.51,930667
2018-06-18,191.03,399726
2018-06-19,190.55,346960
2018-06-20,190.28,338984
2018-06-21,189.46,313722
2018-06-22,188.63,477910
2018-06-25,185.58,587027
2018-06-26,186.59,425368
2018-06-27,184.35,393927
2018-06-28,185.56,251103
2018-06-29,185.07,438344
2018-07-02,188.65,451159
2018-07-03,187.08,243985
2018-07-05,189.4,408404
2018-07-06,191.27,276370
2018-07-09,192.91,576485
2018-07-10,193.29,420455
2018-07-11,193.56,477536
2018-07-12,195.06,356478
2018-07-13,195.71,320009
2018-07-16,192.5,512063
2018-07-17,194.26,499601
2018-07-18,192.53,539580
2018-07-19,193.68,673306
2018-07-20,203.57,1318215
2018-07-23,205.12,1040480
2018-07-24,206.99,828088
2018-07-25,209.25,645591
2018-07-26,208.79,520775
2018-07-27,205.03,513094
2018-07-30,202.73,650617
2018-07-31,204.48,757843
2018-08-01,205.97,621382
2018-08-02,208.18,535232
2018-08-03,206.92,382579
2018-08-06,210.19,434954
2018-08-07,211.23,360675
2018-08-08,210.8,417865
2018-08-09,211.4,467244
2018-08-10,210.99,369297
2018-08-13,209.68,274640
2018-08-14,210.28,550627
2018-08-15,211.41,483943
2018-08-16,211.93,318946
2018-08-17,212.78,424051
2018-08-20,212.87,467679
2018-08-21,211.94,489129
2018-08-22,212.42,285527
2018-08-23,212.39,248217
2018-08-24,212.63,228376
2018-08-27,212.04,359775
2018-08-28,213.09,254569
2018-08-29,214.27,295247
2018-08-30,213.31,208538
2018-08-31,213.37,391042
2018-09-04,215.54,409787
2018-09-05,214.63,514853
2018-09-06,216.4,276896
2018-09-07,216.23,289328
2018-09-10,214.44,393772
2018-09-11,215.19,332425
2018-09-12,212.91,470967
2018-09-13,213.37,449033
2018-09-14,214.48,312722
2018-09-17,212.47,421111
2018-09-18,214.88,567772
2018-09-19,210.82,441893
2018-09-20,211.69,418538
2018-09-21,211.7,848670
2018-09-24,211.11,471300
2018-09-25,212.96,821976
2018-09-26,201.16,2323181
2018-09-27,197.59,1173954
2018-09-28,197.81,1107434
2018-10-01,198.02,1162532
2018-10-02,195.85,1042699
2018-10-03,196.04,1043054
2018-10-04,194.88,878603
2018-10-05,195.9,856141
2018-10-08,194.46,406522
2018-10-09,195.32,669363
2018-10-10,187.13,858603
2018-10-11,184.02,1210575
2018-10-12,186.97,815061
2018-10-15,184.39,549088
2018-10-16,189.91,543527
2018-10-17,186.2,718166
2018-10-18,180.96,792288
2018-10-19,178.66,642287
2018-10-22,178.66,569267
2018-10-23,174.68,1071075
2018-10-24,168.38,908372
2018-10-25,173.69,837366
2018-10-26,171.47,637020
2018-10-29,171.9,756648
2018-10-30,177.89,1218372
2018-10-31,181.87,1056003
