date,close,volume
2018-04-25,29.8,290
2018-04-26,29.05,2574
2018-04-27,29.1,161
2018-04-30,29.02,473
2018-05-01,29.09,146
2018-05-02,28.7,1203
2018-05-03,28.8,1667
2018-05-04,30.0,166
2018-05-07,30.66,2156
2018-05-08,30.66,1603
2018-05-09,30.66,29
2018-05-10,31.3,792
2018-05-11,31.5,379
2018-05-14,31.3,332
2018-05-15,31.61,136
2018-05-16,31.41,4230
2018-05-17,31.76,2178
2018-05-18,31.91,2382
2018-05-21,32.0,2492
2018-05-22,32.2,1514
2018-05-23,32.08,1454
2018-05-24,32.08,95
2018-05-25,32.15,1310
2018-05-29,31.8,623
2018-05-30,31.92,936
2018-05-31,31.9,601
2018-06-01,31.6,533
2018-06-04,31.36,1230
2018-06-05,30.91,1098
2018-06-06,30.2,3478
2018-06-07,30.72,7624
2018-06-08,31.04,454
2018-06-11,32.1,708
2018-06-12,31.36,100
2018-06-13,31.36,71
2018-06-14,31.91,184
2018-06-15,31.55,949
2018-06-18,31.55,142
2018-06-19,31.2,937
2018-06-20,31.2,1375
2018-06-21,31.48,355
2018-06-22,31.53,761
2018-06-25,31.35,3766
2018-06-26,31.54,4521
2018-06-27,31.6,1051
2018-06-28,31.6,1537
2018-06-29,32.25,1903
2018-07-02,31.76,2467
2018-07-03,31.36,2113
2018-07-05,32.16,425
2018-07-06,32.2,596
2018-07-09,32.25,2718
2018-07-10,32.13,2228
2018-07-11,31.64,593
2018-07-12,31.7,1613
2018-07-13,31.5,1056
2018-07-16,31.75,2457
2018-07-17,31.5,2213
2018-07-18,31.5,279
2018-07-19,31.23,289
2018-07-20,31.42,384
2018-07-23,31.28,793
2018-07-24,31.64,227
2018-07-25,31.63,1180
2018-07-26,31.65,536
2018-07-27,31.43,434
2018-07-30,31.2,255
2018-07-31,31.2,63
2018-08-01,30.95,2688
2018-08-02,31.2,296
2018-08-03,31.2,662
2018-08-06,31.41,1507
2018-08-07,30.88,1347
2018-08-08,31.18,138
2018-08-09,31.0,871
2018-08-10,31.11,5204
2018-08-13,31.4,2068
2018-08-14,31.36,579
2018-08-15,31.75,2293
2018-08-16,32.02,570
2018-08-17,31.96,807
2018-08-20,31.96,62
2018-08-21,32.19,959
2018-08-22,32.17,2178
2018-08-23,32.0,271
2018-08-24,32.09,410
2018-08-27,32.08,642
2018-08-28,31.78,1430
2018-08-29,31.78,5
2018-08-30,31.82,539
2018-08-31,31.82,99
2018-09-04,31.39,302
2018-09-05,31.53,346
2018-09-06,31.53,10
2018-09-07,31.71,454
2018-09-10,31.71,104
2018-09-11,31.91,654
2018-09-12,31.8,856
2018-09-13,31.8,1986
2018-09-14,31.8,167
2018-09-17,31.8,283
2018-09-18,31.45,779
2018-09-19,31.72,409
2018-09-20,31.72,639
2018-09-21,32.32,3751
2018-09-24,32.44,3080
2018-09-25,32.07,207
2018-09-26,32.49,669
2018-09-27,32.5,263
2018-09-28,32.5,165
2018-10-01,32.5,465
2018-10-02,32.48,211
2018-10-03,32.15,2249
2018-10-04,32.29,2037
2018-10-05,32.27,174
2018-10-08,32.34,1021
2018-10-09,32.34,426
2018-10-10,31.96,465
2018-10-11,32.59,350
2018-10-12,32.55,772
2018-10-15,32.59,285
2018-10-16,32.96,750
2018-10-17,32.7,330
2018-10-18,32.7,94
2018-10-19,32.7,46
2018-10-22,32.37,131
2018-10-23,31.79,998
2018-10-24,31.91,571
2018-10-25,32.2,1440
2018-10-26,32.52,1144
2018-10-29,32.66,203
2018-10-30,33.0,416
2018-10-31,33.44,6037
2018-11-01,33.77,117
2018-11-02,34.3,1206
2018-11-05,33.96,4613
2018-11-06,33.96,109
2018-11-07,33.46,7873
2018-11-08,32.41,3888
2018-11-09,32.4,404
2018-11-12,31.26,7843
2018-11-13,31.81,802
2018-11-14,31.78,3474
2018-11-15,31.68,671
2018-11-16,31.68,765
2018-11-19,31.91,630
2018-11-20,31.8,420
2018-11-21,32.0,576
2018-11-23,31.99,302
2018-11-26,31.91,107
2018-11-27,31.74,1193
2018-11-28,31.5,1192
2018-11-29,31.25,2164
2018-11-30,31.25,5191
2018-12-03,31.25,1303
2018-12-04,31.0,598
2018-12-06,31.0,318
2018-12-07,30.58,444
2018-12-10,30.58,331
2018-12-11,30.58,501
2018-12-12,30.81,273
2018-12-13,30.94,190
2018-12-14,30.93,848
2018-12-17,30.93,1352
2018-12-18,31.73,563
2018-12-19,31.65,440
2018-12-20,32.5,631
2018-12-21,33.4,957
2018-12-24,32.59,2039
2018-12-26,31.5,4384
2018-12-27,31.5,120
2018-12-28,31.5,153
2018-12-31,31.5,611
2019-01-02,31.5,661
2019-01-03,32.1,112
2019-01-04,31.24,4044
2019-01-07,31.45,242
2019-01-08,31.99,194
2019-01-09,31.49,606
2019-01-10,31.62,305
2019-01-11,31.3,413
2019-01-14,31.3,183
2019-01-15,31.3,22
2019-01-16,30.72,902
2019-01-17,30.72,82
2019-01-18,31.44,693
2019-01-22,27.5,15128
2019-01-23,27.04,6536
2019-01-24,28.08,6918
2019-01-25,27.86,629
2019-01-28,28.0,1060
2019-01-29,27.95,974
2019-01-30,28.01,590
2019-01-31,28.18,1096
2019-02-01,27.86,1185
2019-02-04,28.25,487
2019-02-05,28.53,1092
2019-02-06,28.6,2680
2019-02-07,28.17,812
2019-02-08,28.11,488
2019-02-11,28.79,1868
2019-02-12,28.96,2149
2019-02-13,28.96,81
2019-02-14,28.46,2311
2019-02-15,28.2,1165
2019-02-19,28.06,3268
2019-02-20,28.01,772
2019-02-21,29.19,994
2019-02-22,28.64,2000
2019-02-25,28.93,2022
2019-02-26,28.95,1380
2019-02-27,29.31,154
2019-02-28,29.35,636
2019-03-01,29.66,1145
2019-03-04,28.62,519
2019-03-05,29.86,496
2019-03-06,29.85,746
2019-03-07,29.02,1589
2019-03-08,29.12,1424
2019-03-11,28.67,2670
2019-03-12,28.79,2174
2019-03-13,29.0,1211
2019-03-14,28.46,2307
2019-03-15,28.5,2093
2019-03-18,28.85,3197
2019-03-19,28.9,1464
2019-03-20,29.39,468
2019-03-21,28.79,3287
2019-03-22,28.43,1843
2019-03-25,28.02,3301
2019-03-26,28.5,2186
2019-03-27,28.32,4687
2019-03-28,28.44,3275
2019-03-29,28.23,496
2019-04-01,28.1,1757
2019-04-02,28.5,3495
2019-04-03,28.9,2116
2019-04-04,28.9,83
2019-04-05,28.08,780
2019-04-08,28.49,212
2019-04-09,28.49,30
2019-04-10,28.46,652
2019-04-11,28.54,319
2019-04-12,28.23,824
2019-04-15,28.2,191
2019-04-16,28.54,277
2019-04-17,28.32,696
2019-04-18,28.51,4625
2019-04-22,28.85,323
2019-04-23,28.47,316
2019-04-24,28.25,200
2019-04-25,28.25,1
2019-04-26,28.26,266
2019-04-29,28.26,0
2019-04-30,28.5,813
2019-05-01,28.16,195
2019-05-02,28.26,911
2019-05-03,28.36,1094
2019-05-06,28.61,797
2019-05-07,29.24,600
2019-05-08,28.95,1997
2019-05-09,27.94,7197
2019-05-10,28.45,928
2019-05-13,28.37,4646
2019-05-14,27.75,8260
2019-05-15,27.92,4676
2019-05-16,27.86,9637
2019-05-17,27.42,4605
2019-05-20,26.95,16101
2019-05-21,27.5,5985
2019-05-22,27.7,8437
2019-05-23,27.7,1
2019-05-24,27.82,517
2019-05-28,27.5,4970
2019-05-29,28.3,3430
2019-05-30,28.57,12180
2019-05-31,29.35,5567
2019-06-03,29.45,846
2019-06-04,28.64,4326
2019-06-05,29.44,1367
2019-06-06,29.1,2334
2019-06-07,29.16,738
2019-06-10,29.0,1335
2019-06-11,29.0,0
2019-06-12,28.6,1650
2019-06-13,28.98,482
2019-06-14,28.98,4
2019-06-17,28.62,4454
2019-06-18,29.79,7357
2019-06-19,28.35,541
2019-06-20,29.8,289
2019-06-21,29.19,3679
2019-06-24,28.32,2902
2019-06-25,28.41,3437
2019-06-26,27.9,4615
2019-06-27,27.69,6130
2019-06-28,28.49,4639
2019-07-01,27.61,5131
2019-07-02,27.47,392
2019-07-03,27.37,951
2019-07-05,26.72,776
2019-07-08,26.26,515
2019-07-09,26.4,292
2019-07-10,26.43,1469
2019-07-11,26.33,1355
2019-07-12,26.75,310
2019-07-15,26.9,2698
2019-07-16,26.75,811
2019-07-17,27.4,210
2019-07-18,27.4,1
2019-07-19,26.75,301
2019-07-22,26.75,274
2019-07-23,26.75,300
2019-07-24,26.26,213
2019-07-25,26.26,783
2019-07-26,26.42,284
2019-07-29,26.81,2254
2019-07-30,27.02,512
2019-07-31,25.91,2663
2019-08-01,27.0,2692
2019-08-02,27.0,3678
2019-08-05,27.01,314
2019-08-06,27.0,465
2019-08-07,27.0,76
2019-08-08,27.0,205
2019-08-09,27.0,1502
2019-08-12,27.6,5097
2019-08-13,28.0,734
2019-08-14,28.5,696
2019-08-15,27.79,308
2019-08-16,27.12,345
2019-08-19,27.5,480
2019-08-20,27.75,435
2019-08-21,28.0,1923
2019-08-22,27.85,3748
2019-08-23,27.85,355
2019-08-26,27.5,236
2019-08-27,27.0,2773
2019-08-28,27.95,1931
2019-08-29,27.75,563
2019-08-30,27.75,1076
2019-09-03,27.0,1362
2019-09-04,28.15,319
2019-09-05,28.15,1
2019-09-06,27.01,1037
2019-09-09,27.2,319
2019-09-10,26.81,2586
2019-09-11,26.78,3450
2019-09-12,25.99,2610
2019-09-13,26.25,305
2019-09-16,26.75,1696
2019-09-17,25.94,5988
2019-09-18,26.8,4405
2019-09-19,26.22,7991
2019-09-20,27.05,1537
2019-09-23,26.85,513
2019-09-24,26.84,2128
2019-09-25,26.59,854
2019-09-26,26.59,131
2019-09-27,26.47,245
2019-09-30,26.47,105
2019-10-01,26.16,516
2019-10-02,26.16,262
