date,close,volume
2018-04-25,14.6,3657488
2018-04-26,14.34,3544648
2018-04-27,13.89,6033783
2018-04-30,13.66,2706501
2018-05-01,13.59,2588502
2018-05-02,13.63,2712797
2018-05-03,13.63,1968925
2018-05-04,13.78,1787218
2018-05-07,13.78,2265617
2018-05-08,13.59,3488874
2018-05-09,13.78,3072798
2018-05-10,13.88,2297397
2018-05-11,13.86,1324874
2018-05-14,13.65,3035493
2018-05-15,13.29,5819923
2018-05-16,13.0,7021184
2018-05-17,12.99,2618935
2018-05-18,12.71,4731074
2018-05-21,12.71,2852541
2018-05-22,12.97,4484437
2018-05-23,12.88,5851120
2018-05-24,12.25,11040657
2018-05-25,12.05,6440505
2018-05-29,11.3,15515590
2018-05-30,11.57,10298173
2018-05-31,11.08,31985982
2018-06-01,11.04,10876930
2018-06-04,11.21,5858035
2018-06-05,11.03,5919045
2018-06-06,11.35,7633411
2018-06-07,11.51,11834230
2018-06-08,11.25,6519302
2018-06-11,11.43,3980919
2018-06-12,11.41,3140139
2018-06-13,11.37,3601514
2018-06-14,11.22,4671331
2018-06-15,11.1,4681880
2018-06-18,11.08,4495085
2018-06-19,11.17,6547623
2018-06-20,11.08,2359263
2018-06-21,10.89,5438427
2018-06-22,11.01,3469309
2018-06-25,10.89,3652269
2018-06-26,10.78,4243456
2018-06-27,10.38,9562158
2018-06-28,10.47,5782773
2018-06-29,10.62,5751155
2018-07-02,10.64,5513018
2018-07-03,10.7,2371812
2018-07-05,11.13,5834326
2018-07-06,11.46,6942805
2018-07-09,11.54,4405445
2018-07-10,11.43,4638150
2018-07-11,11.15,5423179
2018-07-12,11.2,4057714
2018-07-13,11.24,2725509
2018-07-16,12.14,17667654
2018-07-17,11.87,6890436
2018-07-18,12.08,5494030
2018-07-19,12.02,5354761
2018-07-20,12.03,4882821
2018-07-23,12.18,6767348
2018-07-24,12.28,7631518
2018-07-25,12.18,7156939
2018-07-26,12.2,4124105
2018-07-27,12.42,6186455
2018-07-30,12.79,8793337
2018-07-31,13.06,6397500
2018-08-01,12.95,4698460
2018-08-02,12.54,6120150
2018-08-03,12.5,2517226
2018-08-06,12.52,3699378
2018-08-07,12.62,2495338
2018-08-08,12.52,2841304
2018-08-09,12.4,3288676
2018-08-10,11.82,11367054
2018-08-13,11.45,10260292
2018-08-14,11.49,4532518
2018-08-15,11.19,6391745
2018-08-16,11.21,4143178
2018-08-17,11.2,3637275
2018-08-20,11.22,3377616
2018-08-21,11.54,4689818
2018-08-22,11.61,3145408
2018-08-23,11.3,3277499
2018-08-24,11.39,2881530
2018-08-27,11.73,4817064
2018-08-28,11.55,3292857
2018-08-29,11.66,2215250
2018-08-30,11.42,3809796
2018-08-31,11.26,3254155
2018-09-04,11.42,3729902
2018-09-05,11.47,2962880
2018-09-06,11.38,3689899
2018-09-07,11.13,3632523
2018-09-10,11.11,2486262
2018-09-11,11.24,8142972
2018-09-12,11.24,10676690
2018-09-13,11.36,3963386
2018-09-14,11.4,2203662
2018-09-17,11.51,2540655
2018-09-18,11.58,1990386
2018-09-19,11.95,4896780
2018-09-20,12.25,5555604
2018-09-21,12.34,7139522
2018-09-24,12.24,3688369
2018-09-25,12.15,2886826
2018-09-26,11.9,3046212
2018-09-27,11.81,3011933
2018-09-28,11.36,4750714
2018-10-01,11.25,5698148
2018-10-02,11.13,3377515
2018-10-03,11.32,3722622
2018-10-04,11.2,5948924
2018-10-05,11.12,3559501
2018-10-08,11.05,3375472
2018-10-09,11.03,2949774
2018-10-10,10.92,3928155
2018-10-11,10.83,7650150
2018-10-12,10.84,4014697
2018-10-15,11.03,4591591
2018-10-16,11.16,3349342
2018-10-17,11.26,4259212
2018-10-18,10.97,6984112
2018-10-19,10.92,6011590
2018-10-22,10.72,4188080
2018-10-23,10.7,5965353
2018-10-24,10.0,11900212
2018-10-25,10.0,8577688
2018-10-26,9.67,6821714
2018-10-29,9.64,5843794
2018-10-30,9.74,4905737
2018-10-31,9.77,4577173
2018-11-01,10.25,7276922
2018-11-02,10.52,7081327
2018-11-05,10.46,2808929
2018-11-06,10.44,2828249
2018-11-07,10.61,3320802
2018-11-08,10.34,3444634
2018-11-09,10.12,3218834
2018-11-12,9.73,6437300
2018-11-13,9.86,4386819
2018-11-14,9.87,3322604
2018-11-15,9.9,3794008
2018-11-16,9.81,3238575
2018-11-19,9.78,3843191
2018-11-20,9.23,9329986
2018-11-21,9.44,3658572
2018-11-23,9.25,2568397
2018-11-26,9.73,8449284
2018-11-27,9.84,4420484
2018-11-28,9.89,4237578
2018-11-29,9.42,11467976
2018-11-30,9.16,6698014
2018-12-03,9.39,5612786
2018-12-04,9.06,6669961
2018-12-06,8.9,11253905
2018-12-07,8.73,5797588
2018-12-10,8.38,10546315
2018-12-11,8.33,6399238
2018-12-12,9.03,19017762
2018-12-13,8.87,6442935
2018-12-14,8.8,4706078
