date,close,volume
2018-04-25,13.51,105367
2018-04-26,13.6,51826
2018-04-27,13.55,46651
2018-04-30,13.38,75616
2018-05-01,13.37,49249
2018-05-02,13.81,86653
2018-05-03,13.83,38430
2018-05-04,13.88,56924
2018-05-07,13.85,35099
2018-05-08,13.68,38560
2018-05-09,13.77,324514
2018-05-10,13.83,47051
2018-05-11,13.86,35399
2018-05-14,13.71,40058
2018-05-15,13.78,37408
2018-05-16,13.61,43376
2018-05-17,13.37,65032
2018-05-18,13.08,85518
2018-05-21,13.21,31518
2018-05-22,13.01,103759
2018-05-23,12.89,58505
2018-05-24,12.86,85262
2018-05-25,13.01,59340
2018-05-29,12.86,94462
2018-05-30,13.18,76009
2018-05-31,13.32,83535
2018-06-01,13.38,55756
2018-06-04,13.63,82141
2018-06-05,13.85,84598
2018-06-06,13.99,72048
2018-06-07,13.78,103444
2018-06-08,13.8,122228
2018-06-11,13.62,74257
2018-06-12,13.65,78599
2018-06-13,13.6,339107
2018-06-14,13.47,44908
2018-06-15,13.38,49086
2018-06-18,13.21,75816
2018-06-19,13.19,89384
2018-06-20,13.32,46230
2018-06-21,13.33,73031
2018-06-22,13.3,121284
2018-06-25,13.21,64665
2018-06-26,13.29,58521
2018-06-27,13.12,59840
2018-06-28,13.05,98380
2018-06-29,13.26,64164
2018-07-02,13.22,66449
2018-07-03,13.4,52367
2018-07-05,13.57,150214
2018-07-06,13.74,35602
2018-07-09,13.76,85109
2018-07-10,13.87,44361
2018-07-11,13.82,546305
2018-07-12,13.85,57461
2018-07-13,13.77,61587
2018-07-16,13.88,41042
2018-07-17,13.91,56511
2018-07-18,13.96,58629
2018-07-19,13.8,48640
2018-07-20,13.7,37295
2018-07-23,13.55,61546
2018-07-24,13.51,54092
2018-07-25,13.65,53858
2018-07-26,13.32,49912
2018-07-27,13.08,71764
2018-07-30,13.14,39055
2018-07-31,13.13,92825
2018-08-01,13.22,66556
2018-08-02,13.07,51543
2018-08-03,13.11,47238
2018-08-06,13.06,58244
2018-08-07,13.11,42413
2018-08-08,13.06,43726
2018-08-09,12.97,64871
2018-08-10,12.68,49084
2018-08-13,12.91,781798
2018-08-14,12.81,199707
2018-08-15,12.63,111979
2018-08-16,12.64,62415
2018-08-17,12.76,48708
2018-08-20,12.86,57774
2018-08-21,13.11,82114
2018-08-22,13.53,76880
2018-08-23,13.51,75713
2018-08-24,13.63,86027
2018-08-27,13.9,94019
2018-08-28,13.87,49759
2018-08-29,13.89,48629
2018-08-30,13.88,74859
2018-08-31,13.76,51525
2018-09-04,13.7,52158
2018-09-05,13.66,46355
2018-09-06,13.54,65227
2018-09-07,13.51,386579
2018-09-10,13.52,116965
2018-09-11,13.73,624686
2018-09-12,13.74,134808
2018-09-13,13.67,47152
2018-09-14,13.63,52197
2018-09-17,13.66,50998
2018-09-18,13.7,68055
2018-09-19,13.53,43553
2018-09-20,13.6,112299
2018-09-21,13.51,59741
2018-09-24,13.68,211525
2018-09-25,13.76,89547
2018-09-26,13.67,77466
2018-09-27,13.6,59185
2018-09-28,13.34,67046
2018-10-01,13.29,56349
2018-10-02,13.34,106800
2018-10-03,13.33,79756
2018-10-04,13.47,88193
2018-10-05,13.3,88739
2018-10-08,13.01,39170
2018-10-09,13.09,89994
2018-10-10,12.76,70133
2018-10-11,12.55,138957
2018-10-12,12.7,129126
2018-10-15,12.69,1130297
2018-10-16,12.89,154306
2018-10-17,12.69,127277
2018-10-18,12.78,160096
2018-10-19,13.02,84549
2018-10-22,13.0,55116
2018-10-23,12.92,110410
2018-10-24,12.61,117615
2018-10-25,12.41,131189
2018-10-26,12.41,87491
2018-10-29,12.49,307737
2018-10-30,12.4,133030
2018-10-31,12.59,145315
2018-11-01,12.71,80501
2018-11-02,12.66,119891
2018-11-05,12.6,116599
2018-11-06,12.69,105460
2018-11-07,12.79,78196
2018-11-08,12.55,139810
2018-11-09,12.55,96687
2018-11-12,12.47,78276
2018-11-13,12.56,97850
2018-11-14,12.56,82549
2018-11-15,12.46,208277
2018-11-16,13.03,111766
2018-11-19,12.71,57360
2018-11-20,12.63,129534
2018-11-21,12.88,110555
2018-11-23,12.9,41202
2018-11-26,12.71,109185
2018-11-27,12.74,65977
2018-11-28,12.93,69403
2018-11-29,12.65,78426
2018-11-30,12.76,75208
2018-12-03,13.03,270794
2018-12-04,12.87,133762
2018-12-06,12.61,145329
2018-12-07,12.57,587279
2018-12-10,12.56,128050
2018-12-11,12.48,229409
2018-12-12,12.36,309172
2018-12-13,12.21,702116
2018-12-14,11.96,185190
2018-12-17,11.76,150821
2018-12-18,11.64,205392
2018-12-19,11.81,250020
2018-12-20,11.94,189568
2018-12-21,11.87,229830
2018-12-24,11.84,106923
2018-12-26,11.96,165891
2018-12-27,11.78,171709
2018-12-28,11.94,128652
2018-12-31,11.93,212543
2019-01-02,12.0,71436
2019-01-03,11.91,78011
2019-01-04,12.22,59496
2019-01-07,12.25,105439
2019-01-08,12.27,117890
2019-01-09,12.43,91113
2019-01-10,12.38,53722
2019-01-11,12.4,92622
2019-01-14,12.35,272182
2019-01-15,12.43,70069
2019-01-16,12.69,88724
2019-01-17,12.84,100270
2019-01-18,13.0,121838
2019-01-22,13.24,297814
2019-01-23,12.98,161013
2019-01-24,12.95,69021
2019-01-25,13.04,116294
2019-01-28,13.19,166551
2019-01-29,13.27,226906
2019-01-30,13.29,77743
2019-01-31,13.27,102956
2019-02-01,13.19,68469
2019-02-04,13.18,99621
2019-02-05,13.16,64334
2019-02-06,13.09,167472
2019-02-07,12.95,541868
2019-02-08,12.68,74831
2019-02-11,12.76,90249
2019-02-12,12.78,66139
2019-02-13,12.66,74746
2019-02-14,12.41,137321
2019-02-15,12.52,194835
2019-02-19,12.54,459191
2019-02-20,12.61,81650
2019-02-21,12.53,373889
2019-02-22,12.65,92114
2019-02-25,12.65,65082
2019-02-26,12.7,111440
2019-02-27,12.42,156286
2019-02-28,12.59,86929
2019-03-01,12.82,61261
2019-03-04,12.61,84328
2019-03-05,12.62,58050
2019-03-06,12.65,73803
2019-03-07,12.52,154231
2019-03-08,12.77,92912
2019-03-11,12.68,59278
2019-03-12,12.74,86286
2019-03-13,12.94,56287
2019-03-14,12.85,61172
2019-03-15,12.99,61939
2019-03-18,13.01,34407
2019-03-19,13.06,33195
2019-03-20,13.05,55271
2019-03-21,12.62,69778
2019-03-22,12.56,62183
2019-03-25,12.53,60920
2019-03-26,12.7,119973
2019-03-27,12.77,72278
2019-03-28,12.74,48397
2019-03-29,12.78,48631
2019-04-01,12.78,45084
2019-04-02,12.92,62781
2019-04-03,13.09,54022
2019-04-04,13.03,124568
2019-04-05,13.03,51630
2019-04-08,13.03,37231
2019-04-09,12.88,128008
2019-04-10,12.95,92627
2019-04-11,12.88,37828
2019-04-12,12.86,43849
2019-04-15,12.74,56490
2019-04-16,13.2,56459
2019-04-17,13.19,70502
2019-04-18,13.21,123872
2019-04-22,13.23,35379
2019-04-23,13.25,77327
2019-04-24,13.21,46097
2019-04-25,13.06,89209
2019-04-26,13.02,47199
2019-04-29,13.03,57422
2019-04-30,13.31,78058
2019-05-01,13.2,39182
2019-05-02,13.19,54716
2019-05-03,13.26,67602
2019-05-06,13.44,123229
2019-05-07,13.33,40486
2019-05-08,13.39,61404
2019-05-09,13.18,59227
2019-05-10,13.32,116542
2019-05-13,13.21,44844
2019-05-14,13.48,86481
2019-05-15,13.58,84511
2019-05-16,13.55,88004
2019-05-17,13.55,61411
2019-05-20,13.59,106124
2019-05-21,13.54,152212
2019-05-22,13.78,57584
2019-05-23,13.71,64764
2019-05-24,14.04,102872
2019-05-28,13.74,139939
2019-05-29,13.71,615930
2019-05-30,13.89,752361
2019-05-31,13.73,744855
2019-06-03,13.8,111490
2019-06-04,14.0,221720
2019-06-05,13.97,136191
2019-06-06,14.07,55316
2019-06-07,14.25,63007
2019-06-10,14.22,59683
2019-06-11,14.31,81813
2019-06-12,14.24,66299
2019-06-13,14.12,71668
2019-06-14,14.04,69446
2019-06-17,13.94,47271
2019-06-18,14.12,229379
2019-06-19,14.11,66553
2019-06-20,14.11,65114
2019-06-21,14.34,83078
2019-06-24,14.28,61658
2019-06-25,14.31,71922
2019-06-26,14.14,75107
2019-06-27,13.98,64232
2019-06-28,14.08,122866
2019-07-01,14.36,131571
2019-07-02,14.46,71687
2019-07-03,14.55,41609
2019-07-05,14.39,26354
2019-07-08,14.36,45475
2019-07-09,14.33,50939
2019-07-10,14.33,91287
2019-07-11,14.41,45435
2019-07-12,14.25,42386
2019-07-15,14.28,75810
2019-07-16,14.22,58264
2019-07-17,14.17,56539
2019-07-18,14.43,60315
2019-07-19,14.42,72911
2019-07-22,14.31,51973
2019-07-23,14.15,69055
2019-07-24,14.18,64729
2019-07-25,14.06,58346
2019-07-26,14.13,51823
2019-07-29,13.82,70226
2019-07-30,13.83,78245
2019-07-31,13.91,296876
2019-08-01,14.59,50859
2019-08-02,14.39,58754
2019-08-05,14.18,52762
2019-08-06,14.06,103438
2019-08-07,14.26,66305
2019-08-08,14.33,70011
2019-08-09,14.34,61353
2019-08-12,14.16,416563
2019-08-13,14.27,477433
2019-08-14,14.03,108931
2019-08-15,14.03,467480
2019-08-16,14.2,135235
2019-08-19,14.3,68439
2019-08-20,14.27,164964
2019-08-21,14.47,265444
2019-08-22,14.43,81590
2019-08-23,14.54,144163
2019-08-26,14.51,55057
2019-08-27,14.22,134528
2019-08-28,14.01,80624
2019-08-29,14.08,44959
2019-08-30,14.64,107823
2019-09-03,14.98,34952
2019-09-04,15.16,99682
2019-09-05,14.96,103170
2019-09-06,15.06,111528
2019-09-09,14.96,78267
2019-09-10,14.87,72140
2019-09-11,14.99,44165
2019-09-12,15.2,122094
2019-09-13,15.23,61875
2019-09-16,15.13,61988
2019-09-17,15.33,67269
2019-09-18,15.32,108632
2019-09-19,15.3,47788
2019-09-20,15.23,230185
2019-09-23,15.28,64850
2019-09-24,15.38,93080
2019-09-25,15.28,56610
2019-09-26,15.47,82223
2019-09-27,15.59,89835
2019-09-30,15.55,86268
2019-10-01,15.29,68271
2019-10-02,15.0,34755
2019-10-03,15.06,56835
2019-10-04,15.36,186807
2019-10-07,15.28,50298
2019-10-08,15.23,56304
2019-10-09,15.38,71340
2019-10-10,15.45,66320
2019-10-11,15.57,54305
2019-10-14,15.83,42784
2019-10-15,15.99,62721
2019-10-16,15.68,34238
2019-10-17,15.81,67555
2019-10-18,15.86,116682
2019-10-21,15.52,126995
2019-10-22,15.59,45068
2019-10-23,15.5,66573
2019-10-24,15.75,40912
2019-10-25,15.62,101856
2019-10-28,15.46,57316
2019-10-29,15.53,62431
2019-10-30,15.68,44286
2019-10-31,15.48,62152
2019-11-01,15.53,39648
2019-11-04,15.19,52485
2019-11-05,14.88,40643
2019-11-06,15.07,55296
2019-11-07,14.77,54388
2019-11-08,14.86,55296
2019-11-11,14.91,56978
2019-11-12,14.96,97007
2019-11-13,14.91,110342
2019-11-14,15.0,49798
2019-11-15,15.09,43923
2019-11-18,15.2,59263
2019-11-19,15.22,45628
2019-11-20,15.14,220904
2019-11-21,15.04,70155
2019-11-22,15.02,38003
2019-11-25,15.1,43044
2019-11-26,15.17,83482
2019-11-27,15.27,61021
2019-11-29,15.29,26446
2019-12-02,14.97,59851
2019-12-03,15.13,38818
2019-12-04,15.29,37207
2019-12-05,15.2,52877
2019-12-06,15.11,58867
2019-12-09,15.1,63953
2019-12-10,15.03,44485
2019-12-11,15.31,76241
2019-12-12,15.3,78625
2019-12-13,15.29,36509
2019-12-16,15.61,41483
2019-12-17,15.56,51629
2019-12-18,15.46,39800
2019-12-19,15.24,57323
2019-12-20,15.62,57818
2019-12-23,15.48,55495
2019-12-24,15.53,22803
2019-12-26,15.51,38128
2019-12-27,15.63,54578
2019-12-30,15.58,23582
2019-12-31,15.58,26839
2020-01-02,15.77,96740
2020-01-03,15.51,73418
2020-01-06,15.47,65255
2020-01-07,15.42,82822
2020-01-08,15.77,54811
2020-01-09,15.96,124350
2020-01-10,15.97,127978
2020-01-13,15.91,56972
2020-01-14,15.91,55624
2020-01-15,16.02,56713
2020-01-16,16.1,34736
2020-01-17,16.19,46865
2020-01-21,16.39,45482
2020-01-22,16.61,131982
2020-01-23,16.39,77857
2020-01-24,16.44,55937
2020-01-27,16.19,44520
2020-01-28,16.39,70401
2020-01-29,16.45,67343
2020-01-30,16.44,130997
2020-01-31,16.2,57557
2020-02-03,16.46,68062
2020-02-04,16.66,66113
2020-02-05,16.5,71935
2020-02-06,16.63,54167
2020-02-07,16.57,84749
2020-02-10,16.64,72561
2020-02-11,16.7,138578
2020-02-12,16.62,67949
2020-02-13,16.55,71306
2020-02-14,16.57,120905
2020-02-18,16.72,177458
2020-02-19,16.9,49217
2020-02-20,16.65,68288
2020-02-21,16.79,69559
2020-02-24,16.46,67063
2020-02-25,16.05,140566
2020-02-26,16.16,97795
2020-02-27,15.81,146611
2020-02-28,15.65,145649
2020-03-02,16.21,164574
2020-03-03,16.22,217217
2020-03-04,16.95,147001
2020-03-05,17.02,145025
2020-03-06,16.63,167204
2020-03-09,15.83,181302
2020-03-10,15.72,211838
2020-03-11,14.84,224716
2020-03-12,13.05,230108
2020-03-13,13.49,320899
2020-03-16,12.04,393385
2020-03-17,11.99,378404
2020-03-18,10.59,417205
2020-03-19,10.68,323621
2020-03-20,10.44,255901
2020-03-23,11.03,270836
2020-03-24,12.5,354397
2020-03-25,12.94,217107
2020-03-26,13.78,323428
2020-03-27,12.97,282163
2020-03-30,13.78,358487
2020-03-31,13.52,240302
2020-04-01,12.96,257627
2020-04-02,13.0,143429
2020-04-03,13.46,230043
2020-04-06,14.44,284897
2020-04-07,14.05,224976
2020-04-08,14.26,160277
2020-04-09,14.48,101554
2020-04-13,14.31,147047
2020-04-14,14.84,199368
2020-04-15,14.53,274795
2020-04-16,15.02,188398
2020-04-17,15.2,130988
2020-04-20,14.78,147366
2020-04-21,14.41,250745
2020-04-22,14.7,2352289
2020-04-23,14.62,821127
2020-04-24,14.7,159184
2020-04-27,15.19,112366
2020-04-28,14.93,122152
2020-04-29,15.48,159765
2020-04-30,15.4,114035
2020-05-01,15.06,91659
2020-05-04,15.24,150257
2020-05-05,15.48,94960
2020-05-06,15.57,139191
2020-05-07,15.91,76671
2020-05-08,16.04,106899
2020-05-11,16.15,140921
2020-05-12,16.01,281925
2020-05-13,15.95,149470
2020-05-14,15.84,159482
2020-05-15,15.89,224358
2020-05-18,16.6,128094
2020-05-19,16.29,205204
2020-05-20,16.45,232732
2020-05-21,16.19,111188
2020-05-22,16.38,61006
2020-05-26,16.26,50998
2020-05-27,16.36,97164
2020-05-28,16.43,80679
2020-05-29,16.43,618264
2020-06-01,16.78,140761
2020-06-02,16.73,671526
2020-06-03,17.45,381702
2020-06-04,17.42,141967
2020-06-05,17.44,83417
2020-06-08,17.39,124373
2020-06-09,17.4,55638
2020-06-10,17.31,81380
2020-06-11,16.72,54603
2020-06-12,16.89,63821
2020-06-15,16.98,61925
2020-06-16,17.3,72838
2020-06-17,17.39,62882
2020-06-18,17.33,76112
2020-06-19,17.46,59873
2020-06-22,17.7,54216
2020-06-23,18.18,111873
2020-06-24,17.43,39968
2020-06-25,18.11,94763
2020-06-26,17.84,69420
2020-06-29,17.89,55129
2020-06-30,18.12,35321
2020-07-01,18.19,46035
2020-07-02,18.54,114124
2020-07-06,18.88,46340
2020-07-07,18.67,43080
2020-07-08,18.93,84170
2020-07-09,18.68,62976
2020-07-10,18.79,30529
