date,close,volume
2018-04-25,22.16,47
2018-04-26,22.16,3
2018-04-27,22.06,338
2018-04-30,22.06,0
2018-05-01,22.06,2
2018-05-02,22.06,63
2018-05-03,22.06,0
2018-05-04,22.06,2
2018-05-07,22.06,103
2018-05-08,22.06,64
2018-05-09,21.25,817
2018-05-10,21.21,200
2018-05-11,21.05,670
2018-05-14,21.02,402
2018-05-15,21.1,102
2018-05-16,21.33,10250
2018-05-17,20.71,143
2018-05-18,20.91,104
2018-05-21,20.74,102
2018-05-22,21.03,1125
2018-05-23,21.03,4
2018-05-24,21.03,2
2018-05-25,22.01,8638
2018-05-29,22.01,229
2018-05-30,21.14,10949
2018-05-31,21.38,1807
2018-06-01,21.37,1728
2018-06-04,21.43,302
2018-06-05,21.45,487
2018-06-06,21.56,699
2018-06-07,21.19,2277
2018-06-08,21.19,27
2018-06-11,21.19,201
2018-06-12,21.35,894
2018-06-13,21.33,1720
2018-06-14,21.49,756
2018-06-15,21.82,502
2018-06-18,21.69,391
2018-06-19,21.77,2253
2018-06-20,21.77,7
2018-06-21,21.8,1009
2018-06-22,21.48,538
2018-06-25,21.97,250
2018-06-26,21.58,459
2018-06-27,21.23,2000
2018-06-28,21.36,684
2018-06-29,21.14,300
2018-07-02,21.64,106
2018-07-03,21.64,2
2018-07-05,21.42,483
2018-07-06,21.51,249
2018-07-09,21.51,3
2018-07-10,21.51,72
2018-07-11,21.51,71
2018-07-12,21.51,2
2018-07-13,21.51,2
2018-07-16,21.51,3
2018-07-17,21.51,15
2018-07-18,21.5,1300
2018-07-19,21.5,0
2018-07-20,21.5,50
2018-07-23,21.5,0
2018-07-24,21.4,500
2018-07-25,21.08,2041
2018-07-26,20.88,200
2018-07-27,21.1,600
2018-07-30,21.1,3
2018-07-31,20.79,200
2018-08-01,20.79,0
2018-08-02,20.79,5
2018-08-03,21.25,192
2018-08-06,21.25,48
2018-08-07,21.25,3
2018-08-08,21.25,0
2018-08-09,21.25,3
2018-08-10,21.52,228
2018-08-13,21.52,35
2018-08-14,21.59,650
2018-08-15,22.48,1174
2018-08-16,22.23,302
2018-08-17,22.23,0
2018-08-20,22.23,2
2018-08-21,21.83,1338
2018-08-22,21.83,2
2018-08-23,21.83,7
2018-08-24,21.83,0
2018-08-27,21.45,402
2018-08-28,21.45,3
