date,close,volume
2018-04-25,7.95,3505
2018-04-26,7.82,2960
2018-04-27,8.25,3009
2018-04-30,8.25,9857
2018-05-01,8.4,2456
2018-05-02,8.4,5760
2018-05-03,8.26,6580
2018-05-04,8.37,6436
2018-05-07,7.95,12102
2018-05-08,7.82,11377
2018-05-09,7.89,10512
2018-05-10,7.35,34562
2018-05-11,7.35,6484
2018-05-14,7.2,27200
2018-05-15,7.05,8251
2018-05-16,6.86,6081
2018-05-17,6.75,8989
2018-05-18,7.17,14464
2018-05-21,6.9,5695
2018-05-22,7.97,85838
2018-05-23,7.65,15856
2018-05-24,7.53,3374
2018-05-25,7.65,4458
2018-05-29,7.43,5735
2018-05-30,7.27,7692
2018-05-31,7.36,4635
2018-06-01,7.35,5343
2018-06-04,7.36,2121
2018-06-05,7.62,6115
2018-06-06,7.86,25117
2018-06-07,7.8,10246
2018-06-08,7.84,15381
2018-06-11,8.4,9197
2018-06-12,8.32,101827
2018-06-13,8.46,72662
2018-06-14,8.01,14872
2018-06-15,8.25,7480
2018-06-18,8.1,18651
2018-06-19,7.88,7625
2018-06-20,7.89,3429
2018-06-21,8.1,10771
2018-06-22,7.73,11667
2018-06-25,7.04,29406
2018-06-26,7.05,9875
2018-06-27,6.9,3534
2018-06-28,7.2,2081
2018-06-29,6.86,10592
2018-07-02,6.62,6504
2018-07-03,6.75,4058
2018-07-05,6.9,1778
2018-07-06,7.12,11081
2018-07-09,7.05,3864
2018-07-10,6.75,9439
2018-07-11,6.97,4936
2018-07-12,7.04,3201
2018-07-13,6.85,9037
2018-07-16,7.05,1535
2018-07-17,6.98,5753
2018-07-18,7.01,4664
2018-07-19,6.69,5724
2018-07-20,6.94,2990
2018-07-23,6.61,5539
2018-07-24,6.6,5853
2018-07-25,5.91,28523
2018-07-26,5.93,7375
2018-07-27,5.85,4102
2018-07-30,5.32,13926
2018-07-31,5.55,9407
2018-08-01,5.4,4840
2018-08-02,5.55,3492
2018-08-03,5.2,9809
2018-08-06,4.88,13085
2018-08-07,5.4,4103
2018-08-08,5.25,2165
2018-08-09,5.41,7939
2018-08-10,5.25,4960
2018-08-13,5.55,3219
2018-08-14,5.78,4829
2018-08-15,6.15,18377
2018-08-16,5.78,7855
2018-08-17,6.0,6092
2018-08-20,5.83,4290
2018-08-21,5.85,19298
2018-08-22,5.67,37048
2018-08-23,5.81,2307
2018-08-24,5.97,17637
2018-08-27,5.7,2726
2018-08-28,5.85,3615
2018-08-29,5.76,8839
2018-08-30,5.7,2625
2018-08-31,5.67,3955
2018-09-04,5.73,1628
2018-09-05,5.7,10154
2018-09-06,5.73,2134
2018-09-07,5.93,6368
2018-09-10,6.17,17322
2018-09-11,7.16,58423
2018-09-12,8.1,335881
2018-09-13,6.6,51414
2018-09-14,6.6,13314
2018-09-17,7.14,13665
2018-09-18,6.9,14270
2018-09-19,6.55,25642
2018-09-20,6.52,8128
2018-09-21,6.36,12329
2018-09-24,6.83,6628
2018-09-25,6.15,25992
2018-09-26,6.05,5439
2018-09-27,6.15,13246
2018-09-28,6.48,14665
2018-10-01,6.02,17087
2018-10-02,5.9,6865
2018-10-03,6.43,5047
2018-10-04,6.0,14155
2018-10-05,6.0,4417
2018-10-08,6.14,7104
2018-10-09,5.85,2935
2018-10-10,5.4,7501
2018-10-11,5.58,9539
2018-10-12,5.63,2049
2018-10-15,5.55,7584
2018-10-16,5.71,32572
2018-10-17,5.87,18544
2018-10-18,6.11,16835
2018-10-19,5.74,10320
2018-10-22,5.46,7172
2018-10-23,5.19,10262
2018-10-24,6.0,10418
2018-10-25,5.52,12674
2018-10-26,5.32,4400
2018-10-29,5.43,3430
2018-10-30,5.37,4101
2018-10-31,5.64,3895
2018-11-01,5.66,10575
2018-11-02,5.7,2523
2018-11-05,5.6,8059
2018-11-06,5.55,3998
2018-11-07,5.78,3699
2018-11-08,5.78,1341
2018-11-09,4.97,16275
2018-11-12,5.1,6478
2018-11-13,4.96,16107
2018-11-14,4.82,13707
2018-11-15,4.88,21938
2018-11-16,4.73,12087
2018-11-19,4.35,17336
2018-11-20,4.35,18222
2018-11-21,4.35,15830
2018-11-23,4.51,3004
2018-11-26,4.36,11583
2018-11-27,4.35,85004
2018-11-28,4.36,6828
2018-11-29,4.49,24969
2018-11-30,4.2,6537
2018-12-03,4.34,2327
2018-12-04,3.59,80349
2018-12-06,3.6,8815
2018-12-07,3.56,5840
2018-12-10,3.0,36060
2018-12-11,3.23,39769
2018-12-12,3.17,31574
2018-12-13,3.0,97977
2018-12-14,2.86,723267
2018-12-17,2.82,7380701
2018-12-18,2.27,777822
2018-12-19,2.0,586493
2018-12-20,1.94,268373
2018-12-21,2.05,154204
2018-12-24,2.01,162117
2018-12-26,2.01,103449
2018-12-27,2.12,39402
2018-12-28,2.25,81336
2018-12-31,1.99,88831
2019-01-02,2.1,61361
2019-01-03,1.99,210613
2019-01-04,2.23,610706
2019-01-07,2.26,83853
2019-01-08,2.27,127302
2019-01-09,2.22,166278
2019-01-10,2.3,34439
2019-01-11,2.27,61018
2019-01-14,2.32,666705
2019-01-15,2.34,109943
2019-01-16,2.27,38105
2019-01-17,2.28,41712
2019-01-18,2.29,26140
2019-01-22,2.15,32334
2019-01-23,2.27,201251
2019-01-24,2.31,18109
2019-01-25,2.26,17803
2019-01-28,2.16,21493
2019-01-29,2.16,57601
2019-01-30,2.14,26877
2019-01-31,2.2,43374
2019-02-01,2.25,33724
2019-02-04,2.48,112711
2019-02-05,2.5,18205
2019-02-06,2.49,39459
2019-02-07,2.43,36892
2019-02-08,2.49,22134
2019-02-11,2.25,31399
2019-02-12,2.28,56563
2019-02-13,2.51,63616
2019-02-14,2.42,28461
2019-02-15,2.46,23518
2019-02-19,2.66,22861
2019-02-20,2.7,32146
2019-02-21,2.73,34091
2019-02-22,3.07,105768
2019-02-25,3.1,77736
2019-02-26,3.13,80128
2019-02-27,3.65,429620
2019-02-28,3.68,148444
2019-03-01,3.53,64202
2019-03-04,3.41,41222
2019-03-05,3.8,68494
2019-03-06,4.49,201417
2019-03-07,7.0,1112732
2019-03-08,5.0,1833547
2019-03-11,4.65,867635
2019-03-12,4.87,323171
2019-03-13,6.0,1457420
2019-03-14,5.3,274072
2019-03-15,4.82,151971
2019-03-18,4.9,147717
2019-03-19,4.7,202664
2019-03-20,4.65,99636
2019-03-21,4.88,47437
2019-03-22,4.7,30206
2019-03-25,4.5,33882
2019-03-26,4.32,73182
2019-03-27,4.04,73778
2019-03-28,3.87,104005
2019-03-29,3.71,56579
2019-04-01,3.65,59446
2019-04-02,3.97,102038
2019-04-03,4.12,60005
2019-04-04,4.14,28026
2019-04-05,3.68,79735
2019-04-08,3.8,53989
2019-04-09,3.73,16272
2019-04-10,3.42,34559
2019-04-11,3.42,11209
2019-04-12,3.43,35270
2019-04-15,3.25,33296
2019-04-16,3.2,22768
2019-04-17,3.31,34084
2019-04-18,3.12,23067
2019-04-22,3.03,43841
2019-04-23,2.76,12814
2019-04-24,2.93,25785
2019-04-25,3.38,100218
2019-04-26,3.14,58014
2019-04-29,2.9,27146
2019-04-30,2.96,36220
2019-05-01,3.08,48573
2019-05-02,5.9,12754221
2019-05-03,4.59,2357819
2019-05-06,4.52,271216
2019-05-07,4.7,719708
2019-05-08,4.52,160379
2019-05-09,4.4,133582
2019-05-10,4.3,146882
2019-05-13,3.98,74879
2019-05-14,4.35,121167
2019-05-15,4.53,97295
2019-05-16,4.66,41584
2019-05-17,4.4,47033
