date,close,volume
2018-04-25,95.9,678
2018-04-26,96.5,52
2018-04-27,94.5,49
2018-04-30,94.5,4
2018-05-01,95.2,5143
2018-05-02,95.2,215
2018-05-03,90.0,186
2018-05-04,90.0,154
2018-05-07,93.5,847
2018-05-08,92.19,200
2018-05-09,94.33,12328
2018-05-10,94.35,100
2018-05-11,96.8,3410
2018-05-14,96.81,282
2018-05-15,97.0,32
2018-05-16,97.0,0
2018-05-17,95.75,128
2018-05-18,98.35,463
2018-05-21,98.35,0
2018-05-22,98.35,0
2018-05-23,98.35,0
2018-05-24,98.35,0
2018-05-25,98.35,19
2018-05-29,93.05,614
2018-05-30,95.06,346
2018-05-31,95.06,4
2018-06-01,86.0,25
2018-06-04,87.0,347
2018-06-05,86.51,596
2018-06-06,84.05,52
2018-06-07,83.41,27
2018-06-08,83.45,56
2018-06-11,83.45,15
2018-06-12,82.31,32
2018-06-13,83.0,98
2018-06-14,83.0,2
2018-06-15,88.9,70
2018-06-18,94.15,37
2018-06-19,93.0,34
2018-06-20,93.0,6
2018-06-21,93.0,7
2018-06-22,93.0,1
2018-06-25,87.05,20
2018-06-26,87.05,0
2018-06-27,90.2,406
2018-06-28,81.3,693
2018-06-29,88.0,221
2018-07-02,88.0,0
2018-07-03,88.0,1
2018-07-05,88.0,3
2018-07-06,81.1,20
2018-07-09,83.4,24
2018-07-10,87.0,764
2018-07-11,84.6,152
2018-07-12,81.25,15
2018-07-13,81.3,136
2018-07-16,82.0,93
2018-07-17,83.0,83
2018-07-18,83.0,0
2018-07-19,83.0,789
2018-07-20,83.0,0
2018-07-23,86.0,938
2018-07-24,86.0,12
2018-07-25,85.0,36
2018-07-26,85.0,0
2018-07-27,85.0,0
2018-07-30,85.0,0
2018-07-31,83.5,19
2018-08-01,87.45,110
2018-08-02,88.0,138
2018-08-03,89.0,206
2018-08-06,82.3,12
2018-08-07,87.0,51
2018-08-08,87.0,3
2018-08-09,83.25,476
2018-08-10,83.25,4
2018-08-13,83.25,20
2018-08-14,83.25,0
2018-08-15,84.55,15
2018-08-16,83.3,182
2018-08-17,83.3,20
2018-08-20,87.0,88
2018-08-21,87.05,65
2018-08-22,87.05,0
2018-08-23,87.0,78
2018-08-24,87.0,556
2018-08-27,88.9,20
2018-08-28,88.9,59
2018-08-29,85.1,94
2018-08-30,84.65,110
2018-08-31,84.65,3
2018-09-04,85.4,401
2018-09-05,85.4,6
2018-09-06,83.3,131
2018-09-07,86.81,595
2018-09-10,86.81,2
2018-09-11,86.81,4
2018-09-12,86.81,2
2018-09-13,83.25,99
2018-09-14,83.25,502
2018-09-17,82.35,40
2018-09-18,82.35,11
2018-09-19,88.8,96
2018-09-20,88.65,103
2018-09-21,88.75,133
2018-09-24,88.8,17
2018-09-25,88.8,43
2018-09-26,88.8,7
2018-09-27,88.8,1
2018-09-28,86.95,341
2018-10-01,85.0,46
2018-10-02,85.0,3
2018-10-03,85.0,2
2018-10-04,86.5,79
2018-10-05,86.5,72
2018-10-08,85.38,37
2018-10-09,85.0,15
2018-10-10,82.3,93
2018-10-11,82.3,16
2018-10-12,84.4,406
2018-10-15,84.4,472
2018-10-16,84.5,1169
2018-10-17,84.5,69
2018-10-18,84.5,0
2018-10-19,84.5,3
2018-10-22,80.71,168
2018-10-23,84.0,536
2018-10-24,84.0,0
2018-10-25,84.0,60
2018-10-26,84.0,166
2018-10-29,84.0,311
2018-10-30,84.0,0
2018-10-31,84.0,0
2018-11-01,80.0,20
2018-11-02,80.0,21
2018-11-05,78.02,29
2018-11-06,82.56,440
2018-11-07,83.0,102
2018-11-08,84.84,410
2018-11-09,84.84,4
2018-11-12,84.84,7
2018-11-13,82.06,74
2018-11-14,84.34,305
2018-11-15,86.0,311
2018-11-16,85.0,126
2018-11-19,85.0,0
2018-11-20,83.92,284
2018-11-21,83.92,0
2018-11-23,83.92,6
2018-11-26,83.37,131
2018-11-27,83.72,151
2018-11-28,84.34,1512
2018-11-29,84.34,2111
2018-11-30,84.89,64
2018-12-03,84.89,0
2018-12-04,77.92,74
2018-12-06,82.66,67
2018-12-07,84.07,108
2018-12-10,82.2,523
2018-12-11,83.5,107
2018-12-12,83.5,0
2018-12-13,83.5,5
2018-12-14,83.5,0
2018-12-17,85.86,108
2018-12-18,85.86,0
2018-12-19,81.65,22
2018-12-20,81.65,57
2018-12-21,84.9,969
2018-12-24,84.9,0
2018-12-26,91.99,543
2018-12-27,92.49,547
2018-12-28,96.25,127
2018-12-31,99.75,313
2019-01-02,101.51,48
2019-01-03,93.0,1931
2019-01-04,95.18,124
2019-01-07,97.89,245
2019-01-08,95.0,61
2019-01-09,96.5,100
2019-01-10,96.0,104
2019-01-11,95.0,69
2019-01-14,95.0,2
2019-01-15,94.98,56
2019-01-16,95.0,460
2019-01-17,91.0,300
2019-01-18,88.01,59
2019-01-22,90.5,46
2019-01-23,93.0,923
2019-01-24,93.0,0
2019-01-25,93.0,6
2019-01-28,93.0,220
2019-01-29,94.21,84
2019-01-30,94.93,127
2019-01-31,94.93,0
2019-02-01,93.0,51
2019-02-04,93.0,305
2019-02-05,88.7,52
2019-02-06,88.7,7
2019-02-07,88.7,0
2019-02-08,88.52,6
2019-02-11,89.02,14
2019-02-12,90.54,447
2019-02-13,90.54,2
2019-02-14,90.56,305
2019-02-15,88.22,114
2019-02-19,88.22,13
2019-02-20,88.22,8
2019-02-21,88.96,13
2019-02-22,89.96,304
2019-02-25,90.36,970
2019-02-26,92.46,32
2019-02-27,92.46,0
2019-02-28,92.75,104
2019-03-01,93.0,29
2019-03-04,92.5,426
2019-03-05,92.5,7
2019-03-06,92.5,4
2019-03-07,92.64,293
2019-03-08,92.57,185
2019-03-11,92.57,3
2019-03-12,92.61,17
2019-03-13,92.61,3
2019-03-14,92.61,0
2019-03-15,92.5,23
2019-03-18,92.93,72
2019-03-19,92.93,9
2019-03-20,92.93,2
2019-03-21,89.68,950
2019-03-22,89.0,98
2019-03-25,89.0,3
2019-03-26,89.0,0
2019-03-27,89.0,5080
2019-03-28,89.0,0
2019-03-29,89.0,0
2019-04-01,89.0,1752
2019-04-02,91.33,314
2019-04-03,91.33,1
2019-04-04,88.45,644
2019-04-05,88.45,0
2019-04-08,88.45,3
2019-04-09,88.45,6
2019-04-10,89.57,18
2019-04-11,89.57,3
2019-04-12,92.79,102
2019-04-15,92.79,3
2019-04-16,88.27,1237
2019-04-17,89.71,12
2019-04-18,89.71,11
2019-04-22,94.5,758
2019-04-23,94.64,479
2019-04-24,94.0,1347
2019-04-25,91.95,1785
2019-04-26,90.49,252
2019-04-29,90.49,11
2019-04-30,90.49,2
2019-05-01,91.0,200
2019-05-02,93.29,67
2019-05-03,95.0,184
2019-05-06,93.0,431
2019-05-07,91.59,29
2019-05-08,91.83,234
2019-05-09,94.71,390
2019-05-10,94.71,6
2019-05-13,94.2,3088
2019-05-14,92.9,5548
2019-05-15,92.9,24
2019-05-16,92.9,0
2019-05-17,93.49,99
2019-05-20,93.18,1160
2019-05-21,92.0,582
2019-05-22,92.12,124
2019-05-23,94.05,15
2019-05-24,94.05,5
2019-05-28,93.53,88
2019-05-29,94.95,407
2019-05-30,94.95,3
2019-05-31,94.95,4
2019-06-03,92.53,235
2019-06-04,93.28,411
2019-06-05,93.28,775
2019-06-06,93.28,6
2019-06-07,93.28,3
2019-06-10,94.99,250
2019-06-11,94.0,220
2019-06-12,91.21,63
2019-06-13,91.21,4
2019-06-14,93.5,39
2019-06-17,94.37,144
2019-06-18,94.0,14779
2019-06-19,95.4,2067
2019-06-20,95.4,4
2019-06-21,98.0,46
2019-06-24,100.0,584
2019-06-25,95.51,50
2019-06-26,100.0,41
2019-06-27,94.42,230
2019-06-28,95.83,625
2019-07-01,95.83,86
2019-07-02,95.83,2
2019-07-03,95.83,11
2019-07-05,95.83,65
2019-07-08,95.83,5
2019-07-09,95.83,5
2019-07-10,95.83,18
2019-07-11,98.23,27
2019-07-12,96.44,131
2019-07-15,96.44,9
2019-07-16,96.44,6
2019-07-17,95.83,18
2019-07-18,95.84,137
2019-07-19,93.2,1965
2019-07-22,89.01,237
2019-07-23,90.9,1382
2019-07-24,93.2,442
2019-07-25,92.0,1921
2019-07-26,98.0,906
2019-07-29,100.0,104
2019-07-30,100.0,0
2019-07-31,97.67,376
2019-08-01,97.67,1
2019-08-02,97.49,0
2019-08-05,95.0,311
2019-08-06,97.7,28
2019-08-07,93.39,273
2019-08-08,94.33,400
2019-08-09,94.33,0
2019-08-12,91.1,23
2019-08-13,90.51,251
2019-08-14,90.51,4
2019-08-15,85.5,1843
2019-08-16,84.3,72
2019-08-19,84.3,20
2019-08-20,82.01,67
2019-08-21,81.25,56
2019-08-22,81.25,0
2019-08-23,77.36,118
2019-08-26,75.38,642
2019-08-27,75.38,8
2019-08-28,80.0,115
2019-08-29,73.41,340
2019-08-30,73.41,0
2019-09-03,76.0,252
2019-09-04,76.0,0
2019-09-05,78.0,50
2019-09-06,77.0,63
2019-09-09,77.0,8
2019-09-10,77.0,9
2019-09-11,82.0,75
2019-09-12,82.0,0
2019-09-13,82.03,77
2019-09-16,85.89,304
2019-09-17,76.25,1708
2019-09-18,75.01,442
2019-09-19,75.01,14
2019-09-20,78.65,29
2019-09-23,78.65,7
2019-09-24,78.25,32
2019-09-25,76.08,637
2019-09-26,76.25,16
2019-09-27,76.25,8
2019-09-30,76.25,2
2019-10-01,79.0,10
2019-10-02,76.2,86
2019-10-03,76.26,105
2019-10-04,76.26,0
2019-10-07,76.26,8
2019-10-08,76.26,3
2019-10-09,76.26,0
2019-10-10,72.3,1319
2019-10-11,70.0,178
2019-10-14,71.62,50
2019-10-15,72.3,1289
2019-10-16,71.61,78
2019-10-17,69.2,55
2019-10-18,69.2,3
2019-10-21,69.2,15
2019-10-22,69.2,9
2019-10-23,74.01,10
2019-10-24,74.01,0
2019-10-25,74.1,53
2019-10-28,74.1,12
2019-10-29,74.1,8
2019-10-30,74.1,1
2019-10-31,73.0,56
2019-11-01,73.0,6
2019-11-04,72.24,81
2019-11-05,71.0,88
2019-11-06,73.0,28
2019-11-07,73.0,1
2019-11-08,73.0,55
2019-11-11,72.34,39
2019-11-12,72.74,92
2019-11-13,70.0,215
2019-11-14,70.0,7
2019-11-15,70.0,113
2019-11-18,70.0,154
2019-11-19,70.0,15
2019-11-20,72.0,524
2019-11-21,72.0,36
2019-11-22,72.0,10
2019-11-25,71.25,71
2019-11-26,70.93,68
2019-11-27,70.52,71
2019-11-29,70.52,5
2019-12-02,70.52,15
2019-12-03,70.52,13
2019-12-04,71.69,13
2019-12-05,70.99,161
2019-12-06,71.84,39
2019-12-09,70.76,513
2019-12-10,71.72,85
2019-12-11,70.88,20
2019-12-12,71.39,17
2019-12-13,71.39,3
2019-12-16,73.4,627
2019-12-17,74.1,434
2019-12-18,73.5,63
2019-12-19,73.5,48
2019-12-20,74.9,292
2019-12-23,74.9,0
2019-12-24,74.9,1
2019-12-26,73.99,38
2019-12-27,74.25,141
2019-12-30,73.99,67
2019-12-31,72.01,93
2020-01-02,73.7,42
2020-01-03,72.59,22
2020-01-06,73.18,379
2020-01-07,74.0,818
2020-01-08,74.0,78
2020-01-09,74.0,5
2020-01-10,75.0,107
2020-01-13,75.0,7
2020-01-14,75.0,14
2020-01-15,75.0,4
2020-01-16,75.0,7
2020-01-17,76.94,415
2020-01-21,75.98,17
2020-01-22,75.98,1
2020-01-23,75.98,1
2020-01-24,77.98,322
2020-01-27,80.82,258
2020-01-28,79.01,73
2020-01-29,81.48,163
2020-01-30,77.97,123
2020-01-31,77.97,0
2020-02-03,76.01,462
2020-02-04,76.01,8
2020-02-05,76.01,1
2020-02-06,77.88,147
2020-02-07,80.0,141
2020-02-10,74.95,365
2020-02-11,79.69,306
2020-02-12,79.69,3
2020-02-13,74.65,164
2020-02-14,74.02,167
2020-02-18,75.26,703
2020-02-19,75.54,41
2020-02-20,73.03,204
2020-02-21,73.03,0
2020-02-24,74.97,119
2020-02-25,74.97,0
2020-02-26,73.59,132
2020-02-27,73.59,0
2020-02-28,72.72,396
2020-03-02,72.72,20
2020-03-03,72.72,23
2020-03-04,72.75,26
2020-03-05,72.75,8
2020-03-06,73.53,404
2020-03-09,72.0,353
2020-03-10,70.56,12
2020-03-11,72.79,83
2020-03-12,72.25,70
2020-03-13,74.93,319
2020-03-16,74.93,7
2020-03-17,70.05,1248
2020-03-18,68.49,519
2020-03-19,68.49,1
2020-03-20,68.49,0
2020-03-23,62.01,13
2020-03-24,66.5,61
2020-03-25,62.41,109
2020-03-26,64.8,12
2020-03-27,64.8,28
2020-03-30,62.57,492
2020-03-31,63.0,80
2020-04-01,62.41,376
2020-04-02,60.85,18
2020-04-03,60.85,10
2020-04-06,61.55,79
2020-04-07,61.0,268
2020-04-08,61.5,101
2020-04-09,61.5,5
2020-04-13,61.38,94
2020-04-14,64.0,154
2020-04-15,67.99,79
2020-04-16,73.16,219
2020-04-17,73.97,43
2020-04-20,72.96,554
2020-04-21,72.96,7
2020-04-22,72.96,0
2020-04-23,72.96,1
2020-04-24,66.51,55
2020-04-27,66.51,19
2020-04-28,60.99,268
2020-04-29,65.49,170
2020-04-30,65.31,2
2020-05-01,61.19,104
2020-05-04,65.0,103
2020-05-05,64.9,22
2020-05-06,64.9,104
2020-05-07,69.8,35
2020-05-08,69.8,79
2020-05-11,67.8,404
2020-05-12,62.0,378
2020-05-13,55.97,929
2020-05-14,53.5,368
2020-05-15,52.4,116
2020-05-18,55.0,1873
2020-05-19,55.15,471
2020-05-20,54.9,357
2020-05-21,57.75,348
