date,close,volume
2018-04-25,25.26,1531
2018-04-26,25.5,1997
2018-04-27,25.47,5035
2018-04-30,25.4,5170
2018-05-01,25.12,1200
2018-05-02,25.07,1634
2018-05-03,25.02,2304
2018-05-04,25.34,1100
2018-05-07,25.42,2372
2018-05-08,25.41,2152
2018-05-09,25.57,220
2018-05-10,25.72,472
2018-05-11,25.72,151
2018-05-14,26.0,4514
2018-05-15,25.78,639
2018-05-16,26.01,507
2018-05-17,25.98,2071
2018-05-18,25.91,2505
2018-05-21,25.99,1750
2018-05-22,26.03,2303
2018-05-23,26.03,11
2018-05-24,26.03,12
2018-05-25,26.03,3
2018-05-29,25.52,1843
2018-05-30,25.9,2526
2018-05-31,25.9,70
2018-06-01,25.86,926
2018-06-04,26.0,4397
2018-06-05,26.02,1001
2018-06-06,26.25,2411
2018-06-07,26.37,2594
2018-06-08,26.34,450
2018-06-11,26.5,910
2018-06-12,26.43,603
2018-06-13,26.45,2449
2018-06-14,26.4,2842
2018-06-15,26.42,3816
2018-06-18,26.24,1328
2018-06-19,26.14,10848
2018-06-20,26.17,1860
2018-06-21,26.11,300
2018-06-22,26.11,37
2018-06-25,26.13,77
2018-06-26,25.73,12600
2018-06-27,25.5,1409
2018-06-28,25.51,1533
2018-06-29,25.69,781
2018-07-02,25.53,1069
2018-07-03,25.71,667
2018-07-05,25.73,3412
2018-07-06,26.0,1273
2018-07-09,25.94,6
2018-07-10,26.31,541
2018-07-11,26.13,1782
2018-07-12,26.24,201
2018-07-13,26.3,970
2018-07-16,26.48,107
2018-07-17,26.4,12719
2018-07-18,26.5,16393
2018-07-19,26.51,601
2018-07-20,26.35,1057
2018-07-23,26.36,1008
2018-07-24,26.41,1205
2018-07-25,26.45,134
2018-07-26,26.77,4867
2018-07-27,26.57,1105
2018-07-30,26.58,2053
2018-07-31,26.72,1767
2018-08-01,26.7,3452
2018-08-02,26.75,428
2018-08-03,26.84,4411
2018-08-06,26.97,1071
2018-08-07,27.09,5245
2018-08-08,27.02,17715
2018-08-09,27.07,187
2018-08-10,26.81,1130
2018-08-13,26.8,242
2018-08-14,26.93,3928
2018-08-15,26.75,1034
2018-08-16,27.12,5289
2018-08-17,27.26,1037
2018-08-20,27.32,3535
2018-08-21,27.39,2094
2018-08-22,27.28,2554
2018-08-23,27.22,3840
2018-08-24,27.34,5517
2018-08-27,27.5,2597
2018-08-28,27.49,717
2018-08-29,27.62,4426
2018-08-30,27.5,425
2018-08-31,27.5,34
2018-09-04,27.43,6284
2018-09-05,27.52,3336
2018-09-06,27.41,2484
2018-09-07,27.41,10
2018-09-10,27.43,1291
2018-09-11,27.43,2363
2018-09-12,27.46,1544
2018-09-13,27.63,2453
2018-09-14,27.56,1256
2018-09-17,27.62,2252
2018-09-18,27.66,312
2018-09-19,27.66,43
2018-09-20,28.02,5833
2018-09-21,28.07,392
2018-09-24,27.87,1581
2018-09-25,27.76,1087
2018-09-26,27.66,18351
2018-09-27,27.61,2642
2018-09-28,27.56,126
2018-10-01,27.51,628
2018-10-02,27.69,2004
2018-10-03,27.74,4306
2018-10-04,27.46,1441
2018-10-05,27.37,1652
2018-10-08,27.35,1138
2018-10-09,27.44,734
2018-10-10,27.0,1092
2018-10-11,25.98,3341
2018-10-12,26.29,2635
2018-10-15,26.46,664
2018-10-16,26.6,771
2018-10-17,26.46,306
2018-10-18,26.24,1064
2018-10-19,26.36,4171
2018-10-22,26.36,84
2018-10-23,25.63,128
2018-10-24,25.75,309
2018-10-25,25.38,141
2018-10-26,25.4,2388
2018-10-29,25.5,743
2018-10-30,25.72,1684
2018-10-31,26.07,1076
2018-11-01,26.14,28075
2018-11-02,26.01,1593
2018-11-05,26.15,154
2018-11-06,26.3,1387
2018-11-07,26.81,9983
2018-11-08,26.79,3735
2018-11-09,26.68,265
2018-11-12,26.2,1331
2018-11-13,26.3,1602
2018-11-14,25.95,6841
2018-11-15,26.25,10345
2018-11-16,26.26,1962
2018-11-19,25.88,109
